run_id,tiktok_handle,display_name,party_name,storkreds,account_type,video_id,upload_dato,beskrivelse,visninger,likes,kommentarer,shares,gemmer,video_url,matched_candidate_name,is_candidate_match,candidate_match_type,profile_display_name_final,profile_party_name_final,profile_account_type_final,profile_followers,profile_total_likes,profile_antal_videoer,profile_hentet_dato,stats_status,stats_hentet_dato,engagements,engagement_rate,period_relative_to_2026_02_26,profile_tiktok_handle,profile_display_name,profile_party_name,profile_account_type,profile_følgere,profile_samlet_likes,stats_tiktok_handle,stats_followers,stats_total_likes,stats_display_name,stats_party_name,stats_account_type,display_name_norm,party_name_norm,storkreds_norm,candidate_name_from_list,candidate_party_from_list,candidate_storkreds_from_list,candidate_name_norm
20260330_193550_a14bfb,alexvanopslagh,Alex Vanopslagh,Liberal Alliance,Østjyllands Storkreds,kandidat,7620065369226546454,2026-03-22,Stem LA på tirsdag!,628000,50800,293,4518,3957,https://www.tiktok.com/@alexvanopslagh/video/7620065369226546454,Alex Vanopslagh,True,exact_display_party_storkreds,Alex Vanopslagh,Liberal Alliance,kandidat,60900.0,512800.0,,2026-03-22,ok,2026-03-22,4289.0,0.0778402903811252,after_2026_02_26,alexvanopslagh,Alex Vanopslagh,Liberal Alliance,kandidat,,,alexvanopslagh,60900.0,512800.0,Alex Vanopslagh,Liberal Alliance,kandidat,alex vanopslagh,liberal alliance,stjyllands storkreds,Alex Vanopslagh,Liberal Alliance,Østjyllands Storkreds,alex vanopslagh
20260330_193550_a14bfb,alexvanopslagh,Alex Vanopslagh,Liberal Alliance,Østjyllands Storkreds,kandidat,7618958318589021462,2026-03-19,Livet er ikke perfekt! ,482300,32200,174,1223,1894,https://www.tiktok.com/@alexvanopslagh/video/7618958318589021462,Alex Vanopslagh,True,exact_display_party_storkreds,Alex Vanopslagh,Liberal Alliance,kandidat,60900.0,512800.0,,2026-03-22,ok,2026-03-22,31029.0,0.0772634462151394,after_2026_02_26,alexvanopslagh,Alex Vanopslagh,Liberal Alliance,kandidat,,,alexvanopslagh,60900.0,512800.0,Alex Vanopslagh,Liberal Alliance,kandidat,alex vanopslagh,liberal alliance,stjyllands storkreds,Alex Vanopslagh,Liberal Alliance,Østjyllands Storkreds,alex vanopslagh
20260330_193550_a14bfb,alexvanopslagh,Alex Vanopslagh,Liberal Alliance,Østjyllands Storkreds,kandidat,7617472789422886166,2026-03-15,Vi vil ikke fjerne SU’en! ,501900,27400,205,2231,1643,https://www.tiktok.com/@alexvanopslagh/video/7617472789422886166,Alex Vanopslagh,True,exact_display_party_storkreds,Alex Vanopslagh,Liberal Alliance,kandidat,60900.0,512800.0,,2026-03-22,ok,2026-03-22,29278.0,0.0647456877487837,after_2026_02_26,alexvanopslagh,Alex Vanopslagh,Liberal Alliance,kandidat,,,alexvanopslagh,60900.0,512800.0,Alex Vanopslagh,Liberal Alliance,kandidat,alex vanopslagh,liberal alliance,stjyllands storkreds,Alex Vanopslagh,Liberal Alliance,Østjyllands Storkreds,alex vanopslagh
20260330_193550_a14bfb,alexvanopslagh,Alex Vanopslagh,Liberal Alliance,Østjyllands Storkreds,kandidat,7620869918036151574,2026-03-24,Det er nu det gælder. Tiden er inde til en frisk start.,207700,14600,115,294,691,https://www.tiktok.com/@alexvanopslagh/video/7620869918036151574,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20260330_193550_a14bfb,alexvanopslagh,Alex Vanopslagh,Liberal Alliance,Østjyllands Storkreds,kandidat,7620816321567296790,2026-03-24,Argumenterne for at gøre Mette Frederiksen til statsminister igen: ,206300,13900,138,1484,699,https://www.tiktok.com/@alexvanopslagh/video/7620816321567296790,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20260330_193550_a14bfb,alexvanopslagh,Alex Vanopslagh,Liberal Alliance,Østjyllands Storkreds,kandidat,7620815928195878166,2026-03-24,,48200,1841,17,32,93,https://www.tiktok.com/@alexvanopslagh/video/7620815928195878166,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20260330_193550_a14bfb,alexvanopslagh,Alex Vanopslagh,Liberal Alliance,Østjyllands Storkreds,kandidat,7620815908935732503,2026-03-24,,56700,2910,22,12,92,https://www.tiktok.com/@alexvanopslagh/video/7620815908935732503,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20260330_193550_a14bfb,alexvanopslagh,Alex Vanopslagh,Liberal Alliance,Østjyllands Storkreds,kandidat,7620809735910034710,2026-03-24,Svært at udtale. Nemt at stemme på. ,29000,2073,23,65,93,https://www.tiktok.com/@alexvanopslagh/video/7620809735910034710,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20260330_193550_a14bfb,alexvanopslagh,Alex Vanopslagh,Liberal Alliance,Østjyllands Storkreds,kandidat,7620791848520518934,2026-03-24,"Jeg vil ikke have siddende på mig, at Liberal Alliance ikke kæmper for bedre natur og bedre dyrevelfærd.",34600,1916,9,51,97,https://www.tiktok.com/@alexvanopslagh/video/7620791848520518934,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20260330_193550_a14bfb,alexvanopslagh,Alex Vanopslagh,Liberal Alliance,Østjyllands Storkreds,kandidat,7620758693306486038,2026-03-24,Ingen skat af de første 7.000 kroner hver måned! Stem på Liberal Alliance i dag! ,273800,14900,97,670,766,https://www.tiktok.com/@alexvanopslagh/video/7620758693306486038,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
