profile_id,url,status,candidate_name,party,age,education,birthdate,error
1,https://www.altinget.dk/kandidattest/FT26/profil/001,missing_candidate,,,,,,Could not locate candidate name on page
2,https://www.altinget.dk/kandidattest/FT26/profil/002,ok,Anders Havelund Krøyer,Det Konservative Folkeparti,40 år,Bachelor-/diplomuddannelse,,
3,https://www.altinget.dk/kandidattest/FT26/profil/003,ok,Anders Krojgaard Lund,Det Konservative Folkeparti,35 år,Bachelor-/diplomuddannelse,,
4,https://www.altinget.dk/kandidattest/FT26/profil/004,ok,Anders Storgaard,Det Konservative Folkeparti,32 år,Kandidat-/masteruddannelse,1994-01-28T00:00:00,
5,https://www.altinget.dk/kandidattest/FT26/profil/005,ok,Anne Fiber,Det Konservative Folkeparti,44 år,Bachelor-/diplomuddannelse,,
6,https://www.altinget.dk/kandidattest/FT26/profil/006,ok,Barbara Engelstoft,Det Konservative Folkeparti,49 år,Kandidat-/masteruddannelse,1976-10-14T00:00:00,
7,https://www.altinget.dk/kandidattest/FT26/profil/007,ok,Birgitte Bergman,Det Konservative Folkeparti,59 år,Erhvervsuddannelse,1967-01-13T00:00:00,
8,https://www.altinget.dk/kandidattest/FT26/profil/008,ok,Bjørn Jensen,Det Konservative Folkeparti,48 år,Ikke oplyst,,
9,https://www.altinget.dk/kandidattest/FT26/profil/009,missing_candidate,,,,,,Could not locate candidate name on page
10,https://www.altinget.dk/kandidattest/FT26/profil/010,ok,Carina Høedt,Det Konservative Folkeparti,38 år,Kandidat-/masteruddannelse,,
11,https://www.altinget.dk/kandidattest/FT26/profil/011,ok,Caroline Svejsø,Det Konservative Folkeparti,27 år,Bachelor-/diplomuddannelse,1999-01-04T00:00:00,
12,https://www.altinget.dk/kandidattest/FT26/profil/012,missing_candidate,,,,,,Could not locate candidate name on page
13,https://www.altinget.dk/kandidattest/FT26/profil/013,ok,Charlotte Green,Det Konservative Folkeparti,51 år,Ph.d.-uddannelse,,
14,https://www.altinget.dk/kandidattest/FT26/profil/014,ok,Christian Vigilius,Det Konservative Folkeparti,27 år,Bachelor-/diplomuddannelse,1998-07-23T00:00:00,
15,https://www.altinget.dk/kandidattest/FT26/profil/015,ok,Christina Foldager,Det Konservative Folkeparti,50 år,Kandidat-/masteruddannelse,,
16,https://www.altinget.dk/kandidattest/FT26/profil/016,ok,Dan Arnløv,Det Konservative Folkeparti,50 år,Gymnasial uddannelse,1975-07-26T00:00:00,
17,https://www.altinget.dk/kandidattest/FT26/profil/017,ok,Dina Andersen-Raabjerg,Det Konservative Folkeparti,55 år,Kandidat-/masteruddannelse,1971-02-06T00:00:00,
18,https://www.altinget.dk/kandidattest/FT26/profil/018,ok,Dorte Vilhelmsen,Det Konservative Folkeparti,51 år,Erhvervsuddannelse,1975-03-31T00:00:00,
19,https://www.altinget.dk/kandidattest/FT26/profil/019,ok,Egil Hulgaard,Det Konservative Folkeparti,64 år,Ph.d.-uddannelse,1962-03-30T00:00:00,
20,https://www.altinget.dk/kandidattest/FT26/profil/020,ok,Emma Juul Hansen,Det Konservative Folkeparti,26 år,Bachelor-/diplomuddannelse,2000-01-11T00:00:00,
21,https://www.altinget.dk/kandidattest/FT26/profil/021,ok,Frederik Bloch Münster,Det Konservative Folkeparti,31 år,Kandidat-/masteruddannelse,1994-11-03T00:00:00,
22,https://www.altinget.dk/kandidattest/FT26/profil/022,ok,Frederik Germann,Det Konservative Folkeparti,28 år,Bachelor-/diplomuddannelse,,
23,https://www.altinget.dk/kandidattest/FT26/profil/023,ok,Gitte Eriksen,Det Konservative Folkeparti,52 år,Erhvervsuddannelse,1973-11-26T00:00:00,
24,https://www.altinget.dk/kandidattest/FT26/profil/024,ok,Gorm Hoff Lauridsen,Det Konservative Folkeparti,36 år,Bachelor-/diplomuddannelse,,
25,https://www.altinget.dk/kandidattest/FT26/profil/025,ok,Helene Fagerhøj,Det Konservative Folkeparti,,Kandidat-/masteruddannelse,,
26,https://www.altinget.dk/kandidattest/FT26/profil/026,ok,Helle Bonnesen,Det Konservative Folkeparti,23 år,Kandidat-/masteruddannelse,2003-02-10T00:00:00,
27,https://www.altinget.dk/kandidattest/FT26/profil/027,ok,Henrik Jacobsen,Det Konservative Folkeparti,65 år,Kandidat-/masteruddannelse,1960-08-18T00:00:00,
28,https://www.altinget.dk/kandidattest/FT26/profil/028,ok,Ida Dyhr,Det Konservative Folkeparti,47 år,Kandidat-/masteruddannelse,,
29,https://www.altinget.dk/kandidattest/FT26/profil/029,ok,Isabella Arendt,Det Konservative Folkeparti,32 år,Bachelor-/diplomuddannelse,1993-05-07T00:00:00,
30,https://www.altinget.dk/kandidattest/FT26/profil/030,ok,Jacob Stryhn,Det Konservative Folkeparti,55 år,Erhvervsuddannelse,,
31,https://www.altinget.dk/kandidattest/FT26/profil/031,ok,Jacob Skjærris,Det Konservative Folkeparti,57 år,Kandidat-/masteruddannelse,1968-06-14T00:00:00,
32,https://www.altinget.dk/kandidattest/FT26/profil/032,ok,Jane Christensen,Det Konservative Folkeparti,,Ikke oplyst,,
33,https://www.altinget.dk/kandidattest/FT26/profil/033,ok,Jannie Boysen Westergaard,Det Konservative Folkeparti,55 år,Bachelor-/diplomuddannelse,,
34,https://www.altinget.dk/kandidattest/FT26/profil/034,ok,Jens Langer Schou,Det Konservative Folkeparti,20 år,Gymnasial uddannelse,,
35,https://www.altinget.dk/kandidattest/FT26/profil/035,ok,Jette Larsen,Det Konservative Folkeparti,47 år,Ph.d.-uddannelse,1978-07-12T00:00:00,
36,https://www.altinget.dk/kandidattest/FT26/profil/036,ok,Joachim Hoffmann-Petersen,Det Konservative Folkeparti,46 år,Kandidat-/masteruddannelse,1979-09-17T00:00:00,
37,https://www.altinget.dk/kandidattest/FT26/profil/037,ok,Johan Emil Sevelsted,Det Konservative Folkeparti,32 år,Kandidat-/masteruddannelse,,
38,https://www.altinget.dk/kandidattest/FT26/profil/038,ok,John Hoppe,Det Konservative Folkeparti,50 år,Ikke oplyst,,
39,https://www.altinget.dk/kandidattest/FT26/profil/039,ok,Jørgen Christian Pedersen,Det Konservative Folkeparti,56 år,10. klasse,1969-06-21T00:00:00,
40,https://www.altinget.dk/kandidattest/FT26/profil/040,ok,Klavs Norup Lauridsen,Det Konservative Folkeparti,55 år,Seminaruddannelse,,
41,https://www.altinget.dk/kandidattest/FT26/profil/041,ok,Kristian Thomsen,Det Konservative Folkeparti,22 år,Ikke oplyst,,
42,https://www.altinget.dk/kandidattest/FT26/profil/042,ok,Kristoffer Kromand,Det Konservative Folkeparti,28 år,Bachelor-/diplomuddannelse,,
43,https://www.altinget.dk/kandidattest/FT26/profil/043,ok,Laura Holm,Det Konservative Folkeparti,36 år,Kandidat-/masteruddannelse,,
44,https://www.altinget.dk/kandidattest/FT26/profil/044,ok,Lene Burchardt,Det Konservative Folkeparti,,Kandidat-/masteruddannelse,,
45,https://www.altinget.dk/kandidattest/FT26/profil/045,ok,Lennart Qvist,Det Konservative Folkeparti,55 år,Kandidat-/masteruddannelse,,
46,https://www.altinget.dk/kandidattest/FT26/profil/046,ok,Line Ervolder,Det Konservative Folkeparti,55 år,Kandidat-/masteruddannelse,,
47,https://www.altinget.dk/kandidattest/FT26/profil/047,ok,Lise Bertelsen,Det Konservative Folkeparti,50 år,Kandidat-/masteruddannelse,,
48,https://www.altinget.dk/kandidattest/FT26/profil/048,ok,Magnus Von Dreiager,Det Konservative Folkeparti,27 år,Kandidat-/masteruddannelse,1998-05-31T00:00:00,
49,https://www.altinget.dk/kandidattest/FT26/profil/049,ok,Mai Mercado,Det Konservative Folkeparti,45 år,Kandidat-/masteruddannelse,,
50,https://www.altinget.dk/kandidattest/FT26/profil/050,ok,Marcus Knuth,Det Konservative Folkeparti,50 år,Kandidat-/masteruddannelse,,
51,https://www.altinget.dk/kandidattest/FT26/profil/051,ok,Marianne Karlsmose,Det Konservative Folkeparti,52 år,Kandidat-/masteruddannelse,,
52,https://www.altinget.dk/kandidattest/FT26/profil/052,ok,Mette Abildgaard,Det Konservative Folkeparti,37 år,Kandidat-/masteruddannelse,1988-10-12T00:00:00,
53,https://www.altinget.dk/kandidattest/FT26/profil/053,ok,Mia Tang,Det Konservative Folkeparti,54 år,Kandidat-/masteruddannelse,,
54,https://www.altinget.dk/kandidattest/FT26/profil/054,ok,Michael Faust Horsbøl,Det Konservative Folkeparti,34 år,Erhvervsuddannelse,,
55,https://www.altinget.dk/kandidattest/FT26/profil/055,ok,Michael Grove,Det Konservative Folkeparti,37 år,Kandidat-/masteruddannelse,,
56,https://www.altinget.dk/kandidattest/FT26/profil/056,ok,Mona Juul,Det Konservative Folkeparti,58 år,Bachelor-/diplomuddannelse,,
57,https://www.altinget.dk/kandidattest/FT26/profil/057,missing_candidate,,,,,,Could not locate candidate name on page
