candidate_name,party_name,storkreds
Kim Hjerrild,Alternativet,Bornholms Storkreds
Sofie Valbjørn,Alternativet,Bornholms Storkreds
Charlotte Friberg Henriksen,Borgernes Parti - Lars Boje Mathiesen,Bornholms Storkreds
Michael Hendriksen,Danmarksdemokraterne - Inger Støjberg,Bornholms Storkreds
Bo Vibe Ancher Jensen,Dansk Folkeparti,Bornholms Storkreds
Kristoffer Kromand,Det Konservative Folkeparti,Bornholms Storkreds
Peter Svarre Fridolf,Det Konservative Folkeparti,Bornholms Storkreds
Asta Kofod,Enhedslisten - De Rød-Grønne,Bornholms Storkreds
Helle Munk Ravnborg,Enhedslisten - De Rød-Grønne,Bornholms Storkreds
Morten Riis,Enhedslisten - De Rød-Grønne,Bornholms Storkreds
Eik Dahl Bidstrup,Liberal Alliance,Bornholms Storkreds
Kirstine van Sabben,Moderaterne,Bornholms Storkreds
Lasse Oszadlik,Moderaterne,Bornholms Storkreds
Laila Stougaard Kofoed Espersen,Radikale Venstre,Bornholms Storkreds
Simon Bech Munch-Petersen,Radikale Venstre,Bornholms Storkreds
Sebastian Bloch Jensen,SF - Socialistisk Folkeparti,Bornholms Storkreds
Sofie Christiansen,SF - Socialistisk Folkeparti,Bornholms Storkreds
Christian Faurholdt Jeppesen,Socialdemokratiet,Bornholms Storkreds
Kasper Flygare,Socialdemokratiet,Bornholms Storkreds
Lea Wermelin,Socialdemokratiet,Bornholms Storkreds
Birthe Tindbæk Bredo,Venstre,Bornholms Storkreds
Niklas Stenbye,Venstre,Bornholms Storkreds
Peter Juel-Jensen,Venstre,Bornholms Storkreds
Bo Tønnesen,Alternativet,Fyns Storkreds
Bodil Helbo,Alternativet,Fyns Storkreds
Jacob Holm,Alternativet,Fyns Storkreds
Linda Frølund,Alternativet,Fyns Storkreds
Maria Dalum,Alternativet,Fyns Storkreds
Martin Kjærulff,Alternativet,Fyns Storkreds
Matilde Skov-Hansen,Alternativet,Fyns Storkreds
Ole Dupont Kofod,Alternativet,Fyns Storkreds
Stine Larsen,Alternativet,Fyns Storkreds
Allan Holm,Borgernes Parti - Lars Boje Mathiesen,Fyns Storkreds
Anja Busch,Borgernes Parti - Lars Boje Mathiesen,Fyns Storkreds
Charlotte Møller-Madsen,Borgernes Parti - Lars Boje Mathiesen,Fyns Storkreds
Daniel Juhl,Borgernes Parti - Lars Boje Mathiesen,Fyns Storkreds
Jens Henrik W. Thulesen Dahl,Danmarksdemokraterne - Inger Støjberg,Fyns Storkreds
Nikolaj Vang,Danmarksdemokraterne - Inger Støjberg,Fyns Storkreds
Vivian Lindberg Larsen,Danmarksdemokraterne - Inger Støjberg,Fyns Storkreds
Alex Ahrendtsen,Dansk Folkeparti,Fyns Storkreds
Anne Møllegaard Mortensen,Dansk Folkeparti,Fyns Storkreds
Niels Bolding,Dansk Folkeparti,Fyns Storkreds
Romeo Troelsgaard,Dansk Folkeparti,Fyns Storkreds
Tobias Weische,Dansk Folkeparti,Fyns Storkreds
Anne Fiber,Det Konservative Folkeparti,Fyns Storkreds
Joachim Hoffmann-Petersen,Det Konservative Folkeparti,Fyns Storkreds
Johan Emil Sevelsted,Det Konservative Folkeparti,Fyns Storkreds
John Hoppe,Det Konservative Folkeparti,Fyns Storkreds
Klavs Norup Lauridsen,Det Konservative Folkeparti,Fyns Storkreds
Mai Mercado,Det Konservative Folkeparti,Fyns Storkreds
Natasja Bruun Knudsen,Det Konservative Folkeparti,Fyns Storkreds
Tobias Bennedsen,Det Konservative Folkeparti,Fyns Storkreds
Jesper Kiel,Enhedslisten - De Rød-Grønne,Fyns Storkreds
Kaj Alstrup,Enhedslisten - De Rød-Grønne,Fyns Storkreds
Mette Skaarup,Enhedslisten - De Rød-Grønne,Fyns Storkreds
Reza Javid,Enhedslisten - De Rød-Grønne,Fyns Storkreds
Stine Øllegaard,Enhedslisten - De Rød-Grønne,Fyns Storkreds
Torsten Ringgaard,Enhedslisten - De Rød-Grønne,Fyns Storkreds
Vibeke Syppli Enrum,Enhedslisten - De Rød-Grønne,Fyns Storkreds
Victoria Velásquez,Enhedslisten - De Rød-Grønne,Fyns Storkreds
Araz Khan,Liberal Alliance,Fyns Storkreds
Gustav Wilde,Liberal Alliance,Fyns Storkreds
Katrine Daugaard,Liberal Alliance,Fyns Storkreds
Malte Jäger,Liberal Alliance,Fyns Storkreds
Martin Lissner,Liberal Alliance,Fyns Storkreds
Pia Offer Madsen,Liberal Alliance,Fyns Storkreds
Thomas Estrup,Liberal Alliance,Fyns Storkreds
Tonny Vest,Liberal Alliance,Fyns Storkreds
Andreas Lausen,Moderaterne,Fyns Storkreds
Camilla Schuster Nygaard,Moderaterne,Fyns Storkreds
Lars Aagaard,Moderaterne,Fyns Storkreds
Rosa Eriksen,Moderaterne,Fyns Storkreds
Anastasia Milthers,Radikale Venstre,Fyns Storkreds
Jakob Larsen,Radikale Venstre,Fyns Storkreds
Jan Werner Mathiasen,Radikale Venstre,Fyns Storkreds
Kim Lei-Jensen,Radikale Venstre,Fyns Storkreds
Anna Katrine Leth Rehn,SF - Socialistisk Folkeparti,Fyns Storkreds
Charlotte Ellenberger,SF - Socialistisk Folkeparti,Fyns Storkreds
Johannes Skov Pedersen,SF - Socialistisk Folkeparti,Fyns Storkreds
Karsten Hønge,SF - Socialistisk Folkeparti,Fyns Storkreds
Lars Nissen,SF - Socialistisk Folkeparti,Fyns Storkreds
Laura Elise Andersen-Mühl,SF - Socialistisk Folkeparti,Fyns Storkreds
Linda Bollerup,SF - Socialistisk Folkeparti,Fyns Storkreds
Lise Müller,SF - Socialistisk Folkeparti,Fyns Storkreds
Nynne Printz,SF - Socialistisk Folkeparti,Fyns Storkreds
Simon Meyer Off,SF - Socialistisk Folkeparti,Fyns Storkreds
Suzette Frovin,SF - Socialistisk Folkeparti,Fyns Storkreds
Bjørn Brandenborg,Socialdemokratiet,Fyns Storkreds
Jeppe Bruus,Socialdemokratiet,Fyns Storkreds
Kim Aas,Socialdemokratiet,Fyns Storkreds
Lasse Haugaard Pedersen,Socialdemokratiet,Fyns Storkreds
Maria Gudme,Socialdemokratiet,Fyns Storkreds
Sara Emil Baaring,Socialdemokratiet,Fyns Storkreds
Thomas Skriver Jensen,Socialdemokratiet,Fyns Storkreds
Trine Bramsen,Socialdemokratiet,Fyns Storkreds
Amanda Heitmann,Venstre,Fyns Storkreds
Andreas Fjord Larsen,Venstre,Fyns Storkreds
Anja Lund,Venstre,Fyns Storkreds
Claus Oxfeldt,Venstre,Fyns Storkreds
Marlene Ambo-Rasmussen,Venstre,Fyns Storkreds
Nikolaj Leed Henriksen,Venstre,Fyns Storkreds
Sofie Mosgaard,Venstre,Fyns Storkreds
Torben Povlsen,Venstre,Fyns Storkreds
Jesper Callesen,Alternativet,Københavns Omegns Storkreds
Nana Løcke Buttenschøn,Alternativet,Københavns Omegns Storkreds
Peter Samir,Alternativet,Københavns Omegns Storkreds
Signe Wenneberg,Alternativet,Københavns Omegns Storkreds
Thomas Anker,Alternativet,Københavns Omegns Storkreds
Thomas Lindqvist,Alternativet,Københavns Omegns Storkreds
Tim Wodskou,Alternativet,Københavns Omegns Storkreds
Allan Orland,Borgernes Parti - Lars Boje Mathiesen,Københavns Omegns Storkreds
Frederik Lundberg,Borgernes Parti - Lars Boje Mathiesen,Københavns Omegns Storkreds
Mathias Fuglsang,Borgernes Parti - Lars Boje Mathiesen,Københavns Omegns Storkreds
Morten Dehn,Borgernes Parti - Lars Boje Mathiesen,Københavns Omegns Storkreds
Søren T. Fugleberg,Borgernes Parti - Lars Boje Mathiesen,Københavns Omegns Storkreds
Charlotte Munch,Danmarksdemokraterne - Inger Støjberg,Københavns Omegns Storkreds
Sebastian Mylsted,Danmarksdemokraterne - Inger Støjberg,Københavns Omegns Storkreds
Susanne Damsgaard,Danmarksdemokraterne - Inger Støjberg,Københavns Omegns Storkreds
Hans Blaaberg,Dansk Folkeparti,Københavns Omegns Storkreds
Kim Hammer,Dansk Folkeparti,Københavns Omegns Storkreds
Michael Jensen,Dansk Folkeparti,Københavns Omegns Storkreds
Mikkel Bjørn,Dansk Folkeparti,Københavns Omegns Storkreds
Mikkel Dencker,Dansk Folkeparti,Københavns Omegns Storkreds
Tenna Røberg,Dansk Folkeparti,Københavns Omegns Storkreds
Zandra Thulstrup Pihl,Dansk Folkeparti,Københavns Omegns Storkreds
Christian Vigilius,Det Konservative Folkeparti,Københavns Omegns Storkreds
Dorte Vilhelmsen,Det Konservative Folkeparti,Københavns Omegns Storkreds
Isabella Arendt,Det Konservative Folkeparti,Københavns Omegns Storkreds
Jette Larsen,Det Konservative Folkeparti,Københavns Omegns Storkreds
Julie Ahlefeldt-Laurvig,Det Konservative Folkeparti,Københavns Omegns Storkreds
Magnus Von Dreiager,Det Konservative Folkeparti,Københavns Omegns Storkreds
Sigurd Hebo Lønholdt,Det Konservative Folkeparti,Københavns Omegns Storkreds
Tina Cartey Hansen,Det Konservative Folkeparti,Københavns Omegns Storkreds
Bianca Vitting,Enhedslisten - De Rød-Grønne,Københavns Omegns Storkreds
