candidate_name,party_name_results,storkreds,landsdel,opstillet_i_kreds,prioriteret_i_kreds,total_votes,personal_votes,valgt_token,valgt_nr,stedfortraeder_nr,elected_marker,is_elected
Yildiz Akdogan,Socialdemokratiet,Københavns Storkreds,Hovedstaden,Alle,2,1140,1140,,,2,,False
Sophie Hæstorp Andersen,Socialdemokratiet,Københavns Storkreds,Hovedstaden,Alle,7,2187,2187,3K,3,,K,True
Ida Auken,Socialdemokratiet,Københavns Storkreds,Hovedstaden,Alle,"10,11",11286,11286,2K,2,,K,True
Stig Ekman,Socialdemokratiet,Københavns Storkreds,Hovedstaden,Alle,6,189,189,,,8,,False
Jarl Feyling,Socialdemokratiet,Københavns Storkreds,Hovedstaden,Alle,4,72,72,,,9,,False
Camilla Hoffmann,Socialdemokratiet,Københavns Storkreds,Hovedstaden,Alle,3,418,418,,,5,,False
Peter Hummelgaard,Socialdemokratiet,Københavns Storkreds,Hovedstaden,Alle,12,11637,11637,1K,1,,K,True
Erik Jensen,Socialdemokratiet,Københavns Storkreds,Hovedstaden,Alle,,201,201,,,7,,False
Emilla Møller,Socialdemokratiet,Københavns Storkreds,Hovedstaden,Alle,8,302,302,,,6,,False
Asbjørn Reissmann,Socialdemokratiet,Københavns Storkreds,Hovedstaden,Alle,9,494,494,,,4,,False
Mette Reissmann,Socialdemokratiet,Københavns Storkreds,Hovedstaden,Alle,1,1841,1841,,,1,,False
Marcus Vesterager,Socialdemokratiet,Københavns Storkreds,Hovedstaden,Alle,5,509,509,,,3,,False
Magnus Barsøe,Socialdemokratiet,Københavns Omegns Storkreds,Hovedstaden,Alle,2,1902,1902,,,2,,False
Sofie de Bretteville,Socialdemokratiet,Københavns Omegns Storkreds,Hovedstaden,Alle,8,4431,4431,3K,3,,K,True
Morten Bødskov,Socialdemokratiet,Københavns Omegns Storkreds,Hovedstaden,Alle,4,5643,5643,2K,2,,K,True
Maria Durhuus,Socialdemokratiet,Københavns Omegns Storkreds,Hovedstaden,Alle,5,2836,2836,,,1,,False
Mattias Tesfaye,Socialdemokratiet,Københavns Omegns Storkreds,Hovedstaden,Alle,6,11898,11898,1K,1,,K,True
Jens Anton Tingstrøm,Socialdemokratiet,Københavns Omegns Storkreds,Hovedstaden,Alle,3,1373,1373,,,4,,False
Vibeke Westh,Socialdemokratiet,Københavns Omegns Storkreds,Hovedstaden,Alle,1,350,350,,,5,,False
Gunvor Wibroe,Socialdemokratiet,Københavns Omegns Storkreds,Hovedstaden,Alle,7,1712,1712,,,3,,False
Fie Hækkerup,Socialdemokratiet,Nordsjællands Storkreds,Hovedstaden,Alle,3,5763,5763,1K,1,,K,True
Louise Mehnke,Socialdemokratiet,Nordsjællands Storkreds,Hovedstaden,Alle,2,2555,2555,,,2,,False
Henrik Møller,Socialdemokratiet,Nordsjællands Storkreds,Hovedstaden,Alle,1,2781,2781,,,1,,False
Matilde Powers,Socialdemokratiet,Nordsjællands Storkreds,Hovedstaden,Alle,5,4030,4030,3K,3,,K,True
Søren Rye,Socialdemokratiet,Nordsjællands Storkreds,Hovedstaden,Alle,6,688,688,,,3,,False
Rasmus Stoklund,Socialdemokratiet,Nordsjællands Storkreds,Hovedstaden,Alle,4,4528,4528,2K,2,,K,True
Kasper Flygare,Socialdemokratiet,Bornholms Storkreds,Hovedstaden,Alle,,261,261,,,1,,False
Christian Faurholdt Jeppesen,Socialdemokratiet,Bornholms Storkreds,Hovedstaden,Alle,,188,188,,,2,,False
Lea Wermelin,Socialdemokratiet,Bornholms Storkreds,Hovedstaden,Alle,Alle,3837,3837,1K,1,,K,True
Valdemar Alban,Socialdemokratiet,Sjællands Storkreds,Sjælland-Syddanmark,Alle,3,1569,1569,,,5,,False
Trine Birk Andersen,Socialdemokratiet,Sjællands Storkreds,Sjælland-Syddanmark,Alle,9,4106,4106,5K,5,,K,True
Kaare Dybvad Bek,Socialdemokratiet,Sjællands Storkreds,Sjælland-Syddanmark,Alle,8,5848,5848,3K,3,,K,True
Kanishka Dastageer,Socialdemokratiet,Sjællands Storkreds,Sjælland-Syddanmark,Alle,11,407,407,,,7,,False
Magnus Heunicke,Socialdemokratiet,Sjællands Storkreds,Sjælland-Syddanmark,Alle,4,14316,14316,1K,1,,K,True
Julie Kølskov,Socialdemokratiet,Sjællands Storkreds,Sjælland-Syddanmark,Alle,2,2799,2799,,,2,,False
Rasmus Horn Langhoff,Socialdemokratiet,Sjællands Storkreds,Sjælland-Syddanmark,Alle,10,3648,3648,,,1,,False
Tanja Larsson,Socialdemokratiet,Sjællands Storkreds,Sjælland-Syddanmark,Alle,5,2580,2580,,,3,,False
Carl Emil Lind,Socialdemokratiet,Sjællands Storkreds,Sjælland-Syddanmark,Alle,6,2495,2495,,,4,,False
Kasper Roug,Socialdemokratiet,Sjællands Storkreds,Sjælland-Syddanmark,Alle,1,4476,4476,4K,4,,K,True
Filiz Sarah Thunø,Socialdemokratiet,Sjællands Storkreds,Sjælland-Syddanmark,Alle,7,941,941,,,6,,False
Frederik Vad,Socialdemokratiet,Sjællands Storkreds,Sjælland-Syddanmark,Alle,12,6763,6763,2K,2,,K,True
