nomination_label,nomination_url
Aabenraakredsen,https://valg.dk/fv/987875fe-0dae-42ac-be5b-62cf0bd5d65e/nomination-district/60dd49b8-262c-4a88-9b06-3eee46af1bfa
Aakirkebykredsen,https://valg.dk/fv/987875fe-0dae-42ac-be5b-62cf0bd5d65e/nomination-district/7cd5e0f1-d646-42a8-84da-45fcbf44780e
Aalborg Nordkredsen,https://valg.dk/fv/987875fe-0dae-42ac-be5b-62cf0bd5d65e/nomination-district/6ee0a433-c27c-49dd-a3eb-35d5bd9080ec
Aalborg Vestkredsen,https://valg.dk/fv/987875fe-0dae-42ac-be5b-62cf0bd5d65e/nomination-district/323f1d94-244a-402b-b154-751b37df23a0
Aalborg Østkredsen,https://valg.dk/fv/987875fe-0dae-42ac-be5b-62cf0bd5d65e/nomination-district/bcb78384-2e7a-4daf-ac38-eae9adfef629
Aarhus Nordkredsen,https://valg.dk/fv/987875fe-0dae-42ac-be5b-62cf0bd5d65e/nomination-district/abc6eeda-f9f3-4340-889b-465a8bd6a50a
Aarhus Sydkredsen,https://valg.dk/fv/987875fe-0dae-42ac-be5b-62cf0bd5d65e/nomination-district/d58a1c97-9b2d-45ed-b0fb-473d7a126004
Aarhus Vestkredsen,https://valg.dk/fv/987875fe-0dae-42ac-be5b-62cf0bd5d65e/nomination-district/65cfe541-fbd7-462d-8801-4766bc83fead
Aarhus Østkredsen,https://valg.dk/fv/987875fe-0dae-42ac-be5b-62cf0bd5d65e/nomination-district/28d4198a-7bcb-4094-9714-3cc8c7084af3
Assenskredsen,https://valg.dk/fv/987875fe-0dae-42ac-be5b-62cf0bd5d65e/nomination-district/5bf6771c-389d-48f1-82e5-5afd80986232
Ballerupkredsen,https://valg.dk/fv/987875fe-0dae-42ac-be5b-62cf0bd5d65e/nomination-district/be121979-3812-4c87-a515-e7e68752f613
Bispebjergkredsen,https://valg.dk/fv/987875fe-0dae-42ac-be5b-62cf0bd5d65e/nomination-district/74499f88-b959-4178-994b-afa29bea7ab2
Brøndbykredsen,https://valg.dk/fv/987875fe-0dae-42ac-be5b-62cf0bd5d65e/nomination-district/f3ed2bd8-6506-4150-89cb-b1837c9d81c2
Brønderslevkredsen,https://valg.dk/fv/987875fe-0dae-42ac-be5b-62cf0bd5d65e/nomination-district/7737ee57-d058-49a0-ab87-0a4f3b524f78
Brønshøjkredsen,https://valg.dk/fv/987875fe-0dae-42ac-be5b-62cf0bd5d65e/nomination-district/42a7aacc-2927-4c70-ba7c-7ac54892e204
Djurskredsen,https://valg.dk/fv/987875fe-0dae-42ac-be5b-62cf0bd5d65e/nomination-district/b7c7dd16-5ce6-47ee-a9b0-6396003f8109
Egedalkredsen,https://valg.dk/fv/987875fe-0dae-42ac-be5b-62cf0bd5d65e/nomination-district/57603878-39b5-48d5-955a-9af8377665ae
Esbjerg Bykredsen,https://valg.dk/fv/987875fe-0dae-42ac-be5b-62cf0bd5d65e/nomination-district/b3505a98-c87a-43d4-960c-ce0e996be668
Esbjerg Omegnskredsen,https://valg.dk/fv/987875fe-0dae-42ac-be5b-62cf0bd5d65e/nomination-district/b60366b1-2fee-46eb-a347-71017d3bcc58
Faaborgkredsen,https://valg.dk/fv/987875fe-0dae-42ac-be5b-62cf0bd5d65e/nomination-district/5d1c69fa-812f-4b6d-a390-58eb9fb69ebf
Falkonerkredsen,https://valg.dk/fv/987875fe-0dae-42ac-be5b-62cf0bd5d65e/nomination-district/fe46034d-96ce-44fb-a7fe-dc490bbcec8e
Favrskovkredsen,https://valg.dk/fv/987875fe-0dae-42ac-be5b-62cf0bd5d65e/nomination-district/8592a2dc-58c3-4682-b7f1-3b1f9fdba91f
Faxekredsen,https://valg.dk/fv/987875fe-0dae-42ac-be5b-62cf0bd5d65e/nomination-district/9f9e2919-2429-47a0-ba23-1188a2c0a133
Fredensborgkredsen,https://valg.dk/fv/987875fe-0dae-42ac-be5b-62cf0bd5d65e/nomination-district/34a0391e-932a-405a-ad77-a6ee5aa1a51e
Fredericiakredsen,https://valg.dk/fv/987875fe-0dae-42ac-be5b-62cf0bd5d65e/nomination-district/1114e654-7e40-4f0e-bc4f-89e4e8dfbb89
Frederikshavnkredsen,https://valg.dk/fv/987875fe-0dae-42ac-be5b-62cf0bd5d65e/nomination-district/419ccb08-a204-4e0a-80d9-92329ef17033
Frederikssundkredsen,https://valg.dk/fv/987875fe-0dae-42ac-be5b-62cf0bd5d65e/nomination-district/7411a9cd-4aed-47eb-a152-122b073490bd
Gentoftekredsen,https://valg.dk/fv/987875fe-0dae-42ac-be5b-62cf0bd5d65e/nomination-district/ad32adcd-a707-4aa8-960e-0fa56cb2d837
