"municipality","municipality_code","variable","year","value"
"Københavns Kommune","101","Andel 18+-årige","2007","82.9"
"Københavns Kommune","101","Andel 18+-årige","2008","82.8"
"Københavns Kommune","101","Andel 18+-årige","2009","82.7"
"Københavns Kommune","101","Andel 18+-årige","2010","82.6"
"Københavns Kommune","101","Andel 18+-årige","2011","82.5"
"Københavns Kommune","101","Andel 18+-årige","2012","82.4"
"Københavns Kommune","101","Andel 18+-årige","2013","82.3"
"Københavns Kommune","101","Andel 18+-årige","2014","82.4"
"Københavns Kommune","101","Andel 18+-årige","2015","82.4"
"Københavns Kommune","101","Andel 18+-årige","2016","82.5"
"Københavns Kommune","101","Andel 18+-årige","2017","82.4"
"Københavns Kommune","101","Andel 18+-årige","2018","82.4"
"Københavns Kommune","101","Andel 18+-årige","2019","82.5"
"Københavns Kommune","101","Andel 18+-årige","2020","82.5"
"Københavns Kommune","101","Andel 18+-årige","2021","82.6"
"Københavns Kommune","101","Andel 18+-årige","2022","82.9"
"Københavns Kommune","101","Andel 18+-årige","2023","83"
"Københavns Kommune","101","Andel 18+-årige","2024","83.2"
"Københavns Kommune","101","Andel 18+-årige","2025","83.4"
"Københavns Kommune","101","Andel 18+-årige","2026",
"Københavns Kommune","101","Andel 18-66-årige","2007","73.2"
"Københavns Kommune","101","Andel 18-66-årige","2008","73.5"
"Københavns Kommune","101","Andel 18-66-årige","2009","73.7"
"Københavns Kommune","101","Andel 18-66-årige","2010","73.8"
"Københavns Kommune","101","Andel 18-66-årige","2011","73.8"
"Københavns Kommune","101","Andel 18-66-årige","2012","73.6"
"Københavns Kommune","101","Andel 18-66-årige","2013","73.6"
"Københavns Kommune","101","Andel 18-66-årige","2014","73.6"
"Københavns Kommune","101","Andel 18-66-årige","2015","73.5"
"Københavns Kommune","101","Andel 18-66-årige","2016","73.6"
"Københavns Kommune","101","Andel 18-66-årige","2017","73.6"
"Københavns Kommune","101","Andel 18-66-årige","2018","73.5"
"Københavns Kommune","101","Andel 18-66-årige","2019","73.5"
"Københavns Kommune","101","Andel 18-66-årige","2020","73.5"
"Københavns Kommune","101","Andel 18-66-årige","2021","73.5"
"Københavns Kommune","101","Andel 18-66-årige","2022","73.7"
"Københavns Kommune","101","Andel 18-66-årige","2023","73.8"
"Københavns Kommune","101","Andel 18-66-årige","2024","73.9"
"Københavns Kommune","101","Andel 18-66-årige","2025","74"
"Københavns Kommune","101","Andel 18-66-årige","2026",
"Københavns Kommune","101","Andel 25-64-årige","2007","60.8"
"Københavns Kommune","101","Andel 25-64-årige","2008","60.6"
"Københavns Kommune","101","Andel 25-64-årige","2009","60.3"
"Københavns Kommune","101","Andel 25-64-årige","2010","60"
"Københavns Kommune","101","Andel 25-64-årige","2011","59.7"
"Københavns Kommune","101","Andel 25-64-årige","2012","59.4"
"Københavns Kommune","101","Andel 25-64-årige","2013","59.1"
"Københavns Kommune","101","Andel 25-64-årige","2014","59.2"
"Københavns Kommune","101","Andel 25-64-årige","2015","59.4"
"Københavns Kommune","101","Andel 25-64-årige","2016","59.5"
"Københavns Kommune","101","Andel 25-64-årige","2017","59.6"
"Københavns Kommune","101","Andel 25-64-årige","2018","59.7"
"Københavns Kommune","101","Andel 25-64-årige","2019","59.8"
"Københavns Kommune","101","Andel 25-64-årige","2020","60"
"Københavns Kommune","101","Andel 25-64-årige","2021","60.1"
"Københavns Kommune","101","Andel 25-64-årige","2022","60.1"
"Københavns Kommune","101","Andel 25-64-årige","2023","60.6"
"Københavns Kommune","101","Andel 25-64-årige","2024","60.9"
"Københavns Kommune","101","Andel 25-64-årige","2025","61.2"
"Københavns Kommune","101","Andel 25-64-årige","2026",
"Københavns Kommune","101","Andel 25-64-årige med videregående uddannelse","2007","36.3"
"Københavns Kommune","101","Andel 25-64-årige med videregående uddannelse","2008","39"
"Københavns Kommune","101","Andel 25-64-årige med videregående uddannelse","2009","40.4"
"Københavns Kommune","101","Andel 25-64-årige med videregående uddannelse","2010","41.9"
"Københavns Kommune","101","Andel 25-64-årige med videregående uddannelse","2011","43.3"
"Københavns Kommune","101","Andel 25-64-årige med videregående uddannelse","2012","44.8"
"Københavns Kommune","101","Andel 25-64-årige med videregående uddannelse","2013","46.8"
"Københavns Kommune","101","Andel 25-64-årige med videregående uddannelse","2014","48.8"
"Københavns Kommune","101","Andel 25-64-årige med videregående uddannelse","2015","50.9"
"Københavns Kommune","101","Andel 25-64-årige med videregående uddannelse","2016","53.1"
"Københavns Kommune","101","Andel 25-64-årige med videregående uddannelse","2017","54.3"
"Københavns Kommune","101","Andel 25-64-årige med videregående uddannelse","2018","55.6"
"Københavns Kommune","101","Andel 25-64-årige med videregående uddannelse","2019","56.8"
"Københavns Kommune","101","Andel 25-64-årige med videregående uddannelse","2020","57.3"
"Københavns Kommune","101","Andel 25-64-årige med videregående uddannelse","2021","58"
"Københavns Kommune","101","Andel 25-64-årige med videregående uddannelse","2022","59.8"
"Københavns Kommune","101","Andel 25-64-årige med videregående uddannelse","2023","60.8"
"Københavns Kommune","101","Andel 25-64-årige med videregående uddannelse","2024","61.8"
"Københavns Kommune","101","Andel 25-64-årige med videregående uddannelse","2025",
"Københavns Kommune","101","Andel 25-64-årige med videregående uddannelse","2026",
"Københavns Kommune","101","Andel 25-64-årige uden erhvervsuddannelse","2007","19.6"
"Københavns Kommune","101","Andel 25-64-årige uden erhvervsuddannelse","2008","19"
"Københavns Kommune","101","Andel 25-64-årige uden erhvervsuddannelse","2009","18.2"
"Københavns Kommune","101","Andel 25-64-årige uden erhvervsuddannelse","2010","17.6"
"Københavns Kommune","101","Andel 25-64-årige uden erhvervsuddannelse","2011","16.9"
"Københavns Kommune","101","Andel 25-64-årige uden erhvervsuddannelse","2012","16.3"
"Københavns Kommune","101","Andel 25-64-årige uden erhvervsuddannelse","2013","15.7"
"Københavns Kommune","101","Andel 25-64-årige uden erhvervsuddannelse","2014","15.1"
"Københavns Kommune","101","Andel 25-64-årige uden erhvervsuddannelse","2015","14.4"
"Københavns Kommune","101","Andel 25-64-årige uden erhvervsuddannelse","2016","13.7"
"Københavns Kommune","101","Andel 25-64-årige uden erhvervsuddannelse","2017","13"
"Københavns Kommune","101","Andel 25-64-årige uden erhvervsuddannelse","2018","12.5"
"Københavns Kommune","101","Andel 25-64-årige uden erhvervsuddannelse","2019","11.9"
"Københavns Kommune","101","Andel 25-64-årige uden erhvervsuddannelse","2020","11.4"
"Københavns Kommune","101","Andel 25-64-årige uden erhvervsuddannelse","2021","11"
"Københavns Kommune","101","Andel 25-64-årige uden erhvervsuddannelse","2022","10.6"
"Københavns Kommune","101","Andel 25-64-årige uden erhvervsuddannelse","2023","10.1"
"Københavns Kommune","101","Andel 25-64-årige uden erhvervsuddannelse","2024","9.7"
"Københavns Kommune","101","Andel 25-64-årige uden erhvervsuddannelse","2025",
"Københavns Kommune","101","Andel 25-64-årige uden erhvervsuddannelse","2026",
"Københavns Kommune","101","Andel almennyttige boliger","2007","18.6"
"Københavns Kommune","101","Andel almennyttige boliger","2008","18.3"
"Københavns Kommune","101","Andel almennyttige boliger","2009","17.8"
"Københavns Kommune","101","Andel almennyttige boliger","2010","19.1"
"Københavns Kommune","101","Andel almennyttige boliger","2011","19.2"
"Københavns Kommune","101","Andel almennyttige boliger","2012","19.2"
"Københavns Kommune","101","Andel almennyttige boliger","2013","19.4"
"Københavns Kommune","101","Andel almennyttige boliger","2014","19.5"
"Københavns Kommune","101","Andel almennyttige boliger","2015","19.5"
"Københavns Kommune","101","Andel almennyttige boliger","2016","19.5"
"Københavns Kommune","101","Andel almennyttige boliger","2017","19.2"
"Københavns Kommune","101","Andel almennyttige boliger","2018","19.2"
"Københavns Kommune","101","Andel almennyttige boliger","2019","18.8"
"Københavns Kommune","101","Andel almennyttige boliger","2020","18.6"
"Københavns Kommune","101","Andel almennyttige boliger","2021",
"Københavns Kommune","101","Andel almennyttige boliger","2022",
"Københavns Kommune","101","Andel almennyttige boliger","2023","18.5"
"Københavns Kommune","101","Andel almennyttige boliger","2024","18.2"
"Københavns Kommune","101","Andel almennyttige boliger","2025","18"
"Københavns Kommune","101","Andel almennyttige boliger","2026",
"Københavns Kommune","101","Andel ejerboliger","2007","49.1"
"Københavns Kommune","101","Andel ejerboliger","2008","49.2"
"Københavns Kommune","101","Andel ejerboliger","2009","49.3"
"Københavns Kommune","101","Andel ejerboliger","2010","49.6"
"Københavns Kommune","101","Andel ejerboliger","2011","49.1"
"Københavns Kommune","101","Andel ejerboliger","2012","49"
"Københavns Kommune","101","Andel ejerboliger","2013","49"
"Københavns Kommune","101","Andel ejerboliger","2014","49"
"Københavns Kommune","101","Andel ejerboliger","2015","49"
"Københavns Kommune","101","Andel ejerboliger","2016","49.5"
"Københavns Kommune","101","Andel ejerboliger","2017","49.4"
"Københavns Kommune","101","Andel ejerboliger","2018","49.3"
"Københavns Kommune","101","Andel ejerboliger","2019","48.8"
"Københavns Kommune","101","Andel ejerboliger","2020","48.1"
"Københavns Kommune","101","Andel ejerboliger","2021",
"Københavns Kommune","101","Andel ejerboliger","2022",
"Københavns Kommune","101","Andel ejerboliger","2023","46.6"
"Københavns Kommune","101","Andel ejerboliger","2024","46.2"
"Københavns Kommune","101","Andel ejerboliger","2025","46.3"
