"municipality","municipality_code","variable","year","value"
"Københavns Kommune","101","Andel 18+-årige","2026",
"Københavns Kommune","101","Andel 18-66-årige","2026",
"Københavns Kommune","101","Andel 25-64-årige","2026",
"Københavns Kommune","101","Andel 25-64-årige med videregående uddannelse","2026",
"Københavns Kommune","101","Andel 25-64-årige uden erhvervsuddannelse","2026",
"Københavns Kommune","101","Andel almennyttige boliger","2026",
"Københavns Kommune","101","Andel ejerboliger","2026",
"Københavns Kommune","101","Andel indpendlere","2026",
"Københavns Kommune","101","Andel udpendlere","2026",
"Københavns Kommune","101","Befolkningsandel i bymæssig bebyggelse","2026",
"Københavns Kommune","101","Befolkningstæthed (indb/km2)","2026",
"Københavns Kommune","101","Fuldtidsledige pr. 100 17-64/66-årige","2026",
"Københavns Kommune","101","Indbyggertal 1. januar","2026",
"Københavns Kommune","101","Socioøkonomisk indeks","2026","1.02"
"Københavns Kommune","101","Statsgar. udskrivningsgrundlag pr. indb. (fra 2007)","2026",
"Frederiksberg Kommune","147","Andel 18+-årige","2026",
"Frederiksberg Kommune","147","Andel 18-66-årige","2026",
"Frederiksberg Kommune","147","Andel 25-64-årige","2026",
"Frederiksberg Kommune","147","Andel 25-64-årige med videregående uddannelse","2026",
"Frederiksberg Kommune","147","Andel 25-64-årige uden erhvervsuddannelse","2026",
"Frederiksberg Kommune","147","Andel almennyttige boliger","2026",
"Frederiksberg Kommune","147","Andel ejerboliger","2026",
"Frederiksberg Kommune","147","Andel indpendlere","2026",
"Frederiksberg Kommune","147","Andel udpendlere","2026",
"Frederiksberg Kommune","147","Befolkningsandel i bymæssig bebyggelse","2026",
"Frederiksberg Kommune","147","Befolkningstæthed (indb/km2)","2026",
"Frederiksberg Kommune","147","Fuldtidsledige pr. 100 17-64/66-årige","2026",
"Frederiksberg Kommune","147","Indbyggertal 1. januar","2026",
"Frederiksberg Kommune","147","Socioøkonomisk indeks","2026","0.72"
"Frederiksberg Kommune","147","Statsgar. udskrivningsgrundlag pr. indb. (fra 2007)","2026",
"Ballerup Kommune","151","Andel 18+-årige","2026",
"Ballerup Kommune","151","Andel 18-66-årige","2026",
"Ballerup Kommune","151","Andel 25-64-årige","2026",
"Ballerup Kommune","151","Andel 25-64-årige med videregående uddannelse","2026",
"Ballerup Kommune","151","Andel 25-64-årige uden erhvervsuddannelse","2026",
"Ballerup Kommune","151","Andel almennyttige boliger","2026",
"Ballerup Kommune","151","Andel ejerboliger","2026",
"Ballerup Kommune","151","Andel indpendlere","2026",
"Ballerup Kommune","151","Andel udpendlere","2026",
"Ballerup Kommune","151","Befolkningsandel i bymæssig bebyggelse","2026",
"Ballerup Kommune","151","Befolkningstæthed (indb/km2)","2026",
"Ballerup Kommune","151","Fuldtidsledige pr. 100 17-64/66-årige","2026",
"Ballerup Kommune","151","Indbyggertal 1. januar","2026",
"Ballerup Kommune","151","Socioøkonomisk indeks","2026","1.24"
"Ballerup Kommune","151","Statsgar. udskrivningsgrundlag pr. indb. (fra 2007)","2026",
"Brøndby Kommune","153","Andel 18+-årige","2026",
"Brøndby Kommune","153","Andel 18-66-årige","2026",
"Brøndby Kommune","153","Andel 25-64-årige","2026",
"Brøndby Kommune","153","Andel 25-64-årige med videregående uddannelse","2026",
"Brøndby Kommune","153","Andel 25-64-årige uden erhvervsuddannelse","2026",
"Brøndby Kommune","153","Andel almennyttige boliger","2026",
"Brøndby Kommune","153","Andel ejerboliger","2026",
"Brøndby Kommune","153","Andel indpendlere","2026",
"Brøndby Kommune","153","Andel udpendlere","2026",
"Brøndby Kommune","153","Befolkningsandel i bymæssig bebyggelse","2026",
"Brøndby Kommune","153","Befolkningstæthed (indb/km2)","2026",
"Brøndby Kommune","153","Fuldtidsledige pr. 100 17-64/66-årige","2026",
"Brøndby Kommune","153","Indbyggertal 1. januar","2026",
"Brøndby Kommune","153","Socioøkonomisk indeks","2026","1.59"
"Brøndby Kommune","153","Statsgar. udskrivningsgrundlag pr. indb. (fra 2007)","2026",
"Dragør Kommune","155","Andel 18+-årige","2026",
"Dragør Kommune","155","Andel 18-66-årige","2026",
"Dragør Kommune","155","Andel 25-64-årige","2026",
"Dragør Kommune","155","Andel 25-64-årige med videregående uddannelse","2026",
"Dragør Kommune","155","Andel 25-64-årige uden erhvervsuddannelse","2026",
"Dragør Kommune","155","Andel almennyttige boliger","2026",
"Dragør Kommune","155","Andel ejerboliger","2026",
"Dragør Kommune","155","Andel indpendlere","2026",
"Dragør Kommune","155","Andel udpendlere","2026",
"Dragør Kommune","155","Befolkningsandel i bymæssig bebyggelse","2026",
"Dragør Kommune","155","Befolkningstæthed (indb/km2)","2026",
"Dragør Kommune","155","Fuldtidsledige pr. 100 17-64/66-årige","2026",
"Dragør Kommune","155","Indbyggertal 1. januar","2026",
"Dragør Kommune","155","Socioøkonomisk indeks","2026","0.63"
"Dragør Kommune","155","Statsgar. udskrivningsgrundlag pr. indb. (fra 2007)","2026",
"Gentofte Kommune","157","Andel 18+-årige","2026",
"Gentofte Kommune","157","Andel 18-66-årige","2026",
"Gentofte Kommune","157","Andel 25-64-årige","2026",
"Gentofte Kommune","157","Andel 25-64-årige med videregående uddannelse","2026",
"Gentofte Kommune","157","Andel 25-64-årige uden erhvervsuddannelse","2026",
"Gentofte Kommune","157","Andel almennyttige boliger","2026",
"Gentofte Kommune","157","Andel ejerboliger","2026",
"Gentofte Kommune","157","Andel indpendlere","2026",
"Gentofte Kommune","157","Andel udpendlere","2026",
"Gentofte Kommune","157","Befolkningsandel i bymæssig bebyggelse","2026",
"Gentofte Kommune","157","Befolkningstæthed (indb/km2)","2026",
"Gentofte Kommune","157","Fuldtidsledige pr. 100 17-64/66-årige","2026",
"Gentofte Kommune","157","Indbyggertal 1. januar","2026",
"Gentofte Kommune","157","Socioøkonomisk indeks","2026","0.64"
"Gentofte Kommune","157","Statsgar. udskrivningsgrundlag pr. indb. (fra 2007)","2026",
"Gladsaxe Kommune","159","Andel 18+-årige","2026",
"Gladsaxe Kommune","159","Andel 18-66-årige","2026",
"Gladsaxe Kommune","159","Andel 25-64-årige","2026",
"Gladsaxe Kommune","159","Andel 25-64-årige med videregående uddannelse","2026",
"Gladsaxe Kommune","159","Andel 25-64-årige uden erhvervsuddannelse","2026",
"Gladsaxe Kommune","159","Andel almennyttige boliger","2026",
"Gladsaxe Kommune","159","Andel ejerboliger","2026",
"Gladsaxe Kommune","159","Andel indpendlere","2026",
"Gladsaxe Kommune","159","Andel udpendlere","2026",
"Gladsaxe Kommune","159","Befolkningsandel i bymæssig bebyggelse","2026",
"Gladsaxe Kommune","159","Befolkningstæthed (indb/km2)","2026",
"Gladsaxe Kommune","159","Fuldtidsledige pr. 100 17-64/66-årige","2026",
"Gladsaxe Kommune","159","Indbyggertal 1. januar","2026",
"Gladsaxe Kommune","159","Socioøkonomisk indeks","2026","1.05"
"Gladsaxe Kommune","159","Statsgar. udskrivningsgrundlag pr. indb. (fra 2007)","2026",
"Glostrup Kommune","161","Andel 18+-årige","2026",
"Glostrup Kommune","161","Andel 18-66-årige","2026",
"Glostrup Kommune","161","Andel 25-64-årige","2026",
"Glostrup Kommune","161","Andel 25-64-årige med videregående uddannelse","2026",
"Glostrup Kommune","161","Andel 25-64-årige uden erhvervsuddannelse","2026",
