handle,followers,total_likes,status,tiktok_handle,display_name,party_name,account_type,følgere,samlet_likes,antal_videoer,hentet_dato
alexvanopslagh,60900,512800,ok,alexvanopslagh,Alex Vanopslagh,Liberal Alliance,kandidat,,,,2026-03-22
alexanderryle,933,22700,ok,alexanderryle,Alexander Ryle,Liberal Alliance,kandidat,,,,2026-03-22
realallanfeldt,1037,26900,ok,realallanfeldt,Allan Feldt,Dansk Folkeparti,kandidat,,,,2026-03-22
amandaheitmann,2377,568100,ok,amandaheitmann,Amanda Heitmann,Venstre,kandidat,,,,2026-03-22
anastasia_milthers,1087,42600,ok,anastasia_milthers,Anastasia Milthers,Radikale Venstre,kandidat,,,,2026-03-22
kronborg1982,377,10800,ok,kronborg1982,Anders Kronborg,Socialdemokratiet,kandidat,,,,2026-03-22
anderspeterhansenla,105,703,ok,anderspeterhansenla,Anders Peter Hansen,Liberal Alliance,kandidat,,,,2026-03-22
andersvistisen,5675,173300,ok,andersvistisen,Anders Vistisen,Dansk Folkeparti,kandidat,,,,2026-03-22
andreasraben,297,13800,ok,andreasraben,Andreas Raben,Moderaterne,kandidat,,,,2026-03-22
anette.jensen.smi,0,5,ok,anette.jensen.smi,Anette Jensen Smith,Alternativet,kandidat,,,,2026-03-22
anjalund753,74,187,ok,anjalund753,Anja Lund,Venstre,kandidat,,,,2026-03-22
annesophierv,414,16800,ok,annesophierv,Anne Sophie Callesen,Radikale Venstre,kandidat,,,,2026-03-22
barbarakrarup,475,946,ok,barbarakrarup,Barbara Krarup Hansen,Radikale Venstre,kandidat,,,,2026-03-22
betinakastbjerg,38,54,ok,betinakastbjerg,Betina Kastbjerg,Danmarksdemokraterne - Inger Støjberg,kandidat,,,,2026-03-22
bjornbrandenborg,129,2082,ok,bjornbrandenborg,Bjørn Brandenborg,Socialdemokratiet,kandidat,,,,2026-03-22
carina.til.folketinget,74,2807,ok,carina.til.folketinget,Carina Høedt,Det Konservative Folkeparti,kandidat,,,,2026-03-22
carlandersen27,776,7136,ok,carlandersen27,Carl Andersen,Liberal Alliance,kandidat,,,,2026-03-22
carl.emil.lind.ch,546,15400,ok,carl.emil.lind.ch,Carl Emil Lind,Socialdemokratiet,kandidat,,,,2026-03-22
caarolinacamaraa,401,7328,ok,caarolinacamaraa,Carolina Cámara,Enhedslisten - De Rød-Grønne,kandidat,,,,2026-03-22
christiankirk00,761,15800,ok,christiankirk00,Christian Kirk,Dansk Folkeparti,kandidat,,,,2026-03-22
coco.esperas,70,1178,ok,coco.esperas,Coco Mette Cecilie Kjærgaard,Alternativet,kandidat,,,,2026-03-22
deniserostgaard,463,8196,ok,deniserostgaard,Denise Rostgaard,Dansk Folkeparti,kandidat,,,,2026-03-22
