run_id,tiktok_handle,display_name,party_name,storkreds,account_type,video_id,upload_dato,beskrivelse,visninger,likes,kommentarer,shares,gemmer,video_url
20260403_130924_1bb33a,denrigtigerosalund,Rosa Lund,Enhedslisten - De Rød-Grønne,Københavns Storkreds,kandidat,7620048552651263254,2026-03-22,Pres på for en rød regering 🥵 ,108200,6761,123,2366,248,https://www.tiktok.com/@denrigtigerosalund/video/7620048552651263254
20260403_130924_1bb33a,denrigtigerosalund,Rosa Lund,Enhedslisten - De Rød-Grønne,Københavns Storkreds,kandidat,7619695731300896022,2026-03-21,I’m that bish 💋💋💋💋💋😘,27600,1470,26,81,29,https://www.tiktok.com/@denrigtigerosalund/video/7619695731300896022
20260403_130924_1bb33a,denrigtigerosalund,Rosa Lund,Enhedslisten - De Rød-Grønne,Københavns Storkreds,kandidat,7618234829385059606,2026-03-17,HVEM STYRER VERDEN 🫦💋💋💋💋🫦💋,270200,33600,268,1776,1466,https://www.tiktok.com/@denrigtigerosalund/video/7618234829385059606
20260403_130924_1bb33a,denrigtigerosalund,Rosa Lund,Enhedslisten - De Rød-Grønne,Københavns Storkreds,kandidat,7616739919159086358,2026-03-13,I ER GENNEMSKUET ❤️‍🔥💋❤️‍🔥😈💋❤️‍🔥❤️‍🔥❤️‍🔥❤️💋,70700,3715,59,117,60,https://www.tiktok.com/@denrigtigerosalund/video/7616739919159086358
20260403_130924_1bb33a,denrigtigerosalund,Rosa Lund,Enhedslisten - De Rød-Grønne,Københavns Storkreds,kandidat,7616306865441492246,2026-03-12,DEN HER ER TIL HATERS OG COPYCATS💋💋💋💋💋💞💋💋💋💋💋,45000,2242,56,104,36,https://www.tiktok.com/@denrigtigerosalund/video/7616306865441492246
20260403_130924_1bb33a,denrigtigerosalund,Rosa Lund,Enhedslisten - De Rød-Grønne,Københavns Storkreds,kandidat,7614953502443621654,2026-03-08,HVER DAG ER KAMPDAG💋,55500,3013,40,31,52,https://www.tiktok.com/@denrigtigerosalund/video/7614953502443621654
20260403_130924_1bb33a,denrigtigerosalund,Rosa Lund,Enhedslisten - De Rød-Grønne,Københavns Storkreds,kandidat,7614562597097999618,2026-03-07,SES SLIPSEDRENGE 💋,135000,4918,60,274,74,https://www.tiktok.com/@denrigtigerosalund/video/7614562597097999618
20260403_130924_1bb33a,denrigtigerosalund,Rosa Lund,Enhedslisten - De Rød-Grønne,Københavns Storkreds,kandidat,7613815408839216406,2026-03-05,KOM IGEN INGER STØJBERG 💋💋💋💋💋💋🫦💋💋💋,230800,13100,141,447,214,https://www.tiktok.com/@denrigtigerosalund/video/7613815408839216406
20260403_130924_1bb33a,denrigtigerosalund,Rosa Lund,Enhedslisten - De Rød-Grønne,Københavns Storkreds,kandidat,7613054587758447894,2026-03-03,Som LA ville sige: I KAN GODT 🫦💋💋💋💋💋💋,203900,11400,471,389,250,https://www.tiktok.com/@denrigtigerosalund/video/7613054587758447894
20260403_130924_1bb33a,denrigtigerosalund,Rosa Lund,Enhedslisten - De Rød-Grønne,Københavns Storkreds,kandidat,7612222148521807126,2026-03-01,OG DER ER ET ORD FOR DET 💋💋💋💋💋,88700,4845,38,171,108,https://www.tiktok.com/@denrigtigerosalund/video/7612222148521807126
20260403_130924_1bb33a,denrigtigerosalund,Rosa Lund,Enhedslisten - De Rød-Grønne,Københavns Storkreds,kandidat,7611541393785392406,2026-02-27,🎀💞❤️‍🔥🤪💗💝❤️‍🔥 DET HER ER MIN OFFICIELLE VALGKAMPSVIDEO,188600,18300,158,1988,477,https://www.tiktok.com/@denrigtigerosalund/video/7611541393785392406
20260403_130924_1bb33a,denrigtigerosalund,Rosa Lund,Enhedslisten - De Rød-Grønne,Københavns Storkreds,kandidat,7611180048183250198,2026-02-26,SÅ DER VALG!!!!! 💋💋💋💋💋💋,125600,10000,113,361,162,https://www.tiktok.com/@denrigtigerosalund/video/7611180048183250198
20260403_130924_1bb33a,denrigtigerosalund,Rosa Lund,Enhedslisten - De Rød-Grønne,Københavns Storkreds,kandidat,7608622768376253718,2026-02-19,Til alle ‘rejs hjem’ typerne er her en klar besked: tag jer venligst sammen. 💋,181600,14800,205,707,352,https://www.tiktok.com/@denrigtigerosalund/video/7608622768376253718
20260403_130924_1bb33a,denrigtigerosalund,Rosa Lund,Enhedslisten - De Rød-Grønne,Københavns Storkreds,kandidat,7605921777641950486,2026-02-12,Bare min mening?? :),65200,3919,55,101,64,https://www.tiktok.com/@denrigtigerosalund/video/7605921777641950486
