run_id,tiktok_handle,display_name,party_name,storkreds,account_type,video_id,upload_dato,beskrivelse,visninger,likes,kommentarer,shares,gemmer,video_url
20260403_130924_1bb33a,dfungdom,DFU,Dansk Folkeparti,Landsplan,ungdomsorganisation,7607818462974512406,2026-02-17,🤥🤥 #dkpol #danskfolkepartisungdom #socialdemokratiet #danskpolitik #dansktiktok @DSU @Romeo Troelsgaard ,9701,366,6,25,33,https://www.tiktok.com/@dfungdom/video/7607818462974512406
20260403_130924_1bb33a,dfungdom,DFU,Dansk Folkeparti,Landsplan,ungdomsorganisation,7600813049976540438,2026-01-29,Landsformand til partilederdebat. #skolevalget2026 #danskfolkeparti #danskfolkepartisungdom #dkpol #danskpolitik @thomaskastrupc ,11500,497,11,49,26,https://www.tiktok.com/@dfungdom/video/7600813049976540438
20260403_130924_1bb33a,dfungdom,DFU,Dansk Folkeparti,Landsplan,ungdomsorganisation,7600692265949940995,2026-01-29,Vi skal huske at respektere alle i en debat og demokratiet. #skolevalget2026 #danskfolkeparti #danskfolkepartisungdom #dkpol #danskpolitik ,95100,3960,174,798,301,https://www.tiktok.com/@dfungdom/video/7600692265949940995
20260403_130924_1bb33a,dfungdom,DFU,Dansk Folkeparti,Landsplan,ungdomsorganisation,7600425945404558614,2026-01-28,Vi kræver hårdere straffe for knivstikkeri - hvis du gør det samme skal du stemme på DF til skolevalget!#skolevalget2026 #danskfolkeparti #danskfolkepartisungdom #dkpol #danskpolitik ,50100,2005,43,283,106,https://www.tiktok.com/@dfungdom/video/7600425945404558614
20260403_130924_1bb33a,dfungdom,DFU,Dansk Folkeparti,Landsplan,ungdomsorganisation,7600115070722477314,2026-01-27,Gør som Marguerite og stem Dansk Folkeparti til skolevalget! #skolevalget2026 #danskfolkeparti #danskfolkepartisungdom #dkpol #danskpolitik ,149300,4508,254,2260,397,https://www.tiktok.com/@dfungdom/video/7600115070722477314
20260403_130924_1bb33a,dfungdom,DFU,Dansk Folkeparti,Landsplan,ungdomsorganisation,7597884395986455830,2026-01-21,#Sammenføj med @Venstres Ungdom Stem på Venstre hvis du vil have mere af det samme. Stem Dansk Folkeparti hvis du vil noget nyt! #skolevalget2026 #dkpol #danskfolkeparti #venstre ,10200,166,8,13,12,https://www.tiktok.com/@dfungdom/video/7597884395986455830
20260403_130924_1bb33a,dfungdom,DFU,Dansk Folkeparti,Landsplan,ungdomsorganisation,7596797919542447382,2026-01-18,#Sammenføj med @mads_fencker Selvfølgelig skal Danmark ud af EU!🇩🇰 #dkpol #danskfolkeparti #skolevalget2026 #eu ,9349,228,20,29,15,https://www.tiktok.com/@dfungdom/video/7596797919542447382
20260403_130924_1bb33a,dfungdom,DFU,Dansk Folkeparti,Landsplan,ungdomsorganisation,7596419925921533206,2026-01-17,Vi skal have atomkraft i Danmark. #dkpol #danskfolkeparti #skolevalget2026 #atomkraft #solceller ,6897,112,7,4,9,https://www.tiktok.com/@dfungdom/video/7596419925921533206
20260403_130924_1bb33a,dfungdom,DFU,Dansk Folkeparti,Landsplan,ungdomsorganisation,7595651728167488790,2026-01-15,"Dansk statsborgerskab er ikke en gave, man skal have pr automatik; man skal gøre sig fortjent til det! #dkpol #danskfolkeparti #danskfolkepartisungdom #skolevalget2026 #indvandre @Mads-Magnus Damm ",7128,222,21,22,18,https://www.tiktok.com/@dfungdom/video/7595651728167488790
20260403_130924_1bb33a,dfungdom,DFU,Dansk Folkeparti,Landsplan,ungdomsorganisation,7595268401422028054,2026-01-14,Lad os gøre det billigere at være dansker!🇩🇰 #dkpol #danskfolkeparti #danskfolkepartisungdom #skolevalget2026 #afgift ,5441,120,11,1,8,https://www.tiktok.com/@dfungdom/video/7595268401422028054
20260403_130924_1bb33a,dfungdom,DFU,Dansk Folkeparti,Landsplan,ungdomsorganisation,7594889195739565334,2026-01-13,Rejs hjem! @Romeo Troelsgaard  #dkpol #danskfolkeparti #danskfolkepartisungdom #skolevalget2026 #rejshjem ,6739,244,15,15,15,https://www.tiktok.com/@dfungdom/video/7594889195739565334
20260403_130924_1bb33a,dfungdom,DFU,Dansk Folkeparti,Landsplan,ungdomsorganisation,7594531126790671638,2026-01-12,"Ja, det er faktisk ikke så svært… @Mads-Magnus Damm  #danskfolkepartisungdom #skolevalget2026 #danskfolkeparti #dkpol #indvandre ",5935,190,11,4,13,https://www.tiktok.com/@dfungdom/video/7594531126790671638
