run_id,tiktok_handle,display_name,party_name,storkreds,account_type,video_id,upload_dato,beskrivelse,visninger,likes,kommentarer,shares,gemmer,video_url
20260403_130924_1bb33a,emilslothandersen,Emil Sloth,Alternativet,Nordjyllands Storkreds,kandidat,7620055562654453014,2026-03-22,"Skulle jeg blive valgt ind i folketinget for Alternativet i Nordjylland, vil jeg huske deres sang! Her er det bedsteforældrenes klimaaktion.",1607,118,6,3,2,https://www.tiktok.com/@emilslothandersen/video/7620055562654453014
20260403_130924_1bb33a,emilslothandersen,Emil Sloth,Alternativet,Nordjyllands Storkreds,kandidat,7619424581606034710,2026-03-20,Vil du annullere Egholm-motorvejen og bruge pengene på rensning af drikkevandet i stedet. Så stem Emil Sloth fra Alternativet 🙌,416,20,4,1,1,https://www.tiktok.com/@emilslothandersen/video/7619424581606034710
20260403_130924_1bb33a,emilslothandersen,Emil Sloth,Alternativet,Nordjyllands Storkreds,kandidat,7619335339395616022,2026-03-20,Bor du i Nordjylland? Står du stædigt fast på integration? Men vil du gerne undgå … off udlændingepolitik? Se med her👇,2264,140,21,1,6,https://www.tiktok.com/@emilslothandersen/video/7619335339395616022
20260403_130924_1bb33a,emilslothandersen,Emil Sloth,Alternativet,Nordjyllands Storkreds,kandidat,7619328569411456278,2026-03-20,Studerer du i Nordjylland? Sæt kryds hos Emil Sloth (Alternativet) 👇 ,1004,36,1,1,0,https://www.tiktok.com/@emilslothandersen/video/7619328569411456278
20260403_130924_1bb33a,emilslothandersen,Emil Sloth,Alternativet,Nordjyllands Storkreds,kandidat,7618666926704758038,2026-03-18,"Er du træt, og ved du ikke hvor krydset skal sættes? Er du også nordjyde? Say. No. More 👇",747,37,2,2,1,https://www.tiktok.com/@emilslothandersen/video/7618666926704758038
20260403_130924_1bb33a,emilslothandersen,Emil Sloth,Alternativet,Nordjyllands Storkreds,kandidat,7618119600906964246,2026-03-17,"Er klima vigtigst for dig, og bor du i Nordjylland? Så stem Emil Sloth (Alternativet) til folketingsvalget 🙌 se mere her 👇",586,33,1,2,1,https://www.tiktok.com/@emilslothandersen/video/7618119600906964246
20260403_130924_1bb33a,emilslothandersen,Emil Sloth,Alternativet,Nordjyllands Storkreds,kandidat,7618116794984697110,2026-03-17,Lad os betale for rensning af Aalborgs drikkevand ved at annullere Egholm-motorvejen. Det går jeg til valg på 🙌,2273,100,8,0,4,https://www.tiktok.com/@emilslothandersen/video/7618116794984697110
20260403_130924_1bb33a,emilslothandersen,Emil Sloth,Alternativet,Nordjyllands Storkreds,kandidat,7617850328041540867,2026-03-16,Nej til toiletvand i nordjydernes limfjord! Jeg stiller op for rent vand til folketingsvalget 💧,1282,39,1,0,1,https://www.tiktok.com/@emilslothandersen/video/7617850328041540867
20260403_130924_1bb33a,emilslothandersen,Emil Sloth,Alternativet,Nordjyllands Storkreds,kandidat,7573957727467179297,2025-11-18,Morgen-interview på valgdagen med News. Billige boliger NU! 🍀,497,30,4,0,1,https://www.tiktok.com/@emilslothandersen/video/7573957727467179297
20260403_130924_1bb33a,emilslothandersen,Emil Sloth,Alternativet,Nordjyllands Storkreds,kandidat,7573771758147325217,2025-11-17,Genvælg mig - Emil Sloth (Å) - hvis et hotel oven på Palads ikke lige er dig 😳😊,926,11,0,0,2,https://www.tiktok.com/@emilslothandersen/video/7573771758147325217
20260403_130924_1bb33a,emilslothandersen,Emil Sloth,Alternativet,Nordjyllands Storkreds,kandidat,7573639012313812257,2025-11-17,Genvælg mig - Emil Sloth - for mere plads til grønt og liv i stedet for parkering 🍀,1560,34,2,0,2,https://www.tiktok.com/@emilslothandersen/video/7573639012313812257
20260403_130924_1bb33a,emilslothandersen,Emil Sloth,Alternativet,Nordjyllands Storkreds,kandidat,7573400041608449313,2025-11-16,Stem på mig - Emil Sloth (Å) - for mere grøn transport 💚,1176,30,4,3,1,https://www.tiktok.com/@emilslothandersen/video/7573400041608449313
20260403_130924_1bb33a,emilslothandersen,Emil Sloth,Alternativet,Nordjyllands Storkreds,kandidat,7572977384148700449,2025-11-15,Klimatosse til verdens bedste klimamarch 🍀,1173,48,3,2,2,https://www.tiktok.com/@emilslothandersen/video/7572977384148700449
20260403_130924_1bb33a,emilslothandersen,Emil Sloth,Alternativet,Nordjyllands Storkreds,kandidat,7572596123131514145,2025-11-14,Dear international citizens and danes who follow this channel: vote for Emil Sl*t 👇,877,34,1,3,2,https://www.tiktok.com/@emilslothandersen/video/7572596123131514145
20260403_130924_1bb33a,emilslothandersen,Emil Sloth,Alternativet,Nordjyllands Storkreds,kandidat,7572470325238074656,2025-11-14,S stemte i går IMOD deres eget forslag fra Pernille Rosenkrantz-Theil om at nedlægge By & Havn 😳👇,866,20,0,0,1,https://www.tiktok.com/@emilslothandersen/video/7572470325238074656
20260403_130924_1bb33a,emilslothandersen,Emil Sloth,Alternativet,Nordjyllands Storkreds,kandidat,7571869532755725600,2025-11-12,Sanitetsproblemer og høj husleje. Det er Kaktus Towers desværre et eksempel på. Vi skal have det modsatte 🙌 Betalbare boliger med ordentlig kvalitet. Derfor er jeg på genvalg til kommunalvalget for Alternativet. Lad mig høre din mening!,21600,161,58,11,10,https://www.tiktok.com/@emilslothandersen/video/7571869532755725600
