run_id,tiktok_handle,display_name,party_name,storkreds,account_type,video_id,upload_dato,beskrivelse,visninger,likes,kommentarer,shares,gemmer,video_url
20260403_130924_1bb33a,fatih.baran37,Fatih Baran,Enhedslisten - De Rød-Grønne,Københavns Omegns Storkreds,kandidat,7624510668602903830,2026-04-03,"Videointerview af Berlingske, hvor jeg medvirker om Dansk Folkepartis fremgang i Brøndby og på Vestegnen. Uden kommentarer.",634,19,0,28,0,https://www.tiktok.com/@fatih.baran37/video/7624510668602903830
20260403_130924_1bb33a,fatih.baran37,Fatih Baran,Enhedslisten - De Rød-Grønne,Københavns Omegns Storkreds,kandidat,7624135327392861462,2026-04-02,,756,37,3,1,1,https://www.tiktok.com/@fatih.baran37/video/7624135327392861462
20260403_130924_1bb33a,fatih.baran37,Fatih Baran,Enhedslisten - De Rød-Grønne,Københavns Omegns Storkreds,kandidat,7624111738786499862,2026-04-02,,573,43,3,0,0,https://www.tiktok.com/@fatih.baran37/video/7624111738786499862
20260403_130924_1bb33a,fatih.baran37,Fatih Baran,Enhedslisten - De Rød-Grønne,Københavns Omegns Storkreds,kandidat,7621542993861840150,2026-03-26,Produkter fra dagens undervisning på TEC Frederiksberg. ❤️🌹❤️,1098,43,2,3,0,https://www.tiktok.com/@fatih.baran37/video/7621542993861840150
20260403_130924_1bb33a,fatih.baran37,Fatih Baran,Enhedslisten - De Rød-Grønne,Københavns Omegns Storkreds,kandidat,7620724333542919446,2026-03-24,Så er vi i gang ❤️🌹❤️,6894,149,8,38,4,https://www.tiktok.com/@fatih.baran37/video/7620724333542919446
20260403_130924_1bb33a,fatih.baran37,Fatih Baran,Enhedslisten - De Rød-Grønne,Københavns Omegns Storkreds,kandidat,7620368574942579990,2026-03-23,"Som bekendt er der folketingsvalg i morgen tirsdag den 24. marts, og jeg kan nu dele den gode nyhed, at kommunalbestyrelsen i Brøndby Kommune har udpeget mig som valgstyrerformand i Tjørnehøjhallen ❤️ Det bliver en endnu mere spændende opgave. Tak ti",7992,191,11,31,16,https://www.tiktok.com/@fatih.baran37/video/7620368574942579990
20260403_130924_1bb33a,fatih.baran37,Fatih Baran,Enhedslisten - De Rød-Grønne,Københavns Omegns Storkreds,kandidat,7619726095826291990,2026-03-21,Newroz pîroz be 💚✌️❤️✌️💛 Newrozfest på Rådhuspladsen.,1294,62,4,3,1,https://www.tiktok.com/@fatih.baran37/video/7619726095826291990
20260403_130924_1bb33a,fatih.baran37,Fatih Baran,Enhedslisten - De Rød-Grønne,Københavns Omegns Storkreds,kandidat,7619608994268581143,2026-03-21,"Saygıdeğer halkımıza #Ramazan bayramınız ve #Newroz 'unuz kutlu olsun. Ben Fatih Baran. 47 yaşında, evli ve iki çocuk babasıyım. 2000 yılında Danimarka’ya geldim. 2008’de eğitimimi tamamladıktan sonra öğretmenliğe başladım. 2021’de yapılan yerel seçi",6209,178,19,41,8,https://www.tiktok.com/@fatih.baran37/video/7619608994268581143
20260403_130924_1bb33a,fatih.baran37,Fatih Baran,Enhedslisten - De Rød-Grønne,Københavns Omegns Storkreds,kandidat,7619426070588099842,2026-03-20,,1131,71,7,3,1,https://www.tiktok.com/@fatih.baran37/video/7619426070588099842
20260403_130924_1bb33a,fatih.baran37,Fatih Baran,Enhedslisten - De Rød-Grønne,Københavns Omegns Storkreds,kandidat,7619305065307720982,2026-03-20,Yabancılardan bıkmış bir Danimarkalı varmıṣ. İçinden sürekli şöyle geçiriyor: “Keşke bir sabah uyansam ve bütün yabancılar Danimarka’dan gitmiş olsa.” Bir gece uyuyor ve rüyasında dileğinin gerçekleştiğini görüyor. Gerçekten de bütün yabancılar ülkey,115400,14400,40,704,574,https://www.tiktok.com/@fatih.baran37/video/7619305065307720982
20260403_130924_1bb33a,fatih.baran37,Fatih Baran,Enhedslisten - De Rød-Grønne,Københavns Omegns Storkreds,kandidat,7619080277750517014,2026-03-19,"Selvom jeg var uforberedt og med kort varsel trådte ind i debatten, gik det rigtig godt. Jeg fik først besked i går kl. 22 om, at jeg skulle tage pladsen, da Ibrahim Benli blev forhindret i at deltage som spidskandidat. Det blev en stærk og levende d",1309,66,2,2,0,https://www.tiktok.com/@fatih.baran37/video/7619080277750517014
20260403_130924_1bb33a,fatih.baran37,Fatih Baran,Enhedslisten - De Rød-Grønne,Københavns Omegns Storkreds,kandidat,7618202697518386454,2026-03-17,"Skærebræt projektet på 6. årgang er i fuld gang og resultaterne begynder allerede at tage form. ❤️🌹❤️ Eleverne arbejder med præcision, håndværk og kreativitet og det kan ses i de flotte produkter. Det er læring med hænderne, hvor stolthed og fordybel",727,23,1,0,0,https://www.tiktok.com/@fatih.baran37/video/7618202697518386454
