run_id,tiktok_handle,display_name,party_name,storkreds,account_type,video_id,upload_dato,beskrivelse,visninger,likes,kommentarer,shares,gemmer,video_url
20260405_233245_21cad1,jankristoffersen,Jan Kristoffersen,Alternativet,Københavns Storkreds,kandidat,7621544479438163222,2026-03-26,Tak for støtte og stemmer.  #fyp #stopsauron ,13100,795,23,30,29,https://www.tiktok.com/@jankristoffersen/video/7621544479438163222
20260405_233245_21cad1,jankristoffersen,Jan Kristoffersen,Alternativet,Københavns Storkreds,kandidat,7620526884006300950,2026-03-23,"Stem personligt på Jan Kristoffersen, hvis du ønsker en grøn stemme der vil en legalisering af cannabis, mindre overvågning og mere demokrati.  #fyp #stemjankristoffersen #stopsauron ",13400,473,22,87,17,https://www.tiktok.com/@jankristoffersen/video/7620526884006300950
20260405_233245_21cad1,jankristoffersen,Jan Kristoffersen,Alternativet,Københavns Storkreds,kandidat,7619609557182008598,2026-03-21,#fyp #stemjankristoffersen ,64900,4882,73,1106,303,https://www.tiktok.com/@jankristoffersen/video/7619609557182008598
20260405_233245_21cad1,jankristoffersen,Jan Kristoffersen,Alternativet,Københavns Storkreds,kandidat,7619592049683123478,2026-03-21,Jeg stiller op fordi jeg tror på fremtiden.  #fyp #stemjankristoffersen #stopsauron ,3470,122,3,1,5,https://www.tiktok.com/@jankristoffersen/video/7619592049683123478
20260405_233245_21cad1,jankristoffersen,Jan Kristoffersen,Alternativet,Københavns Storkreds,kandidat,7619249370810141974,2026-03-20,Realiser. Legaliser.  #fyp #stemjankristoffersen ,3227,133,4,8,6,https://www.tiktok.com/@jankristoffersen/video/7619249370810141974
20260405_233245_21cad1,jankristoffersen,Jan Kristoffersen,Alternativet,Københavns Storkreds,kandidat,7618849291725065494,2026-03-19,Ny offentlighedslov  #fyp #stemjankristoffersen #stopsauron ,2736,125,2,0,1,https://www.tiktok.com/@jankristoffersen/video/7618849291725065494
20260405_233245_21cad1,jankristoffersen,Jan Kristoffersen,Alternativet,Københavns Storkreds,kandidat,7618523874891713814,2026-03-18,Så er der spændene nyt fra EU.  #fyp #stemjankristoffersen #stopsauron ,4813,397,11,29,22,https://www.tiktok.com/@jankristoffersen/video/7618523874891713814
20260405_233245_21cad1,jankristoffersen,Jan Kristoffersen,Alternativet,Københavns Storkreds,kandidat,7618189905541270806,2026-03-17,Ny offentlighedslov. Indsigt i de demokratiske processer.  #fyp #stemjankristoffersen #stopsauron ,9406,467,15,16,19,https://www.tiktok.com/@jankristoffersen/video/7618189905541270806
20260405_233245_21cad1,jankristoffersen,Jan Kristoffersen,Alternativet,Københavns Storkreds,kandidat,7618136862699375894,2026-03-17,"Retten til privatliv er fundamentet for tanke, tale og ytringsfrihed.  #fyp #stemjankristoffersen #stopsauron ",3825,318,6,8,12,https://www.tiktok.com/@jankristoffersen/video/7618136862699375894
20260405_233245_21cad1,jankristoffersen,Jan Kristoffersen,Alternativet,Københavns Storkreds,kandidat,7617767886072925462,2026-03-16,Stop overvågning  #fyp #stemjankristoffersen #stopsauron ,4285,373,13,16,21,https://www.tiktok.com/@jankristoffersen/video/7617767886072925462
20260405_233245_21cad1,jankristoffersen,Jan Kristoffersen,Alternativet,Københavns Storkreds,kandidat,7617387367925861654,2026-03-15,#fyp #stemjankristoffersen #stopsauron ,3229,210,5,4,6,https://www.tiktok.com/@jankristoffersen/video/7617387367925861654
