tiktok_handle,display_name,party_name,storkreds,account_type,video_id,upload_dato,beskrivelse,visninger,likes,kommentarer,shares,gemmer,video_url
johanemildk,Johan Emil Sevelsted,Det Konservative Folkeparti,Fyns Storkreds,kandidat,7620107473826909462,2026-03-22,"Hvilken vej, Danmark?",621,26,2,1,0,https://www.tiktok.com/@johanemildk/video/7620107473826909462
johanemildk,Johan Emil Sevelsted,Det Konservative Folkeparti,Fyns Storkreds,kandidat,7619730416173387030,2026-03-21,,4004,114,3,21,3,https://www.tiktok.com/@johanemildk/video/7619730416173387030
johanemildk,Johan Emil Sevelsted,Det Konservative Folkeparti,Fyns Storkreds,kandidat,7618967782486543638,2026-03-19,,701,35,2,3,6,https://www.tiktok.com/@johanemildk/video/7618967782486543638
johanemildk,Johan Emil Sevelsted,Det Konservative Folkeparti,Fyns Storkreds,kandidat,7618539942502845718,2026-03-18,,578,28,1,0,1,https://www.tiktok.com/@johanemildk/video/7618539942502845718
johanemildk,Johan Emil Sevelsted,Det Konservative Folkeparti,Fyns Storkreds,kandidat,7618141134593821974,2026-03-17,,668,24,1,0,4,https://www.tiktok.com/@johanemildk/video/7618141134593821974
johanemildk,Johan Emil Sevelsted,Det Konservative Folkeparti,Fyns Storkreds,kandidat,7617124792499473686,2026-03-14,,1851,44,5,0,6,https://www.tiktok.com/@johanemildk/video/7617124792499473686
johanemildk,Johan Emil Sevelsted,Det Konservative Folkeparti,Fyns Storkreds,kandidat,7615713314097630486,2026-03-10,,760,51,3,1,3,https://www.tiktok.com/@johanemildk/video/7615713314097630486
johanemildk,Johan Emil Sevelsted,Det Konservative Folkeparti,Fyns Storkreds,kandidat,7615284502046330134,2026-03-09,,413,13,1,0,1,https://www.tiktok.com/@johanemildk/video/7615284502046330134
johanemildk,Johan Emil Sevelsted,Det Konservative Folkeparti,Fyns Storkreds,kandidat,7614861054040067350,2026-03-08,,1557,55,6,8,6,https://www.tiktok.com/@johanemildk/video/7614861054040067350
johanemildk,Johan Emil Sevelsted,Det Konservative Folkeparti,Fyns Storkreds,kandidat,7613696851002412310,2026-03-05,,468,17,1,3,1,https://www.tiktok.com/@johanemildk/video/7613696851002412310
johanemildk,Johan Emil Sevelsted,Det Konservative Folkeparti,Fyns Storkreds,kandidat,7611287044614147350,2026-02-26,,1788,60,5,0,2,https://www.tiktok.com/@johanemildk/video/7611287044614147350
johanemildk,Johan Emil Sevelsted,Det Konservative Folkeparti,Fyns Storkreds,kandidat,7585956094229466390,2025-12-20,"I tirsdags holdt borgmesteren afskedstale til mig og de ni andre kommunalbestyrelsesmedlemmer, som enten ikke er blevet genvalgt eller som har valgt ikke at genopstille. Det var til vores sidste kommunalbestyrelsesmøde i denne periode. Selvom det ogs",3928,58,2,2,8,https://www.tiktok.com/@johanemildk/video/7585956094229466390
johanemildk,Johan Emil Sevelsted,Det Konservative Folkeparti,Fyns Storkreds,kandidat,7572967068262272278,2025-11-15,,38600,1001,58,62,73,https://www.tiktok.com/@johanemildk/video/7572967068262272278
johanemildk,Johan Emil Sevelsted,Det Konservative Folkeparti,Fyns Storkreds,kandidat,7572264895983455510,2025-11-13,For dig og for Svendborg 💚,1470,35,0,8,2,https://www.tiktok.com/@johanemildk/video/7572264895983455510
johanemildk,Johan Emil Sevelsted,Det Konservative Folkeparti,Fyns Storkreds,kandidat,7571841617972432150,2025-11-12,,4927,70,5,5,5,https://www.tiktok.com/@johanemildk/video/7571841617972432150
johanemildk,Johan Emil Sevelsted,Det Konservative Folkeparti,Fyns Storkreds,kandidat,7571530710201240854,2025-11-11,,3644,75,1,10,3,https://www.tiktok.com/@johanemildk/video/7571530710201240854
johanemildk,Johan Emil Sevelsted,Det Konservative Folkeparti,Fyns Storkreds,kandidat,7571395334132239638,2025-11-11,,1937,36,3,6,3,https://www.tiktok.com/@johanemildk/video/7571395334132239638
johanemildk,Johan Emil Sevelsted,Det Konservative Folkeparti,Fyns Storkreds,kandidat,7571053999722335510,2025-11-10,,7167,94,4,35,7,https://www.tiktok.com/@johanemildk/video/7571053999722335510
johanemildk,Johan Emil Sevelsted,Det Konservative Folkeparti,Fyns Storkreds,kandidat,7570337985917504790,2025-11-08,Farhumor er undervurderet ,3195,83,4,12,7,https://www.tiktok.com/@johanemildk/video/7570337985917504790
johanemildk,Johan Emil Sevelsted,Det Konservative Folkeparti,Fyns Storkreds,kandidat,7569925563003964694,2025-11-07,,724,18,1,3,2,https://www.tiktok.com/@johanemildk/video/7569925563003964694
johanemildk,Johan Emil Sevelsted,Det Konservative Folkeparti,Fyns Storkreds,kandidat,7567747369387773206,2025-11-01,,3117,47,3,0,1,https://www.tiktok.com/@johanemildk/video/7567747369387773206
johanemildk,Johan Emil Sevelsted,Det Konservative Folkeparti,Fyns Storkreds,kandidat,7565042013523971350,2025-10-25,Svendborgmetoden 🔥,1337,47,2,9,2,https://www.tiktok.com/@johanemildk/video/7565042013523971350
johanemildk,Johan Emil Sevelsted,Det Konservative Folkeparti,Fyns Storkreds,kandidat,7553391651977465110,2025-09-23,"“Mænd plejede at” er en populær internettrend, der beskriver kulturændringer i samfund - oftest vestlige samfund - over de sidste årtier eller endda århundreder.  Udsagnene i trenden er ofte overdrevne for komisk effekt, men de kan for eksempel afspe",11400,281,20,27,15,https://www.tiktok.com/@johanemildk/video/7553391651977465110
