run_id,tiktok_handle,display_name,party_name,storkreds,account_type,video_id,upload_dato,beskrivelse,visninger,likes,kommentarer,shares,gemmer,video_url
20260405_233245_21cad1,john.erik.wagner1,John Erik Wagner,Uden for partierne,Københavns Storkreds,kandidat,7625973526163426582,2026-04-07,"KOREOGRAFI ELLER KONSTITUTION? – SANDHEDEN OM DRONNINGERUNDEN 👑 ​Når politikerne kører frem og tilbage mellem Amalienborg, ser det ud af meget. Men sandheden er, at Kongen er blevet sat uden for døren i sit eget rige. Ifølge Grundloven § 14 er det Ko",0,0,0,0,0,https://www.tiktok.com/@john.erik.wagner1/video/7625973526163426582
20260405_233245_21cad1,john.erik.wagner1,John Erik Wagner,Uden for partierne,Københavns Storkreds,kandidat,7625968979449859350,2026-04-07,"NÅR POLITIKERNE SKRIVER UNDER PÅ GRUNDLOVEN, BEGÅR DE DET FØRSTE GRUNDLOVSBRUD! ​Ifølge Grundlovens § 14 er det Kongen, der udpeger statsministeren. Men hvad ser vi i dag? Det er de 179 politikere og deres lukkede partiapparater, der har taget magten",96,2,0,0,0,https://www.tiktok.com/@john.erik.wagner1/video/7625968979449859350
20260405_233245_21cad1,john.erik.wagner1,John Erik Wagner,Uden for partierne,Københavns Storkreds,kandidat,7625962940205714710,2026-04-07,"NÅR POLITIKERNE SKRIVER UNDER PÅ GRUNDLOVEN, BEGÅR DE DET FØRSTE GRUNDLOVSBRUD! ​Hvorfor? Fordi de skriver under som repræsentanter for partier og systemer, der slet ikke findes i Grundloven af 1953! De har skabt deres egen ""parallel-grundlov"" af val",111,3,0,0,0,https://www.tiktok.com/@john.erik.wagner1/video/7625962940205714710
20260405_233245_21cad1,john.erik.wagner1,John Erik Wagner,Uden for partierne,Københavns Storkreds,kandidat,7625960669497642262,2026-04-07,"Grundloven er kun 73 år gammel – alligevel vil politikerne sende den på museum! ​De påstår, at den er skrevet i et forældet sprog, men det er de samme politikere, der hver dag overtræder den. Når de skriver under på Grundloven som repræsentanter for ",125,4,0,0,0,https://www.tiktok.com/@john.erik.wagner1/video/7625960669497642262
20260405_233245_21cad1,john.erik.wagner1,John Erik Wagner,Uden for partierne,Københavns Storkreds,kandidat,7625878442822667542,2026-04-07,"FRIHEDSKÆMPER DET BLIVER I ALDRIG, NÅR I STØTTER REPRÆSENTERET DEMOKRATI 🤔 STOP PARTIVÆLDETS MAGT – GENINDfØR FOLKESTYRET ​""Der findes ikke partier og embedsmænd i grundloven i 1953, fordi de ikke har fået skrevet det ind. Alligevel sidder de 179 i F",257,5,0,0,0,https://www.tiktok.com/@john.erik.wagner1/video/7625878442822667542
20260405_233245_21cad1,john.erik.wagner1,John Erik Wagner,Uden for partierne,Københavns Storkreds,kandidat,7625769849171610902,2026-04-07,"Det danske folkestyre blev afvæbnet i 1920 ​""I grundloven, der eksisterer navnet demokrati ikke, navnet parti eksisterer heller ikke... det er partierne, de private klubber, som bestemmer inde i Folketinget. Det er forbudt ifølge grundloven."". ​Den 1",366,12,1,2,4,https://www.tiktok.com/@john.erik.wagner1/video/7625769849171610902
20260405_233245_21cad1,john.erik.wagner1,John Erik Wagner,Uden for partierne,Københavns Storkreds,kandidat,7625674515783093526,2026-04-06,"FRIHEDSKÆMPER DET BLIVER I ALDRIG, NÅR I STØTTER REPRÆSENTERET DEMOKRATI 🤔 STOP PARTIVÆLDETS MAGT – GENINDfØR FOLKESTYRET ​""Der findes ikke partier og embedsmænd i grundloven i 1953, fordi de ikke har fået skrevet det ind. Alligevel sidder de 179 i F",460,13,3,0,1,https://www.tiktok.com/@john.erik.wagner1/video/7625674515783093526
20260405_233245_21cad1,john.erik.wagner1,John Erik Wagner,Uden for partierne,Københavns Storkreds,kandidat,7625670274805026070,2026-04-06,"Stop med at kalde jer frihedskæmpere, hvis I støtter systemet! ​""I er jo ikke frihedskæmpere, når I støtter systemet som det er, med repræsentativt demokrati, hvor det er politikerne, der bestemmer over dig og dit og mit liv de næste fire år."" ​Hvis ",321,9,0,0,0,https://www.tiktok.com/@john.erik.wagner1/video/7625670274805026070
20260405_233245_21cad1,john.erik.wagner1,John Erik Wagner,Uden for partierne,Københavns Storkreds,kandidat,7625667270907301142,2026-04-06,"Er du frihedskæmper eller støtter du partivældet? ​""I er jo ikke frihedskæmpere, når I støtter systemet, som det er, med repræsentativt demokrati, hvor det er politikerne, der bestemmer over dig og dit og mit liv de næste fire år."". ​Hvis du virkelig",318,12,1,0,1,https://www.tiktok.com/@john.erik.wagner1/video/7625667270907301142
20260405_233245_21cad1,john.erik.wagner1,John Erik Wagner,Uden for partierne,Københavns Storkreds,kandidat,7625291868770815254,2026-04-05,"ATOMKRAFT ER GRØN ENERGI! ☢️ ​""Den store løgn om grøn energi skal stoppes. Gør som Schweiz og giv folket magten til at vælge atomkraft! Det er sikkert nok til ubåde, så det er sikkert nok til os. Stop de digitale lænker 🟥. Giv Folketinget Det Røde Ko",1057,31,0,3,6,https://www.tiktok.com/@john.erik.wagner1/video/7625291868770815254
20260405_233245_21cad1,john.erik.wagner1,John Erik Wagner,Uden for partierne,Københavns Storkreds,kandidat,7625291267122941206,2026-04-05,"Christiansborgs Skraldespand! 🗑️ ​Borgernes Parti & DF opsuger proteststemmer, så den siddende magt kan blive siddende. ⚙️ ​Vælgernes vilje bliver til politisk affald gennem interne skandaler og systemtvang. 🚮 ​Vi skal have Det Røde Kort NU! 🟥 Magten",2115,60,0,8,4,https://www.tiktok.com/@john.erik.wagner1/video/7625291267122941206
20260405_233245_21cad1,john.erik.wagner1,John Erik Wagner,Uden for partierne,Københavns Storkreds,kandidat,7625241176584490262,2026-04-05,"Christiansborgs Skraldespand – Dit kryds ender til storskrald! ​Borgernes Parti og DF – Folketingets skraldespande 🚮 ​""Liberal Alliance har ekskluderet nyvalgt folketingsmedlem, og det samme har Borgernes Parti gjort... Dermed har de blå partier mist",1307,59,1,1,3,https://www.tiktok.com/@john.erik.wagner1/video/7625241176584490262
20260405_233245_21cad1,john.erik.wagner1,John Erik Wagner,Uden for partierne,Københavns Storkreds,kandidat,7624932913632677142,2026-04-04,"​Naturens eget kildevæld: Gratis og rent drikkevand direkte fra birketræet! 🌳 ""Gratis, rent drikkevand direkte fra kilden! 🌳💧 Se hvordan jeg høster frisk birkesaft uden pesticider. Naturen er fantastisk! #Birkevand #Natur #Bæredygtighed #GratisGlæder",563,15,1,1,1,https://www.tiktok.com/@john.erik.wagner1/video/7624932913632677142
20260405_233245_21cad1,john.erik.wagner1,John Erik Wagner,Uden for partierne,Københavns Storkreds,kandidat,7624932240027405590,2026-04-04,"Naturens eget kildevæld: Gratis og rent drikkevand direkte fra birketræet! 🌳💧 ""Gratis, rent drikkevand direkte fra kilden! 🌳💧 Se hvordan jeg høster frisk birkesaft uden pesticider. Naturen er fantastisk! #Birkevand #Natur #Bæredygtighed #GratisGlæder",708,32,1,2,1,https://www.tiktok.com/@john.erik.wagner1/video/7624932240027405590
20260405_233245_21cad1,john.erik.wagner1,John Erik Wagner,Uden for partierne,Københavns Storkreds,kandidat,7624509542285511958,2026-04-03,"Kirketårnet som borg: På den måde fungerede kirketårnet reelt som en lille borg eller et forsvarstårn, hvor befolkningen kunne være i sikkerhed, indtil faren var drevet over.",464,11,1,0,0,https://www.tiktok.com/@john.erik.wagner1/video/7624509542285511958
20260405_233245_21cad1,john.erik.wagner1,John Erik Wagner,Uden for partierne,Københavns Storkreds,kandidat,7624508630347418902,2026-04-03,Tibirke Kirkes 2 meter tykke mure gemmer måske på en hemmelighed. ⛪️ Er den i virkeligheden bygget af vikingetidens håndværkere oven på gamle asatro-helligsteder? Historien stikker ofte dybere end som så! 🟥 #DanskHistorie ,714,17,0,0,0,https://www.tiktok.com/@john.erik.wagner1/video/7624508630347418902
20260405_233245_21cad1,john.erik.wagner1,John Erik Wagner,Uden for partierne,Københavns Storkreds,kandidat,7624494404304260374,2026-04-03,"Var Tibirke Kirke i virkeligheden bygget af vikinger? ​Mange af vores middelalderkirker kan have rødder helt tilbage til vikingetiden, hvor dygtige håndværkere og bønder lagde grundstenene til det kristne Danmark. Tibirke Kirkes tykke mure gemmer mås",477,26,1,0,3,https://www.tiktok.com/@john.erik.wagner1/video/7624494404304260374
