run_id,tiktok_handle,display_name,party_name,storkreds,account_type,video_id,upload_dato,beskrivelse,visninger,likes,kommentarer,shares,gemmer,video_url
20260405_233245_21cad1,kashifahmaddk,Kashif Ahmad,Radikale Venstre,Københavns Omegns Storkreds,kandidat,7619974962052369686,2026-03-22,"Tonen i politik bliver til tonen i vores liv.  Den måde politikere taler på, stopper ikke i Folketingssalen.  Den finder vej ud i vores hverdag. I den måde vi ser på hinanden. Taler til hinanden. Skriver til hinanden. Ind i kommentarspor. Ind i indba",7532,198,7,29,25,https://www.tiktok.com/@kashifahmaddk/video/7619974962052369686
20260405_233245_21cad1,kashifahmaddk,Kashif Ahmad,Radikale Venstre,Københavns Omegns Storkreds,kandidat,7619622746493898006,2026-03-21,"Nogle kampe er vigtigere end en valgkamp🍉 Palæstina er næsten forsvundet fra denne valgkamp. Men vi må ikke glemme det. Vi må ikke glemme alle de civile liv, der går tabt. Vi må ikke glemme uretfærdigheden. Og vi må ikke vende blikket væk, bare fordi",1162,112,3,3,10,https://www.tiktok.com/@kashifahmaddk/video/7619622746493898006
20260405_233245_21cad1,kashifahmaddk,Kashif Ahmad,Radikale Venstre,Københavns Omegns Storkreds,kandidat,7619208976630058262,2026-03-20,Eid Mubarak! ❤️🌙 ,7357,403,18,49,11,https://www.tiktok.com/@kashifahmaddk/video/7619208976630058262
20260405_233245_21cad1,kashifahmaddk,Kashif Ahmad,Radikale Venstre,Københavns Omegns Storkreds,kandidat,7618195723754016022,2026-03-17,"Som lærer er jeg glad for, at skolerne fylder mere i denne valgkamp. Men hverdagen i skolen er stadig præget af for meget skærm og for mange test. Vi har brug for en anden retning: Mindre skærm. Færre test. Mere leg og kreativitet. For børn, der ikke",1422,59,2,1,1,https://www.tiktok.com/@kashifahmaddk/video/7618195723754016022
20260405_233245_21cad1,kashifahmaddk,Kashif Ahmad,Radikale Venstre,Københavns Omegns Storkreds,kandidat,7616769010796956950,2026-03-13,Som lærer ved jeg én ting: Trivsel er en forudsætning for læring. Derfor bør bedre skoler og stærkere fællesskaber for børn og unge være en topprioritet.,1069,47,4,4,1,https://www.tiktok.com/@kashifahmaddk/video/7616769010796956950
20260405_233245_21cad1,kashifahmaddk,Kashif Ahmad,Radikale Venstre,Københavns Omegns Storkreds,kandidat,7616060182522580246,2026-03-11,"""Ikke mere Islam"" Det har vi efterhånden hørt på i mange år. Jeg sagde stop for den hetz og stigmatisering for mange år siden, og jeg gør det fortsat dagen i dag. ",1141,85,4,4,2,https://www.tiktok.com/@kashifahmaddk/video/7616060182522580246
20260405_233245_21cad1,kashifahmaddk,Kashif Ahmad,Radikale Venstre,Københavns Omegns Storkreds,kandidat,7615320038228135190,2026-03-09,"Vi står ved en skillevej. Enten fortsætter højredrejningen, hvor frygt, splittelse og mistillid til hinanden får lov til at sætte dagsordenen. Eller også vælger vi et andet Danmark. Denne video brugte jeg til kommunalvalget i København, men de samme ",1040,30,1,5,1,https://www.tiktok.com/@kashifahmaddk/video/7615320038228135190
20260405_233245_21cad1,kashifahmaddk,Kashif Ahmad,Radikale Venstre,Københavns Omegns Storkreds,kandidat,7612689396537511190,2026-03-02,Kom en tur med ind på Rådhuset😎,2558,69,3,9,6,https://www.tiktok.com/@kashifahmaddk/video/7612689396537511190
20260405_233245_21cad1,kashifahmaddk,Kashif Ahmad,Radikale Venstre,Københavns Omegns Storkreds,kandidat,7609760644665068822,2026-02-22,"""Women’s rights are human rights""  Men for kvinder på flugt er der stadig meget at kæmpe for. Den 8. marts står vi sammen med dem. Tag t-shirten på og vis verden, at vi står sammen!  Støtter du Dansk Flygtningehjælps arbejde, sikrer du beskyttelse og",1180,59,2,3,1,https://www.tiktok.com/@kashifahmaddk/video/7609760644665068822
20260405_233245_21cad1,kashifahmaddk,Kashif Ahmad,Radikale Venstre,Københavns Omegns Storkreds,kandidat,7608285383578619158,2026-02-18,Ramadan Mubarak🌙 ,12800,674,32,67,63,https://www.tiktok.com/@kashifahmaddk/video/7608285383578619158
