run_id,tiktok_handle,display_name,party_name,storkreds,account_type,video_id,upload_dato,beskrivelse,visninger,likes,kommentarer,shares,gemmer,video_url
20260403_130924_1bb33a,larschristianbrask,Lars-Christian Brask,Liberal Alliance,Sjællands Storkreds,kandidat,7620345998014958870,2026-03-23,FRIHED. ANSVAR. OPTIMISME 💙 #fyp #foryou #foryoupage #viral #politik,1222,84,2,2,1,https://www.tiktok.com/@larschristianbrask/video/7620345998014958870
20260403_130924_1bb33a,larschristianbrask,Lars-Christian Brask,Liberal Alliance,Sjællands Storkreds,kandidat,7620126727548849430,2026-03-22,Du kan altid blive klogere ved at lytte til andre 🙂 #fyp #foryou #foryoupage #viral #politik ,1300,66,3,4,4,https://www.tiktok.com/@larschristianbrask/video/7620126727548849430
20260403_130924_1bb33a,larschristianbrask,Lars-Christian Brask,Liberal Alliance,Sjællands Storkreds,kandidat,7620010788446653718,2026-03-22,Uddannelse er vores råstof i Danmark 🇩🇰  #fyp #foryou #foryoupage #viral #politik ,810,42,0,2,0,https://www.tiktok.com/@larschristianbrask/video/7620010788446653718
20260403_130924_1bb33a,larschristianbrask,Lars-Christian Brask,Liberal Alliance,Sjællands Storkreds,kandidat,7619629878580612374,2026-03-21,Siden 1989 er er reglerne tredoblet. Vi ønsker en bindende bureaukratilov i Liberal Alliance 🙏 #fyp #foryou #foryoupage #viral #politik,1329,75,3,2,2,https://www.tiktok.com/@larschristianbrask/video/7619629878580612374
20260403_130924_1bb33a,larschristianbrask,Lars-Christian Brask,Liberal Alliance,Sjællands Storkreds,kandidat,7619326281666055446,2026-03-20,EN FRISK START 💙 #fyp #foryou #foryoupage #viral #politik ,1219,64,7,3,2,https://www.tiktok.com/@larschristianbrask/video/7619326281666055446
20260403_130924_1bb33a,larschristianbrask,Lars-Christian Brask,Liberal Alliance,Sjællands Storkreds,kandidat,7619278310782110978,2026-03-20,Erhvervslivet 🙏 #fyp #foryou #foryoupage #viral #politik ,2085,79,6,2,2,https://www.tiktok.com/@larschristianbrask/video/7619278310782110978
20260403_130924_1bb33a,larschristianbrask,Lars-Christian Brask,Liberal Alliance,Sjællands Storkreds,kandidat,7618995969320914198,2026-03-19,Hvorfor ulighed ikke er et problem 😇 #fyp #foryou #foryoupage #viral #politik,7817,250,3,18,18,https://www.tiktok.com/@larschristianbrask/video/7618995969320914198
20260403_130924_1bb33a,larschristianbrask,Lars-Christian Brask,Liberal Alliance,Sjællands Storkreds,kandidat,7618879122885889302,2026-03-19,@Rosa Lund vil indføre loft over bankgebyrer 😅 #fyp #foryou #foryoupage #viral #politik,6813,174,3,7,8,https://www.tiktok.com/@larschristianbrask/video/7618879122885889302
20260403_130924_1bb33a,larschristianbrask,Lars-Christian Brask,Liberal Alliance,Sjællands Storkreds,kandidat,7618688798578199830,2026-03-18,Hør om mine mærkesager 🙂 #fyp #foryou #foryoupage #viral #politik,600,16,1,1,1,https://www.tiktok.com/@larschristianbrask/video/7618688798578199830
20260403_130924_1bb33a,larschristianbrask,Lars-Christian Brask,Liberal Alliance,Sjællands Storkreds,kandidat,7618551092309445910,2026-03-18,Skal vi have atomkraft på dansk jord? ⚛️ #fyp #foryou #foryoupage #viral #politik,1149,46,1,2,4,https://www.tiktok.com/@larschristianbrask/video/7618551092309445910
20260403_130924_1bb33a,larschristianbrask,Lars-Christian Brask,Liberal Alliance,Sjællands Storkreds,kandidat,7618245733417864470,2026-03-17,Hvordan fungerer Folketingssalen? 🤨 #fyp #foryou #foryoupage #viral #politik,5802,189,5,4,7,https://www.tiktok.com/@larschristianbrask/video/7618245733417864470
20260403_130924_1bb33a,larschristianbrask,Lars-Christian Brask,Liberal Alliance,Sjællands Storkreds,kandidat,7617890711031024918,2026-03-16,Hvad bliver det næste? 😅 #fyp #foryou #foryoupage #viral #politik,1227,34,4,2,3,https://www.tiktok.com/@larschristianbrask/video/7617890711031024918
20260403_130924_1bb33a,larschristianbrask,Lars-Christian Brask,Liberal Alliance,Sjællands Storkreds,kandidat,7617819957769882902,2026-03-16,😂📞 #fyp #foryou #foryoupage #viral #politik,6699,131,0,9,2,https://www.tiktok.com/@larschristianbrask/video/7617819957769882902
20260403_130924_1bb33a,larschristianbrask,Lars-Christian Brask,Liberal Alliance,Sjællands Storkreds,kandidat,7617398556697054486,2026-03-15,100 regler. De skal væk. #fyp #foryou #foryoupage #viral #politik ,5596,141,5,6,7,https://www.tiktok.com/@larschristianbrask/video/7617398556697054486
