run_id,tiktok_handle,display_name,party_name,storkreds,account_type,video_id,upload_dato,beskrivelse,visninger,likes,kommentarer,shares,gemmer,video_url
20260403_130924_1bb33a,mariadurhuus1,Maria Durhuus,Socialdemokratiet,Københavns Omegns Storkreds,kandidat,7620813530937265430,2026-03-24,Min valgkamp på 40 sekunder🌹  #socialdemokratietihvidovre #stemdurhuus #vestegnen  #dkpol #socialdemokratiet  ,806,35,2,4,1,https://www.tiktok.com/@mariadurhuus1/video/7620813530937265430
20260403_130924_1bb33a,mariadurhuus1,Maria Durhuus,Socialdemokratiet,Københavns Omegns Storkreds,kandidat,7620521838166199574,2026-03-23,Din stemme gør en forskel - især lokalt. Ved at stemme personligt er du med til at sikre stærk repræsentation tæt på dig.  Sæt dit kryds ved Maria Durhuus🌹  #dkpol #socialdemokratietihvidovre #fv26 #stemdurhuus  #stempersonligt   ,9595,187,4,31,8,https://www.tiktok.com/@mariadurhuus1/video/7620521838166199574
20260403_130924_1bb33a,mariadurhuus1,Maria Durhuus,Socialdemokratiet,Københavns Omegns Storkreds,kandidat,7619735212771085590,2026-03-21,"Tak til Peter Hummelgaard for anbefalingen🌹 Jeg er glad for det gode samarbejde vi har på Christiansborg, og for at vi sammen arbejder for stærkere fællesskaber og en bedre velfærd.  #stemdurhuus #fyp #fv26 #socialdemokratiet #dkpol ",1176,38,7,1,3,https://www.tiktok.com/@mariadurhuus1/video/7619735212771085590
20260403_130924_1bb33a,mariadurhuus1,Maria Durhuus,Socialdemokratiet,Københavns Omegns Storkreds,kandidat,7619389335254682883,2026-03-20,"Tak for en fantastisk aften i går🌹 Det var en fornøjelse at have besøg af Poul Nyrup - og en aften, hvor fællesskabet virkelig kunne mærkes.  Tak til alle, der var med❤️ #fv2026 #Socialdemokratiet #dkpol #MariaD",1222,15,1,11,1,https://www.tiktok.com/@mariadurhuus1/video/7619389335254682883
20260403_130924_1bb33a,mariadurhuus1,Maria Durhuus,Socialdemokratiet,Københavns Omegns Storkreds,kandidat,7619312647342755094,2026-03-20,"Tusind tak for opbakningen og de fine ord fra Dennis A Jørgensen, forperson for HK Stat Hovedstaden🌹 #stemdurhuus #fv26 #socialdemokratiet #hvidovre #vestegnen ",1286,34,3,3,2,https://www.tiktok.com/@mariadurhuus1/video/7619312647342755094
20260403_130924_1bb33a,mariadurhuus1,Maria Durhuus,Socialdemokratiet,Københavns Omegns Storkreds,kandidat,7619055078518836502,2026-03-19,"Benzinpriserne stiger og stiger lige nu, grundet urolighederne i Mellemøsten Skal man virkelig ud og finde en rig sheik for at få livet til at hænge sammen? NEJ. I Socialdemokratiet følger vi situationen nøje for at passe på dig og din hverdag i Danm",872,26,4,0,1,https://www.tiktok.com/@mariadurhuus1/video/7619055078518836502
20260403_130924_1bb33a,mariadurhuus1,Maria Durhuus,Socialdemokratiet,Københavns Omegns Storkreds,kandidat,7617121804582423830,2026-03-14,"Dejlig lørdag morgen❤️ vi melder om kærlighed, kaos og skøn kaffe❤️#FYP #MariaDurhuus #DKPol ",1304,22,0,3,1,https://www.tiktok.com/@mariadurhuus1/video/7617121804582423830
20260403_130924_1bb33a,mariadurhuus1,Maria Durhuus,Socialdemokratiet,Københavns Omegns Storkreds,kandidat,7615633541531208962,2026-03-10,"Jeg er fra Vestegnen. Jeg kæmper for Vestegnen. Stem på en, der kender din hverdag. - Maria Durhuus. Del hvis du er enig. #MariaDurhuus #ForVestegnen #FYP #Valg2026 #DKPol",2884,140,9,14,16,https://www.tiktok.com/@mariadurhuus1/video/7615633541531208962
20260403_130924_1bb33a,mariadurhuus1,Maria Durhuus,Socialdemokratiet,Københavns Omegns Storkreds,kandidat,7613482198804696322,2026-03-04,Hvem er Maria Durhuus #hvemErMaria #Folketing2026 #Socialdemokratiet #fyp #Politik ,618,7,0,0,0,https://www.tiktok.com/@mariadurhuus1/video/7613482198804696322
20260403_130924_1bb33a,mariadurhuus1,Maria Durhuus,Socialdemokratiet,Københavns Omegns Storkreds,kandidat,7606408041701018903,2026-02-13,##ungdomudenopioider #ungdom #unge ,1559,39,0,4,4,https://www.tiktok.com/@mariadurhuus1/video/7606408041701018903
