run_id,tiktok_handle,display_name,party_name,storkreds,account_type,video_id,upload_dato,beskrivelse,visninger,likes,kommentarer,shares,gemmer,video_url
20260403_130924_1bb33a,olebirkolesen,Ole Birk Olesen,Liberal Alliance,Københavns Storkreds,kandidat,7624816260236250390,2026-04-04,,194,17,1,0,1,https://www.tiktok.com/@olebirkolesen/video/7624816260236250390
20260403_130924_1bb33a,olebirkolesen,Ole Birk Olesen,Liberal Alliance,Københavns Storkreds,kandidat,7624042689171885334,2026-04-02,,5729,156,13,4,6,https://www.tiktok.com/@olebirkolesen/video/7624042689171885334
20260403_130924_1bb33a,olebirkolesen,Ole Birk Olesen,Liberal Alliance,Københavns Storkreds,kandidat,7623448224686296323,2026-03-31,,18700,719,21,54,46,https://www.tiktok.com/@olebirkolesen/video/7623448224686296323
20260403_130924_1bb33a,olebirkolesen,Ole Birk Olesen,Liberal Alliance,Københavns Storkreds,kandidat,7622291433562688790,2026-03-28,,3261,130,10,3,5,https://www.tiktok.com/@olebirkolesen/video/7622291433562688790
20260403_130924_1bb33a,olebirkolesen,Ole Birk Olesen,Liberal Alliance,Københavns Storkreds,kandidat,7622172970584149270,2026-03-28,"48 pct. stemte på Ø, Å, SF, S og R. 52 pct. stemte på de ikke-røde.",4254,118,6,10,2,https://www.tiktok.com/@olebirkolesen/video/7622172970584149270
20260403_130924_1bb33a,olebirkolesen,Ole Birk Olesen,Liberal Alliance,Københavns Storkreds,kandidat,7621814250608102678,2026-03-27,,2412,52,5,2,1,https://www.tiktok.com/@olebirkolesen/video/7621814250608102678
20260403_130924_1bb33a,olebirkolesen,Ole Birk Olesen,Liberal Alliance,Københavns Storkreds,kandidat,7621663786922986774,2026-03-26,,36700,1379,26,260,65,https://www.tiktok.com/@olebirkolesen/video/7621663786922986774
20260403_130924_1bb33a,olebirkolesen,Ole Birk Olesen,Liberal Alliance,Københavns Storkreds,kandidat,7619311282478501142,2026-03-20,"Hvis du er både blå og grøn i København, så ved du, hvem du skal stemme på. Sammen gør vi Kalvebod Fælled til naturnationalpark, og vi laver også meget mere natur i resten af landet. Giv naturen en chance, stem på mig i Liberal Alliance!",4289,75,2,3,4,https://www.tiktok.com/@olebirkolesen/video/7619311282478501142
20260403_130924_1bb33a,olebirkolesen,Ole Birk Olesen,Liberal Alliance,Københavns Storkreds,kandidat,7614820507828948246,2026-03-08,Har du også set det?,1648,77,5,6,1,https://www.tiktok.com/@olebirkolesen/video/7614820507828948246
20260403_130924_1bb33a,olebirkolesen,Ole Birk Olesen,Liberal Alliance,Københavns Storkreds,kandidat,7614151681311247638,2026-03-06,,38700,1743,23,161,80,https://www.tiktok.com/@olebirkolesen/video/7614151681311247638
20260403_130924_1bb33a,olebirkolesen,Ole Birk Olesen,Liberal Alliance,Københavns Storkreds,kandidat,7613698435782364438,2026-03-05,"Den socialdemokratiske favorisering af vælgergrupper, som Mette Frederiksen håber kan finde på at stemme på hendes parti, fortsætter. Liberal Alliance foreslår FriPension i stedet: Alle beskæftigede skal have ret til at sætte løn skattefrit til side ",1377,70,6,1,3,https://www.tiktok.com/@olebirkolesen/video/7613698435782364438
20260403_130924_1bb33a,olebirkolesen,Ole Birk Olesen,Liberal Alliance,Københavns Storkreds,kandidat,7590009046040874263,2025-12-31,Lev med det - eller vælg en ny regering.,877,14,0,9,3,https://www.tiktok.com/@olebirkolesen/video/7590009046040874263
