run_id,tiktok_handle,display_name,party_name,storkreds,account_type,video_id,upload_dato,beskrivelse,visninger,likes,kommentarer,shares,gemmer,video_url
20260403_130924_1bb33a,sadekalamood,Sadek Al-Amood,SF - Socialistisk Folkeparti,Københavns Storkreds,kandidat,7611140175699217686,2026-02-26,"🚨 BREAKING: DER ER UDSKREVET FOLKETINGSVALG 🚨 Her er mine mærkesager: 👉 Billigere offentlig transport, så du ikke skal betale 24 kroner for at rejse ét stop 👉 Op med SU’en, så du ikke behøves stresse over både eksamenslæsning og om, det hedder pasta-",12400,419,41,27,15,https://www.tiktok.com/@sadekalamood/video/7611140175699217686
20260403_130924_1bb33a,sadekalamood,Sadek Al-Amood,SF - Socialistisk Folkeparti,Københavns Storkreds,kandidat,7624197803375349014,2026-04-02,Israels nye dødsstraf er rettet mod palæstinensere #dkpol #israel #politik #fyp #palestine ,21600,1830,4,182,127,https://www.tiktok.com/@sadekalamood/video/7624197803375349014
20260403_130924_1bb33a,sadekalamood,Sadek Al-Amood,SF - Socialistisk Folkeparti,Københavns Storkreds,kandidat,7620467779447065878,2026-03-23,I Odense kan du komme rundt til 10kr. Det er tid til det samme i KBH!  #fyp #dkpol #studying #socialism #politik ,32500,1271,11,75,33,https://www.tiktok.com/@sadekalamood/video/7620467779447065878
20260403_130924_1bb33a,sadekalamood,Sadek Al-Amood,SF - Socialistisk Folkeparti,Københavns Storkreds,kandidat,7620408508176993558,2026-03-23,"Løse boligkrisen, sænke uligheden… samtidigt med topskattelettelser og at tilgodese kapitalfonde? #fyp #socialisme #dkpol #politik #studying ",7187,200,3,8,13,https://www.tiktok.com/@sadekalamood/video/7620408508176993558
20260403_130924_1bb33a,sadekalamood,Sadek Al-Amood,SF - Socialistisk Folkeparti,Københavns Storkreds,kandidat,7620124061313535254,2026-03-22,Op med SU’en 👆👆 #fyp #dkpol #politik #studying #studie ,17400,377,11,8,14,https://www.tiktok.com/@sadekalamood/video/7620124061313535254
20260403_130924_1bb33a,sadekalamood,Sadek Al-Amood,SF - Socialistisk Folkeparti,Københavns Storkreds,kandidat,7620088073619115286,2026-03-22,Kan du ikke bare købe noget i Indre By? #fyp #dansktiktok #dkpol #politik #danskhumor ,30300,1162,11,87,33,https://www.tiktok.com/@sadekalamood/video/7620088073619115286
20260403_130924_1bb33a,sadekalamood,Sadek Al-Amood,SF - Socialistisk Folkeparti,Københavns Storkreds,kandidat,7620059084821105942,2026-03-22,Hvad vil jeg kæmpe for inde på Borgen?                         #dkpolitik #dkpol #politik #fyp #studerende ,10600,398,8,26,14,https://www.tiktok.com/@sadekalamood/video/7620059084821105942
20260403_130924_1bb33a,sadekalamood,Sadek Al-Amood,SF - Socialistisk Folkeparti,Københavns Storkreds,kandidat,7619774318423100694,2026-03-21,"KBH’s overborgmester ved godt, hvor krydset skal sættes ✍️ #fyp #dkpolitik #dkpol #politik #socialisme ",14400,447,5,22,11,https://www.tiktok.com/@sadekalamood/video/7619774318423100694
20260403_130924_1bb33a,sadekalamood,Sadek Al-Amood,SF - Socialistisk Folkeparti,Københavns Storkreds,kandidat,7619347748810165526,2026-03-20,Husk at takke LA når huslejen bliver dyrere… #dkpol #dkpolitik #politik #fyp #socialisme ,8281,467,10,36,14,https://www.tiktok.com/@sadekalamood/video/7619347748810165526
20260403_130924_1bb33a,sadekalamood,Sadek Al-Amood,SF - Socialistisk Folkeparti,Københavns Storkreds,kandidat,7619026836143508758,2026-03-19,@Kira Marie Peter-Hansen og jeg gennemgår de værste blå argumenter… #dkpol #politik #fyp #socialisme #studerende ,4413,191,1,10,6,https://www.tiktok.com/@sadekalamood/video/7619026836143508758
