run_id,tiktok_handle,display_name,party_name,storkreds,account_type,video_id,upload_dato,beskrivelse,visninger,likes,kommentarer,shares,gemmer,video_url
20260403_130924_1bb33a,saratvillingla,Sara Tvilling,Liberal Alliance,Nordjyllands Storkreds,kandidat,7623666320621505814,2026-04-01,,35,2,0,0,0,https://www.tiktok.com/@saratvillingla/video/7623666320621505814
20260403_130924_1bb33a,saratvillingla,Sara Tvilling,Liberal Alliance,Nordjyllands Storkreds,kandidat,7623312633000643862,2026-03-31,Sagt med et smil - men politik ligner mere og mere et oddsmarked.,2842,68,17,4,5,https://www.tiktok.com/@saratvillingla/video/7623312633000643862
20260403_130924_1bb33a,saratvillingla,Sara Tvilling,Liberal Alliance,Nordjyllands Storkreds,kandidat,7620549763934571798,2026-03-23,,1044,27,2,2,4,https://www.tiktok.com/@saratvillingla/video/7620549763934571798
20260403_130924_1bb33a,saratvillingla,Sara Tvilling,Liberal Alliance,Nordjyllands Storkreds,kandidat,7619765643075718422,2026-03-21,,8496,143,2,14,2,https://www.tiktok.com/@saratvillingla/video/7619765643075718422
20260403_130924_1bb33a,saratvillingla,Sara Tvilling,Liberal Alliance,Nordjyllands Storkreds,kandidat,7619315984733687062,2026-03-20,Fredag d. 20. Marts!!,736,6,0,1,2,https://www.tiktok.com/@saratvillingla/video/7619315984733687062
20260403_130924_1bb33a,saratvillingla,Sara Tvilling,Liberal Alliance,Nordjyllands Storkreds,kandidat,7619315729040461078,2026-03-20,,916,17,1,1,1,https://www.tiktok.com/@saratvillingla/video/7619315729040461078
20260403_130924_1bb33a,saratvillingla,Sara Tvilling,Liberal Alliance,Nordjyllands Storkreds,kandidat,7619315677429615875,2026-03-20,,868,15,0,0,2,https://www.tiktok.com/@saratvillingla/video/7619315677429615875
20260403_130924_1bb33a,saratvillingla,Sara Tvilling,Liberal Alliance,Nordjyllands Storkreds,kandidat,7615687185970367766,2026-03-10,,4057,48,2,8,6,https://www.tiktok.com/@saratvillingla/video/7615687185970367766
20260403_130924_1bb33a,saratvillingla,Sara Tvilling,Liberal Alliance,Nordjyllands Storkreds,kandidat,7615625691798899991,2026-03-10,,1056,14,0,0,1,https://www.tiktok.com/@saratvillingla/video/7615625691798899991
20260403_130924_1bb33a,saratvillingla,Sara Tvilling,Liberal Alliance,Nordjyllands Storkreds,kandidat,7615625605752655126,2026-03-10,,5098,72,1,3,3,https://www.tiktok.com/@saratvillingla/video/7615625605752655126
20260403_130924_1bb33a,saratvillingla,Sara Tvilling,Liberal Alliance,Nordjyllands Storkreds,kandidat,7615625529470815510,2026-03-10,,3227,58,0,0,3,https://www.tiktok.com/@saratvillingla/video/7615625529470815510
20260403_130924_1bb33a,saratvillingla,Sara Tvilling,Liberal Alliance,Nordjyllands Storkreds,kandidat,7612772370708827414,2026-03-02,,1557,17,1,0,2,https://www.tiktok.com/@saratvillingla/video/7612772370708827414
20260403_130924_1bb33a,saratvillingla,Sara Tvilling,Liberal Alliance,Nordjyllands Storkreds,kandidat,7612056633518198038,2026-03-01,,2648,97,16,2,5,https://www.tiktok.com/@saratvillingla/video/7612056633518198038
20260403_130924_1bb33a,saratvillingla,Sara Tvilling,Liberal Alliance,Nordjyllands Storkreds,kandidat,7611679028344409366,2026-02-27,,1295,11,0,0,3,https://www.tiktok.com/@saratvillingla/video/7611679028344409366
20260403_130924_1bb33a,saratvillingla,Sara Tvilling,Liberal Alliance,Nordjyllands Storkreds,kandidat,7611235413486800150,2026-02-26,,530,15,0,1,1,https://www.tiktok.com/@saratvillingla/video/7611235413486800150
20260403_130924_1bb33a,saratvillingla,Sara Tvilling,Liberal Alliance,Nordjyllands Storkreds,kandidat,7611167324317519126,2026-02-26,,259,8,1,0,1,https://www.tiktok.com/@saratvillingla/video/7611167324317519126
20260403_130924_1bb33a,saratvillingla,Sara Tvilling,Liberal Alliance,Nordjyllands Storkreds,kandidat,7611166789220830486,2026-02-26,,216,11,1,0,2,https://www.tiktok.com/@saratvillingla/video/7611166789220830486
20260403_130924_1bb33a,saratvillingla,Sara Tvilling,Liberal Alliance,Nordjyllands Storkreds,kandidat,7610819018554920214,2026-02-25,,162,4,0,0,0,https://www.tiktok.com/@saratvillingla/video/7610819018554920214
20260403_130924_1bb33a,saratvillingla,Sara Tvilling,Liberal Alliance,Nordjyllands Storkreds,kandidat,7610818930235493635,2026-02-25,,887,13,1,0,1,https://www.tiktok.com/@saratvillingla/video/7610818930235493635
20260403_130924_1bb33a,saratvillingla,Sara Tvilling,Liberal Alliance,Nordjyllands Storkreds,kandidat,7610818787931180310,2026-02-25,,873,22,0,1,1,https://www.tiktok.com/@saratvillingla/video/7610818787931180310
20260403_130924_1bb33a,saratvillingla,Sara Tvilling,Liberal Alliance,Nordjyllands Storkreds,kandidat,7610818616442834198,2026-02-25,,792,19,0,0,0,https://www.tiktok.com/@saratvillingla/video/7610818616442834198
20260403_130924_1bb33a,saratvillingla,Sara Tvilling,Liberal Alliance,Nordjyllands Storkreds,kandidat,7610818468325182742,2026-02-25,,106,4,0,0,0,https://www.tiktok.com/@saratvillingla/video/7610818468325182742
20260403_130924_1bb33a,saratvillingla,Sara Tvilling,Liberal Alliance,Nordjyllands Storkreds,kandidat,7610818397634301206,2026-02-25,,805,18,1,3,2,https://www.tiktok.com/@saratvillingla/video/7610818397634301206
