run_id,tiktok_handle,display_name,party_name,storkreds,account_type,video_id,upload_dato,beskrivelse,visninger,likes,kommentarer,shares,gemmer,video_url
20260403_130924_1bb33a,tinacartey,Tina Cartey Hansen,Det Konservative Folkeparti,Københavns Omegns Storkreds,kandidat,7624819778770750742,2026-04-04,Fuld knald på farverne til Mikael B’s udstilling 🎨 🫟 Tjek den selv ud! Sidste dag er d. 11. april.  #omnia #kunst #københavn #theplant ,275,5,1,0,0,https://www.tiktok.com/@tinacartey/video/7624819778770750742
20260403_130924_1bb33a,tinacartey,Tina Cartey Hansen,Det Konservative Folkeparti,Københavns Omegns Storkreds,kandidat,7623066380568513814,2026-03-30,"Så er kampagnebilen igen bare en hvid Tesla 😄 Den mangler en ordentlig vask, men er nu uden valg reklame, ryddet op i bagagerummet, støvsuget og omsider med elektronisk p-skive ✔️ Tak for hjælpen far 💚 #bil #tesla #fv26 #far #voksen",6525,83,12,5,2,https://www.tiktok.com/@tinacartey/video/7623066380568513814
20260403_130924_1bb33a,tinacartey,Tina Cartey Hansen,Det Konservative Folkeparti,Københavns Omegns Storkreds,kandidat,7619799814330453270,2026-03-21,"Anbefaling fra Rasmus Jarlov 🤩 Rasmus stiller ikke op til Folketinget denne gang, og jeg vil gerne overtage hans plads 💪🏻 Jeg har i 5 måneder været vikar for Rasmus, og jeg har den erfaring fra Christiansborg, erhvervslivet og livet som mor, der tils",686,16,1,2,1,https://www.tiktok.com/@tinacartey/video/7619799814330453270
20260403_130924_1bb33a,tinacartey,Tina Cartey Hansen,Det Konservative Folkeparti,Københavns Omegns Storkreds,kandidat,7618887887865646358,2026-03-19,"Stem d. 24. marts ✖️ Du kan stemme på mig, hvis du bor i Albertslund, Ballerup, Brøndby, Gentofte, Gladsaxe, Glostrup, Herlev, Hvidovre, Høje-Taastrup, Ishøj, Lyngby, Rødovre eller Vallensbæk 💚 For et Danmark med mere trivsel, tryghed, lavere skatter",2229,23,3,6,0,https://www.tiktok.com/@tinacartey/video/7618887887865646358
20260403_130924_1bb33a,tinacartey,Tina Cartey Hansen,Det Konservative Folkeparti,Københavns Omegns Storkreds,kandidat,7614071347920096534,2026-03-06,Vær med i kampen mod børnekræft og støt Børnecancerfonden med en donation til MobilePay 201717 🙏🏻 #FodboldtrøjeFredag #børnecancerfonden #fodbold #brøndby #konservative ,2346,111,21,3,5,https://www.tiktok.com/@tinacartey/video/7614071347920096534
20260403_130924_1bb33a,tinacartey,Tina Cartey Hansen,Det Konservative Folkeparti,Københavns Omegns Storkreds,kandidat,7613326925070716182,2026-03-04,Så er valgkampen i gang 💪🏻💚 #konservative #blåregering #dkpol #ootd #dktiktok ,4806,79,3,23,8,https://www.tiktok.com/@tinacartey/video/7613326925070716182
20260403_130924_1bb33a,tinacartey,Tina Cartey Hansen,Det Konservative Folkeparti,Københavns Omegns Storkreds,kandidat,7612007119952334083,2026-02-28,Valgkampen er i gang 💪🏻 Hvilket gratis merchandise vil du helst have af en politiker?  #fv26 #folketinget #konservative #merchandise ,3217,30,2,5,1,https://www.tiktok.com/@tinacartey/video/7612007119952334083
20260403_130924_1bb33a,tinacartey,Tina Cartey Hansen,Det Konservative Folkeparti,Københavns Omegns Storkreds,kandidat,7603680735932861718,2026-02-06,God kamp derude i sneen ☃️🪏 #sne #dktiktok #hvidovre #bil ,149100,3350,53,640,264,https://www.tiktok.com/@tinacartey/video/7603680735932861718
20260403_130924_1bb33a,tinacartey,Tina Cartey Hansen,Det Konservative Folkeparti,Københavns Omegns Storkreds,kandidat,7600024407699934486,2026-01-27,Fødevarecheck lige før et valg. Ikke hjælp. Valgflæsk. #dktiktok #dkpol #fv26 #konservative #folketinget   ,2419,46,10,14,0,https://www.tiktok.com/@tinacartey/video/7600024407699934486
20260403_130924_1bb33a,tinacartey,Tina Cartey Hansen,Det Konservative Folkeparti,Københavns Omegns Storkreds,kandidat,7575245795969027350,2025-11-21,"Tak for denne gang Christiansborg 🙋🏼‍♀️ Det har været 11 vilde uger som medlem af Folketinget, og jeg håber at komme igen efter næste folketingsvalg på eget mandat 💪🏻 #folketinget #christiansborg #konservative #politik ",1724,42,0,2,0,https://www.tiktok.com/@tinacartey/video/7575245795969027350
