run_id,tiktok_handle,display_name,party_name,storkreds,account_type,video_id,upload_dato,beskrivelse,visninger,likes,kommentarer,shares,gemmer,video_url
20260403_130924_1bb33a,zishan.ali2101,Zishan Ali,Moderaterne,Københavns Omegns Storkreds,kandidat,7624171926914747670,2026-04-02,"Min partifælles, Andreas Raben, borgerforslag om at udfase valgplakater ligger helt i tråd med mine egne holdninger – derfor håber jeg også, I vil støtte det✌🏽 https://www.borgerforslag.dk/se-og-stoet-forslag/?Id=FT-22994 Vi har været ude for at fjer",2266,37,0,4,1,https://www.tiktok.com/@zishan.ali2101/video/7624171926914747670
20260403_130924_1bb33a,zishan.ali2101,Zishan Ali,Moderaterne,Københavns Omegns Storkreds,kandidat,7623572022781644054,2026-04-01,Man behøver ikke se kampen for at mærke skuffelsen 🫠 Vi bliver hjemme... øv bøv! ,1710,34,0,4,2,https://www.tiktok.com/@zishan.ali2101/video/7623572022781644054
20260403_130924_1bb33a,zishan.ali2101,Zishan Ali,Moderaterne,Københavns Omegns Storkreds,kandidat,7622426856926481686,2026-03-28,"About last night… limbo, smil og endnu en stærk tradition på Grantoften 🌙 Endnu en vellykket Eid-fest på Grantoften – den 5. af slagsen 🖐 Når engagerede kollegaer går forrest, andre bakker op, og eleverne virkelig ønsker traditionen videreført, så op",6326,132,11,88,16,https://www.tiktok.com/@zishan.ali2101/video/7622426856926481686
20260403_130924_1bb33a,zishan.ali2101,Zishan Ali,Moderaterne,Københavns Omegns Storkreds,kandidat,7621285943814704406,2026-03-25,"24 timer siden valgstederne lukkede, og det politiske landskab ser helt anderledes ud i dag. Og jeg kan nu slappe af, og mærke efter. Den 25. februar blev jeg kandidat til Folketinget. Jeg fik mindre end ét døgn til at gøre mig klar – og siden da er ",2057,52,6,6,2,https://www.tiktok.com/@zishan.ali2101/video/7621285943814704406
20260403_130924_1bb33a,zishan.ali2101,Zishan Ali,Moderaterne,Københavns Omegns Storkreds,kandidat,7620888098624392470,2026-03-24,"Valgdag har altid været en familiedag hos os. Selv dengang jeg ikke var på stemmesedlen 🤩 Håber at de sidste når det, og mange har været afsted 🤓",967,44,5,2,4,https://www.tiktok.com/@zishan.ali2101/video/7620888098624392470
20260403_130924_1bb33a,zishan.ali2101,Zishan Ali,Moderaterne,Københavns Omegns Storkreds,kandidat,7620772222076062998,2026-03-24,"En tredjedel af valgdagen er snart overstået.  Mange har været stemt, fedt. Andre har planer, giv den gas. Dem som stadig tænker, kom afsted, vigtigt.",1056,43,0,10,4,https://www.tiktok.com/@zishan.ali2101/video/7620772222076062998
20260403_130924_1bb33a,zishan.ali2101,Zishan Ali,Moderaterne,Københavns Omegns Storkreds,kandidat,7620725713158638870,2026-03-24,"Der findes mange som Bro Kamal - ""beslutter"" sig I stemmeboksen 🤭 Hermed et godt råd, så er du afklaret inden du træder ind i boksen 🤓 Sæt kryds ved Zishan Ali - Moderaterne 😇",1226,44,1,2,1,https://www.tiktok.com/@zishan.ali2101/video/7620725713158638870
20260403_130924_1bb33a,zishan.ali2101,Zishan Ali,Moderaterne,Københavns Omegns Storkreds,kandidat,7620717183433313558,2026-03-24,Så er det nu ✌🏽,2164,45,7,8,1,https://www.tiktok.com/@zishan.ali2101/video/7620717183433313558
20260403_130924_1bb33a,zishan.ali2101,Zishan Ali,Moderaterne,Københavns Omegns Storkreds,kandidat,7620600354677263638,2026-03-24,"Når ens elev bare har talent… så bliver man stolt. De her plakater er lavet af min kreative elev, og de har hængt de sidste tre uger foran flere ungdomsuddannelser. Har du set dem? Kan du genkende, hvor de hænger? Så skriv endelig 👀 Big shoutout til ",1300,35,4,3,2,https://www.tiktok.com/@zishan.ali2101/video/7620600354677263638
20260403_130924_1bb33a,zishan.ali2101,Zishan Ali,Moderaterne,Københavns Omegns Storkreds,kandidat,7620542813985426710,2026-03-23,"I morgen kl. 20 er valgstederne lukket, de sidste står i kø, og det bliver starten på noget nyt.  Jeg håber, at alle når ned og får stemt. Midt i valgkampen er min datter fyldt 13 år – og i dag fylder min søn 9 år. Det minder mig om, hvorfor jeg stil",1380,48,1,10,2,https://www.tiktok.com/@zishan.ali2101/video/7620542813985426710
