tiktok_handle,display_name,party_name,storkreds,account_type,video_id,upload_dato,beskrivelse,visninger,likes,kommentarer,shares,gemmer,video_url
_enhedslisten,Enhedslisten,Enhedslisten - De Rød-Grønne,Landsplan,parti_national,7612913835330030870,2026-03-03,OFFICIEL VALGKAMPSVIDEO 🔥🔥,112300,17000,165,1358,1073,https://www.tiktok.com/@_enhedslisten/video/7612913835330030870
_enhedslisten,Enhedslisten,Enhedslisten - De Rød-Grønne,Landsplan,parti_national,7611173489906666774,2026-02-26,Et Danmark du har råd til! ❤️‍🔥 God valgkamp!,25300,2412,49,94,94,https://www.tiktok.com/@_enhedslisten/video/7611173489906666774
_enhedslisten,Enhedslisten,Enhedslisten - De Rød-Grønne,Landsplan,parti_national,7620188049976069398,2026-03-22,Tak for ordet 🙂,9004,1146,22,62,58,https://www.tiktok.com/@_enhedslisten/video/7620188049976069398
_enhedslisten,Enhedslisten,Enhedslisten - De Rød-Grønne,Landsplan,parti_national,7620173051396771094,2026-03-22,🫢,8965,699,9,10,11,https://www.tiktok.com/@_enhedslisten/video/7620173051396771094
_enhedslisten,Enhedslisten,Enhedslisten - De Rød-Grønne,Landsplan,parti_national,7620131154917625110,2026-03-22,,13000,1469,26,78,48,https://www.tiktok.com/@_enhedslisten/video/7620131154917625110
_enhedslisten,Enhedslisten,Enhedslisten - De Rød-Grønne,Landsplan,parti_national,7620051805644410134,2026-03-22,Vi slår ring. Vi siger fra. Vi vælger håb over had ❤️,2561,318,6,25,7,https://www.tiktok.com/@_enhedslisten/video/7620051805644410134
_enhedslisten,Enhedslisten,Enhedslisten - De Rød-Grønne,Landsplan,parti_national,7619784306226924822,2026-03-21,HÅB OVER HAD ❤️‍🔥,28100,4237,48,315,182,https://www.tiktok.com/@_enhedslisten/video/7619784306226924822
_enhedslisten,Enhedslisten,Enhedslisten - De Rød-Grønne,Landsplan,parti_national,7619625890913258774,2026-03-21,"Klimaforandringerne forsvinder ikke, bare fordi vi holder op med at tale om dem. I går var Danmarks overshoot-day, i dag går vi på gaden til folkets klimamarch! Tag med ❤️💚",12600,1443,14,40,46,https://www.tiktok.com/@_enhedslisten/video/7619625890913258774
_enhedslisten,Enhedslisten,Enhedslisten - De Rød-Grønne,Landsplan,parti_national,7619391037768846614,2026-03-20,Pellethon er i gang - 20 km endnu 🏃‍♂️,2590,63,2,6,4,https://www.tiktok.com/@_enhedslisten/video/7619391037768846614
_enhedslisten,Enhedslisten,Enhedslisten - De Rød-Grønne,Landsplan,parti_national,7619276174723697923,2026-03-20,Folkemordet i Gaza har fyldt ALT for lidt den her valgkamp! Danmark mangler stadig at anerkende Palæstina og stoppe våbeneksporten til Israel✊🇵🇸,78200,6954,23,268,337,https://www.tiktok.com/@_enhedslisten/video/7619276174723697923
_enhedslisten,Enhedslisten,Enhedslisten - De Rød-Grønne,Landsplan,parti_national,7619215034903792918,2026-03-20,ET DANMARK DU HAR RÅD TIL,12500,1359,26,65,62,https://www.tiktok.com/@_enhedslisten/video/7619215034903792918
_enhedslisten,Enhedslisten,Enhedslisten - De Rød-Grønne,Landsplan,parti_national,7619003959293922582,2026-03-19,❤️,10000,885,18,38,22,https://www.tiktok.com/@_enhedslisten/video/7619003959293922582
_enhedslisten,Enhedslisten,Enhedslisten - De Rød-Grønne,Landsplan,parti_national,7618906303586520342,2026-03-19,Resultat af manglende politisk handling. ,5025,239,8,8,5,https://www.tiktok.com/@_enhedslisten/video/7618906303586520342
_enhedslisten,Enhedslisten,Enhedslisten - De Rød-Grønne,Landsplan,parti_national,7618842869289323798,2026-03-19,Vores politiske ordfører btw✌️,26200,3046,20,77,83,https://www.tiktok.com/@_enhedslisten/video/7618842869289323798
_enhedslisten,Enhedslisten,Enhedslisten - De Rød-Grønne,Landsplan,parti_national,7618704887550889238,2026-03-18,"Chat, vi skaber et Danmark, som vi alle har råd til ❤️‍🔥",3954,261,2,2,10,https://www.tiktok.com/@_enhedslisten/video/7618704887550889238
_enhedslisten,Enhedslisten,Enhedslisten - De Rød-Grønne,Landsplan,parti_national,7618609714238098710,2026-03-18,Tørstig 🤤,36000,3226,53,886,147,https://www.tiktok.com/@_enhedslisten/video/7618609714238098710
_enhedslisten,Enhedslisten,Enhedslisten - De Rød-Grønne,Landsplan,parti_national,7618537651179670806,2026-03-18,"De passer på vores ældre. De skifter deres strømper. Vender dem om natten. Sørger for, at de får taget deres medicin. Holder dem i hånden, når de er ensomme.  Hjemmesygeplejersken ❤️ Liberal Alliance mener, at vi skal skære i kommunerne med 7,4 milli",7720,697,18,12,35,https://www.tiktok.com/@_enhedslisten/video/7618537651179670806
_enhedslisten,Enhedslisten,Enhedslisten - De Rød-Grønne,Landsplan,parti_national,7618164245590461718,2026-03-17,Alt på rød tak,19300,1846,57,59,45,https://www.tiktok.com/@_enhedslisten/video/7618164245590461718
_enhedslisten,Enhedslisten,Enhedslisten - De Rød-Grønne,Landsplan,parti_national,7618116673060474134,2026-03-17,🤷‍♂️🤷‍♂️,4159,265,7,6,11,https://www.tiktok.com/@_enhedslisten/video/7618116673060474134
_enhedslisten,Enhedslisten,Enhedslisten - De Rød-Grønne,Landsplan,parti_national,7617974314574302486,2026-03-16,"Vil vi have et velfærdssamfund for os alle eller et forsikringssamfund for dem med flest ressourcer? Vi ved godt, hvad vi foretrækker 😉 ❤️💚",4461,227,6,2,9,https://www.tiktok.com/@_enhedslisten/video/7617974314574302486
_enhedslisten,Enhedslisten,Enhedslisten - De Rød-Grønne,Landsplan,parti_national,7617839594951806230,2026-03-16,Mediernes dækning af formueskat har vist én ting: Eliten har langt flere ressourcer til at tale deres sag.,29500,2235,42,51,46,https://www.tiktok.com/@_enhedslisten/video/7617839594951806230
_enhedslisten,Enhedslisten,Enhedslisten - De Rød-Grønne,Landsplan,parti_national,7617741028891577622,2026-03-16,Dragen er landet 🐲🐉,63800,4813,125,617,184,https://www.tiktok.com/@_enhedslisten/video/7617741028891577622
_enhedslisten,Enhedslisten,Enhedslisten - De Rød-Grønne,Landsplan,parti_national,7617462196536085782,2026-03-15,"Det skal ikke være prisen på din forsikring, der er afgørende for, at du kan få den hjælp, du har ret til ❤️💚",94100,8427,140,507,517,https://www.tiktok.com/@_enhedslisten/video/7617462196536085782
_enhedslisten,Enhedslisten,Enhedslisten - De Rød-Grønne,Landsplan,parti_national,7617384721181363478,2026-03-15,Fokuser på vores ægte problemer.,18600,1625,30,46,46,https://www.tiktok.com/@_enhedslisten/video/7617384721181363478
_enhedslisten,Enhedslisten,Enhedslisten - De Rød-Grønne,Landsplan,parti_national,7617204086424833302,2026-03-14,"“Det er blevet en konkurrence om, hvem der kan tale aller grimmest om alle udlændinge”. ❤️‍🩹❤️‍🩹❤️‍🩹❤️‍🩹",120200,17700,151,1813,1234,https://www.tiktok.com/@_enhedslisten/video/7617204086424833302
_enhedslisten,Enhedslisten,Enhedslisten - De Rød-Grønne,Landsplan,parti_national,7617168947179212054,2026-03-14,Nej tak.,8795,667,34,22,19,https://www.tiktok.com/@_enhedslisten/video/7617168947179212054
_enhedslisten,Enhedslisten,Enhedslisten - De Rød-Grønne,Landsplan,parti_national,7617094001497279766,2026-03-14,🐝,11600,561,11,42,13,https://www.tiktok.com/@_enhedslisten/video/7617094001497279766
_enhedslisten,Enhedslisten,Enhedslisten - De Rød-Grønne,Landsplan,parti_national,7617025445929749762,2026-03-14,"Bevar 10. klasse og HF. Vi er forskellige mennesker, med forskellige veje ❤️💚",13500,1261,13,33,49,https://www.tiktok.com/@_enhedslisten/video/7617025445929749762
_enhedslisten,Enhedslisten,Enhedslisten - De Rød-Grønne,Landsplan,parti_national,7616359735947693334,2026-03-12,Du skal nok klare den 🙏🏻,14800,1204,38,32,28,https://www.tiktok.com/@_enhedslisten/video/7616359735947693334
_enhedslisten,Enhedslisten,Enhedslisten - De Rød-Grønne,Landsplan,parti_national,7616259707098942742,2026-03-12,😉,7820,736,8,25,19,https://www.tiktok.com/@_enhedslisten/video/7616259707098942742
_enhedslisten,Enhedslisten,Enhedslisten - De Rød-Grønne,Landsplan,parti_national,7616117862515674390,2026-03-11,Retfærdig pension -> det er sådan vi gør i Danmark 🤝,46800,4375,21,152,174,https://www.tiktok.com/@_enhedslisten/video/7616117862515674390
_enhedslisten,Enhedslisten,Enhedslisten - De Rød-Grønne,Landsplan,parti_national,7616014799817886979,2026-03-11,"Vi skal ikke være dem, der ødelægger vores ressourcer for fremtidige generationer.  Sprøjteforbud nu!",11100,1147,6,19,37,https://www.tiktok.com/@_enhedslisten/video/7616014799817886979
_enhedslisten,Enhedslisten,Enhedslisten - De Rød-Grønne,Landsplan,parti_national,7615920120568859926,2026-03-11,🫢🫢,12400,719,6,34,18,https://www.tiktok.com/@_enhedslisten/video/7615920120568859926
_enhedslisten,Enhedslisten,Enhedslisten - De Rød-Grønne,Landsplan,parti_national,7615615609946115350,2026-03-10,Udvindingen mere olie og gas fra Nordsøen vil sænke den grønne omstilling og er fuldstændigt unødvendigt for energiforsyningen.,8941,726,18,24,14,https://www.tiktok.com/@_enhedslisten/video/7615615609946115350
_enhedslisten,Enhedslisten,Enhedslisten - De Rød-Grønne,Landsplan,parti_national,7615511303297223958,2026-03-10,"Husk det, når du sætter dit kryds 😘",48400,3989,63,93,74,https://www.tiktok.com/@_enhedslisten/video/7615511303297223958
_enhedslisten,Enhedslisten,Enhedslisten - De Rød-Grønne,Landsplan,parti_national,7615260802664205570,2026-03-09,Jeg er så f*cking rød❤️‍🔥,6831,622,13,17,17,https://www.tiktok.com/@_enhedslisten/video/7615260802664205570
_enhedslisten,Enhedslisten,Enhedslisten - De Rød-Grønne,Landsplan,parti_national,7615133635322072342,2026-03-09,"Velfærdsområderne skal altid sættes op mod hinanden, aldrig mod topskattelettelserne.",5011,353,8,1,15,https://www.tiktok.com/@_enhedslisten/video/7615133635322072342
_enhedslisten,Enhedslisten,Enhedslisten - De Rød-Grønne,Landsplan,parti_national,7614961422270876931,2026-03-08,❤️❤️❤️,5621,495,5,4,13,https://www.tiktok.com/@_enhedslisten/video/7614961422270876931
_enhedslisten,Enhedslisten,Enhedslisten - De Rød-Grønne,Landsplan,parti_national,7614591103806852374,2026-03-07,Loft over lejen 🤏,7594,529,17,3,14,https://www.tiktok.com/@_enhedslisten/video/7614591103806852374
_enhedslisten,Enhedslisten,Enhedslisten - De Rød-Grønne,Landsplan,parti_national,7614501804767857942,2026-03-07,"Alle danskere skal have ret til nogle gode år på pension efter et langt arbejdsliv ❤️💚 Det må aldrig blive en ret, som kun er forbeholdt de få.",14400,1648,39,64,67,https://www.tiktok.com/@_enhedslisten/video/7614501804767857942
_enhedslisten,Enhedslisten,Enhedslisten - De Rød-Grønne,Landsplan,parti_national,7614416245173046550,2026-03-07,Vi vælger håbet ❤️,20300,2293,75,68,60,https://www.tiktok.com/@_enhedslisten/video/7614416245173046550
_enhedslisten,Enhedslisten,Enhedslisten - De Rød-Grønne,Landsplan,parti_national,7614125701142170902,2026-03-06,God weekend allesammen 🙂,6128,364,8,24,6,https://www.tiktok.com/@_enhedslisten/video/7614125701142170902
_enhedslisten,Enhedslisten,Enhedslisten - De Rød-Grønne,Landsplan,parti_national,7614020745382972694,2026-03-06,"Over halvdelen af Danmarks drikkevandsboringer er forurenede, alligevel nægter Socialdemokratiet og blå blok at tage anden handling end snak.",18100,2064,44,22,41,https://www.tiktok.com/@_enhedslisten/video/7614020745382972694
_enhedslisten,Enhedslisten,Enhedslisten - De Rød-Grønne,Landsplan,parti_national,7613754386174692611,2026-03-05,"Mette Frederiksens pensionsalder er 60 år, mens din bliver ved med at stige.",14000,989,39,18,37,https://www.tiktok.com/@_enhedslisten/video/7613754386174692611
_enhedslisten,Enhedslisten,Enhedslisten - De Rød-Grønne,Landsplan,parti_national,7613668089741266198,2026-03-05,Tomme løfter og valgflæsk,39500,4425,114,173,134,https://www.tiktok.com/@_enhedslisten/video/7613668089741266198
_enhedslisten,Enhedslisten,Enhedslisten - De Rød-Grønne,Landsplan,parti_national,7613488784402926870,2026-03-04,👋👋,40000,2771,60,152,88,https://www.tiktok.com/@_enhedslisten/video/7613488784402926870
_enhedslisten,Enhedslisten,Enhedslisten - De Rød-Grønne,Landsplan,parti_national,7613395465840725271,2026-03-04,mEn hVoR SkAL pEnGenE KOmMe FrA? ,4396,355,8,9,6,https://www.tiktok.com/@_enhedslisten/video/7613395465840725271
_enhedslisten,Enhedslisten,Enhedslisten - De Rød-Grønne,Landsplan,parti_national,7613310399210900758,2026-03-04,🕵️‍♂️🕵️‍♂️🕵️‍♂️,60700,5968,101,440,149,https://www.tiktok.com/@_enhedslisten/video/7613310399210900758
_enhedslisten,Enhedslisten,Enhedslisten - De Rød-Grønne,Landsplan,parti_national,7613142110241377558,2026-03-03,"En formueskat på 1% af formuer over 35 mio. handler ikke om misundelse, det handler om at give tilbage til det samfund, der har gjort succesen mulig 🤝 ",28200,2915,88,70,97,https://www.tiktok.com/@_enhedslisten/video/7613142110241377558
_enhedslisten,Enhedslisten,Enhedslisten - De Rød-Grønne,Landsplan,parti_national,7613083832673258774,2026-03-03,Hårde tider for topdirektøren i Vestas 😔,84700,3801,236,395,263,https://www.tiktok.com/@_enhedslisten/video/7613083832673258774
_enhedslisten,Enhedslisten,Enhedslisten - De Rød-Grønne,Landsplan,parti_national,7612700182978874646,2026-03-02,Intet rent drikkevand - intet skyll 🚰,6319,530,19,17,17,https://www.tiktok.com/@_enhedslisten/video/7612700182978874646
_enhedslisten,Enhedslisten,Enhedslisten - De Rød-Grønne,Landsplan,parti_national,7612564816548465942,2026-03-02,🙂,10300,950,33,101,44,https://www.tiktok.com/@_enhedslisten/video/7612564816548465942
_enhedslisten,Enhedslisten,Enhedslisten - De Rød-Grønne,Landsplan,parti_national,7612204832136416534,2026-03-01,✌️😘,28400,2664,67,48,62,https://www.tiktok.com/@_enhedslisten/video/7612204832136416534
_enhedslisten,Enhedslisten,Enhedslisten - De Rød-Grønne,Landsplan,parti_national,7612012959421828374,2026-02-28,Klar til kamp! For et Danmark du har råd til ❤️‍🔥❤️‍🔥❤️‍🔥,7672,625,14,8,21,https://www.tiktok.com/@_enhedslisten/video/7612012959421828374
_enhedslisten,Enhedslisten,Enhedslisten - De Rød-Grønne,Landsplan,parti_national,7611853698783841558,2026-02-28,"Den energi ❤️ Det er tid til en ny, rød regering i Danmark 🇩🇰",5765,452,7,18,11,https://www.tiktok.com/@_enhedslisten/video/7611853698783841558
_enhedslisten,Enhedslisten,Enhedslisten - De Rød-Grønne,Landsplan,parti_national,7611574423132392726,2026-02-27,"Kun på dag 1, og det går allerede den rigtige vej ☝🏼🆙",7945,727,12,12,28,https://www.tiktok.com/@_enhedslisten/video/7611574423132392726
_enhedslisten,Enhedslisten,Enhedslisten - De Rød-Grønne,Landsplan,parti_national,7611533381452434710,2026-02-27,"Dem, der har knoklet længst på gulvet, skal også kunne nyde deres pensionsliv ❤️",8242,896,20,24,31,https://www.tiktok.com/@_enhedslisten/video/7611533381452434710
_enhedslisten,Enhedslisten,Enhedslisten - De Rød-Grønne,Landsplan,parti_national,7611486311093914902,2026-02-27,"Chat, det skal være slut med uretfærdige pensionsaldre- og ydelser ❤️‍🔥",18500,2152,35,37,35,https://www.tiktok.com/@_enhedslisten/video/7611486311093914902
_enhedslisten,Enhedslisten,Enhedslisten - De Rød-Grønne,Landsplan,parti_national,7611293472645074198,2026-02-26,"Det er nu, det gælder ❤️‍🔥❤️‍🔥❤️‍🔥",14700,2174,72,29,47,https://www.tiktok.com/@_enhedslisten/video/7611293472645074198
_enhedslisten,Enhedslisten,Enhedslisten - De Rød-Grønne,Landsplan,parti_national,7611241507877588246,2026-02-26,"HJÆLP OS MED AT VINDE VALGET - LAD OS SAMLE 300.000 KRONER IND 🔥💪 De næste uger afgør, om vi endelig får en ny, rød retning for Danmark. En regering, der står på side med helt almindelige danskere. Som sænker momsen på mad, sætter loft og lejen og bi",4212,276,9,12,9,https://www.tiktok.com/@_enhedslisten/video/7611241507877588246
_enhedslisten,Enhedslisten,Enhedslisten - De Rød-Grønne,Landsplan,parti_national,7610909456603319574,2026-02-25,"Du bliver ikke rig af at arbejde, du bliver rig af at have en formue 💰 Helt ærligt, det må vi lave om før uligheden får Danmark, som vi kender det, til at smuldre ❤️‍🔥",6463,680,10,20,36,https://www.tiktok.com/@_enhedslisten/video/7610909456603319574
_enhedslisten,Enhedslisten,Enhedslisten - De Rød-Grønne,Landsplan,parti_national,7610774792274234646,2026-02-25,Simpelt: indfør en formueskat på én procent på formuer over 35.000.000. 🔥,32800,2136,223,111,74,https://www.tiktok.com/@_enhedslisten/video/7610774792274234646
_enhedslisten,Enhedslisten,Enhedslisten - De Rød-Grønne,Landsplan,parti_national,7610094345110179094,2026-02-23,"Værelser på 8 kvadratmeter til 8000 kroner. Altså hvad foregår der? 😳 Over to millioner bor til leje i Danmark. Alligevel er de som luft på Christiansborg. Ingen snakker om dem, selvom priserne på deres lejligheder er helt fucked.  Lad os indføre et ",7523,751,24,26,26,https://www.tiktok.com/@_enhedslisten/video/7610094345110179094
_enhedslisten,Enhedslisten,Enhedslisten - De Rød-Grønne,Landsplan,parti_national,7606648943723744534,2026-02-14,Årh den kære blå familie 🩵🩵🩵🩵🩵,60500,3967,57,376,148,https://www.tiktok.com/@_enhedslisten/video/7606648943723744534
_enhedslisten,Enhedslisten,Enhedslisten - De Rød-Grønne,Landsplan,parti_national,7606314904156409110,2026-02-13,"Ikke flere nyttige idioter for Trump, tak! @Pelle Dragsted ❤️‍🔥❤️‍🔥❤️‍🔥❤️‍🔥 #danskpolitik #nyheder #trump ",50400,5430,59,278,305,https://www.tiktok.com/@_enhedslisten/video/7606314904156409110
_enhedslisten,Enhedslisten,Enhedslisten - De Rød-Grønne,Landsplan,parti_national,7604874556800535830,2026-02-09,Ups 🤭,8317,586,42,21,12,https://www.tiktok.com/@_enhedslisten/video/7604874556800535830
_enhedslisten,Enhedslisten,Enhedslisten - De Rød-Grønne,Landsplan,parti_national,7603003239549652246,2026-02-04,TOP 3 MOMENTER HVOR PELLE SPISER 🥵,9082,1275,36,35,85,https://www.tiktok.com/@_enhedslisten/video/7603003239549652246
_enhedslisten,Enhedslisten,Enhedslisten - De Rød-Grønne,Landsplan,parti_national,7600712250801868054,2026-01-29,"Du véd, hvad du skal gøre. Stem på Enhedslisten til skolevalget i dag ❤️",35600,3461,82,171,169,https://www.tiktok.com/@_enhedslisten/video/7600712250801868054
_enhedslisten,Enhedslisten,Enhedslisten - De Rød-Grønne,Landsplan,parti_national,7599010041634786562,2026-01-24,En ægte horror story u guys 🤡,6376,364,8,41,27,https://www.tiktok.com/@_enhedslisten/video/7599010041634786562
_enhedslisten,Enhedslisten,Enhedslisten - De Rød-Grønne,Landsplan,parti_national,7598240427791224086,2026-01-22,Revanche 2026??? ,138100,7002,26,183,219,https://www.tiktok.com/@_enhedslisten/video/7598240427791224086
_enhedslisten,Enhedslisten,Enhedslisten - De Rød-Grønne,Landsplan,parti_national,7597060166558682390,2026-01-19,"Liberal Alliance har travlt med at være efter regeringen - efter de vil indføre fødevarechecks til dem, der har mindst. Det er ikke noget nyt. For LA prioriterer som altid toppen - millionærerne, og de millionvirksomheder, der poster penge lige ned d",53700,2625,74,88,156,https://www.tiktok.com/@_enhedslisten/video/7597060166558682390
_enhedslisten,Enhedslisten,Enhedslisten - De Rød-Grønne,Landsplan,parti_national,7596303334026333462,2026-01-17,"Morale er godt, dobbeltmorale er dobbelt så godt? 😮‍💨😮‍💨😮‍💨 #nyheder #danskpolitik #dkpol ",41100,4794,52,435,180,https://www.tiktok.com/@_enhedslisten/video/7596303334026333462
_enhedslisten,Enhedslisten,Enhedslisten - De Rød-Grønne,Landsplan,parti_national,7580374242471234838,2025-12-05,Billigere luksusbiler til overklassen eller billigere fødevarer? 🤡  Gad vide hvad Socialdemokratiet ville vælge…. #danskpolitik #nyheder ,10300,834,29,15,29,https://www.tiktok.com/@_enhedslisten/video/7580374242471234838
_enhedslisten,Enhedslisten,Enhedslisten - De Rød-Grønne,Landsplan,parti_national,7572595989681327382,2025-11-14,MAGTSKIFTE I KBH NU 🤤🤤🤤 #nyheder #dkpol #danskpolitik ,101900,2203,49,49,66,https://www.tiktok.com/@_enhedslisten/video/7572595989681327382
_enhedslisten,Enhedslisten,Enhedslisten - De Rød-Grønne,Landsplan,parti_national,7570720843404397827,2025-11-09,"Forleden stod en dansk partileder i Folketingssalen og talte om udlændingepolitik. En ny gren i udlændingedebatten vil sende tusindevis af mennesker ud af landet. Ikke for hvad de gør - men for hvem de er, og hvordan de ser ud.  Det er farligt. Når e",60400,4493,84,194,223,https://www.tiktok.com/@_enhedslisten/video/7570720843404397827
