run_id,tiktok_handle,display_name,party_name,storkreds,account_type,video_id,upload_dato,beskrivelse,visninger,likes,kommentarer,shares,gemmer,video_url
20260403_130924_1bb33a,alexvanopslagh,Alex Vanopslagh,Liberal Alliance,Østjyllands Storkreds,kandidat,7620065369226546454,2026-03-22,Stem LA på tirsdag!,638100,51100,299,4549,3990,https://www.tiktok.com/@alexvanopslagh/video/7620065369226546454
20260403_130924_1bb33a,alexvanopslagh,Alex Vanopslagh,Liberal Alliance,Østjyllands Storkreds,kandidat,7618958318589021462,2026-03-19,Livet er ikke perfekt! ,492000,32400,178,1231,1902,https://www.tiktok.com/@alexvanopslagh/video/7618958318589021462
20260403_130924_1bb33a,alexvanopslagh,Alex Vanopslagh,Liberal Alliance,Østjyllands Storkreds,kandidat,7617472789422886166,2026-03-15,Vi vil ikke fjerne SU’en! ,505800,27500,208,2237,1645,https://www.tiktok.com/@alexvanopslagh/video/7617472789422886166
20260403_130924_1bb33a,alexvanopslagh,Alex Vanopslagh,Liberal Alliance,Østjyllands Storkreds,kandidat,7620869918036151574,2026-03-24,Det er nu det gælder. Tiden er inde til en frisk start.,216800,14700,121,298,695,https://www.tiktok.com/@alexvanopslagh/video/7620869918036151574
20260403_130924_1bb33a,alexvanopslagh,Alex Vanopslagh,Liberal Alliance,Østjyllands Storkreds,kandidat,7620816321567296790,2026-03-24,Argumenterne for at gøre Mette Frederiksen til statsminister igen: ,211800,14100,140,1493,708,https://www.tiktok.com/@alexvanopslagh/video/7620816321567296790
20260403_130924_1bb33a,alexvanopslagh,Alex Vanopslagh,Liberal Alliance,Østjyllands Storkreds,kandidat,7620815928195878166,2026-03-24,,51800,1918,19,33,97,https://www.tiktok.com/@alexvanopslagh/video/7620815928195878166
20260403_130924_1bb33a,alexvanopslagh,Alex Vanopslagh,Liberal Alliance,Østjyllands Storkreds,kandidat,7620815908935732503,2026-03-24,,60200,3017,21,12,96,https://www.tiktok.com/@alexvanopslagh/video/7620815908935732503
20260403_130924_1bb33a,alexvanopslagh,Alex Vanopslagh,Liberal Alliance,Østjyllands Storkreds,kandidat,7620809735910034710,2026-03-24,Svært at udtale. Nemt at stemme på. ,33500,2414,27,71,108,https://www.tiktok.com/@alexvanopslagh/video/7620809735910034710
20260403_130924_1bb33a,alexvanopslagh,Alex Vanopslagh,Liberal Alliance,Østjyllands Storkreds,kandidat,7620791848520518934,2026-03-24,"Jeg vil ikke have siddende på mig, at Liberal Alliance ikke kæmper for bedre natur og bedre dyrevelfærd.",36500,1976,10,55,98,https://www.tiktok.com/@alexvanopslagh/video/7620791848520518934
20260403_130924_1bb33a,alexvanopslagh,Alex Vanopslagh,Liberal Alliance,Østjyllands Storkreds,kandidat,7620758693306486038,2026-03-24,Ingen skat af de første 7.000 kroner hver måned! Stem på Liberal Alliance i dag! ,278600,15000,99,678,773,https://www.tiktok.com/@alexvanopslagh/video/7620758693306486038
20260403_130924_1bb33a,alexvanopslagh,Alex Vanopslagh,Liberal Alliance,Østjyllands Storkreds,kandidat,7620757951002725654,2026-03-24,"Siden Mette Frederiksen blev statsminister, har hun ansat mere end 19.000 bureaukrater i staten. Tiden er inde til en bindende bureaukratilov! Stem på Liberal Alliance i dag!",24200,926,9,15,38,https://www.tiktok.com/@alexvanopslagh/video/7620757951002725654
20260403_130924_1bb33a,alexvanopslagh,Alex Vanopslagh,Liberal Alliance,Østjyllands Storkreds,kandidat,7620756954083904790,2026-03-24,"Siden Mette Frederiksen blev statsminister, har hun ansat mere end 19.000 bureaukrater i staten. Tiden er inde til en bindende bureaukratilov! Stem på Liberal Alliance i dag!",279500,13300,55,84,412,https://www.tiktok.com/@alexvanopslagh/video/7620756954083904790
20260403_130924_1bb33a,alexvanopslagh,Alex Vanopslagh,Liberal Alliance,Østjyllands Storkreds,kandidat,7620714533924982038,2026-03-24,Stem på en frisk start for Danmark i dag! 🇩🇰,28500,1101,14,20,41,https://www.tiktok.com/@alexvanopslagh/video/7620714533924982038
20260403_130924_1bb33a,alexvanopslagh,Alex Vanopslagh,Liberal Alliance,Østjyllands Storkreds,kandidat,7620589096896924950,2026-03-23,,24600,1197,25,38,49,https://www.tiktok.com/@alexvanopslagh/video/7620589096896924950
20260403_130924_1bb33a,alexvanopslagh,Alex Vanopslagh,Liberal Alliance,Østjyllands Storkreds,kandidat,7620575631167769878,2026-03-23,En stemme på Moderaterne er en stemme på Mette Frederiksen. ,246500,15600,116,458,750,https://www.tiktok.com/@alexvanopslagh/video/7620575631167769878
20260403_130924_1bb33a,alexvanopslagh,Alex Vanopslagh,Liberal Alliance,Østjyllands Storkreds,kandidat,7620565140328467734,2026-03-23,Asylstop nu! ,49400,3134,27,98,153,https://www.tiktok.com/@alexvanopslagh/video/7620565140328467734
20260403_130924_1bb33a,alexvanopslagh,Alex Vanopslagh,Liberal Alliance,Østjyllands Storkreds,kandidat,7620535143068912918,2026-03-23,😊,231400,16500,79,506,512,https://www.tiktok.com/@alexvanopslagh/video/7620535143068912918
