run_id,tiktok_handle,display_name,party_name,storkreds,account_type,video_id,upload_dato,beskrivelse,visninger,likes,kommentarer,shares,gemmer,video_url
20260403_130924_1bb33a,hollymarieturner,Holly Marie Turner,Enhedslisten - De Rød-Grønne,Sydjyllands Storkreds,kandidat,7623984757587578134,2026-04-02,Yolo yoyo lol,296,13,0,0,0,https://www.tiktok.com/@hollymarieturner/video/7623984757587578134
20260403_130924_1bb33a,hollymarieturner,Holly Marie Turner,Enhedslisten - De Rød-Grønne,Sydjyllands Storkreds,kandidat,7620644514994064642,2026-03-24,Så er dagen kommet! Wuuup!❤️💚,364,35,0,0,1,https://www.tiktok.com/@hollymarieturner/video/7620644514994064642
20260403_130924_1bb33a,hollymarieturner,Holly Marie Turner,Enhedslisten - De Rød-Grønne,Sydjyllands Storkreds,kandidat,7619144855842819350,2026-03-20,Snak politik med mig please#folketingsvalget #enhedsliten #grønomstilling #jegerdårligtiltiktok,265,17,1,1,2,https://www.tiktok.com/@hollymarieturner/video/7619144855842819350
20260403_130924_1bb33a,hollymarieturner,Holly Marie Turner,Enhedslisten - De Rød-Grønne,Sydjyllands Storkreds,kandidat,7619143093870218518,2026-03-20,Jeg vil bare gerne være god til TikTok ,323,21,0,0,0,https://www.tiktok.com/@hollymarieturner/video/7619143093870218518
20260403_130924_1bb33a,hollymarieturner,Holly Marie Turner,Enhedslisten - De Rød-Grønne,Sydjyllands Storkreds,kandidat,7615443399222545686,2026-03-10,Karl er ikke en kal,283,9,2,0,0,https://www.tiktok.com/@hollymarieturner/video/7615443399222545686
20260403_130924_1bb33a,hollymarieturner,Holly Marie Turner,Enhedslisten - De Rød-Grønne,Sydjyllands Storkreds,kandidat,7614473093213555990,2026-03-07,Billigere busser eller ballade🤪,119,14,1,0,0,https://www.tiktok.com/@hollymarieturner/video/7614473093213555990
20260403_130924_1bb33a,hollymarieturner,Holly Marie Turner,Enhedslisten - De Rød-Grønne,Sydjyllands Storkreds,kandidat,7612950480100298007,2026-03-03,"Jeg er så stolt af at jeg har færdiggjort en ungdomsuddannelse, men det havde jeg ikke hvis det ikke var for 10. Klasse. Behold 10. 🫶",378,38,1,0,1,https://www.tiktok.com/@hollymarieturner/video/7612950480100298007
20260403_130924_1bb33a,hollymarieturner,Holly Marie Turner,Enhedslisten - De Rød-Grønne,Sydjyllands Storkreds,kandidat,7612396772719086870,2026-03-01,"Og hvis du er træt af DF hetz mod invandrer og specielt muslimer, så sæt dit X ved Ø d. 24. Marts",187,21,0,0,0,https://www.tiktok.com/@hollymarieturner/video/7612396772719086870
20260403_130924_1bb33a,hollymarieturner,Holly Marie Turner,Enhedslisten - De Rød-Grønne,Sydjyllands Storkreds,kandidat,7612122686877142294,2026-03-01,Jeg er altså ikke en some queen ,94,13,1,0,0,https://www.tiktok.com/@hollymarieturner/video/7612122686877142294
20260403_130924_1bb33a,hollymarieturner,Holly Marie Turner,Enhedslisten - De Rød-Grønne,Sydjyllands Storkreds,kandidat,7612119320344202518,2026-03-01,"Det lyder måske helt vanvittigt, men i Fredericia er det virkeligheden, lad os gøre det virkeligt i hele Danmark ✨🍉 #folketingsvalget #enhedsliten @RGU.Fredercia.omegn ",275,42,3,0,1,https://www.tiktok.com/@hollymarieturner/video/7612119320344202518
20260403_130924_1bb33a,hollymarieturner,Holly Marie Turner,Enhedslisten - De Rød-Grønne,Sydjyllands Storkreds,kandidat,7609558751237934358,2026-02-22,Jeg er træt. Men altså gør hvad du vil💅,475,37,0,0,0,https://www.tiktok.com/@hollymarieturner/video/7609558751237934358
