run_id,tiktok_handle,display_name,party_name,storkreds,account_type,video_id,upload_dato,beskrivelse,visninger,likes,kommentarer,shares,gemmer,video_url
20260405_233245_21cad1,kronborg1982,Anders Kronborg,Socialdemokratiet,Sydjyllands Storkreds,kandidat,7589699225907137814,2025-12-30,"Jeg startede selv med at gå med aviser allerede da jeg var 11 år. Jeg lærte meget ved at have et fritidsarbejde. Jeg gjorde bl.a. rent hos Kernebageren på Jørgen Pedersens vej i Esbjerg. De unge mennesker under 18 år, som har et fritidsjob, oplever o",112200,4158,110,1366,379,https://www.tiktok.com/@kronborg1982/video/7589699225907137814
20260405_233245_21cad1,kronborg1982,Anders Kronborg,Socialdemokratiet,Sydjyllands Storkreds,kandidat,7563958049010978070,2025-10-22,Fra og med den 1. januar 2026 skal unge under 18 år ikke længere betale AM-bidrag 👏 #dkpol #dkmedier ,58400,2281,82,759,129,https://www.tiktok.com/@kronborg1982/video/7563958049010978070
20260405_233245_21cad1,kronborg1982,Anders Kronborg,Socialdemokratiet,Sydjyllands Storkreds,kandidat,7561178584342088982,2025-10-14,"Jeg har tjekket afstemningerne igennem i EU-Parlamentet. Blev chokeret over, at @Anders Vistisen ikke stemte samme med de andre danske EU-medlemmer. Hvad er forklaringen på det. Vi skal holde med Ukraine 🇩🇰🇺🇦 #dkpol ",21100,442,75,11,23,https://www.tiktok.com/@kronborg1982/video/7561178584342088982
20260405_233245_21cad1,kronborg1982,Anders Kronborg,Socialdemokratiet,Sydjyllands Storkreds,kandidat,7621666801587473686,2026-03-26,Tak for tilliden 🫶🏻,2636,64,7,6,4,https://www.tiktok.com/@kronborg1982/video/7621666801587473686
20260405_233245_21cad1,kronborg1982,Anders Kronborg,Socialdemokratiet,Sydjyllands Storkreds,kandidat,7620801130791996694,2026-03-24,Håber I vil stemme personligt på mig 👏,4019,84,1,9,5,https://www.tiktok.com/@kronborg1982/video/7620801130791996694
20260405_233245_21cad1,kronborg1982,Anders Kronborg,Socialdemokratiet,Sydjyllands Storkreds,kandidat,7620606500058205462,2026-03-24,Stem på Socialdemokratiet 🌹,1984,43,7,4,3,https://www.tiktok.com/@kronborg1982/video/7620606500058205462
20260405_233245_21cad1,kronborg1982,Anders Kronborg,Socialdemokratiet,Sydjyllands Storkreds,kandidat,7620386579386764567,2026-03-23,En fair pension 🌹,1241,31,1,4,1,https://www.tiktok.com/@kronborg1982/video/7620386579386764567
20260405_233245_21cad1,kronborg1982,Anders Kronborg,Socialdemokratiet,Sydjyllands Storkreds,kandidat,7620376629495352598,2026-03-23,Sidste dag i valgkampen. Stem personligt 🌹,9008,194,10,25,9,https://www.tiktok.com/@kronborg1982/video/7620376629495352598
20260405_233245_21cad1,kronborg1982,Anders Kronborg,Socialdemokratiet,Sydjyllands Storkreds,kandidat,7620212276171214102,2026-03-22,Fanø ❤️,2534,57,1,3,0,https://www.tiktok.com/@kronborg1982/video/7620212276171214102
20260405_233245_21cad1,kronborg1982,Anders Kronborg,Socialdemokratiet,Sydjyllands Storkreds,kandidat,7620203069153807638,2026-03-22,"Tak, Poul 🌹",6602,76,4,8,15,https://www.tiktok.com/@kronborg1982/video/7620203069153807638
