run_id,tiktok_handle,display_name,party_name,storkreds,account_type,video_id,upload_dato,beskrivelse,visninger,likes,kommentarer,shares,gemmer,video_url
20260403_130924_1bb33a,madsmagnusdamm,Mads-Magnus Damm,Dansk Folkeparti,Sydjyllands Storkreds,kandidat,7571222218487762199,2025-11-10,#skærbæk #sønderjylland #foru #tønder #dkpol ,24000,1506,89,85,85,https://www.tiktok.com/@madsmagnusdamm/video/7571222218487762199
20260403_130924_1bb33a,madsmagnusdamm,Mads-Magnus Damm,Dansk Folkeparti,Sydjyllands Storkreds,kandidat,7561508678235442435,2025-10-15,#skærbæk #sønderjylland #foru #tønder #dkpol ,73100,4022,204,378,217,https://www.tiktok.com/@madsmagnusdamm/video/7561508678235442435
20260403_130924_1bb33a,madsmagnusdamm,Mads-Magnus Damm,Dansk Folkeparti,Sydjyllands Storkreds,kandidat,7620175854726958358,2026-03-22,#danskfolkeparti #folketingsvalg #dkpol #sønderjylland ,1223,85,1,2,2,https://www.tiktok.com/@madsmagnusdamm/video/7620175854726958358
20260403_130924_1bb33a,madsmagnusdamm,Mads-Magnus Damm,Dansk Folkeparti,Sydjyllands Storkreds,kandidat,7618212586554658050,2026-03-17,#danskfolkeparti #folketingsvalg #dkpol #sønderjylland ,1237,75,3,1,2,https://www.tiktok.com/@madsmagnusdamm/video/7618212586554658050
20260403_130924_1bb33a,madsmagnusdamm,Mads-Magnus Damm,Dansk Folkeparti,Sydjyllands Storkreds,kandidat,7617091645871361302,2026-03-14,,1611,92,1,5,4,https://www.tiktok.com/@madsmagnusdamm/video/7617091645871361302
20260403_130924_1bb33a,madsmagnusdamm,Mads-Magnus Damm,Dansk Folkeparti,Sydjyllands Storkreds,kandidat,7615984830513253654,2026-03-11,Send dem hjem✈️✈️#folketingsvalget #foru #dkpol #udlændinge #danskfolkeparti ,833,73,6,4,5,https://www.tiktok.com/@madsmagnusdamm/video/7615984830513253654
20260403_130924_1bb33a,madsmagnusdamm,Mads-Magnus Damm,Dansk Folkeparti,Sydjyllands Storkreds,kandidat,7615686936350444822,2026-03-10,#folketingsvalget #foru #dkpol #udlændinge #danskfolkeparti ,895,55,6,1,1,https://www.tiktok.com/@madsmagnusdamm/video/7615686936350444822
20260403_130924_1bb33a,madsmagnusdamm,Mads-Magnus Damm,Dansk Folkeparti,Sydjyllands Storkreds,kandidat,7615286739074075926,2026-03-09,#folketingsvalget #foru #dkpol #udlændinge #danskfolkeparti ,889,53,5,0,1,https://www.tiktok.com/@madsmagnusdamm/video/7615286739074075926
20260403_130924_1bb33a,madsmagnusdamm,Mads-Magnus Damm,Dansk Folkeparti,Sydjyllands Storkreds,kandidat,7614993813991460118,2026-03-08,,9318,431,19,22,19,https://www.tiktok.com/@madsmagnusdamm/video/7614993813991460118
20260403_130924_1bb33a,madsmagnusdamm,Mads-Magnus Damm,Dansk Folkeparti,Sydjyllands Storkreds,kandidat,7614895883125148950,2026-03-08,#folketingsvalget #foru #dkpol #charliekirk ,920,53,2,2,4,https://www.tiktok.com/@madsmagnusdamm/video/7614895883125148950
20260403_130924_1bb33a,madsmagnusdamm,Mads-Magnus Damm,Dansk Folkeparti,Sydjyllands Storkreds,kandidat,7614468421337664790,2026-03-07,#folketingsvalget #foru #dkpol #danskfolkeparti ,912,68,2,0,4,https://www.tiktok.com/@madsmagnusdamm/video/7614468421337664790
20260403_130924_1bb33a,madsmagnusdamm,Mads-Magnus Damm,Dansk Folkeparti,Sydjyllands Storkreds,kandidat,7613709752706649366,2026-03-05,#folketingsvalget #foru #dkpol #danskfolkeparti ,2492,123,8,6,6,https://www.tiktok.com/@madsmagnusdamm/video/7613709752706649366
20260403_130924_1bb33a,madsmagnusdamm,Mads-Magnus Damm,Dansk Folkeparti,Sydjyllands Storkreds,kandidat,7613707602286972182,2026-03-05,#folketingsvalget #foru #kandidattest,1586,49,7,2,4,https://www.tiktok.com/@madsmagnusdamm/video/7613707602286972182
20260403_130924_1bb33a,madsmagnusdamm,Mads-Magnus Damm,Dansk Folkeparti,Sydjyllands Storkreds,kandidat,7613533546107391235,2026-03-04,#foru #dkpol #danskfolkeparti ,2013,82,9,9,2,https://www.tiktok.com/@madsmagnusdamm/video/7613533546107391235
20260403_130924_1bb33a,madsmagnusdamm,Mads-Magnus Damm,Dansk Folkeparti,Sydjyllands Storkreds,kandidat,7613527420049624342,2026-03-04,#Sammenføj med @RGU Viborg ,1203,96,1,24,2,https://www.tiktok.com/@madsmagnusdamm/video/7613527420049624342
20260403_130924_1bb33a,madsmagnusdamm,Mads-Magnus Damm,Dansk Folkeparti,Sydjyllands Storkreds,kandidat,7613081996448795926,2026-03-03,#foru #dkpol #sønderjylland #udlændinge #danskfolkeparti ,1851,107,2,7,10,https://www.tiktok.com/@madsmagnusdamm/video/7613081996448795926
20260403_130924_1bb33a,madsmagnusdamm,Mads-Magnus Damm,Dansk Folkeparti,Sydjyllands Storkreds,kandidat,7612395290888326422,2026-03-01,#foru #dkpol #sønderjylland #danskfolkeparti ,2300,165,9,6,2,https://www.tiktok.com/@madsmagnusdamm/video/7612395290888326422
20260403_130924_1bb33a,madsmagnusdamm,Mads-Magnus Damm,Dansk Folkeparti,Sydjyllands Storkreds,kandidat,7611167911662734614,2026-02-26,#skærbæk #ribe #foru #dkpol #sønderjylland ,1445,76,5,2,4,https://www.tiktok.com/@madsmagnusdamm/video/7611167911662734614
20260403_130924_1bb33a,madsmagnusdamm,Mads-Magnus Damm,Dansk Folkeparti,Sydjyllands Storkreds,kandidat,7610504074471116054,2026-02-24,#dkpol #foru #politik #danskfolkeparti #udlændinge ,4914,216,6,8,10,https://www.tiktok.com/@madsmagnusdamm/video/7610504074471116054
20260403_130924_1bb33a,madsmagnusdamm,Mads-Magnus Damm,Dansk Folkeparti,Sydjyllands Storkreds,kandidat,7610447649086491926,2026-02-24,,2434,67,7,1,2,https://www.tiktok.com/@madsmagnusdamm/video/7610447649086491926
20260403_130924_1bb33a,madsmagnusdamm,Mads-Magnus Damm,Dansk Folkeparti,Sydjyllands Storkreds,kandidat,7609659294644112642,2026-02-22,#dkpol #foru #politik #danskfolkeparti #sønderjylland ,10300,355,15,13,14,https://www.tiktok.com/@madsmagnusdamm/video/7609659294644112642
20260403_130924_1bb33a,madsmagnusdamm,Mads-Magnus Damm,Dansk Folkeparti,Sydjyllands Storkreds,kandidat,7608599702346452246,2026-02-19,#dkpol #foru #politik #danskfolkeparti #sønderjylland ,1323,77,1,3,4,https://www.tiktok.com/@madsmagnusdamm/video/7608599702346452246
20260403_130924_1bb33a,madsmagnusdamm,Mads-Magnus Damm,Dansk Folkeparti,Sydjyllands Storkreds,kandidat,7608283965945875734,2026-02-18,#dkpol #foru #politik #danskfolkeparti ,686,41,2,2,5,https://www.tiktok.com/@madsmagnusdamm/video/7608283965945875734
20260403_130924_1bb33a,madsmagnusdamm,Mads-Magnus Damm,Dansk Folkeparti,Sydjyllands Storkreds,kandidat,7608279263506271490,2026-02-18,,785,78,0,2,2,https://www.tiktok.com/@madsmagnusdamm/video/7608279263506271490
20260403_130924_1bb33a,madsmagnusdamm,Mads-Magnus Damm,Dansk Folkeparti,Sydjyllands Storkreds,kandidat,7607835389411233046,2026-02-17,##dkpol #foru #politik #danskfolkeparti ,857,57,1,4,2,https://www.tiktok.com/@madsmagnusdamm/video/7607835389411233046
