run_id,tiktok_handle,display_name,party_name,storkreds,account_type,video_id,upload_dato,beskrivelse,visninger,likes,kommentarer,shares,gemmer,video_url
20260403_130924_1bb33a,mette_insider_official,Mette Frederiksen,Socialdemokratiet,Nordjyllands Storkreds,kandidat,7620851325970124054,2026-03-24,Husk at stemme! Og gerne på liste A #fv26 #fyp #mettefrederiksen #danmark ,152300,6737,138,110,168,https://www.tiktok.com/@mette_insider_official/video/7620851325970124054
20260403_130924_1bb33a,mette_insider_official,Mette Frederiksen,Socialdemokratiet,Nordjyllands Storkreds,kandidat,7620753641527332099,2026-03-24,Så klar til valgdag ✌️⚽️,31800,855,45,268,60,https://www.tiktok.com/@mette_insider_official/video/7620753641527332099
20260403_130924_1bb33a,mette_insider_official,Mette Frederiksen,Socialdemokratiet,Nordjyllands Storkreds,kandidat,7620694832498953494,2026-03-24,Gør som Helle. Stem på Mette. Stem på liste A.  #girlboss #fv26 #fyp #mettefrederiksen #danmark ,42800,1374,50,21,34,https://www.tiktok.com/@mette_insider_official/video/7620694832498953494
20260403_130924_1bb33a,mette_insider_official,Mette Frederiksen,Socialdemokratiet,Nordjyllands Storkreds,kandidat,7620570357790936342,2026-03-23,"✍🏻 Mette Frederiksen Mød Sebastian 👋🏻 16 år og i gang med at blive tømrer. Allerede i 8. klasse begyndte han i juniormesterlære på Mikrogaarden i Holbæk. Et ret særligt sted. Med værksted, skov og bålplads. En hel dag i frisk luft, hvor man kan lære ",101600,3573,68,141,230,https://www.tiktok.com/@mette_insider_official/video/7620570357790936342
20260403_130924_1bb33a,mette_insider_official,Mette Frederiksen,Socialdemokratiet,Nordjyllands Storkreds,kandidat,7620325488736652566,2026-03-23,"I en tid hvor nogle politikere taler mere om “mig” end om “vi”. Der har Mette lyst til at sige noget helt enkelt: Danmark er bedst, når vi holder fast i fællesskabet.",42000,1666,40,62,91,https://www.tiktok.com/@mette_insider_official/video/7620325488736652566
20260403_130924_1bb33a,mette_insider_official,Mette Frederiksen,Socialdemokratiet,Nordjyllands Storkreds,kandidat,7620158427486031126,2026-03-22,Spændende…👀 #mettefrederiksen #fv26 #fyp ,177800,4672,60,102,260,https://www.tiktok.com/@mette_insider_official/video/7620158427486031126
20260403_130924_1bb33a,mette_insider_official,Mette Frederiksen,Socialdemokratiet,Nordjyllands Storkreds,kandidat,7620057983313054998,2026-03-22,Mette besøger spejdere ✌️ #fv26 #mettefrederiksen #spejder #fyp ,101000,4072,49,112,153,https://www.tiktok.com/@mette_insider_official/video/7620057983313054998
20260403_130924_1bb33a,mette_insider_official,Mette Frederiksen,Socialdemokratiet,Nordjyllands Storkreds,kandidat,7619968727186132246,2026-03-22,Mette laver en del interviews under  valgkampen. Men er vi enige.. det her er da klart én af de hyggeligste 🤪 #fv26 #mettefrederiksen #fyp #danmark ,257500,11800,119,397,553,https://www.tiktok.com/@mette_insider_official/video/7619968727186132246
20260403_130924_1bb33a,mette_insider_official,Mette Frederiksen,Socialdemokratiet,Nordjyllands Storkreds,kandidat,7619756138828991766,2026-03-21,"Ej, sødt moment 👀  #fv26 #mettefrederiksen #fyp #danmark ",200100,12000,121,291,544,https://www.tiktok.com/@mette_insider_official/video/7619756138828991766
20260403_130924_1bb33a,mette_insider_official,Mette Frederiksen,Socialdemokratiet,Nordjyllands Storkreds,kandidat,7619615072083627286,2026-03-21,This ❤️,112000,4839,40,108,182,https://www.tiktok.com/@mette_insider_official/video/7619615072083627286
20260403_130924_1bb33a,mette_insider_official,Mette Frederiksen,Socialdemokratiet,Nordjyllands Storkreds,kandidat,7619377282628504854,2026-03-20,En lille talk på Frederikshavn gym ✌️ #gymnasie #fv26 #mettefrederiksen #fyp ,47700,1396,19,97,67,https://www.tiktok.com/@mette_insider_official/video/7619377282628504854
20260403_130924_1bb33a,mette_insider_official,Mette Frederiksen,Socialdemokratiet,Nordjyllands Storkreds,kandidat,7619302163260525846,2026-03-20,Det er fredag girlies! Ned og stem 🔥🫶 #fv26 ,65400,1672,62,125,91,https://www.tiktok.com/@mette_insider_official/video/7619302163260525846
20260403_130924_1bb33a,mette_insider_official,Mette Frederiksen,Socialdemokratiet,Nordjyllands Storkreds,kandidat,7619216332659117334,2026-03-20,"Nogle dage i valgkampen er lange, andre føles som at være med i et afsnit af Friends ❤️🫂 #mettefrederiksen #danmark #fyp #fv26 ",61900,1572,17,114,78,https://www.tiktok.com/@mette_insider_official/video/7619216332659117334
20260403_130924_1bb33a,mette_insider_official,Mette Frederiksen,Socialdemokratiet,Nordjyllands Storkreds,kandidat,7618971144875560214,2026-03-19,Det vidste du nok ikke…👀 #mettefrederiksen #FYP #dkpol #danmark ,25200,483,21,12,20,https://www.tiktok.com/@mette_insider_official/video/7618971144875560214
20260403_130924_1bb33a,mette_insider_official,Mette Frederiksen,Socialdemokratiet,Nordjyllands Storkreds,kandidat,7618836490453339414,2026-03-19,Mette 💅 #danmark #mettefrederiksen #FYP ,215900,9340,109,333,398,https://www.tiktok.com/@mette_insider_official/video/7618836490453339414
20260403_130924_1bb33a,mette_insider_official,Mette Frederiksen,Socialdemokratiet,Nordjyllands Storkreds,kandidat,7618566253543804182,2026-03-18,Slap af hun er flyvende #mettefrederiksen #dkpol #FYP,18200,329,11,13,19,https://www.tiktok.com/@mette_insider_official/video/7618566253543804182
20260403_130924_1bb33a,mette_insider_official,Mette Frederiksen,Socialdemokratiet,Nordjyllands Storkreds,kandidat,7618293163144334614,2026-03-17,Valgudskrivelsen…  #fyp #danmark #mette #fv26 ,109000,1539,31,10,65,https://www.tiktok.com/@mette_insider_official/video/7618293163144334614
20260403_130924_1bb33a,mette_insider_official,Mette Frederiksen,Socialdemokratiet,Nordjyllands Storkreds,kandidat,7618222666247441686,2026-03-17,"Videoer af Mette og grisebasser, du ikke vidste du havde brug for🐷🫂 #fyp #danmark #mette #fv26 ",209700,12100,175,2814,1093,https://www.tiktok.com/@mette_insider_official/video/7618222666247441686
20260403_130924_1bb33a,mette_insider_official,Mette Frederiksen,Socialdemokratiet,Nordjyllands Storkreds,kandidat,7617863641391533334,2026-03-16,Mette og bois😎 #fyp #danmark ,68300,1184,22,85,64,https://www.tiktok.com/@mette_insider_official/video/7617863641391533334
20260403_130924_1bb33a,mette_insider_official,Mette Frederiksen,Socialdemokratiet,Nordjyllands Storkreds,kandidat,7617780535485664534,2026-03-16,Lena og Mette 🩷🫶#mette #fv26 ,45900,1161,22,193,50,https://www.tiktok.com/@mette_insider_official/video/7617780535485664534
20260403_130924_1bb33a,mette_insider_official,Mette Frederiksen,Socialdemokratiet,Nordjyllands Storkreds,kandidat,7617436447330651414,2026-03-15,This 🥺 #mette #dkpol #danmark🇩🇰 ,127700,6384,55,245,286,https://www.tiktok.com/@mette_insider_official/video/7617436447330651414
