run_id,tiktok_handle,display_name,party_name,storkreds,account_type,video_id,upload_dato,beskrivelse,visninger,likes,kommentarer,shares,gemmer,video_url
20260403_130924_1bb33a,realallanfeldt,Allan Feldt,Dansk Folkeparti,Københavns Storkreds,kandidat,7620497748088950038,2026-03-23,Vidste du at du på et tidspunkt i dit liv har drukket vand lavet af Allan Feldt fra Dansk Folkeparti? | Ha 💸 ha 💸 ha 💸 ha 💸 ha 💸 ha #fyp #auraallan #stemdf #stempersonligt #allanfeldt ,268000,10200,42,983,599,https://www.tiktok.com/@realallanfeldt/video/7620497748088950038
20260403_130924_1bb33a,realallanfeldt,Allan Feldt,Dansk Folkeparti,Københavns Storkreds,kandidat,7619846613003029763,2026-03-21,🏆 DANMARK EDIT #fyp #danmark ,105400,9354,54,1304,774,https://www.tiktok.com/@realallanfeldt/video/7619846613003029763
20260403_130924_1bb33a,realallanfeldt,Allan Feldt,Dansk Folkeparti,Københavns Storkreds,kandidat,7624837966027885846,2026-04-04,Svarer @Vitus  #Allanaura #auraministeren,2133,114,3,22,3,https://www.tiktok.com/@realallanfeldt/video/7624837966027885846
20260403_130924_1bb33a,realallanfeldt,Allan Feldt,Dansk Folkeparti,Københavns Storkreds,kandidat,7624572232966163734,2026-04-03,Aura Allan bp edit før GTA 6?! #fyp #allanaura ,7509,593,13,196,30,https://www.tiktok.com/@realallanfeldt/video/7624572232966163734
20260403_130924_1bb33a,realallanfeldt,Allan Feldt,Dansk Folkeparti,Københavns Storkreds,kandidat,7624545792132517142,2026-04-03,Svarer @totallynot_koi ,5740,189,8,9,6,https://www.tiktok.com/@realallanfeldt/video/7624545792132517142
20260403_130924_1bb33a,realallanfeldt,Allan Feldt,Dansk Folkeparti,Københavns Storkreds,kandidat,7624515613842492694,2026-04-03,Intet af dette havde været muligt uden jeres opbakning og støtte ❤️ men hvad er klokken? #allanaura #AA #aquador #fyp #danskfolkeparti ,3060,134,3,9,6,https://www.tiktok.com/@realallanfeldt/video/7624515613842492694
20260403_130924_1bb33a,realallanfeldt,Allan Feldt,Dansk Folkeparti,Københavns Storkreds,kandidat,7624488939860135190,2026-04-03,#AllanAura ,3013,119,6,12,7,https://www.tiktok.com/@realallanfeldt/video/7624488939860135190
20260403_130924_1bb33a,realallanfeldt,Allan Feldt,Dansk Folkeparti,Københavns Storkreds,kandidat,7624470689382255894,2026-04-03,Meld dig ind i DFU I dag! #allanaura #danskfolkeparti #politik #action #DFU ,13000,463,4,143,32,https://www.tiktok.com/@realallanfeldt/video/7624470689382255894
20260403_130924_1bb33a,realallanfeldt,Allan Feldt,Dansk Folkeparti,Københavns Storkreds,kandidat,7624431688579288342,2026-04-03,#allanaura,7122,144,3,35,1,https://www.tiktok.com/@realallanfeldt/video/7624431688579288342
20260403_130924_1bb33a,realallanfeldt,Allan Feldt,Dansk Folkeparti,Københavns Storkreds,kandidat,7624207335430294806,2026-04-02,Svarer @cborg13  www.danskfolkeparti.dk  #allanaura #danskfolkeparti  #politik #action,3192,90,3,3,3,https://www.tiktok.com/@realallanfeldt/video/7624207335430294806
20260403_130924_1bb33a,realallanfeldt,Allan Feldt,Dansk Folkeparti,Københavns Storkreds,kandidat,7624205738935586070,2026-04-02,Svarer @actual_dane🇩🇰  #Allanaura,1956,64,2,2,1,https://www.tiktok.com/@realallanfeldt/video/7624205738935586070
20260403_130924_1bb33a,realallanfeldt,Allan Feldt,Dansk Folkeparti,Københavns Storkreds,kandidat,7624203805210676482,2026-04-02,Svarer @Admiral  #Allanaura ,2419,66,1,5,1,https://www.tiktok.com/@realallanfeldt/video/7624203805210676482
20260403_130924_1bb33a,realallanfeldt,Allan Feldt,Dansk Folkeparti,Københavns Storkreds,kandidat,7624112761655627030,2026-04-02,Gratis plakater med autograf på i morgen og selfies 🤩 I morgen Langfredag kvart i Rolex (aka 11-12) ved Forum Metro Station.  Kom og hils på #allanaura og få en hyggelig snak i sofaen 😎,5092,155,11,27,9,https://www.tiktok.com/@realallanfeldt/video/7624112761655627030
20260403_130924_1bb33a,realallanfeldt,Allan Feldt,Dansk Folkeparti,Københavns Storkreds,kandidat,7623833917279325462,2026-04-01,Svarer @KarlTiktokPro  Just did it! #iksovpådetbro #allanaura ,8381,274,13,6,5,https://www.tiktok.com/@realallanfeldt/video/7623833917279325462
20260403_130924_1bb33a,realallanfeldt,Allan Feldt,Dansk Folkeparti,Københavns Storkreds,kandidat,7623803102117907734,2026-04-01,Let’s keep it simple! @allanaura har talt ✌️🥊,16600,683,18,103,20,https://www.tiktok.com/@realallanfeldt/video/7623803102117907734
20260403_130924_1bb33a,realallanfeldt,Allan Feldt,Dansk Folkeparti,Københavns Storkreds,kandidat,7623802120831061270,2026-04-01,Svarer @albert  Du skal i seng nu! #allanaura har talt,7955,246,3,27,12,https://www.tiktok.com/@realallanfeldt/video/7623802120831061270
20260403_130924_1bb33a,realallanfeldt,Allan Feldt,Dansk Folkeparti,Københavns Storkreds,kandidat,7623728218570329366,2026-04-01,"Svarer @shamu  #Forum #Metro #Allanaura #plakater Mellem 11-12 på fredag 3. april ved Forum Metro, Frederiksberg ",6878,170,6,25,6,https://www.tiktok.com/@realallanfeldt/video/7623728218570329366
20260403_130924_1bb33a,realallanfeldt,Allan Feldt,Dansk Folkeparti,Københavns Storkreds,kandidat,7623727020027038998,2026-04-01,Svarer @M8  Jeg er da ligeglad 😎 #taknemmelig  #sol #ligeglad #allanaura,8187,276,17,6,15,https://www.tiktok.com/@realallanfeldt/video/7623727020027038998
20260403_130924_1bb33a,realallanfeldt,Allan Feldt,Dansk Folkeparti,Københavns Storkreds,kandidat,7623525492016024854,2026-03-31,Svarer @Niklas-_-  Klimakrise! Nej… Vær ikke bange!,16800,370,13,18,12,https://www.tiktok.com/@realallanfeldt/video/7623525492016024854
20260403_130924_1bb33a,realallanfeldt,Allan Feldt,Dansk Folkeparti,Københavns Storkreds,kandidat,7623439714305035542,2026-03-31,Replying to @Schmidt hvad er klokken? #allanaura ,40400,1702,42,402,58,https://www.tiktok.com/@realallanfeldt/video/7623439714305035542
20260403_130924_1bb33a,realallanfeldt,Allan Feldt,Dansk Folkeparti,Københavns Storkreds,kandidat,7623368706789362966,2026-03-31,"Svarer @johanlind  STFU 🤫 🤩 if you know, you know…",20900,396,12,126,14,https://www.tiktok.com/@realallanfeldt/video/7623368706789362966
20260403_130924_1bb33a,realallanfeldt,Allan Feldt,Dansk Folkeparti,Københavns Storkreds,kandidat,7623355567163133206,2026-03-31,Svarer @johanlind  Wait for it…,33200,862,32,27,17,https://www.tiktok.com/@realallanfeldt/video/7623355567163133206
20260403_130924_1bb33a,realallanfeldt,Allan Feldt,Dansk Folkeparti,Københavns Storkreds,kandidat,7623059236330720534,2026-03-30,Svarer @Benyamins00 ,23200,534,26,124,20,https://www.tiktok.com/@realallanfeldt/video/7623059236330720534
20260403_130924_1bb33a,realallanfeldt,Allan Feldt,Dansk Folkeparti,Københavns Storkreds,kandidat,7623057390014909718,2026-03-30,Svarer @user6009088884834 ,4430,42,2,0,0,https://www.tiktok.com/@realallanfeldt/video/7623057390014909718
20260403_130924_1bb33a,realallanfeldt,Allan Feldt,Dansk Folkeparti,Københavns Storkreds,kandidat,7623053028743974166,2026-03-30,Svarer @Lord Viktor  Ses vi fredag?,18800,464,16,121,36,https://www.tiktok.com/@realallanfeldt/video/7623053028743974166
20260403_130924_1bb33a,realallanfeldt,Allan Feldt,Dansk Folkeparti,Københavns Storkreds,kandidat,7623049917711453442,2026-03-30,Svarer @️  Ses vi på fredag?,39100,1092,50,261,65,https://www.tiktok.com/@realallanfeldt/video/7623049917711453442
20260403_130924_1bb33a,realallanfeldt,Allan Feldt,Dansk Folkeparti,Københavns Storkreds,kandidat,7623047448751050006,2026-03-30,Svarer @DKbusiness ,25300,623,11,149,27,https://www.tiktok.com/@realallanfeldt/video/7623047448751050006
