video_id,upload_dato,tiktok_handle,display_name,party_name,storkreds,account_type,beskrivelse,video_url,visninger,likes,kommentarer,shares,gemmer,source_file,source_rank,source_row_index,candidate_match_type,candidate_name_from_list,candidate_name_norm,candidate_party_from_list,candidate_storkreds_from_list,display_name_norm,engagement_rate,engagements,is_candidate_match,matched_candidate_name,party_name_norm,period_relative_to_2026_02_26,profile_account_type,profile_account_type_final,profile_antal_videoer,profile_display_name,profile_display_name_final,profile_followers,profile_følgere,profile_hentet_dato,profile_party_name,profile_party_name_final,profile_samlet_likes,profile_tiktok_handle,profile_total_likes,run_id,stats_account_type,stats_display_name,stats_followers,stats_hentet_dato,stats_party_name,stats_status,stats_tiktok_handle,stats_total_likes,storkreds_norm
7553287949459213601,2025-09-23,andersvistisen,Anders Vistisen,Dansk Folkeparti,Nordjyllands Storkreds,kandidat,Venstreradikale palæstinastøtter har det seneste døgn terroriseret indbyggerne i det nordlige Italien.  Hvor er medierne? Lad os få forbudt de voldelige venstreradikale organisationer - OGSÅ i Danmark!,https://www.tiktok.com/@andersvistisen/video/7553287949459213601,2122,161,3,4,12,TiktokDataFinder\TiktokAccountData\tiktok_data\backup_20260405_222139\tiktok_videos.csv,3,355,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7553327730423516438,2025-09-23,kaare_dybvad,Kaare Dybvad Bek,Socialdemokratiet,Sjællands Storkreds,kandidat,😅🥲 kan snart ikke mere… #fyp #udlændinge #dkpol #danmark ,https://www.tiktok.com/@kaare_dybvad/video/7553327730423516438,38800,808,240,60,85,TiktokDataFinder\TiktokAccountData\tiktok_data\backup_20260405_222139\tiktok_videos.csv,3,1421,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7553382101828275458,2025-09-23,dinamyrupraabjerg,Dina Andersen-Raabjerg,Det Konservative Folkeparti,Vestjyllands Storkreds,kandidat,"Regeringen vil bruge EU formandskabet til at presse masse overvågning af danskerne igennem. Populært hedder det chat control. Justitsministeren kalder det Client-side-scanning. It eksperter kalder det En katastrofe. Kan du leve med, at dine billeder ",https://www.tiktok.com/@dinamyrupraabjerg/video/7553382101828275458,9708,740,59,61,81,TiktokDataFinder\TiktokAccountData\tiktok_data\backup_20260405_222139\tiktok_videos.csv,3,710,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7553391651977465110,2025-09-23,johanemildk,Johan Emil Sevelsted,Det Konservative Folkeparti,Fyns Storkreds,kandidat,"“Mænd plejede at” er en populær internettrend, der beskriver kulturændringer i samfund - oftest vestlige samfund - over de sidste årtier eller endda århundreder.  Udsagnene i trenden er ofte overdrevne for komisk effekt, men de kan for eksempel afspe",https://www.tiktok.com/@johanemildk/video/7553391651977465110,11400,281,20,27,15,TiktokDataFinder\TiktokAccountData\tiktok_data\backup_20260405_222139\tiktok_videos.csv,3,1370,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7553520259039284502,2025-09-24,rikkeolssen,Rikke Olssen,Liberal Alliance,Nordjyllands Storkreds,kandidat,Så skal vi snart male byen blå 💙🌟 #LAjammerbugt #KV25 #liberalalliance #nyretningjammerbugt ,https://www.tiktok.com/@rikkeolssen/video/7553520259039284502,995,7,1,0,0,TiktokDataFinder\TiktokAccountData\tiktok_data\backup_20260405_222139\tiktok_videos.csv,3,2901,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7553526417825352982,2025-09-24,sofiewlholm,Sofie Holm,Radikale Venstre,Sjællands Storkreds,kandidat,"Der skal mere naturvidenskab ind i politik, hvis det står til mig.  For politik har både brug for pædagoger, folkeskolelærer, statskundskabere og molekylær biomedicinere som mig🧫 ",https://www.tiktok.com/@sofiewlholm/video/7553526417825352982,5098,97,11,3,6,TiktokDataFinder\TiktokAccountData\tiktok_data\backup_20260405_222139\tiktok_videos.csv,3,3321,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7553555410318314774,2025-09-24,sfpolitik,SF,SF - Socialistisk Folkeparti,Landsplan,parti_national,"Hvem gider slæbe alle de flasker? Rent drikkevand i vandhanen, tak.",https://www.tiktok.com/@sfpolitik/video/7553555410318314774,2049,51,0,0,0,TiktokDataFinder\TiktokAccountData\tiktok_data\backup_20260405_222139\tiktok_videos.csv,3,4037,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7553564019681103106,2025-09-24,mrmesserschmidt,Morten Messerschmidt,Dansk Folkeparti,Sjællands Storkreds,kandidat,Mette Frederiksen løj om fødevarepriserne. Dansk Folkeparti til sænke priserne! #dkpol #politiktok #danmark #fyp,https://www.tiktok.com/@mrmesserschmidt/video/7553564019681103106,31600,1141,22,56,63,TiktokDataFinder\TiktokAccountData\tiktok_data\backup_20260405_222139\tiktok_videos.csv,3,4885,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7553591241963769110,2025-09-24,victoria__velasquez,Victoria Velásquez,Enhedslisten - De Rød-Grønne,Fyns Storkreds,kandidat,Jeg er tom for ord. Wow! Det er så rørende at opleve jeres store støtte og styrke! 🥹 Jeg sejler til Gaza med livsnødvendig nødhjælp. Vi skal fortsætte presset på den danske regering. Det giver håb i Palæstina ❤️ Lad os bryde Israels ulovlige blokade!,https://www.tiktok.com/@victoria__velasquez/video/7553591241963769110,37400,3906,123,134,216,TiktokDataFinder\TiktokAccountData\tiktok_data\backup_20260405_222139\tiktok_videos.csv,3,3818,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7553612756864208150,2025-09-24,fatih.baran37,Fatih Baran,Enhedslisten - De Rød-Grønne,Københavns Omegns Storkreds,kandidat,,https://www.tiktok.com/@fatih.baran37/video/7553612756864208150,811,28,2,1,1,TiktokDataFinder\TiktokAccountData\tiktok_data\backup_20260405_222139\tiktok_videos.csv,3,893,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
