"year","party_name","total_votes","candidate_rows","unique_candidates"
"2022","Socialdemokratiet","421764","13057","93"
"2022","Venstre, Danmarks Liberale Parti","252231","13070","93"
"2022","SF - Socialistisk Folkeparti","132962","10922","79"
"2022","Det Konservative Folkeparti","92903","14004","99"
"2022","Moderaterne","90641","6495","51"
"2022","Danmarksdemokraterne","90363","5379","37"
"2022","Liberal Alliance","86485","11678","84"
"2022","Enhedslisten - De Rød-Grønne","70119","11517","83"
"2022","Radikale Venstre","64247","9330","73"
"2022","Nye Borgerlige","51920","8428","58"
"2022","Alternativet","46542","12315","93"
"2022","Dansk Folkeparti","38689","9168","66"
"2022","Frie Grønne","13942","4091","33"
"2022","KD - Kristendemokraterne","8787","7764","56"
"2022","Uden for parti","3882","2050","16"
