"tiktok_handle","display_name","party_name","videos","views","likes","comments","shares","saves"
"alexvanopslagh","Alex Vanopslagh","Liberal Alliance","43","6109363","347021","4183","23900","17028"
"larsloekke_","Lars Løkke Rasmussen","Moderaterne","48","4515682","250230","2898","51924","12718"
"ingerstojberg","Inger Støjberg","Danmarksdemokraterne - Inger Støjberg","27","4498192","213285","3071","30446","10341"
"mrmesserschmidt","Morten Messerschmidt","Dansk Folkeparti","62","3901490","230642","4873","42192","16006"
"danskfolkeparti","Dansk Folkeparti","Dansk Folkeparti","31","2978100","193610","4282","28075","13747"
"sfpolitik","SF","SF - Socialistisk Folkeparti","82","2894707","148867","1939","8337","5067"
"denrigtigerosalund","Rosa Lund","Enhedslisten - De Rød-Grønne","23","2697300","179224","2398","13498","4810"
"pelledragsted","Pelle Dragsted","Enhedslisten - De Rød-Grønne","50","2691607","232787","5980","12780","14534"
"_enhedslisten","Enhedslisten","Enhedslisten - De Rød-Grønne","84","2461148","214539","3926","13330","10118"
"mette_insider_official","Mette Frederiksen","Socialdemokratiet","33","2333500","86004","1125","7882","4345"
"romeotroelsgaard","Romeo Troelsgaard","Dansk Folkeparti","151","2187946","115620","4799","15352","7794"
"liberalalliance_","Liberal Alliance","Liberal Alliance","15","2031000","131132","1295","16316","8605"
"radikaleeeforrohden","Thomas Rohden","Radikale Venstre","78","1895060","113669","2102","9950","4684"
"magnusgeorgjensen","Magnus Georg Jensen","Radikale Venstre","53","1818128","162914","3496","10785","11652"
"victoria__velasquez","Victoria Velásquez","Enhedslisten - De Rød-Grønne","12","1340472","105498","2081","5610","6186"
"sadekalamood","Sadek Al-Amood","SF - Socialistisk Folkeparti","61","1272766","64096","1996","6286","3562"
"madsstrange_","Mads Strange","Liberal Alliance","31","1238502","57930","859","3317","2983"
"socialdemokratiskungdom","DSU","Socialdemokratiet","57","1238484","53730","1394","5598","4023"
"venstredk","Venstre","Venstre","89","1190595","40370","1190","2833","2052"
"andersvistisen","Anders Vistisen","Dansk Folkeparti","69","1163867","71989","1928","19679","5907"
"hovedkontoret.radikale","Radikale Venstre (sekundær)","Radikale Venstre","44","958303","68911","737","8859","3711"
"moderaterne","Moderaterne","Moderaterne","13","795666","41421","537","2373","2892"
"louise_louring","Louise Louring","Venstre","52","795172","34124","406","2448","1880"
"cecilieldh","Cecilie Liv Hansen","Liberal Alliance","23","729129","14378","359","2385","708"
"malte.larsen0","Malte Larsen","Socialdemokratiet","50","711628","37631","1836","3852","2379"
"anastasia_milthers","Anastasia Milthers","Radikale Venstre","53","696907","38212","1421","2998","1932"
"frederik.vad","Frederik Vad","Socialdemokratiet","53","649527","19848","1600","3247","2143"
"rabihazadahmad","Rabih Azad-Ahmad","Radikale Venstre","26","635902","17054","619","4360","1526"
"enhedslistenkbh","Enhedslisten København","Enhedslisten - De Rød-Grønne","49","554469","31885","2064","2383","2128"
"mariageorgisloth","Maria Georgi Sloth","Radikale Venstre","32","500011","49575","922","2666","2822"
"lea.wermelin","Lea Wermelin","Socialdemokratiet","17","492868","28487","676","6541","4266"
"peterskaarup4real","Peter Skaarup","Danmarksdemokraterne - Inger Støjberg","20","474121","18893","219","1727","766"
"jakob.larsen.rv","Jakob Larsen","Radikale Venstre","18","472438","22774","379","1700","1122"
"alexanderryle","Alexander Ryle","Liberal Alliance","33","470045","20527","376","5052","1335"
"hediyedptemiz","Hediye Temiz","Radikale Venstre","29","445414","14899","374","1530","961"
"helenaartmann","Helena Artmann Andresen","Liberal Alliance","30","432069","16429","663","592","706"
"havndrup","Isabel Havndrup Aackmann","Radikale Venstre","44","408817","21301","812","802","908"
"larsholmqvist5","Lars Høyer Holmqvist","Liberal Alliance","16","382833","11985","116","1405","2884"
"christiankirk00","Christian Kirk","Dansk Folkeparti","20","369231","14150","420","4359","980"
"kronborg1982","Anders Kronborg","Socialdemokratiet","68","352167","10126","977","2501","728"
"samira.nawa","Samira Nawa","Radikale Venstre","28","344829","17821","881","1048","1315"
"martin.lidegaard","Martin Lidegaard","Radikale Venstre","18","338185","28797","233","1527","1410"
"dfungdom","DFU","Dansk Folkeparti","12","327772","11914","547","3287","893"
"andreasraben","Andreas Raben","Moderaterne","105","318449","12202","619","1170","727"
"madsmagnusdamm","Mads-Magnus Damm","Dansk Folkeparti","58","300243","17306","773","1775","980"
"mette.reissmann","Mette Reissmann","Socialdemokratiet","15","299740","6867","308","749","457"
"nicklasverne","Nicklas Verne","Det Konservative Folkeparti","35","287676","10303","454","1451","509"
"peter_hummelgaard","Peter Hummelgaard","Socialdemokratiet","29","281278","6501","818","595","648"
"carl.emil.lind.ch","Carl Emil Lind","Socialdemokratiet","17","275648","14349","438","2446","872"
"sofiemosgaard","Sofie Mosgaard","Venstre","31","273292","9288","277","1168","484"
"heunicke","Magnus Heunicke","Socialdemokratiet","12","266922","5509","176","694","286"
"lauraholm02","Laura Holm","Det Konservative Folkeparti","9","264389","8718","269","4142","661"
"madssebbelov1","Mads Sebbelov","Moderaterne","20","264141","10209","414","225","551"
"realallanfeldt","Allan Feldt","Dansk Folkeparti","36","246693","13284","459","4106","879"
"emillamoeller","Emilla Møller","Socialdemokratiet","16","245092","15411","367","2495","954"
"jankristoffersen","Jan Kristoffersen","Alternativet","29","243080","16518","575","1825","921"
"frederikhoumannth","Frederik Houmann Thuesen","Venstre","31","240624","8849","378","734","275"
"madsolsensf","Mads Olsen","SF - Socialistisk Folkeparti","30","238160","13434","472","841","668"
"iben__krog","Iben Krog","Venstre","20","220196","5410","127","1905","253"
"fatih.baran37","Fatih Baran","Enhedslisten - De Rød-Grønne","61","215486","16962","317","1248","638"
"sofielippert","Sofie Lippert","SF - Socialistisk Folkeparti","32","215179","6925","413","434","281"
"sinemdybvaddemirehl","Sinem Dybvad Demir","Enhedslisten - De Rød-Grønne","21","212497","5843","353","570","379"
"filippavittrup","Filippa Emilie Vittrup","Enhedslisten - De Rød-Grønne","12","209772","18258","1001","1087","880"
"linea.lidell","Linea Søgaard-Lidell","Venstre","16","207060","7740","147","936","372"
"thomasandresen_venstre","Thomas Andresen","Venstre","29","204839","7734","187","675","405"
"amandaheitmann","Amanda Heitmann","Venstre","31","200438","6211","399","275","335"
"idaauken","Ida Auken","Socialdemokratiet","32","200144","4410","320","337","289"
"thomasdanielsendk","Thomas Danielsen","Venstre","8","199066","8835","271","1215","1919"
"larsbojemathiesen","Lars Boje Mathiesen","Borgernes Parti - Lars Boje Mathiesen","12","187114","8189","410","766","508"
"modstroemmen","Modstrømmen","Ingen partitilknytning","7","179711","9258","356","1215","753"
"carstenbedsted","Carsten Bedsted","Radikale Venstre","33","178441","9906","277","633","508"
"tinacartey","Tina Cartey Hansen","Det Konservative Folkeparti","14","175248","3830","120","699","279"
"frederik_lau_petersen","Frederik Lau Petersen","Moderaterne","20","174933","7442","208","416","213"
"venstresungdom","Venstres Ungdom","Venstre","85","170301","6501","412","716","210"
"radikaleruben","Ruben Kidde","Radikale Venstre","22","166613","3940","462","117","151"
"kaare_dybvad","Kaare Dybvad Bek","Socialdemokratiet","16","158455","3161","533","370","345"
"qasam_nazir_ahmad","Qasam Nazir Ahmad","Alternativet","59","153471","9029","788","746","666"
"nick.zimmermann.df","Nick Zimmermann","Dansk Folkeparti","5","152523","6785","94","865","464"
"deniserostgaard","Denise Rostgaard","Dansk Folkeparti","18","148487","6654","404","866","346"
"sorenjensenla","Søren Jensen","Liberal Alliance","32","148271","3912","194","160","156"
"nikolineerbs","Nikoline Erbs Hillers-Bendtsen","Alternativet","60","147674","5492","385","370","253"
"mathiassikora","Mathias Sikora","Radikale Venstre","28","147290","8046","447","1113","729"
"mikkelbjorn","Mikkel Bjørn","Dansk Folkeparti","8","138308","8896","338","1247","827"
"carina.til.folketinget","Carina Høedt","Det Konservative Folkeparti","28","137678","2567","259","251","99"
"mikkelwj2","Mikkel Westh Jepsen","Radikale Venstre","25","136823","12532","354","945","1075"
"ayhankilic_moderaterne","Ayhan Kilic","Moderaterne","27","133706","2136","119","228","143"
"rgu_kbh","RGU København","Enhedslisten - De Rød-Grønne","16","128108","10261","393","500","242"
"thomas.skriver","Thomas Skriver Jensen","Socialdemokratiet","15","126152","3718","393","351","263"
"nadjaisaksen","Nadja Natalie Isaksen","Borgernes Parti - Lars Boje Mathiesen","6","123626","6225","458","602","434"
"miatang.dk","Mia Tang","Det Konservative Folkeparti","13","121653","4183","289","331","282"
"katrinedaugaard26","Katrine Daugaard","Liberal Alliance","28","119568","5274","164","367","209"
"ddungdom","DDU","Danmarksdemokraterne - Inger Støjberg","22","114224","4009","208","326","274"
"emilie.schytte.bp","Emilie Schytte","Borgernes Parti - Lars Boje Mathiesen","16","113396","3691","430","547","315"
"sofiewlholm","Sofie Holm","Radikale Venstre","30","113092","3904","225","135","196"
"zishan.ali2101","Zishan Ali","Moderaterne","28","110532","3762","289","835","341"
"dfnyheder","DFNyheder","Dansk Folkeparti","4","108400","4403","131","431","270"
"kaostvdanmark","KaosTV Danmark","Ingen partitilknytning","16","102315","2787","198","417","260"
"esatsenturkrv","Esat Senturk","Radikale Venstre","25","99002","2211","166","556","162"
"sofie_f_villadsen","Sofie F. Villadsen","SF - Socialistisk Folkeparti","17","94959","4181","304","187","189"
"johanemildk","Johan Emil Sevelsted","Det Konservative Folkeparti","23","94855","2312","133","216","161"
"larschristianbrask","Lars-Christian Brask","Liberal Alliance","31","94057","2620","123","175","119"
"stem_tobiasjorgensen","Tobias Jørgensen","Venstre","26","90094","1360","58","104","59"
