"party_name","videos","views","likes","comments","shares","saves"
"Liberal Alliance","599","12314348","627893","9273","54871","35489"
"Dansk Folkeparti","535","12153354","699519","19552","122892","49404"
"Enhedslisten - De Rød-Grønne","491","10933575","837329","19986","52443","41124"
"Radikale Venstre","721","9669389","609058","14619","50950","35733"
"Socialdemokratiet","549","7982451","302780","11500","38491","22376"
"Moderaterne","448","6439424","330698","5271","57409","17814"
"Danmarksdemokraterne - Inger Støjberg","151","5289936","244805","3757","33304","12020"
"SF - Socialistisk Folkeparti","282","4856561","244424","5388","16597","10155"
"Venstre","528","4073391","144249","4284","14055","8699"
"Det Konservative Folkeparti","181","1244186","36340","2014","7614","2331"
"Alternativet","375","906750","38621","2306","3668","2161"
"Borgernes Parti - Lars Boje Mathiesen","42","501186","22732","1481","2505","1696"
"Ingen partitilknytning","28","330131","13410","638","1701","1072"
"Uden for partierne","13","6743","154","5","17","10"
