candidate_name,party_name,storkreds,age,age_num,education,birthdate,tiktok_exists,tiktok_handle_from_url,videos_total_pre_election,videos_total_2026_pre_election,videos_last_90d,videos_last_30d,videos_last_14d,videos_last_7d,log1p_videos_total_pre_election,log1p_videos_total_2026_pre_election,log1p_videos_last_90d,log1p_videos_last_30d,log1p_videos_last_14d,log1p_videos_last_7d,candidate_votes_2026_total,party_votes_2026_total,vote_share_of_party_2026_total,candidate_votes_2022_total,party_votes_2022_total,vote_share_of_party_2022_total
Aksel Rosager Johansen,Enhedslisten - De Rød-Grønne,vestjylland,34 år,34.0,Kandidat-/masteruddannelse,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,193,226037,0.000853842512509014,166.0,181452.0,0.0009148424927804598
Alex Ahrendtsen,Dansk Folkeparti,fyn,59 år,59.0,Kandidat-/masteruddannelse,1967-02-14T00:00:00,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3281,324518,0.010110379085289568,1477.0,93428.0,0.01580896519244766
Alex Vanopslagh,Liberal Alliance,østjylland,34 år,34.0,Kandidat-/masteruddannelse,1991-10-17T00:00:00,1.0,alexvanopslagh,43.0,43.0,43.0,42.0,28.0,17.0,3.784189633918261,3.784189633918261,3.784189633918261,3.7612001156935624,3.367295829986474,2.8903717578961645,38487,334421,0.11508547609151339,38284.0,278656.0,0.13738803399173175
Alexander Bruhn Skjøth,SF - Socialistisk Folkeparti,københavns omegn,45 år,45.0,Gymnasial uddannelse,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,263,413306,0.0006363324026266253,158.0,293186.0,0.0005389070419460684
Alexander Ryle,Liberal Alliance,københavn,35 år,35.0,Kandidat-/masteruddannelse,1990-10-17T00:00:00,1.0,alexanderryle,33.0,19.0,19.0,19.0,19.0,12.0,3.5263605246161616,2.995732273553991,2.995732273553991,2.995732273553991,2.995732273553991,2.5649493574615367,1984,334421,0.005932641789839753,1948.0,278656.0,0.006990698208543868
Ali Qais,Moderaterne,københavn,48 år,48.0,Kandidat-/masteruddannelse,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1024,274775,0.0037266854699299426,,,
Ali Yahya,SF - Socialistisk Folkeparti,sjælland,29 år,29.0,Kandidat-/masteruddannelse,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1102,413306,0.0026663053524507265,,,
Allan Feldt,Dansk Folkeparti,københavn,62 år,62.0,Kandidat-/masteruddannelse,,1.0,realallanfeldt,36.0,35.0,36.0,34.0,31.0,20.0,3.6109179126442243,3.58351893845611,3.6109179126442243,3.5553480614894135,3.4657359027997265,3.044522437723423,1679,324518,0.0051738270296254755,,,
Allan Hansen Lindemark,Alternativet,sjælland,48 år,48.0,Kandidat-/masteruddannelse,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,52,91770,0.0005666339762449602,,,
Allan Holm,Borgernes Parti - Lars Boje Mathiesen,fyn,53 år,53.0,Ph.d.-uddannelse,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,591,75928,0.007783689811400274,,,
Allan Orland,Borgernes Parti - Lars Boje Mathiesen,københavns omegn,59 år,59.0,Kandidat-/masteruddannelse,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,75,75928,0.0009877778948477506,,,
Allan Svendsen,Dansk Folkeparti,sydjylland,56 år,56.0,Gymnasial uddannelse,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,362,324518,0.0011155005269353317,,,
Amanda Heitmann,"Venstre, Danmarks Liberale Parti",fyn,,46.0,Unknown,,,,,,,,,,,,,,,,3202,361689,0.00885290954383462,,,
Anastasia Milthers,Radikale Venstre,fyn,24 år,24.0,Bachelor-/diplomuddannelse,2002-01-06T00:00:00,1.0,anastasia_milthers,53.0,49.0,50.0,30.0,15.0,7.0,3.9889840465642745,3.912023005428146,3.9318256327243257,3.4339872044851463,2.772588722239781,2.0794415416798357,2393,207442,0.011535754572362396,,,
Anders Andreasen,Socialdemokratiet,vestjylland,51 år,51.0,Bachelor-/diplomuddannelse,1974-07-31T00:00:00,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1329,779252,0.001705481667034541,1014.0,971995.0,0.0010432152428767637
Anders Bo Larsen,"Venstre, Danmarks Liberale Parti",københavns omegn,,46.0,Unknown,,,,,,,,,,,,,,,,433,361689,0.0011971610969645193,354.0,470546.0,0.0007523175204974646
Anders Bork,Dansk Folkeparti,sjælland,35 år,35.0,Erhvervsuddannelse,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,209,324518,0.000644032072180896,,,
Anders Bøge,SF - Socialistisk Folkeparti,vestjylland,,46.0,Ikke oplyst,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,492,413306,0.0011904013007311774,430.0,293186.0,0.001466645747068414
Anders Fausbøll,"Venstre, Danmarks Liberale Parti",københavn,,46.0,Unknown,,,,,,,,,,,,,,,,356,361689,0.0009842710173657478,999.0,470546.0,0.0021230655451326755
Anders Havelund Krøyer,Det Konservative Folkeparti,københavn,40 år,40.0,Bachelor-/diplomuddannelse,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,339,270749,0.0012520821868224814,540.0,194820.0,0.002771789344009855
Anders Krojgaard Lund,Det Konservative Folkeparti,østjylland,35 år,35.0,Bachelor-/diplomuddannelse,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,418,270749,0.0015438653513032367,269.0,194820.0,0.0013807617287752798
Anders Kronborg,Socialdemokratiet,sydjylland,44 år,44.0,Bachelor-/diplomuddannelse,1982-03-18T00:00:00,1.0,kronborg1982,68.0,22.0,28.0,5.0,3.0,3.0,4.23410650459726,3.1354942159291497,3.367295829986474,1.791759469228055,1.3862943611198906,1.3862943611198906,5728,779252,0.007350638817738036,7407.0,971995.0,0.007620409570008076
Anders Kühnau,Socialdemokratiet,østjylland,44 år,44.0,Kandidat-/masteruddannelse,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4043,779252,0.005188308788427877,,,
Anders Peter Hansen,Liberal Alliance,nordjylland,30 år,30.0,Kandidat-/masteruddannelse,,1.0,anderspeterhansenla,23.0,23.0,23.0,19.0,9.0,6.0,3.1780538303479458,3.1780538303479458,3.1780538303479458,2.995732273553991,2.302585092994046,1.9459101490553132,245,334421,0.0007326094952171065,,,
Anders Storgaard,Det Konservative Folkeparti,københavn,32 år,32.0,Kandidat-/masteruddannelse,1994-01-28T00:00:00,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3099,270749,0.011446025654757727,,,
Anders Sørensen,Alternativet,københavn,36 år,36.0,Ph.d.-uddannelse,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1009,91770,0.010994878500599324,,,
Anders Vistisen,Dansk Folkeparti,nordjylland,38 år,38.0,Kandidat-/masteruddannelse,1987-11-12T00:00:00,1.0,andersvistisen,69.0,32.0,35.0,13.0,5.0,2.0,4.248495242049359,3.4965075614664802,3.58351893845611,2.6390573296152584,1.791759469228055,1.0986122886681098,3580,324518,0.011031745542620132,,,
Andreas Fjord Larsen,"Venstre, Danmarks Liberale Parti",fyn,,46.0,Unknown,,,,,,,,,,,,,,,,260,361689,0.0007188496194244226,,,
Andreas Lausen,Moderaterne,fyn,35 år,35.0,Kandidat-/masteruddannelse,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,275,274775,0.0010008188517878264,,,
Andreas Raben,Moderaterne,nordsjælland,21 år,21.0,Bachelor-/diplomuddannelse,,1.0,andreasraben,105.0,76.0,77.0,67.0,38.0,14.0,4.663439094112067,4.343805421853684,4.356708826689592,4.219507705176107,3.6635616461296463,2.70805020110221,322,274775,0.001171867891911564,,,
Ane Halsboe-Jørgensen,Socialdemokratiet,nordjylland,42 år,42.0,Kandidat-/masteruddannelse,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6864,779252,0.0088084470748872,5469.0,971995.0,0.005626572153148936
Ane Line Søndergaard,Alternativet,sydjylland,53 år,53.0,Gymnasial uddannelse,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,121,91770,0.0013185136754930806,196.0,117567.0,0.001667134485017054
Anette Jensen Smith,Alternativet,nordjylland,53 år,53.0,Bachelor-/diplomuddannelse,,1.0,anette.jensen.smi,1.0,1.0,1.0,1.0,0.0,0.0,0.6931471805599453,0.6931471805599453,0.6931471805599453,0.6931471805599453,0.0,0.0,277,91770,0.003018415604227961,270.0,117567.0,0.0022965628109928807
Anita Vivi Lilholt,"Venstre, Danmarks Liberale Parti",nordjylland,,46.0,Unknown,,,,,,,,,,,,,,,,350,361689,0.0009676821799944151,189.0,470546.0,0.00040166104907915485
Anja Busch,Borgernes Parti - Lars Boje Mathiesen,fyn,52 år,52.0,Erhvervsuddannelse,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,190,75928,0.0025023706669476346,,,
Anja Lund,"Venstre, Danmarks Liberale Parti",fyn,,46.0,Unknown,,,,,,,,,,,,,,,,3081,361689,0.008518367990179408,,,
