candidate_name,party_name,storkreds,kommune,candidate_votes_2026_municipality,party_votes_2026_municipality,vote_share_of_party_2026_municipality,candidate_votes_2026_total,party_votes_2026_total,vote_share_of_party_2026_total,age,education,birthdate,age_num,tiktok_exists,tiktok_handle_from_url,videos_total_pre_election,videos_total_2026_pre_election,videos_last_90d,videos_last_30d,videos_last_14d,videos_last_7d,log1p_videos_total_pre_election,log1p_videos_total_2026_pre_election,log1p_videos_last_90d,log1p_videos_last_30d,log1p_videos_last_14d,log1p_videos_last_7d,candidate_votes_2022_municipality,party_votes_2022_municipality,vote_share_of_party_2022_municipality,candidate_votes_2022_total,party_votes_2022_total,vote_share_of_party_2022_total,municipality_code,andel_18_66_årige,andel_18plus_årige,andel_25_64_årige,andel_almennyttige_boliger,andel_ejerboliger,befolkningsandel_i_bymæssig_bebyggelse,befolkningstæthed_indb_km2,indbyggertal_1_januar,socioøkonomisk_indeks,statsgar_udskrivningsgrundlag_pr_indb_fra_2007
Aksel Rosager Johansen,Enhedslisten - De Rød-Grønne,vestjylland,Herning Kommune,15,1267,0.011838989739542225,193,226037,0.000853842512509014,34 år,Kandidat-/masteruddannelse,,34.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,1012.0,0.00691699604743083,166.0,181452.0,0.0009148424927804598,657,60.5,79.5,50.0,15.1,52.3,87.1,68.0,90006.0,0.91,203946.0
Aksel Rosager Johansen,Enhedslisten - De Rød-Grønne,vestjylland,Holstebro Kommune,12,821,0.014616321559074299,193,226037,0.000853842512509014,34 år,Kandidat-/masteruddannelse,,34.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,740.0,0.008108108108108109,166.0,181452.0,0.0009148424927804598,661,59.5,79.4,48.5,17.5,54.6,84.8,75.0,59201.0,0.9,197938.0
Aksel Rosager Johansen,Enhedslisten - De Rød-Grønne,vestjylland,Ikast-Brande Kommune,5,492,0.01016260162601626,193,226037,0.000853842512509014,34 år,Kandidat-/masteruddannelse,,34.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,416.0,0.01201923076923077,166.0,181452.0,0.0009148424927804598,756,60.0,79.1,50.3,13.2,58.0,83.5,59.0,43009.0,0.95,193569.0
Aksel Rosager Johansen,Enhedslisten - De Rød-Grønne,vestjylland,Lemvig Kommune,5,184,0.02717391304347826,193,226037,0.000853842512509014,34 år,Kandidat-/masteruddannelse,,34.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,174.0,0.011494252873563218,166.0,181452.0,0.0009148424927804598,665,57.3,83.3,46.9,6.6,56.6,69.9,37.0,18800.0,0.92,226021.0
Aksel Rosager Johansen,Enhedslisten - De Rød-Grønne,vestjylland,Ringkøbing-Skjern Kommune,2,443,0.004514672686230248,193,226037,0.000853842512509014,34 år,Kandidat-/masteruddannelse,,34.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,452.0,0.011061946902654867,166.0,181452.0,0.0009148424927804598,760,58.4,80.5,48.0,10.5,57.9,72.2,38.0,55582.0,0.92,204500.0
Aksel Rosager Johansen,Enhedslisten - De Rød-Grønne,vestjylland,Silkeborg Kommune,31,2528,0.0122626582278481,193,226037,0.000853842512509014,34 år,Kandidat-/masteruddannelse,,34.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.0,2368.0,0.00633445945945946,166.0,181452.0,0.0009148424927804598,740,59.9,78.3,50.3,16.8,54.4,86.5,119.0,101574.0,0.8,208745.0
Aksel Rosager Johansen,Enhedslisten - De Rød-Grønne,vestjylland,Skive Kommune,3,607,0.004942339373970346,193,226037,0.000853842512509014,34 år,Kandidat-/masteruddannelse,,34.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,516.0,0.01744186046511628,166.0,181452.0,0.0009148424927804598,779,58.5,82.2,48.1,13.7,53.4,78.2,65.0,44328.0,1.06,205372.0
Aksel Rosager Johansen,Enhedslisten - De Rød-Grønne,vestjylland,Struer Kommune,2,223,0.008968609865470852,193,226037,0.000853842512509014,34 år,Kandidat-/masteruddannelse,,34.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,240.0,0.0125,166.0,181452.0,0.0009148424927804598,671,56.2,82.5,46.0,14.6,55.7,78.8,82.0,20229.0,1.06,205769.0
Aksel Rosager Johansen,Enhedslisten - De Rød-Grønne,vestjylland,Viborg Kommune,118,1727,0.06832657788071801,193,226037,0.000853842512509014,34 år,Kandidat-/masteruddannelse,,34.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,114.0,1448.0,0.0787292817679558,166.0,181452.0,0.0009148424927804598,791,59.9,79.9,49.5,15.2,53.0,80.6,69.0,97621.0,0.96,204398.0
Alex Ahrendtsen,Dansk Folkeparti,fyn,Assens Kommune,272,2494,0.1090617481956696,3281,324518,0.010110379085289568,59 år,Kandidat-/masteruddannelse,1967-02-14T00:00:00,59.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,76.0,810.0,0.09382716049382717,1477.0,93428.0,0.01580896519244766,420,58.6,81.1,49.6,9.2,59.2,71.7,79.0,40469.0,1.05,199230.0
