candidate_key,candidate_name,party_name,storkreds,age_num,education,tiktok_exists,candidate_votes_total_2026,party_votes_total_2026,vote_share_of_party_total_2026,videos_last_7d,videos_last_14d,videos_last_30d,videos_last_90d,videos_total_2026,prior_vote_share_of_party_2022,prior_party_rank_2022
Aksel Rosager Johansen || Enhedslisten - De Rød-Grønne || vestjylland,Aksel Rosager Johansen,Enhedslisten - De Rød-Grønne,vestjylland,0.0,Kandidat-/masteruddannelse,0,193,86659,0.0022271200913927002,0.0,0.0,0.0,0.0,0.0,0.004448732379267835,22.0
Alex Ahrendtsen || Dansk Folkeparti || fyn,Alex Ahrendtsen,Dansk Folkeparti,fyn,0.0,Kandidat-/masteruddannelse,0,3281,126849,0.025865399017729742,0.0,0.0,0.0,0.0,0.0,0.14500294521892795,2.0
Alex Vanopslagh || Liberal Alliance || østjylland,Alex Vanopslagh,Liberal Alliance,østjylland,0.0,Kandidat-/masteruddannelse,1,38487,117371,0.32790893832377677,17.0,28.0,42.0,43.0,43.0,0.5256480667838312,1.0
Alexander Bruhn Skjøth || SF - Socialistisk Folkeparti || københavns omegn,Alexander Bruhn Skjøth,SF - Socialistisk Folkeparti,københavns omegn,0.0,Gymnasial uddannelse,0,263,180086,0.0014604133580622591,0.0,0.0,0.0,0.0,0.0,0.0021013991594403363,37.0
Alexander Ryle || Liberal Alliance || københavn,Alexander Ryle,Liberal Alliance,københavn,0.0,Kandidat-/masteruddannelse,1,1984,117371,0.016903664448628706,12.0,19.0,19.0,19.0,33.0,0.026746485061511425,8.0
Ali Qais || Moderaterne || københavn,Ali Qais,Moderaterne,københavn,0.0,Kandidat-/masteruddannelse,0,1024,100412,0.010197984304664781,0.0,0.0,0.0,0.0,0.0,,
Ali Yahya || SF - Socialistisk Folkeparti || sjælland,Ali Yahya,SF - Socialistisk Folkeparti,sjælland,0.0,Kandidat-/masteruddannelse,0,1102,180086,0.00611929855735593,0.0,0.0,0.0,0.0,0.0,,
Allan Feldt || Dansk Folkeparti || københavn,Allan Feldt,Dansk Folkeparti,københavn,0.0,Kandidat-/masteruddannelse,1,1679,126849,0.01323620998194704,20.0,31.0,34.0,36.0,36.0,,
Allan Hansen Lindemark || Alternativet || sjælland,Allan Hansen Lindemark,Alternativet,sjælland,0.0,Kandidat-/masteruddannelse,0,52,44532,0.0011676996317255008,0.0,0.0,0.0,0.0,0.0,,
Allan Holm || Borgernes Parti - Lars Boje Mathiesen || fyn,Allan Holm,Borgernes Parti - Lars Boje Mathiesen,fyn,0.0,Ph.d.-uddannelse,0,591,22238,0.02657613094702761,0.0,0.0,0.0,0.0,0.0,,
Allan Orland || Borgernes Parti - Lars Boje Mathiesen || københavns omegn,Allan Orland,Borgernes Parti - Lars Boje Mathiesen,københavns omegn,0.0,Kandidat-/masteruddannelse,0,75,22238,0.003372605450130407,0.0,0.0,0.0,0.0,0.0,,
Allan Svendsen || Dansk Folkeparti || sydjylland,Allan Svendsen,Dansk Folkeparti,sydjylland,0.0,Gymnasial uddannelse,0,362,126849,0.002853786785863507,0.0,0.0,0.0,0.0,0.0,,
Amanda Heitmann || Venstre || fyn,Amanda Heitmann,Venstre,fyn,0.0,Kandidat-/masteruddannelse,1,3202,235636,0.013588755538202992,2.0,8.0,20.0,31.0,31.0,,
Anastasia Milthers || Radikale Venstre || fyn,Anastasia Milthers,Radikale Venstre,fyn,0.0,Bachelor-/diplomuddannelse,1,2393,100983,0.023697057920640106,7.0,15.0,30.0,50.0,53.0,,
Anders Andreasen || Socialdemokratiet || vestjylland,Anders Andreasen,Socialdemokratiet,vestjylland,0.0,Bachelor-/diplomuddannelse,0,1329,369428,0.0035974533603300237,0.0,0.0,0.0,0.0,0.0,0.002845612873170978,49.0
Anders Bo Larsen || Venstre || københavns omegn,Anders Bo Larsen,Venstre,københavns omegn,0.0,Bachelor-/diplomuddannelse,0,433,235636,0.0018375799962654263,0.0,0.0,0.0,0.0,0.0,0.0023986827572655017,32.0
Anders Bork || Dansk Folkeparti || sjælland,Anders Bork,Dansk Folkeparti,sjælland,0.0,Erhvervsuddannelse,0,209,126849,0.001647628282446058,0.0,0.0,0.0,0.0,0.0,,
Anders Bøge || SF - Socialistisk Folkeparti || vestjylland,Anders Bøge,SF - Socialistisk Folkeparti,vestjylland,0.0,Ikke oplyst,0,492,180086,0.002732028031051831,0.0,0.0,0.0,0.0,0.0,0.005718997712400915,31.0
Anders Fausbøll || Venstre || københavn,Anders Fausbøll,Venstre,københavn,0.0,Ph.d.-uddannelse,0,356,235636,0.0015108048006246923,0.0,0.0,0.0,0.0,0.0,0.006769164052283153,29.0
Anders Havelund Krøyer || Det Konservative Folkeparti || københavn,Anders Havelund Krøyer,Det Konservative Folkeparti,københavn,0.0,Bachelor-/diplomuddannelse,0,339,133656,0.00253636200395044,0.0,0.0,0.0,0.0,0.0,0.013992899898940167,21.0
Anders Krojgaard Lund || Det Konservative Folkeparti || østjylland,Anders Krojgaard Lund,Det Konservative Folkeparti,østjylland,0.0,Bachelor-/diplomuddannelse,0,418,133656,0.003127431615490513,0.0,0.0,0.0,0.0,0.0,0.006970537171879454,25.0
Anders Kronborg || Socialdemokratiet || sydjylland,Anders Kronborg,Socialdemokratiet,sydjylland,0.0,Bachelor-/diplomuddannelse,1,5728,369428,0.015505051051896446,3.0,3.0,5.0,28.0,68.0,0.020786444330944218,15.0
Anders Kühnau || Socialdemokratiet || østjylland,Anders Kühnau,Socialdemokratiet,østjylland,0.0,Kandidat-/masteruddannelse,0,4043,369428,0.010943945775631517,0.0,0.0,0.0,0.0,0.0,,
Anders Peter Hansen || Liberal Alliance || nordjylland,Anders Peter Hansen,Liberal Alliance,nordjylland,0.0,Kandidat-/masteruddannelse,1,245,117371,0.0020873980795937668,6.0,9.0,19.0,23.0,23.0,,
Anders Storgaard || Det Konservative Folkeparti || københavn,Anders Storgaard,Det Konservative Folkeparti,københavn,0.0,Kandidat-/masteruddannelse,0,3099,133656,0.02318638893876818,0.0,0.0,0.0,0.0,0.0,,
