candidate_key,candidate_name,party_name,storkreds,kommune,candidate_votes_muni_2026,party_votes_muni_2026,candidate_votes_total_2026,party_votes_total_2026,vote_share_of_party_muni_2026,vote_share_of_party_total_2026,age_num,education,birthdate,tiktok_exists,videos_total_2026,videos_last_7d,videos_last_14d,videos_last_30d,videos_last_90d,log_videos_last_7d,log_videos_last_14d,log_videos_last_30d,log_videos_last_90d,log_videos_total_2026,municipality_code,Andel 18+-årige,Andel 18-66-årige,Andel 25-64-årige,Andel almennyttige boliger,Andel ejerboliger,Befolkningsandel i bymæssig bebyggelse,Befolkningstæthed (indb/km2),Indbyggertal 1. januar,Socioøkonomisk indeks,Statsgar. udskrivningsgrundlag pr. indb. (fra 2007),young_area_share,young_area_variable_name,prior_vote_share_of_party_2022,prior_party_rank_2022
Aksel Rosager Johansen || Enhedslisten - De Rød-Grønne || vestjylland,Aksel Rosager Johansen,Enhedslisten - De Rød-Grønne,vestjylland,Herning Kommune,15,115,193,86659,0.13043478260869565,0.0022271200913927002,0.0,Kandidat-/masteruddannelse,,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,657,795.0,605.0,500.0,151.0,523.0,871.0,680.0,900060.0,91.0,2039460.0,,,0.004448732379267835,22.0
Aksel Rosager Johansen || Enhedslisten - De Rød-Grønne || vestjylland,Aksel Rosager Johansen,Enhedslisten - De Rød-Grønne,vestjylland,Holstebro Kommune,12,63,193,86659,0.19047619047619047,0.0022271200913927002,0.0,Kandidat-/masteruddannelse,,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,661,794.0,595.0,485.0,175.0,546.0,848.0,750.0,592010.0,9.0,1979380.0,,,0.004448732379267835,22.0
Aksel Rosager Johansen || Enhedslisten - De Rød-Grønne || vestjylland,Aksel Rosager Johansen,Enhedslisten - De Rød-Grønne,vestjylland,Ikast-Brande Kommune,5,42,193,86659,0.11904761904761904,0.0022271200913927002,0.0,Kandidat-/masteruddannelse,,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,756,791.0,600.0,503.0,132.0,580.0,835.0,590.0,430090.0,95.0,1935690.0,,,0.004448732379267835,22.0
Aksel Rosager Johansen || Enhedslisten - De Rød-Grønne || vestjylland,Aksel Rosager Johansen,Enhedslisten - De Rød-Grønne,vestjylland,Lemvig Kommune,5,17,193,86659,0.29411764705882354,0.0022271200913927002,0.0,Kandidat-/masteruddannelse,,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,665,833.0,573.0,469.0,66.0,566.0,699.0,370.0,188000.0,92.0,2260210.0,,,0.004448732379267835,22.0
Aksel Rosager Johansen || Enhedslisten - De Rød-Grønne || vestjylland,Aksel Rosager Johansen,Enhedslisten - De Rød-Grønne,vestjylland,Ringkøbing-Skjern Kommune,2,53,193,86659,0.03773584905660377,0.0022271200913927002,0.0,Kandidat-/masteruddannelse,,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,760,805.0,584.0,480.0,105.0,579.0,722.0,380.0,555820.0,92.0,2045000.0,,,0.004448732379267835,22.0
Aksel Rosager Johansen || Enhedslisten - De Rød-Grønne || vestjylland,Aksel Rosager Johansen,Enhedslisten - De Rød-Grønne,vestjylland,Silkeborg Kommune,31,324,193,86659,0.09567901234567901,0.0022271200913927002,0.0,Kandidat-/masteruddannelse,,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,740,783.0,599.0,503.0,168.0,544.0,865.0,1190.0,1015740.0,8.0,2087450.0,,,0.004448732379267835,22.0
Aksel Rosager Johansen || Enhedslisten - De Rød-Grønne || vestjylland,Aksel Rosager Johansen,Enhedslisten - De Rød-Grønne,vestjylland,Skive Kommune,3,59,193,86659,0.05084745762711865,0.0022271200913927002,0.0,Kandidat-/masteruddannelse,,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,779,822.0,585.0,481.0,137.0,534.0,782.0,650.0,443280.0,106.0,2053720.0,,,0.004448732379267835,22.0
Aksel Rosager Johansen || Enhedslisten - De Rød-Grønne || vestjylland,Aksel Rosager Johansen,Enhedslisten - De Rød-Grønne,vestjylland,Struer Kommune,2,18,193,86659,0.1111111111111111,0.0022271200913927002,0.0,Kandidat-/masteruddannelse,,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,671,825.0,562.0,460.0,146.0,557.0,788.0,820.0,202290.0,106.0,2057690.0,,,0.004448732379267835,22.0
Aksel Rosager Johansen || Enhedslisten - De Rød-Grønne || vestjylland,Aksel Rosager Johansen,Enhedslisten - De Rød-Grønne,vestjylland,Viborg Kommune,118,198,193,86659,0.5959595959595959,0.0022271200913927002,0.0,Kandidat-/masteruddannelse,,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,791,799.0,599.0,495.0,152.0,530.0,806.0,690.0,976210.0,96.0,2043980.0,,,0.004448732379267835,22.0
Alex Ahrendtsen || Dansk Folkeparti || fyn,Alex Ahrendtsen,Dansk Folkeparti,fyn,Assens Kommune,272,529,3281,126849,0.5141776937618148,0.025865399017729742,0.0,Kandidat-/masteruddannelse,1967-02-14T00:00:00,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,420,811.0,586.0,496.0,92.0,592.0,717.0,790.0,404690.0,105.0,1992300.0,,,0.14500294521892795,2.0
Alex Ahrendtsen || Dansk Folkeparti || fyn,Alex Ahrendtsen,Dansk Folkeparti,fyn,Faaborg-Midtfyn Kommune,324,912,3281,126849,0.35526315789473684,0.025865399017729742,0.0,Kandidat-/masteruddannelse,1967-02-14T00:00:00,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,430,807.0,577.0,487.0,100.0,592.0,730.0,830.0,522840.0,10.0,1930100.0,,,0.14500294521892795,2.0
