tiktok_handle,display_name,party_name,storkreds,account_type,video_id,upload_dato,beskrivelse,visninger,likes,kommentarer,shares,gemmer,video_url
amandaheitmann,Amanda Heitmann,Venstre,Fyns Storkreds,kandidat,7620006948800384278,2026-03-22,Staten tjener styrtende med penge i moms og afgift på de stigende benzinpriser 💸🤑🚗💨 #danmark #fyn #benzin #dkpol #politik,1185,67,3,0,2,https://www.tiktok.com/@amandaheitmann/video/7620006948800384278
amandaheitmann,Amanda Heitmann,Venstre,Fyns Storkreds,kandidat,7619676950646279446,2026-03-21,Prepping eller valgkamp? 🤔 #dkpol #politiktok #krig #danmark #fyn ,1719,72,1,2,5,https://www.tiktok.com/@amandaheitmann/video/7619676950646279446
amandaheitmann,Amanda Heitmann,Venstre,Fyns Storkreds,kandidat,7617831031403466006,2026-03-16,DET NYTTER AT STÅ FAST 💪🥳💙 Venstre vil banke benzin- og dieselafgiften helt i bund! #benzin #diesel #penge #politik #fyn,31000,887,60,49,61,https://www.tiktok.com/@amandaheitmann/video/7617831031403466006
amandaheitmann,Amanda Heitmann,Venstre,Fyns Storkreds,kandidat,7617811432767229206,2026-03-16,STATUS 😅🙈 8 dage til valget ❌ #dkpol #politik #fyn #nyborg #sydfyn,1459,85,1,0,2,https://www.tiktok.com/@amandaheitmann/video/7617811432767229206
amandaheitmann,Amanda Heitmann,Venstre,Fyns Storkreds,kandidat,7617585958648565014,2026-03-15,Vi bader i 💩👎🇩🇰 #spildevand #danmark #fyn #sydfyn #politik,3925,225,7,4,11,https://www.tiktok.com/@amandaheitmann/video/7617585958648565014
amandaheitmann,Amanda Heitmann,Venstre,Fyns Storkreds,kandidat,7617140466601135383,2026-03-14,FØRSTE VALGLØFTE 🔔‼️ #politik #fyn #sydfyn #faaborg #dkpol ,14300,354,4,17,17,https://www.tiktok.com/@amandaheitmann/video/7617140466601135383
amandaheitmann,Amanda Heitmann,Venstre,Fyns Storkreds,kandidat,7616758501041376534,2026-03-13,DET KAN KUN GÅ FOR LANGSOMT ‼️🚗💨 #danmark #fyn #biler #politik #dkpol ,6700,139,9,5,3,https://www.tiktok.com/@amandaheitmann/video/7616758501041376534
amandaheitmann,Amanda Heitmann,Venstre,Fyns Storkreds,kandidat,7616278522163645718,2026-03-12,Har fået den sødeste gave fra bageren 💙 #danmark #fyn #sydfyn #faaborg #vesterportsbageri,2430,89,1,2,5,https://www.tiktok.com/@amandaheitmann/video/7616278522163645718
amandaheitmann,Amanda Heitmann,Venstre,Fyns Storkreds,kandidat,7615338236524776707,2026-03-09,Sødeste 🥹🫶 De små kan ligeså godt lære det tidligt (; #danmark #fyn #faaborg #landbrug #politik,1854,91,2,2,2,https://www.tiktok.com/@amandaheitmann/video/7615338236524776707
amandaheitmann,Amanda Heitmann,Venstre,Fyns Storkreds,kandidat,7614906477735628054,2026-03-08,"Man skulle tro, kvindesynet i Liberal Alliance var en joke… #danmark #fyn #politik #kvinder #kampdag ",1484,64,3,9,5,https://www.tiktok.com/@amandaheitmann/video/7614906477735628054
