tiktok_handle,display_name,party_name,storkreds,account_type,video_id,upload_dato,beskrivelse,visninger,likes,kommentarer,shares,gemmer,video_url
bjornbrandenborg,Bjørn Brandenborg,Socialdemokratiet,Fyns Storkreds,kandidat,7611140021386480918,2026-02-26,Så er vi i gang! 🌹 #ftvalg26 #sydfyn #dkpol #foryoupage #demokrati ,1498,37,3,2,2,https://www.tiktok.com/@bjornbrandenborg/video/7611140021386480918
bjornbrandenborg,Bjørn Brandenborg,Socialdemokratiet,Fyns Storkreds,kandidat,7620100347196984598,2026-03-22,Tak for de fine ord til vores justitsminister🌹#dkpol ,327,6,0,0,0,https://www.tiktok.com/@bjornbrandenborg/video/7620100347196984598
bjornbrandenborg,Bjørn Brandenborg,Socialdemokratiet,Fyns Storkreds,kandidat,7619706467339341078,2026-03-21,"Sidste lørdag på torvet, tak for alle de gode snakke og smil. Husk at stem på tirsdag  Kh Bjørn❤️",927,36,0,5,3,https://www.tiktok.com/@bjornbrandenborg/video/7619706467339341078
bjornbrandenborg,Bjørn Brandenborg,Socialdemokratiet,Fyns Storkreds,kandidat,7619259857694166294,2026-03-20,"Nej Ole Birk og LA. Der er ikke flere svømmehaller, og flere penge til velfærd på Langeland end i København.. #langeland #olebirkolesen #dkpol #fyp ",10700,233,3,20,12,https://www.tiktok.com/@bjornbrandenborg/video/7619259857694166294
bjornbrandenborg,Bjørn Brandenborg,Socialdemokratiet,Fyns Storkreds,kandidat,7619000672293260566,2026-03-19,"Fint besøg af Dan Jørgensen - tak for en god snak, om noget af dét, der gør Sydfyn helt speciel. #dkpol ",1223,60,1,1,0,https://www.tiktok.com/@bjornbrandenborg/video/7619000672293260566
bjornbrandenborg,Bjørn Brandenborg,Socialdemokratiet,Fyns Storkreds,kandidat,7618857801217068310,2026-03-19,Vi kæmper for sprøjteforbud NU. #dkpol #rentdrikkevand ,1229,38,0,0,1,https://www.tiktok.com/@bjornbrandenborg/video/7618857801217068310
bjornbrandenborg,Bjørn Brandenborg,Socialdemokratiet,Fyns Storkreds,kandidat,7618673458511318295,2026-03-18,Flere statslige arbejdspladser til Fyn! 1000! #ftvalg2026 #foryoupage #stempåbjørn #socialdemokratiet,643,18,0,0,0,https://www.tiktok.com/@bjornbrandenborg/video/7618673458511318295
bjornbrandenborg,Bjørn Brandenborg,Socialdemokratiet,Fyns Storkreds,kandidat,7618594360841506070,2026-03-18,"Kom til fredagsbar på Dybendal, jeg gir den første øl og en pølle, så giver Harske Hubbi et nummer 😎 #langeland ",2121,52,0,38,4,https://www.tiktok.com/@bjornbrandenborg/video/7618594360841506070
bjornbrandenborg,Bjørn Brandenborg,Socialdemokratiet,Fyns Storkreds,kandidat,7618110375971605782,2026-03-17,"I dag er der præcis en uge tilbage af valgkampen. De seneste par år har jeg kæmpet for, at politik skal gøre en forskel. Jeg er særligt stolt af de resultater vi har leveret på lokalområdet. Men jeg er langt fra færdig endnu. ",897,19,0,0,0,https://www.tiktok.com/@bjornbrandenborg/video/7618110375971605782
bjornbrandenborg,Bjørn Brandenborg,Socialdemokratiet,Fyns Storkreds,kandidat,7617779946559180054,2026-03-16,Vi glæder os til det nye UCL åbner i Svendborg! Fantastisk at se mit arbejde på Christiansborg giver pote i vores lokalsamfund. #dkpol #svendborg #ucl #fv26 ,3222,112,0,5,3,https://www.tiktok.com/@bjornbrandenborg/video/7617779946559180054
bjornbrandenborg,Bjørn Brandenborg,Socialdemokratiet,Fyns Storkreds,kandidat,7617506967396879638,2026-03-15,De skal have deres straf og de skal udvises. #dkpol ,6880,123,9,10,6,https://www.tiktok.com/@bjornbrandenborg/video/7617506967396879638
bjornbrandenborg,Bjørn Brandenborg,Socialdemokratiet,Fyns Storkreds,kandidat,7617029873147809046,2026-03-14,Lær Bjørn at kende 🐻 #dkpol #folketingskandidat ,2495,100,0,18,3,https://www.tiktok.com/@bjornbrandenborg/video/7617029873147809046
