tiktok_handle,display_name,party_name,storkreds,account_type,video_id,upload_dato,beskrivelse,visninger,likes,kommentarer,shares,gemmer,video_url
frederik.vad,Frederik Vad,Socialdemokratiet,Sjællands Storkreds,kandidat,7620117553154641174,2026-03-22,Det er simpelthen ikke godt nok. #dkpol #danskpolitik #politik #danmark #socialdemokratiet ,484,29,3,1,0,https://www.tiktok.com/@frederik.vad/video/7620117553154641174
frederik.vad,Frederik Vad,Socialdemokratiet,Sjællands Storkreds,kandidat,7620078512849898774,2026-03-22,Det er meget enkelt: så findes der kun socialdemokratiet😁 #dkpol #danskpolitik #politik #danmark #socialdemokratiet ,1351,44,3,5,3,https://www.tiktok.com/@frederik.vad/video/7620078512849898774
frederik.vad,Frederik Vad,Socialdemokratiet,Sjællands Storkreds,kandidat,7620061114730073366,2026-03-22,😁😁😁 #dkpol #danskpolitik #politik #danmark #socialdemokratiet ,529,15,0,0,0,https://www.tiktok.com/@frederik.vad/video/7620061114730073366
frederik.vad,Frederik Vad,Socialdemokratiet,Sjællands Storkreds,kandidat,7619778283340614934,2026-03-21,Jeg tror desværre godt jeg kender svaret…🫠😅 #dkpol #danskpolitik #politik #danmark #socialdemokratiet ,1542,33,1,3,0,https://www.tiktok.com/@frederik.vad/video/7619778283340614934
frederik.vad,Frederik Vad,Socialdemokratiet,Sjællands Storkreds,kandidat,7619763726643760406,2026-03-21,Hvad sker der DF? Vil i ud af EU eller hvad? #dkpol #danskpolitik #politik #danmark #socialdemokratiet ,7593,175,5,6,7,https://www.tiktok.com/@frederik.vad/video/7619763726643760406
frederik.vad,Frederik Vad,Socialdemokratiet,Sjællands Storkreds,kandidat,7619677941726776598,2026-03-21,Gør både dine børn og Danmark en tjeneste! #dkpol #danskpolitik #politik #danmark #socialdemokratiet ,3258,98,2,4,5,https://www.tiktok.com/@frederik.vad/video/7619677941726776598
frederik.vad,Frederik Vad,Socialdemokratiet,Sjællands Storkreds,kandidat,7619349674641624342,2026-03-20,"Så er der altså mange andre steder end Danmark, som passer bedre! #dkpol #danskpolitik #politik #danmark #socialdemokratiet ",2111,67,7,1,2,https://www.tiktok.com/@frederik.vad/video/7619349674641624342
frederik.vad,Frederik Vad,Socialdemokratiet,Sjællands Storkreds,kandidat,7619322501620944150,2026-03-20,"Det er handling overfor ord, Dansk Folkeparti. #dkpol #danskpolitik #politik #danmark #socialdemokratiet ",966,41,2,1,3,https://www.tiktok.com/@frederik.vad/video/7619322501620944150
frederik.vad,Frederik Vad,Socialdemokratiet,Sjællands Storkreds,kandidat,7619308311321578774,2026-03-20,Nej tak til etniske hierarkier i folkeskolen! #dkpol #danskpolitik #politik #danmark #socialdemokratiet ,3246,77,5,20,8,https://www.tiktok.com/@frederik.vad/video/7619308311321578774
frederik.vad,Frederik Vad,Socialdemokratiet,Sjællands Storkreds,kandidat,7619034428047772950,2026-03-19,Det duer simpelthen ikke! #dkpol #danskpolitik #politik #danmark #socialdemokratiet ,6830,102,4,18,14,https://www.tiktok.com/@frederik.vad/video/7619034428047772950
frederik.vad,Frederik Vad,Socialdemokratiet,Sjællands Storkreds,kandidat,7618953201768860950,2026-03-19,Det er egentlig meget simpelt. #dkpol #danskpolitik #politik #danmark #socialdemokratiet ,5610,96,14,4,9,https://www.tiktok.com/@frederik.vad/video/7618953201768860950
frederik.vad,Frederik Vad,Socialdemokratiet,Sjællands Storkreds,kandidat,7618569060296723735,2026-03-18,"Det er nemlig en forskel, der vil noget! #dkpol #danskpolitik #politik #danmark #socialdemokratiet ",4032,108,10,2,10,https://www.tiktok.com/@frederik.vad/video/7618569060296723735
frederik.vad,Frederik Vad,Socialdemokratiet,Sjællands Storkreds,kandidat,7617840765883993347,2026-03-16,"Ja, det taler de blå sjovt nok ikke så højt om🫠🫠🫠🙃🙃 #dkpol #danskpolitik #politik #danmark #socialdemokratiet ",7373,102,23,11,8,https://www.tiktok.com/@frederik.vad/video/7617840765883993347
frederik.vad,Frederik Vad,Socialdemokratiet,Sjællands Storkreds,kandidat,7617093665084787990,2026-03-14,"Vi skal slå hårdt ned på dem, som begår vold mod vores sundhedspersonale #dkpol #danskpolitik #politik #danmark #socialdemokratiet ",1057,45,2,0,2,https://www.tiktok.com/@frederik.vad/video/7617093665084787990
frederik.vad,Frederik Vad,Socialdemokratiet,Sjællands Storkreds,kandidat,7616722560268438806,2026-03-13,Det er egentlig meget simpelt. #dkpol #danskpolitik #politik #danmark #socialdemokratiet ,3981,91,10,6,9,https://www.tiktok.com/@frederik.vad/video/7616722560268438806
