tiktok_handle,display_name,party_name,storkreds,account_type,video_id,upload_dato,beskrivelse,visninger,likes,kommentarer,shares,gemmer,video_url
hediyedptemiz,Hediye Temiz,Radikale Venstre,Nordsjællands Storkreds,kandidat,7616384447717461270,2026-03-12,Rigtig skørt faktisk😔 #dkpol #politik #valg #df #fyp @Radikal Ungdom @Radikale @Dansk Folkeparti @Morten Messerschmidt ,41800,1221,4,32,35,https://www.tiktok.com/@hediyedptemiz/video/7616384447717461270
hediyedptemiz,Hediye Temiz,Radikale Venstre,Nordsjællands Storkreds,kandidat,7600668073883897110,2026-01-29,"Det er faktisk en rigtig fætter, og ikke bare en eller anden fætter jeg snakker om😅😭 #skolevalg #dkpol #statsborgerskab #fyp ",98700,4038,125,534,381,https://www.tiktok.com/@hediyedptemiz/video/7600668073883897110
hediyedptemiz,Hediye Temiz,Radikale Venstre,Nordsjællands Storkreds,kandidat,7612275291578305814,2026-03-01,Vi skal sige fra overfor @Dansk Folkeparti og deres racisme! #fyp #viral #dansktiktok #danmark #politik ,10400,575,15,51,24,https://www.tiktok.com/@hediyedptemiz/video/7612275291578305814
hediyedptemiz,Hediye Temiz,Radikale Venstre,Nordsjællands Storkreds,kandidat,7620086149725326614,2026-03-22,Kære @Morten Messerschmidt jeg rejser ingen steder!✈️❌#dkpol #politik #df #dansk #fyp @Radikale @Radikal Ungdom @Dansk Folkeparti ,840,66,7,11,9,https://www.tiktok.com/@hediyedptemiz/video/7620086149725326614
hediyedptemiz,Hediye Temiz,Radikale Venstre,Nordsjællands Storkreds,kandidat,7619781403491945731,2026-03-21,Flere mødre i politik!🤰#dkpol #politik #mor #kvinder #fyp @Radikale @Radikal Ungdom @ANNE SOPHIE CALLESEN - RV @Sigrid Friis ,8969,222,7,15,11,https://www.tiktok.com/@hediyedptemiz/video/7619781403491945731
hediyedptemiz,Hediye Temiz,Radikale Venstre,Nordsjællands Storkreds,kandidat,7619407037960817942,2026-03-20,Ren aura🕶️ #dkpol #politik #df #tv #fyp @Radikale @Radikal Ungdom ,1957,66,3,14,7,https://www.tiktok.com/@hediyedptemiz/video/7619407037960817942
hediyedptemiz,Hediye Temiz,Radikale Venstre,Nordsjællands Storkreds,kandidat,7619032330086141206,2026-03-19,"Jo flere, jo bedre!😉 #dkpol #politik #dansk #pas #fyp @Radikale @Radikal Ungdom @Zenia Stampe ",30800,1386,38,117,80,https://www.tiktok.com/@hediyedptemiz/video/7619032330086141206
hediyedptemiz,Hediye Temiz,Radikale Venstre,Nordsjællands Storkreds,kandidat,7618855348677381398,2026-03-19,Bro få lige toget til af køre til tiden!😔#dkpol #politik #transport #dsb #fyp @Radikale @Radikal Ungdom @Martin Lidegaard @DSB ,24300,718,9,62,26,https://www.tiktok.com/@hediyedptemiz/video/7618855348677381398
hediyedptemiz,Hediye Temiz,Radikale Venstre,Nordsjællands Storkreds,kandidat,7618668112371567894,2026-03-18,Stort tillykke - vi har brug for jer!🙌🏼 #dkpol #politik #børn #uddannelse #fyp @Radikale @Radikal Ungdom @Soma Mayel ,4309,116,3,27,10,https://www.tiktok.com/@hediyedptemiz/video/7618668112371567894
hediyedptemiz,Hediye Temiz,Radikale Venstre,Nordsjællands Storkreds,kandidat,7618301549386796310,2026-03-17,Min kære lille søn…❤️#dkpol #politik #børn #ung #fyp ,2238,91,4,14,7,https://www.tiktok.com/@hediyedptemiz/video/7618301549386796310
