tiktok_handle,display_name,party_name,storkreds,account_type,video_id,upload_dato,beskrivelse,visninger,likes,kommentarer,shares,gemmer,video_url
helena_hedegaard_,Helena Hedegaard Udsen,Enhedslisten - De Rød-Grønne,Sjællands Storkreds,kandidat,7563306204236238102,2025-10-20,Der er valg d.18. november ❤️💚 Brug dine to kryds på @Enhedslisten HQ  ❌ kommunalvalget ❌regionsrådsvalget,19400,542,52,12,52,https://www.tiktok.com/@helena_hedegaard_/video/7563306204236238102
helena_hedegaard_,Helena Hedegaard Udsen,Enhedslisten - De Rød-Grønne,Sjællands Storkreds,kandidat,7572866989400526102,2025-11-15,"Kender du den skjulte klimasynder?  Leila Stockmarr og jeg har fundet den, og vi arbejder på mange niveauer for, at den skal bidrage til den grønne omstilling ❤️💚",1019,48,2,1,6,https://www.tiktok.com/@helena_hedegaard_/video/7572866989400526102
helena_hedegaard_,Helena Hedegaard Udsen,Enhedslisten - De Rød-Grønne,Sjællands Storkreds,kandidat,7572585336082107670,2025-11-14,Regions-politik-hvad?  Riiiigtig mange har ikke helt styr på det der regionpolitik. Her her er en hurtig indflyvning ❤️💚,1227,56,5,2,4,https://www.tiktok.com/@helena_hedegaard_/video/7572585336082107670
helena_hedegaard_,Helena Hedegaard Udsen,Enhedslisten - De Rød-Grønne,Sjællands Storkreds,kandidat,7572523386568445206,2025-11-14,"Mivs og tak og 🥹🥹 Venner, bekendte, fremmede, der skriver og bakker op, møder op og deler flyers ud og sørger for mad og min kalender. I er GULD ✨✨✨ Vi er mange, der kæmper for, at flest mulige stemmer d.18. november, så flest mulige bliver hørt ❤️💚",83,15,0,0,1,https://www.tiktok.com/@helena_hedegaard_/video/7572523386568445206
helena_hedegaard_,Helena Hedegaard Udsen,Enhedslisten - De Rød-Grønne,Sjællands Storkreds,kandidat,7572090545363832086,2025-11-13,Du kan (muligvis) stemme i den nye gigantiske Region Østdanmark!  Stem på @Enhedslisten HQ d.18. november - både til regions- og kommunalvalget ❤️💚,855,48,1,2,5,https://www.tiktok.com/@helena_hedegaard_/video/7572090545363832086
helena_hedegaard_,Helena Hedegaard Udsen,Enhedslisten - De Rød-Grønne,Sjællands Storkreds,kandidat,7571849421554535702,2025-11-12,"Vi står ved en skillevej. Vi kan vælge forandring. Vi kan vælge forbedring, vi kan vælge en politik, der gavner de fleste og ikke kun de få.  Sæt kryds ved @Enhedslisten HQ d.18. november til både kommunal- og regionsrådsvalget ❤️💚 // Leila & Helena",1045,42,0,2,5,https://www.tiktok.com/@helena_hedegaard_/video/7571849421554535702
helena_hedegaard_,Helena Hedegaard Udsen,Enhedslisten - De Rød-Grønne,Sjællands Storkreds,kandidat,7571719870761471254,2025-11-12,"Fjernelse af lægesekretærerne?  Der kan skjule sig meget konkrete medarbejdere og meget konkrete opgaver, der skal flyttes, hvis man bliver ved at omtaler mange forskellige funktioner samlet under “administrative” funktioner.  Stem på @Enhedslisten H",3445,161,5,6,6,https://www.tiktok.com/@helena_hedegaard_/video/7571719870761471254
helena_hedegaard_,Helena Hedegaard Udsen,Enhedslisten - De Rød-Grønne,Sjællands Storkreds,kandidat,7571457197004033302,2025-11-11,En rummeligere psykiatri ❤️ @Rosa Lund og jeg snakker om psykiatrien.  Stem på @Enhedslisten HQ d.18. november - både til kommunal- og regionsrådsvalget ❤️💚,2315,71,8,1,4,https://www.tiktok.com/@helena_hedegaard_/video/7571457197004033302
helena_hedegaard_,Helena Hedegaard Udsen,Enhedslisten - De Rød-Grønne,Sjællands Storkreds,kandidat,7571131430802148630,2025-11-10,"En rummeligere psykiatri - for medarbejdere og for patienter 👩🏼‍⚕️ Hvordan mener du, at vi gør psykiatrien bedre?  Stem på @Enhedslisten HQ den 18. november - både til kommunal og regionsrådsvalget ❤️💚",1006,40,1,2,4,https://www.tiktok.com/@helena_hedegaard_/video/7571131430802148630
helena_hedegaard_,Helena Hedegaard Udsen,Enhedslisten - De Rød-Grønne,Sjællands Storkreds,kandidat,7570273030253989142,2025-11-08,A day in a (candidate)life ✨ Stem Ø d.18. november - både til kommunal- og regionsvalget 💚❤️,1011,29,1,0,1,https://www.tiktok.com/@helena_hedegaard_/video/7570273030253989142
