tiktok_handle,display_name,party_name,storkreds,account_type,video_id,upload_dato,beskrivelse,visninger,likes,kommentarer,shares,gemmer,video_url
hovedkontoret.radikale,Radikale Venstre (sekundær),Radikale Venstre,Landsplan,parti_national,7615717901676367126,2026-03-10,DANMARK FOR ALLE DANSKERE 🩷💚,167300,19000,108,1213,1050,https://www.tiktok.com/@hovedkontoret.radikale/video/7615717901676367126
hovedkontoret.radikale,Radikale Venstre (sekundær),Radikale Venstre,Landsplan,parti_national,7594437140650511638,2026-01-12,"Paradiset åbner portene endnu en gang, og en gammel kending vender tilbage 🦋🌴 #paradisedk #dkpol ",125600,8330,45,3129,524,https://www.tiktok.com/@hovedkontoret.radikale/video/7594437140650511638
hovedkontoret.radikale,Radikale Venstre (sekundær),Radikale Venstre,Landsplan,parti_national,7620168754512645398,2026-03-22,VORES DANMARK 🇩🇰 #dkpol #radikalevenstre ,1357,169,3,10,7,https://www.tiktok.com/@hovedkontoret.radikale/video/7620168754512645398
hovedkontoret.radikale,Radikale Venstre (sekundær),Radikale Venstre,Landsplan,parti_national,7620033322500050198,2026-03-22,Jumpscare warning 🤢 #dkpol #radikalevenstre ,37500,3197,20,480,86,https://www.tiktok.com/@hovedkontoret.radikale/video/7620033322500050198
hovedkontoret.radikale,Radikale Venstre (sekundær),Radikale Venstre,Landsplan,parti_national,7619964429412715798,2026-03-22,Der er meget der fylder for tiden. Men husk at få stemt på tirsdag alligevel #dkpol ,3787,194,3,5,10,https://www.tiktok.com/@hovedkontoret.radikale/video/7619964429412715798
hovedkontoret.radikale,Radikale Venstre (sekundær),Radikale Venstre,Landsplan,parti_national,7619584109525962006,2026-03-21,Vi ved I har meget om ørerne. Men husk at få stemt på tirsdag alligevel,7096,455,2,3,9,https://www.tiktok.com/@hovedkontoret.radikale/video/7619584109525962006
hovedkontoret.radikale,Radikale Venstre (sekundær),Radikale Venstre,Landsplan,parti_national,7619350725495229718,2026-03-20,Pssstt 🤫 @Samira Nawa ,2738,156,3,10,4,https://www.tiktok.com/@hovedkontoret.radikale/video/7619350725495229718
hovedkontoret.radikale,Radikale Venstre (sekundær),Radikale Venstre,Landsplan,parti_national,7619330708049415446,2026-03-20,Vi kan godt… tage de unges bekymringer alvorligt ,16200,832,9,28,39,https://www.tiktok.com/@hovedkontoret.radikale/video/7619330708049415446
hovedkontoret.radikale,Radikale Venstre (sekundær),Radikale Venstre,Landsplan,parti_national,7618993136144010518,2026-03-19,En ægte ildsjæl ❤️‍🔥❤️‍🔥❤️‍🔥❤️‍🔥❤️‍🔥@Samira Nawa #dkpol #radikalevenstre,3684,213,1,6,7,https://www.tiktok.com/@hovedkontoret.radikale/video/7618993136144010518
hovedkontoret.radikale,Radikale Venstre (sekundær),Radikale Venstre,Landsplan,parti_national,7618575033102765334,2026-03-18,,3611,231,4,5,7,https://www.tiktok.com/@hovedkontoret.radikale/video/7618575033102765334
hovedkontoret.radikale,Radikale Venstre (sekundær),Radikale Venstre,Landsplan,parti_national,7617468419763408150,2026-03-15,Vores Danmark🫶🏼🫶🏼🫶🏼🫶🏼,39100,4298,6,227,118,https://www.tiktok.com/@hovedkontoret.radikale/video/7617468419763408150
hovedkontoret.radikale,Radikale Venstre (sekundær),Radikale Venstre,Landsplan,parti_national,7617423722672147734,2026-03-15,Interessant fortolkning ,12500,656,4,61,25,https://www.tiktok.com/@hovedkontoret.radikale/video/7617423722672147734
hovedkontoret.radikale,Radikale Venstre (sekundær),Radikale Venstre,Landsplan,parti_national,7617395429868686614,2026-03-15,BEVAR 10,6345,474,5,11,16,https://www.tiktok.com/@hovedkontoret.radikale/video/7617395429868686614
