tiktok_handle,display_name,party_name,storkreds,account_type,video_id,upload_dato,beskrivelse,visninger,likes,kommentarer,shares,gemmer,video_url
iben__krog,Iben Krog,Venstre,Sjællands Storkreds,kandidat,7619595921558342934,2026-03-21,"Er du i tvivl om, hvor krydset skal sættes den 24 marts? Så håber jeg, du sætter det ved mig 🫰🏻",6983,186,1,19,7,https://www.tiktok.com/@iben__krog/video/7619595921558342934
iben__krog,Iben Krog,Venstre,Sjællands Storkreds,kandidat,7619594579464998147,2026-03-21,"Et lille smugkig fra min tur på gågaden i Nykøbing Tak for de mange gode input Og tak for alle de smil og gode møder 💙 Hvad mener du, der skal være fokus på? 💬",3714,134,2,52,16,https://www.tiktok.com/@iben__krog/video/7619594579464998147
iben__krog,Iben Krog,Venstre,Sjællands Storkreds,kandidat,7619075330355055894,2026-03-19,"Kom med mig i MENY i Nykøbing på indkøbstur 🛒 Der skulle handles lidt ind til weekenden, så kig med og få et indblik i nogle af de varer, der blandt andet havner i min kurv.  Hvad skal der altid i din kurv når du handler? ",986,43,0,1,0,https://www.tiktok.com/@iben__krog/video/7619075330355055894
iben__krog,Iben Krog,Venstre,Sjællands Storkreds,kandidat,7619066570857368854,2026-03-19,Hvad er din Y-snack?,1486,42,0,3,0,https://www.tiktok.com/@iben__krog/video/7619066570857368854
iben__krog,Iben Krog,Venstre,Sjællands Storkreds,kandidat,7618919851335208214,2026-03-19,Jeg tager forsmag på ministerbilen med @TV2 ØST ❤️‍🔥❤️‍🔥  Find det på @TV 2 Play ved at søge på Iben Krog 🏋️🏋️ #tv2play #tv2øst #venstre ,708,5,0,1,1,https://www.tiktok.com/@iben__krog/video/7618919851335208214
iben__krog,Iben Krog,Venstre,Sjællands Storkreds,kandidat,7618608646079008022,2026-03-18,Vil du også have lov til at køre bil ligesom Gorm? Så stem på Iben Krog fra Venstre 24/3 #næstvedcity #næstvedgymnaium #næstvedungdom #næstvedcityforening ,9726,190,4,111,11,https://www.tiktok.com/@iben__krog/video/7618608646079008022
iben__krog,Iben Krog,Venstre,Sjællands Storkreds,kandidat,7617842555207683350,2026-03-16,17 årige skal have lov til at køre bil ❤️‍🔥❤️‍🔥,42100,1336,34,173,59,https://www.tiktok.com/@iben__krog/video/7617842555207683350
iben__krog,Iben Krog,Venstre,Sjællands Storkreds,kandidat,7614782140005371158,2026-03-08,😅 cravings,6632,99,0,4,3,https://www.tiktok.com/@iben__krog/video/7614782140005371158
iben__krog,Iben Krog,Venstre,Sjællands Storkreds,kandidat,7614176870178835734,2026-03-06,Det er dine penge ,8874,89,4,13,5,https://www.tiktok.com/@iben__krog/video/7614176870178835734
iben__krog,Iben Krog,Venstre,Sjællands Storkreds,kandidat,7613302856451427606,2026-03-04,"Jeg er nu at finde i radioen, mit budskab skal ud! Gør som damen siger, dem Iben Krog 🥳🥳",3280,62,5,8,2,https://www.tiktok.com/@iben__krog/video/7613302856451427606
iben__krog,Iben Krog,Venstre,Sjællands Storkreds,kandidat,7612915728114552086,2026-03-03,Har du fået din morgenkaffe? 🙂‍↕️,2796,37,0,1,0,https://www.tiktok.com/@iben__krog/video/7612915728114552086
iben__krog,Iben Krog,Venstre,Sjællands Storkreds,kandidat,7612197616302034198,2026-03-01,"Der er forårsfornemmelser i Nykøbing i dag, og jeg elsker at bo i et land som Danmark, hvor man tydeligt kan mærke, at årstiderne skifter. 🌸 Måske har du allerede lagt mærke til, at der er kommet en plakat eller to op af mig i dit nærområde. I dag er",6439,130,1,12,6,https://www.tiktok.com/@iben__krog/video/7612197616302034198
iben__krog,Iben Krog,Venstre,Sjællands Storkreds,kandidat,7611817062792465686,2026-02-28,Jeg varmer op til kampen for lighed i velfærden For læger tæt på For familierne For kvinders sundhed For iværksætteri der kan betale sig Og for et stærkt landbrug Er du enig i bare én af dem? #IbenKrog #StemPersonligt #Folketinget #DanskPolitik #vens,4238,62,2,4,3,https://www.tiktok.com/@iben__krog/video/7611817062792465686
iben__krog,Iben Krog,Venstre,Sjællands Storkreds,kandidat,7611647519256218902,2026-02-27,"Er du enig i bare én af de ting jeg går til valg på? Så sæt dit kryds ved mig, Iben Krog, den 24. marts! #Folketinget #StemPersonligt #Forandring #Lolland #StemForFremtiden",3459,51,3,0,5,https://www.tiktok.com/@iben__krog/video/7611647519256218902
iben__krog,Iben Krog,Venstre,Sjællands Storkreds,kandidat,7611506454176091414,2026-02-27,Vælter mig i unge vælgere 💅 ,108500,2820,64,1500,128,https://www.tiktok.com/@iben__krog/video/7611506454176091414
iben__krog,Iben Krog,Venstre,Sjællands Storkreds,kandidat,7611149605744495894,2026-02-26,"Politik virker 🥳 der er læger på vej, så flere kan kende fornavnet på egen læge 🙏",2499,10,1,0,1,https://www.tiktok.com/@iben__krog/video/7611149605744495894
iben__krog,Iben Krog,Venstre,Sjællands Storkreds,kandidat,7564820296599915798,2025-10-24,Jeg elsker at drikke en øl med mine venner Jeg elsker at danse og fordybe mig i en roman Jeg elsker politik og at møde mennesker Jeg brænder for at gøre en forskel for andre og for samfundet Men jeg er også mor til to dejlige drenge. Lige nu elsker j,2463,57,0,0,1,https://www.tiktok.com/@iben__krog/video/7564820296599915798
iben__krog,Iben Krog,Venstre,Sjællands Storkreds,kandidat,7564049340398849302,2025-10-22,"Fra på lørdag hænger jeg officielt i lygtepælene over hele Region Østdanmark – helt frem til den 18. november. 🤞🏼 Så hvis du ser mig på din vej, er det ikke et tilfælde. Det er fordi jeg stiller op for at skabe et sundhedsvæsen, hvor man kender forna",1609,19,1,1,2,https://www.tiktok.com/@iben__krog/video/7564049340398849302
