tiktok_handle,display_name,party_name,storkreds,account_type,video_id,upload_dato,beskrivelse,visninger,likes,kommentarer,shares,gemmer,video_url
kikibach0,Kiki Bille Bach,Socialdemokratiet,Nordjyllands Storkreds,kandidat,7619399107525807382,2026-03-20,I tvivl? Det kender jeg godt😎,1616,23,0,8,0,https://www.tiktok.com/@kikibach0/video/7619399107525807382
kikibach0,Kiki Bille Bach,Socialdemokratiet,Nordjyllands Storkreds,kandidat,7618864975255276822,2026-03-19,,5492,70,2,24,4,https://www.tiktok.com/@kikibach0/video/7618864975255276822
kikibach0,Kiki Bille Bach,Socialdemokratiet,Nordjyllands Storkreds,kandidat,7615134091696033046,2026-03-09,Far jokes - med borgmesteren i Aalborg.😎🤣 #kikibillebach #socialdemokratiet #valg2026,13200,190,4,41,9,https://www.tiktok.com/@kikibach0/video/7615134091696033046
kikibach0,Kiki Bille Bach,Socialdemokratiet,Nordjyllands Storkreds,kandidat,7613142435589344534,2026-03-03,,2016,14,2,5,0,https://www.tiktok.com/@kikibach0/video/7613142435589344534
kikibach0,Kiki Bille Bach,Socialdemokratiet,Nordjyllands Storkreds,kandidat,7613142427553041686,2026-03-03,,1631,21,0,3,0,https://www.tiktok.com/@kikibach0/video/7613142427553041686
kikibach0,Kiki Bille Bach,Socialdemokratiet,Nordjyllands Storkreds,kandidat,7612563256560995606,2026-03-02,Stem Kiki🌹,923,9,0,16,0,https://www.tiktok.com/@kikibach0/video/7612563256560995606
kikibach0,Kiki Bille Bach,Socialdemokratiet,Nordjyllands Storkreds,kandidat,7612396295973621014,2026-03-01,Valgkampagnen kører - med små åndehuller ❤️ Stem Kiki Bach i Nordjylland 🌹,862,8,0,2,0,https://www.tiktok.com/@kikibach0/video/7612396295973621014
kikibach0,Kiki Bille Bach,Socialdemokratiet,Nordjyllands Storkreds,kandidat,7612353163223469314,2026-03-01,,7003,58,1,9,3,https://www.tiktok.com/@kikibach0/video/7612353163223469314
kikibach0,Kiki Bille Bach,Socialdemokratiet,Nordjyllands Storkreds,kandidat,7606687001831591190,2026-02-14,#CapCut ,826,8,0,0,1,https://www.tiktok.com/@kikibach0/video/7606687001831591190
kikibach0,Kiki Bille Bach,Socialdemokratiet,Nordjyllands Storkreds,kandidat,7604232954365086998,2026-02-07,,824,16,0,2,0,https://www.tiktok.com/@kikibach0/video/7604232954365086998
kikibach0,Kiki Bille Bach,Socialdemokratiet,Nordjyllands Storkreds,kandidat,7571432547440168214,2025-11-11,,1257,29,1,1,3,https://www.tiktok.com/@kikibach0/video/7571432547440168214
