tiktok_handle,display_name,party_name,storkreds,account_type,video_id,upload_dato,beskrivelse,visninger,likes,kommentarer,shares,gemmer,video_url
larsbojemathiesen,Lars Boje Mathiesen,Borgernes Parti - Lars Boje Mathiesen,Østjyllands Storkreds,kandidat,7607398823660440854,2026-02-16,Du går på arbejde og tvinges til at betale for at politikerne kan bruge dine penge på det her vanvid.. se med.. ,10700,554,14,28,31,https://www.tiktok.com/@larsbojemathiesen/video/7607398823660440854
larsbojemathiesen,Lars Boje Mathiesen,Borgernes Parti - Lars Boje Mathiesen,Østjyllands Storkreds,kandidat,7606322011102661910,2026-02-13,"Politikerne lyver overfor dig, når de siger der er en stram udlændinge poltik. Se beviset her. ",17700,1064,25,68,57,https://www.tiktok.com/@larsbojemathiesen/video/7606322011102661910
larsbojemathiesen,Lars Boje Mathiesen,Borgernes Parti - Lars Boje Mathiesen,Østjyllands Storkreds,kandidat,7604067219059838230,2026-02-07,DET HER BURDE IKKE KUNNE VÆRE LOVLIGT! 42 miliarder! #denmark🇩🇰 ,37800,1443,67,110,103,https://www.tiktok.com/@larsbojemathiesen/video/7604067219059838230
larsbojemathiesen,Lars Boje Mathiesen,Borgernes Parti - Lars Boje Mathiesen,Østjyllands Storkreds,kandidat,7603733758126066966,2026-02-06,"SE BEVISET HER!  1,1 milliard kroner vil Regeringen nu tage fra borgerne og forære væk.#denmark🇩🇰 #dkpol ",34900,1576,79,126,80,https://www.tiktok.com/@larsbojemathiesen/video/7603733758126066966
larsbojemathiesen,Lars Boje Mathiesen,Borgernes Parti - Lars Boje Mathiesen,Østjyllands Storkreds,kandidat,7598212691601165590,2026-01-22,1 milliard skattekroner til en islamist! ,2187,135,2,10,8,https://www.tiktok.com/@larsbojemathiesen/video/7598212691601165590
larsbojemathiesen,Lars Boje Mathiesen,Borgernes Parti - Lars Boje Mathiesen,Østjyllands Storkreds,kandidat,7597807602277289238,2026-01-21,"Hvorfor kan denne dobbelte morder ikke udvises? Du gætter aldrig hvem, der er skyld i det? ",27100,1146,50,172,87,https://www.tiktok.com/@larsbojemathiesen/video/7597807602277289238
larsbojemathiesen,Lars Boje Mathiesen,Borgernes Parti - Lars Boje Mathiesen,Østjyllands Storkreds,kandidat,7588521660442103043,2025-12-27,"Flere af Mette F, Løkke, SF og Enhedslistens importerede samfundsberigere. FARVEL OG TAK - UD MED DEM! ",2387,101,14,13,2,https://www.tiktok.com/@larsbojemathiesen/video/7588521660442103043
larsbojemathiesen,Lars Boje Mathiesen,Borgernes Parti - Lars Boje Mathiesen,Østjyllands Storkreds,kandidat,7585504681066024214,2025-12-19,Her er hvad Mette Frederiksen og medierne ikke fortæller jer om den nye EU-aftale - på 60 sekunder.  #denmark🇩🇰 #treanding #eu ,19600,955,81,160,82,https://www.tiktok.com/@larsbojemathiesen/video/7585504681066024214
larsbojemathiesen,Lars Boje Mathiesen,Borgernes Parti - Lars Boje Mathiesen,Østjyllands Storkreds,kandidat,7585504663840066838,2025-12-19,Her er hvad Mette Frederiksen og medierne ikke fortæller jer om den nye EU-aftale - på 60 sekunder.  #denmark🇩🇰 #treanding #eu ,1018,56,3,1,2,https://www.tiktok.com/@larsbojemathiesen/video/7585504663840066838
larsbojemathiesen,Lars Boje Mathiesen,Borgernes Parti - Lars Boje Mathiesen,Østjyllands Storkreds,kandidat,7581403768596614422,2025-12-08,"AV, AV.. det spørgsmål fortrød hun ret hurtigt.. ",7190,609,44,54,35,https://www.tiktok.com/@larsbojemathiesen/video/7581403768596614422
larsbojemathiesen,Lars Boje Mathiesen,Borgernes Parti - Lars Boje Mathiesen,Østjyllands Storkreds,kandidat,7580070894467403030,2025-12-05,LAD NU VÆRE! Regeringen og De konservative gøre det dyrere at flyve.,3732,245,15,8,7,https://www.tiktok.com/@larsbojemathiesen/video/7580070894467403030
larsbojemathiesen,Lars Boje Mathiesen,Borgernes Parti - Lars Boje Mathiesen,Østjyllands Storkreds,kandidat,7580070175475518723,2025-12-05,De ønsker at fjerne kontanterne for at kunne kontrollere os.,22800,305,16,16,14,https://www.tiktok.com/@larsbojemathiesen/video/7580070175475518723
