tiktok_handle,display_name,party_name,storkreds,account_type,video_id,upload_dato,beskrivelse,visninger,likes,kommentarer,shares,gemmer,video_url
liberalungdom,Liberal Alliances Ungdom,Liberal Alliance,Landsplan,ungdomsorganisation,7613721256076053782,2026-03-05,SKYND DIG AT MELDE DIG IND I LIBERAL ALLIANCES UNGDOM - SÅ KAN VI VÆLTE METTE FREDERIKSEN AF PINDEN! 🩵 Meld dig ind via vores hjemmeside (link i bio) eller overfør 100 kr. via MobilePay til 64656 og skriv dit navn og din email i beskedfeltet.🕊️🤩 @Sol,4930,193,6,10,5,https://www.tiktok.com/@liberalungdom/video/7613721256076053782
liberalungdom,Liberal Alliances Ungdom,Liberal Alliance,Landsplan,ungdomsorganisation,7599702601369750806,2026-01-26,"VI TROR PÅ ANSVARET - VI TROR PÅ DIG! Vi vil… 🍁 Legalisere cannabis, så friheden til egen krop ikke går op i røg. ⏰ Gøre skoledagene kortere, så du har mere tid til det, der betyder noget for dig. 💸 Afskaffe topskatten, så vi ikke straffer dem, der g",3655,63,10,16,2,https://www.tiktok.com/@liberalungdom/video/7599702601369750806
liberalungdom,Liberal Alliances Ungdom,Liberal Alliance,Landsplan,ungdomsorganisation,7620116980351257878,2026-03-22,Stem LA tirsdag den 24. marts. #liberalalliance #københavn #folketingsvalg26 #valg2026 #folketingsvalget ,682,90,6,10,3,https://www.tiktok.com/@liberalungdom/video/7620116980351257878
liberalungdom,Liberal Alliances Ungdom,Liberal Alliance,Landsplan,ungdomsorganisation,7620079478475197718,2026-03-22,TRE HURTIGE OM OVERVÅGNING MED LAU’S RETSORDFØRER OG KIM ALEXANDER! 💙📹 Husk at stemme på LA den 24. marts. #liberalalliance #sydjylland #folketingsvalg26 #valg2026 #folketingsvalget ,414,35,2,4,4,https://www.tiktok.com/@liberalungdom/video/7620079478475197718
liberalungdom,Liberal Alliances Ungdom,Liberal Alliance,Landsplan,ungdomsorganisation,7620049682986814742,2026-03-22,FJERN REGISTRERINGSAFGIFTEN!🚘 Stem på Jonas Juhl d. 24 marts i Københavns Omegn! 💙 #liberalalliance #københavnsomegn #folketingsvalg26 #valg2026 #folketingsvalget ,960,66,3,4,3,https://www.tiktok.com/@liberalungdom/video/7620049682986814742
liberalungdom,Liberal Alliances Ungdom,Liberal Alliance,Landsplan,ungdomsorganisation,7620013517613092118,2026-03-22,Hvad sker der? Stem på Katrine Daugaard på Fyn d. 24 marts 🩵 #fyn #liberalalliance #folketingsvalg26 #valg2026 #folketingsvalget ,2096,70,1,18,5,https://www.tiktok.com/@liberalungdom/video/7620013517613092118
liberalungdom,Liberal Alliances Ungdom,Liberal Alliance,Landsplan,ungdomsorganisation,7619990067876056342,2026-03-22,Vi slog skatten af tønden i Hillerød.🐈‍⬛ Stem på Christopher Arzrouni i Nordsjælland d. 24 marts #liberalalliance #nordsjælland #folketingsvalg26 #valg2026 #folketingsvalget @christopher.arzrouni ,339,17,1,2,1,https://www.tiktok.com/@liberalungdom/video/7619990067876056342
liberalungdom,Liberal Alliances Ungdom,Liberal Alliance,Landsplan,ungdomsorganisation,7619761077600931094,2026-03-21,Stem LA den 24. marts. 🐇🩵 #badbunny #liberalalliance #folketingsvalg26 #valg2026 #folketingsvalget ,490,32,2,3,2,https://www.tiktok.com/@liberalungdom/video/7619761077600931094
liberalungdom,Liberal Alliances Ungdom,Liberal Alliance,Landsplan,ungdomsorganisation,7619729871551434006,2026-03-21,God dag (medmindre du er kommunist) #liberalalliance #valg2026 #folketingsvalg26 #folketingsvalget #politik ,1364,136,3,5,8,https://www.tiktok.com/@liberalungdom/video/7619729871551434006
liberalungdom,Liberal Alliances Ungdom,Liberal Alliance,Landsplan,ungdomsorganisation,7619710962282663190,2026-03-21,Stem Freja i Folketinget! #liberalalliance #københavnsomegn #valg2026 #folketingsvalget #folketingsvalg26 ,1396,55,1,1,0,https://www.tiktok.com/@liberalungdom/video/7619710962282663190
