tiktok_handle,display_name,party_name,storkreds,account_type,video_id,upload_dato,beskrivelse,visninger,likes,kommentarer,shares,gemmer,video_url
louise_louring,Louise Louring,Venstre,Østjyllands Storkreds,kandidat,7611547841990823190,2026-02-27,VALGET ER UDSKREVET og jeg er maks klar!  #dkpol #fv26 #venstre #fyp ,30300,594,27,28,23,https://www.tiktok.com/@louise_louring/video/7611547841990823190
louise_louring,Louise Louring,Venstre,Østjyllands Storkreds,kandidat,7613776965522181398,2026-03-05,Politik i børnehøjde😅 #dkpol #fv26 #venstre #fyp ,13500,149,2,17,13,https://www.tiktok.com/@louise_louring/video/7613776965522181398
louise_louring,Louise Louring,Venstre,Østjyllands Storkreds,kandidat,7620014621461712150,2026-03-22,Det begynder at trække tænder ud… #dkpol #venstre #østjylland #folketingsvalg #fyp,3144,81,1,2,5,https://www.tiktok.com/@louise_louring/video/7620014621461712150
louise_louring,Louise Louring,Venstre,Østjyllands Storkreds,kandidat,7619676467504352534,2026-03-21,#dkpol #østjylland #venstre #folketingsvalg #fyp ,35100,1167,30,35,56,https://www.tiktok.com/@louise_louring/video/7619676467504352534
louise_louring,Louise Louring,Venstre,Østjyllands Storkreds,kandidat,7619363634153639190,2026-03-20,Hvis staten var en person #dkpol #venstre #østjylland #folketingsvalg #fyp ,8277,161,2,2,6,https://www.tiktok.com/@louise_louring/video/7619363634153639190
louise_louring,Louise Louring,Venstre,Østjyllands Storkreds,kandidat,7619044385241550102,2026-03-19,#dkpol #venstre #østjylland #folketingsvalg #fyp ,4055,99,0,1,6,https://www.tiktok.com/@louise_louring/video/7619044385241550102
louise_louring,Louise Louring,Venstre,Østjyllands Storkreds,kandidat,7618627133488844054,2026-03-18,Ville været fedt med et lille remix🤩🤩 #dkpol #østjylland #folketingsvalg #venstre #fyp ,5053,107,3,45,4,https://www.tiktok.com/@louise_louring/video/7618627133488844054
louise_louring,Louise Louring,Venstre,Østjyllands Storkreds,kandidat,7618596479782948118,2026-03-18,Spiser ikke andet end Venstre-bolcher for tiden🫠 #dkpol #folketingsvalg #østjylland #fyp #venstre ,18100,502,7,4,29,https://www.tiktok.com/@louise_louring/video/7618596479782948118
louise_louring,Louise Louring,Venstre,Østjyllands Storkreds,kandidat,7618259413387857174,2026-03-17,Hvis oppositionen var en person🫣 #dkpol #folketingsvalg #venstre #fyp #østjylland,7843,136,2,3,8,https://www.tiktok.com/@louise_louring/video/7618259413387857174
louise_louring,Louise Louring,Venstre,Østjyllands Storkreds,kandidat,7617874549211778326,2026-03-16,De tre spørgsmål jeg får mest som politiker #dkpol #venstre #østjylland #folketingsvalg #fyp ,8305,204,7,6,6,https://www.tiktok.com/@louise_louring/video/7617874549211778326
louise_louring,Louise Louring,Venstre,Østjyllands Storkreds,kandidat,7617847745075776790,2026-03-16,"Der er lidt travlt for tiden, men det er heldigvis med gode ting🤩 #dkpol #venstre #østjylland #folketingsvalg #fyp",6108,170,6,2,5,https://www.tiktok.com/@louise_louring/video/7617847745075776790
louise_louring,Louise Louring,Venstre,Østjyllands Storkreds,kandidat,7617505065380646166,2026-03-15,😅 #folketingsvalg #fyp #venstre #dkpol #østjylland ,5525,100,1,0,9,https://www.tiktok.com/@louise_louring/video/7617505065380646166
louise_louring,Louise Louring,Venstre,Østjyllands Storkreds,kandidat,7617442685590293782,2026-03-15,Hvorfor er det vigtigt at stemme personligt? #dkpol #venstre #østjylland #folketingsvalg #fyp ,4288,111,4,3,6,https://www.tiktok.com/@louise_louring/video/7617442685590293782
louise_louring,Louise Louring,Venstre,Østjyllands Storkreds,kandidat,7617126667835821334,2026-03-14,Hvis valgkamp var en person🫣 #dkpol #venstre #fyp #østjylland #folketingsvalg ,57200,2356,10,42,119,https://www.tiktok.com/@louise_louring/video/7617126667835821334
louise_louring,Louise Louring,Venstre,Østjyllands Storkreds,kandidat,7617038231858892035,2026-03-14,Hvornår er en stemme ugyldig? #dkpol #venstre #østjylland #folketingsvalg,9028,199,2,5,9,https://www.tiktok.com/@louise_louring/video/7617038231858892035
louise_louring,Louise Louring,Venstre,Østjyllands Storkreds,kandidat,7616758618058181910,2026-03-13,#dkpol #fyp #venstre #østjylland #folketingsvalg,74600,4965,22,451,291,https://www.tiktok.com/@louise_louring/video/7616758618058181910
louise_louring,Louise Louring,Venstre,Østjyllands Storkreds,kandidat,7616730541668191510,2026-03-13,"Hvad sker der, hvis to personer får lige mange stemmer? #dkpol #fyp #østjylland #folketingsvalg #venstre ",7839,195,1,2,10,https://www.tiktok.com/@louise_louring/video/7616730541668191510
louise_louring,Louise Louring,Venstre,Østjyllands Storkreds,kandidat,7616369782090370306,2026-03-12,Drillebøller🥲 #dkpol #venstre #østjylland #folketingsvalg #fyp ,377800,20400,221,1711,1149,https://www.tiktok.com/@louise_louring/video/7616369782090370306
louise_louring,Louise Louring,Venstre,Østjyllands Storkreds,kandidat,7616356066108165379,2026-03-12,"Hvad gør man, hvis man har glemt sit valgkort? #dkpol #venstre #østjylland #folketingsvalg #fyp ",7465,86,1,0,7,https://www.tiktok.com/@louise_louring/video/7616356066108165379
louise_louring,Louise Louring,Venstre,Østjyllands Storkreds,kandidat,7616062547032083734,2026-03-11,Må man tage sit barn med i stemmeboksen? #fyp #dkpol #venstre #østjylland ,10400,137,1,4,4,https://www.tiktok.com/@louise_louring/video/7616062547032083734
louise_louring,Louise Louring,Venstre,Østjyllands Storkreds,kandidat,7616014582301183254,2026-03-11,"Man møder mange forskellige typer, når man uddeler flyers #dkpol #venstre #østjylland #fyp #folketingsvalg",24100,386,4,11,23,https://www.tiktok.com/@louise_louring/video/7616014582301183254
louise_louring,Louise Louring,Venstre,Østjyllands Storkreds,kandidat,7615676843424779542,2026-03-10,#fyp #dkpol #venstre #fv26 #østjylland,4149,29,1,0,1,https://www.tiktok.com/@louise_louring/video/7615676843424779542
louise_louring,Louise Louring,Venstre,Østjyllands Storkreds,kandidat,7615621076701367555,2026-03-10,🫣🫣 #dkpol #fyp #venstre #østjylland #fv26,3626,48,1,0,2,https://www.tiktok.com/@louise_louring/video/7615621076701367555
louise_louring,Louise Louring,Venstre,Østjyllands Storkreds,kandidat,7615265449722252566,2026-03-09,Den største struggle nogensinde #dkpol #venstre #fyp #fv26 #østjylland ,6350,209,1,2,6,https://www.tiktok.com/@louise_louring/video/7615265449722252566
louise_louring,Louise Louring,Venstre,Østjyllands Storkreds,kandidat,7614914070579383574,2026-03-08,#dkpol #venstre #fyp #fv26,3421,112,5,6,6,https://www.tiktok.com/@louise_louring/video/7614914070579383574
louise_louring,Louise Louring,Venstre,Østjyllands Storkreds,kandidat,7614533434555256086,2026-03-07,Det bliver et pænt nej tak fra mig #fyp #dkpol #venstre #fv26,2235,48,5,0,0,https://www.tiktok.com/@louise_louring/video/7614533434555256086
louise_louring,Louise Louring,Venstre,Østjyllands Storkreds,kandidat,7614443032636607766,2026-03-07,🫣🫣 #dkpol #venstre #fyp #fv26 ,2123,28,0,2,2,https://www.tiktok.com/@louise_louring/video/7614443032636607766
louise_louring,Louise Louring,Venstre,Østjyllands Storkreds,kandidat,7614161592460217622,2026-03-06,Jeg er i hvert fald aldrig bange for at sige min mening✨ #dkpol #venstre #fyp #fv26 #politik ,3305,98,1,7,3,https://www.tiktok.com/@louise_louring/video/7614161592460217622
louise_louring,Louise Louring,Venstre,Østjyllands Storkreds,kandidat,7614125739142843670,2026-03-06,"Send en besked her på TikTok, hvis du kunne tænke dig at hjælpe med at dele flyers ud! #dkpol #venstre #fv26 #fyp #politik ",3944,82,6,4,5,https://www.tiktok.com/@louise_louring/video/7614125739142843670
louise_louring,Louise Louring,Venstre,Østjyllands Storkreds,kandidat,7613840710483053846,2026-03-05,Der er jo kun et åbenlyst svar! #fyp #dkpol #venstre #fv26 ,1865,52,1,2,2,https://www.tiktok.com/@louise_louring/video/7613840710483053846
louise_louring,Louise Louring,Venstre,Østjyllands Storkreds,kandidat,7613473609192934678,2026-03-04,Bureaukratiet i en nøddeskal! #dkpol #fyp #fv26 #venstre ,2181,70,0,7,2,https://www.tiktok.com/@louise_louring/video/7613473609192934678
louise_louring,Louise Louring,Venstre,Østjyllands Storkreds,kandidat,7612675909316922646,2026-03-02,Min holdning til skat på friværdi #dkpol #fv26 #fyp #venstre ,1904,41,7,0,3,https://www.tiktok.com/@louise_louring/video/7612675909316922646
louise_louring,Louise Louring,Venstre,Østjyllands Storkreds,kandidat,7611951026249239830,2026-02-28,God valgplakat-dag til alle! #fyp #dkpol #venstre #fv26 ,1201,30,1,0,1,https://www.tiktok.com/@louise_louring/video/7611951026249239830
louise_louring,Louise Louring,Venstre,Østjyllands Storkreds,kandidat,7611829257865661718,2026-02-28,Fuldt fokus på valget! #dkpol #venstre #fv26 #fyp ,2168,68,1,0,0,https://www.tiktok.com/@louise_louring/video/7611829257865661718
louise_louring,Louise Louring,Venstre,Østjyllands Storkreds,kandidat,7572585462439742742,2025-11-14,"Valgkampen har været lang og hård, men nu lakker det mod enden…🫣 #kv25 #venstre #odder #dkpol #fyp ",1930,61,0,4,3,https://www.tiktok.com/@louise_louring/video/7572585462439742742
louise_louring,Louise Louring,Venstre,Østjyllands Storkreds,kandidat,7572274460540079382,2025-11-13,"På søndag kan du være med til at løbe rundt om opvisningsbanen, ved spektrum Park i Odder kl 10.00 - man behøver ikke at kunne løbe 10 km, man må også gerne gå eller bare være med.. Der vil være lodtrækningspræmier, musik, heppekor og det hele er sel",4152,49,2,11,5,https://www.tiktok.com/@louise_louring/video/7572274460540079382
louise_louring,Louise Louring,Venstre,Østjyllands Storkreds,kandidat,7572210744335420694,2025-11-13,Hvorfor er det vigtigt at stemme personligt?  #kv25 #odder #venstre #dkpol #fyp ,1712,35,2,0,1,https://www.tiktok.com/@louise_louring/video/7572210744335420694
louise_louring,Louise Louring,Venstre,Østjyllands Storkreds,kandidat,7571876898276445462,2025-11-12,Hvad sker der på valgnatten? #kv25 #odder #venstre #dkpol #fyp ,1840,35,1,0,4,https://www.tiktok.com/@louise_louring/video/7571876898276445462
louise_louring,Louise Louring,Venstre,Østjyllands Storkreds,kandidat,7571489186923040022,2025-11-11,Hvordan finder man den næste borgmester?🧐 #kv25 #dkpol #venstre #odder #fyp ,1361,40,1,0,3,https://www.tiktok.com/@louise_louring/video/7571489186923040022
louise_louring,Louise Louring,Venstre,Østjyllands Storkreds,kandidat,7571121852379057430,2025-11-10,"Hvad gør man, hvis man har glemt sit valgkort?🫣 #kv25 #odder #venstre #dkpol #fyp ",1141,28,0,0,3,https://www.tiktok.com/@louise_louring/video/7571121852379057430
louise_louring,Louise Louring,Venstre,Østjyllands Storkreds,kandidat,7570621492887555350,2025-11-09,"Hvornår er en stemme ugyldig?🫣 Her er de største faldgrupper, når folk stemmer, og hvornår en stemme egentlig er gyldig eller ugyldig🙌 #dkpol #kv25 #venstre #odder #fyp ",1963,83,0,0,6,https://www.tiktok.com/@louise_louring/video/7570621492887555350
louise_louring,Louise Louring,Venstre,Østjyllands Storkreds,kandidat,7570227673348246806,2025-11-08,Må man have sit barn med ind i stemmeboksen?🤷‍♀️ #kv25 #odder #venstre #dkpol #fyp ,7814,152,2,3,4,https://www.tiktok.com/@louise_louring/video/7570227673348246806
