tiktok_handle,display_name,party_name,storkreds,account_type,video_id,upload_dato,beskrivelse,visninger,likes,kommentarer,shares,gemmer,video_url
maltejagerfyn,Malte Jäger,Liberal Alliance,Fyns Storkreds,kandidat,7620171669843348758,2026-03-22,@Liberal Alliance @Alex Vanopslagh ,756,57,0,0,2,https://www.tiktok.com/@maltejagerfyn/video/7620171669843348758
maltejagerfyn,Malte Jäger,Liberal Alliance,Fyns Storkreds,kandidat,7619626518657912086,2026-03-21,@Liberal Alliance @Liberal Alliances Ungdom ,1640,78,1,9,3,https://www.tiktok.com/@maltejagerfyn/video/7619626518657912086
maltejagerfyn,Malte Jäger,Liberal Alliance,Fyns Storkreds,kandidat,7619408577710574851,2026-03-20,,883,27,2,1,1,https://www.tiktok.com/@maltejagerfyn/video/7619408577710574851
maltejagerfyn,Malte Jäger,Liberal Alliance,Fyns Storkreds,kandidat,7619020587851271446,2026-03-19,Stem personligt på Malte Jäger!❌ @Alex Vanopslagh @Liberal Alliance ,5544,244,3,31,4,https://www.tiktok.com/@maltejagerfyn/video/7619020587851271446
maltejagerfyn,Malte Jäger,Liberal Alliance,Fyns Storkreds,kandidat,7618471868835646742,2026-03-18,@Liberal Alliance @Liberal Alliances Ungdom ,2428,76,6,8,4,https://www.tiktok.com/@maltejagerfyn/video/7618471868835646742
maltejagerfyn,Malte Jäger,Liberal Alliance,Fyns Storkreds,kandidat,7618266896625913110,2026-03-17,Er flertallet af universitetsstuderende kommunister?,1213,62,6,0,4,https://www.tiktok.com/@maltejagerfyn/video/7618266896625913110
maltejagerfyn,Malte Jäger,Liberal Alliance,Fyns Storkreds,kandidat,7617395547024100631,2026-03-15,,1370,54,1,1,2,https://www.tiktok.com/@maltejagerfyn/video/7617395547024100631
maltejagerfyn,Malte Jäger,Liberal Alliance,Fyns Storkreds,kandidat,7617122465713622294,2026-03-14,,1168,63,2,0,1,https://www.tiktok.com/@maltejagerfyn/video/7617122465713622294
maltejagerfyn,Malte Jäger,Liberal Alliance,Fyns Storkreds,kandidat,7617101618449747222,2026-03-14,,964,29,0,1,0,https://www.tiktok.com/@maltejagerfyn/video/7617101618449747222
maltejagerfyn,Malte Jäger,Liberal Alliance,Fyns Storkreds,kandidat,7615703191442689302,2026-03-10,,1233,36,0,0,1,https://www.tiktok.com/@maltejagerfyn/video/7615703191442689302
maltejagerfyn,Malte Jäger,Liberal Alliance,Fyns Storkreds,kandidat,7615311070995041558,2026-03-09,,776,41,4,1,2,https://www.tiktok.com/@maltejagerfyn/video/7615311070995041558
maltejagerfyn,Malte Jäger,Liberal Alliance,Fyns Storkreds,kandidat,7614896145097166102,2026-03-08,,1821,84,5,1,2,https://www.tiktok.com/@maltejagerfyn/video/7614896145097166102
maltejagerfyn,Malte Jäger,Liberal Alliance,Fyns Storkreds,kandidat,7614533471293148438,2026-03-07,,2183,80,19,0,6,https://www.tiktok.com/@maltejagerfyn/video/7614533471293148438
maltejagerfyn,Malte Jäger,Liberal Alliance,Fyns Storkreds,kandidat,7614418096337489174,2026-03-07,,747,33,3,0,0,https://www.tiktok.com/@maltejagerfyn/video/7614418096337489174
maltejagerfyn,Malte Jäger,Liberal Alliance,Fyns Storkreds,kandidat,7614226450018798870,2026-03-06,"Bureaukratiet er vokset markant under SVM-regeringen Siden regeringen tiltrådte, er der kommet 6.893 flere ansatte inden for administration og ledelse. Alene i 2025 er antallet af ledere og administrative stillinger steget med 1.503 fuldtidsstillinge",1303,42,1,1,3,https://www.tiktok.com/@maltejagerfyn/video/7614226450018798870
maltejagerfyn,Malte Jäger,Liberal Alliance,Fyns Storkreds,kandidat,7613785035962993942,2026-03-05,"Socialdemokratiets pensionsudspil koster milliarder, og folkepensionsalderen vil fortsat stige. Liberal Alliance går en helt anden vej. Vi vil give danskerne friheden til selv at bestemme, hvornår de vil gå på pension, i stedet for at lade Folketinge",484,14,3,0,1,https://www.tiktok.com/@maltejagerfyn/video/7613785035962993942
maltejagerfyn,Malte Jäger,Liberal Alliance,Fyns Storkreds,kandidat,7613312109258018070,2026-03-04,"Nu kan der brevstemmes. Tjek din kommunes hjemmeside for at se, hvor det præcist foregår for dig. 📬✉️",1000,32,3,3,3,https://www.tiktok.com/@maltejagerfyn/video/7613312109258018070
maltejagerfyn,Malte Jäger,Liberal Alliance,Fyns Storkreds,kandidat,7612181919492574486,2026-03-01,,1280,68,3,3,3,https://www.tiktok.com/@maltejagerfyn/video/7612181919492574486
maltejagerfyn,Malte Jäger,Liberal Alliance,Fyns Storkreds,kandidat,7611493974842395926,2026-02-27,Mette Frederiksen køber vælgere med dine penge.,1120,69,3,0,1,https://www.tiktok.com/@maltejagerfyn/video/7611493974842395926
maltejagerfyn,Malte Jäger,Liberal Alliance,Fyns Storkreds,kandidat,7611141891647704342,2026-02-26,"Valget er udskrevet. Lad os få en blå regering, sænke skatten og udvise kriminelle udlændinge. Er du enig?",3507,135,17,41,1,https://www.tiktok.com/@maltejagerfyn/video/7611141891647704342
maltejagerfyn,Malte Jäger,Liberal Alliance,Fyns Storkreds,kandidat,7573357120163384598,2025-11-16,Hjælp mig med at skubbe kommunens socialdemokratiske borgmester af pinden igen. Din stemme gør en forskel. 😊👍🏻,1353,46,0,0,0,https://www.tiktok.com/@maltejagerfyn/video/7573357120163384598
maltejagerfyn,Malte Jäger,Liberal Alliance,Fyns Storkreds,kandidat,7573066327494053142,2025-11-15,https://youtu.be/mZmRQOB3Cxo,1162,12,0,2,0,https://www.tiktok.com/@maltejagerfyn/video/7573066327494053142
maltejagerfyn,Malte Jäger,Liberal Alliance,Fyns Storkreds,kandidat,7572922497784368406,2025-11-15,"Flere parkeringspladser i Kerteminde by 🅿️🚙 Vi skal gøre det nemmere at have bil i Kerteminde Kommune, ikke sværere. Erhvervsvenlighed handler om at lytte til de erhvervsdrivende, og erhvervslivet i midtbyen efterlyser flere parkeringspladser. Erhver",1162,28,0,0,3,https://www.tiktok.com/@maltejagerfyn/video/7572922497784368406
maltejagerfyn,Malte Jäger,Liberal Alliance,Fyns Storkreds,kandidat,7572654250149301526,2025-11-14,"Skal Nymarkshallen have en tilbygning? Jeg var i dag så heldig at blive inviteret ud til Nymarkshallen for at se forholdene for de mange frivillige, der hver uge skaber fællesskab og aktiviteter for hele lokalområdet, og særligt børn og unge. Forenin",1169,19,0,0,1,https://www.tiktok.com/@maltejagerfyn/video/7572654250149301526
maltejagerfyn,Malte Jäger,Liberal Alliance,Fyns Storkreds,kandidat,7572471347805441283,2025-11-14,"Malte anno 2021 “Vi skal bruge pengene på velfærd og ikke bureaukrati, og vi skal genopbygge tilliden til politikerne” 😊 Da jeg stillede op til kommunalvalget i 2021, havde jeg to helt centrale mærkesager. 1. Vi skulle bruge pengene bedre Flere penge",1134,31,1,0,0,https://www.tiktok.com/@maltejagerfyn/video/7572471347805441283
