tiktok_handle,display_name,party_name,storkreds,account_type,video_id,upload_dato,beskrivelse,visninger,likes,kommentarer,shares,gemmer,video_url
mathildee.vintherr,Mathilde Vinther,Enhedslisten - De Rød-Grønne,Københavns Storkreds,kandidat,7620183263973231894,2026-03-22,"Jeg har taget en snak med kloge Dina om, hvordan man kan blive meget god til sprog, når man lærer de sprog godt som ens forældre taler.  Modersmålsundervisning er noget af det, der har størst effekt, hvis vi vil fremme børn med flere sprogs mulighede",834,59,0,0,0,https://www.tiktok.com/@mathildee.vintherr/video/7620183263973231894
mathildee.vintherr,Mathilde Vinther,Enhedslisten - De Rød-Grønne,Københavns Storkreds,kandidat,7619259678400187670,2026-03-20,"Mere carbonara til småfolket! 🍝 Tænk hvis alle børn kunne få god, grøn og gratis mad i landets skoler og daginstitutioner.  Det ville være godt for børnene og lette trykket på pressede forældres pengepung og hverdag.  Det ville skabe mere lighed 🍅Og ",887,40,2,0,1,https://www.tiktok.com/@mathildee.vintherr/video/7619259678400187670
mathildee.vintherr,Mathilde Vinther,Enhedslisten - De Rød-Grønne,Københavns Storkreds,kandidat,7617848215710272790,2026-03-16,"Hvis vi skal tillade os, at kalde Danmark for et demokrati, skal vi have reel lighed for loven. Alle mennesker, der bor her, skal have de samme grundlæggende rettigheder.  Det betyder, at der skal være meget kortere vej til at få statsborgerskab.  De",6899,227,8,33,7,https://www.tiktok.com/@mathildee.vintherr/video/7617848215710272790
mathildee.vintherr,Mathilde Vinther,Enhedslisten - De Rød-Grønne,Københavns Storkreds,kandidat,7617106267785399574,2026-03-14,"Jeg har talt med et af de klogere mennesker jeg kender om, hvordan vi laver skoler, hvor alle kan få hjælp.  #skole #dkpol  @Enhedslisten HQ  @Danske Skoleelever ",6830,291,9,13,19,https://www.tiktok.com/@mathildee.vintherr/video/7617106267785399574
mathildee.vintherr,Mathilde Vinther,Enhedslisten - De Rød-Grønne,Københavns Storkreds,kandidat,7616611701101743382,2026-03-13,"Jeg elsker den forskel, jeg kan mærke at mine kollegaer og jeg gør for børnene hver eneste dag. Men jeg drømmer også om at give dem en bedre fremtid, med en mere retfærdig verden, hvor det er lettere at få statsborgerskab, så unge, der har levet hele",601,50,6,3,4,https://www.tiktok.com/@mathildee.vintherr/video/7616611701101743382
mathildee.vintherr,Mathilde Vinther,Enhedslisten - De Rød-Grønne,Københavns Storkreds,kandidat,7616406633090125079,2026-03-12,Folkeskolelærer i Folketinget eller ej?  #dkpol  #skole  #lærer ,845,63,3,0,3,https://www.tiktok.com/@mathildee.vintherr/video/7616406633090125079
mathildee.vintherr,Mathilde Vinther,Enhedslisten - De Rød-Grønne,Københavns Storkreds,kandidat,7615920473695833366,2026-03-11,"Altid klar til kamp for en retfærdig flygtningepolitik.  Det var uretmæssigheden af Irakkrigen og billeder af flygtninge, som havde søgt kirkeasyl, men blev smidt ud af landet, som fik mig til at blive aktiv hos Enhedslisten, da jeg var ung teenager.",1331,77,2,0,1,https://www.tiktok.com/@mathildee.vintherr/video/7615920473695833366
mathildee.vintherr,Mathilde Vinther,Enhedslisten - De Rød-Grønne,Københavns Storkreds,kandidat,7615341770221587735,2026-03-09,"SÅ mange politikere bekymrer sig om, at ungdommen er presset.  Særligt under en valgkamp...  Men det er ikke underligt at børn og unge er pressede i dag. Eller at uddannelse ikke skaber den lighed det burde. Det skyldes politiske beslutninger om, hvo",1376,125,8,4,8,https://www.tiktok.com/@mathildee.vintherr/video/7615341770221587735
mathildee.vintherr,Mathilde Vinther,Enhedslisten - De Rød-Grønne,Københavns Storkreds,kandidat,7614996945475538178,2026-03-08,"HVEM skal fryses ude? Her, på den første erklærede forårsdag, deler jeg et skud mere fra isen på søerne og dykker lidt ned i, hvor mit politiske engagement startede. I 2006 var vi i oprør i den lille midtjyske by, Gammel Rye, hvor jeg er vokset op.  ",725,52,2,0,2,https://www.tiktok.com/@mathildee.vintherr/video/7614996945475538178
mathildee.vintherr,Mathilde Vinther,Enhedslisten - De Rød-Grønne,Københavns Storkreds,kandidat,7611269738500541718,2026-02-26,"Klar, parat, kampagnestart med @Enhedslisten HQ  #dkpol ",116,25,0,0,1,https://www.tiktok.com/@mathildee.vintherr/video/7611269738500541718
mathildee.vintherr,Mathilde Vinther,Enhedslisten - De Rød-Grønne,Københavns Storkreds,kandidat,7610871885252824342,2026-02-25,"Vil du være med til at skabe en stærkere folkeskole for alle landets børn?  -Så skriv til mig, og vær med i kampen!  Sammen kan vi skabe et folketingsvalg, der giver os et nyt politisk flertal.  Et flertal, der vil smide de nødvendige investeringer e",2872,126,9,2,10,https://www.tiktok.com/@mathildee.vintherr/video/7610871885252824342
mathildee.vintherr,Mathilde Vinther,Enhedslisten - De Rød-Grønne,Københavns Storkreds,kandidat,7610501576687439126,2026-02-24,"LOFT OVER LEJEN  - men med alle de referencer til is, du kan finde på 🌬️❄️🧊  #dkpol #dkpolmemes #bolig @Enhedslisten HQ ",680,61,2,1,4,https://www.tiktok.com/@mathildee.vintherr/video/7610501576687439126
