tiktok_handle,display_name,party_name,storkreds,account_type,video_id,upload_dato,beskrivelse,visninger,likes,kommentarer,shares,gemmer,video_url
mette.reissmann,Mette Reissmann,Socialdemokratiet,Københavns Storkreds,kandidat,7619994764536073494,2026-03-22,,752,40,3,1,5,https://www.tiktok.com/@mette.reissmann/video/7619994764536073494
mette.reissmann,Mette Reissmann,Socialdemokratiet,Københavns Storkreds,kandidat,7619296727564143894,2026-03-20,Venstremand bliver jeg aldrig. Men tak for anbefalingen 🌹,12000,170,6,4,7,https://www.tiktok.com/@mette.reissmann/video/7619296727564143894
mette.reissmann,Mette Reissmann,Socialdemokratiet,Københavns Storkreds,kandidat,7618314224132984086,2026-03-17,Det sværeste valg 💔,12000,414,6,60,23,https://www.tiktok.com/@mette.reissmann/video/7618314224132984086
mette.reissmann,Mette Reissmann,Socialdemokratiet,Københavns Storkreds,kandidat,7617202286896450838,2026-03-14,2007 var mændenes år - lad 2026 blive kvindernes 🔥,5664,100,5,5,4,https://www.tiktok.com/@mette.reissmann/video/7617202286896450838
mette.reissmann,Mette Reissmann,Socialdemokratiet,Københavns Storkreds,kandidat,7616762852354936086,2026-03-13,Lidt mindre vandkanin - meget mere Ildhest 🔥  Alle har brug for en Lis McBeth.  ,6327,144,5,24,11,https://www.tiktok.com/@mette.reissmann/video/7616762852354936086
mette.reissmann,Mette Reissmann,Socialdemokratiet,Københavns Storkreds,kandidat,7616354544678604054,2026-03-12,2000 followers ➡️ Twerk 🔥,2185,64,6,4,6,https://www.tiktok.com/@mette.reissmann/video/7616354544678604054
mette.reissmann,Mette Reissmann,Socialdemokratiet,Københavns Storkreds,kandidat,7616054692082208022,2026-03-11,"Som Lis Mcbeth siger, nogle ting skal bare blive inde i hovedet. Hold den gode tone 🫶",28800,1241,22,142,121,https://www.tiktok.com/@mette.reissmann/video/7616054692082208022
mette.reissmann,Mette Reissmann,Socialdemokratiet,Københavns Storkreds,kandidat,7616018225523936534,2026-03-11,,1891,29,0,1,2,https://www.tiktok.com/@mette.reissmann/video/7616018225523936534
mette.reissmann,Mette Reissmann,Socialdemokratiet,Københavns Storkreds,kandidat,7614908344381312278,2026-03-08,"Elsker at blive inspireret af seje kvinder. Så prøver at gøre kunsten efter TikTok Queen @Rosa Lund 🫶 Lad os sammen råbe mændene op, der stadig tror pensionen kun er deres 🔥",83300,1575,67,385,81,https://www.tiktok.com/@mette.reissmann/video/7614908344381312278
mette.reissmann,Mette Reissmann,Socialdemokratiet,Københavns Storkreds,kandidat,7614844171492412694,2026-03-08,Kvinder bliver ikke mindre med alderen Vi bliver stærkere!  Glædelig kampdag 🌹,7695,69,1,0,2,https://www.tiktok.com/@mette.reissmann/video/7614844171492412694
mette.reissmann,Mette Reissmann,Socialdemokratiet,Københavns Storkreds,kandidat,7614518882258128150,2026-03-07,Vi deler gælden. Men ikke pensionen. Når vi bliver skilt.   Det er ikke ligestilling 🌹,80900,1723,119,97,150,https://www.tiktok.com/@mette.reissmann/video/7614518882258128150
mette.reissmann,Mette Reissmann,Socialdemokratiet,Københavns Storkreds,kandidat,7614189131773644054,2026-03-06,Jeg vil IKKE leve med det! 🌹,45500,1118,52,15,37,https://www.tiktok.com/@mette.reissmann/video/7614189131773644054
mette.reissmann,Mette Reissmann,Socialdemokratiet,Københavns Storkreds,kandidat,7613871775583079702,2026-03-05,Troels tog Rambo. Jeg tager styr på 🌹,5366,59,6,1,2,https://www.tiktok.com/@mette.reissmann/video/7613871775583079702
mette.reissmann,Mette Reissmann,Socialdemokratiet,Københavns Storkreds,kandidat,7611427700766477590,2026-02-27,Så er vi i gang 🌹,2605,25,2,2,0,https://www.tiktok.com/@mette.reissmann/video/7611427700766477590
mette.reissmann,Mette Reissmann,Socialdemokratiet,Københavns Storkreds,kandidat,7611167713016220950,2026-02-26,Så er valget udskrevet! Det bliver kanon fedt 🌹,4755,96,8,8,6,https://www.tiktok.com/@mette.reissmann/video/7611167713016220950
