tiktok_handle,display_name,party_name,storkreds,account_type,video_id,upload_dato,beskrivelse,visninger,likes,kommentarer,shares,gemmer,video_url
mohammad_rona,Mohammad Rona,Moderaterne,Nordjyllands Storkreds,kandidat,7569140778782723350,2025-11-05,Vi skal binde Aalborg og Christiansborg bedre sammen! Det er min mission💪🤩🟣@Moderaterne ,9652,315,20,39,22,https://www.tiktok.com/@mohammad_rona/video/7569140778782723350
mohammad_rona,Mohammad Rona,Moderaterne,Nordjyllands Storkreds,kandidat,7619983180723948822,2026-03-22,Venstres løsning giver ikke mening - det siger vi nej tak til! ,3562,85,8,5,4,https://www.tiktok.com/@mohammad_rona/video/7619983180723948822
mohammad_rona,Mohammad Rona,Moderaterne,Nordjyllands Storkreds,kandidat,7619414764405460246,2026-03-20,Et foreningsliv er et must! ,651,26,0,2,3,https://www.tiktok.com/@mohammad_rona/video/7619414764405460246
mohammad_rona,Mohammad Rona,Moderaterne,Nordjyllands Storkreds,kandidat,7619053349928848662,2026-03-19,Den eneste ene 😄✌️,2622,80,7,3,8,https://www.tiktok.com/@mohammad_rona/video/7619053349928848662
mohammad_rona,Mohammad Rona,Moderaterne,Nordjyllands Storkreds,kandidat,7618338840599874819,2026-03-17,Rent drikkevand! Ja tak 🙏 ,1055,15,0,1,0,https://www.tiktok.com/@mohammad_rona/video/7618338840599874819
mohammad_rona,Mohammad Rona,Moderaterne,Nordjyllands Storkreds,kandidat,7617206965265059094,2026-03-14,AALBORG HAR DEN FEDESTE FESTGADE - Men pas på jer selv!  God weekend :),541,10,3,0,1,https://www.tiktok.com/@mohammad_rona/video/7617206965265059094
mohammad_rona,Mohammad Rona,Moderaterne,Nordjyllands Storkreds,kandidat,7616804797030747414,2026-03-13,Frihed og ansvar - folkeskolerne kan selv :) ,1163,27,0,2,1,https://www.tiktok.com/@mohammad_rona/video/7616804797030747414
mohammad_rona,Mohammad Rona,Moderaterne,Nordjyllands Storkreds,kandidat,7616448813410028822,2026-03-12,"Det var en fornøjelse igen i dag, @Hasseris Gymnasium 👍😀",2803,44,1,18,3,https://www.tiktok.com/@mohammad_rona/video/7616448813410028822
mohammad_rona,Mohammad Rona,Moderaterne,Nordjyllands Storkreds,kandidat,7616250317956517142,2026-03-12,Kæmpe succes hos AaB sammen Lars Løkke 👍👍,968,18,1,1,4,https://www.tiktok.com/@mohammad_rona/video/7616250317956517142
mohammad_rona,Mohammad Rona,Moderaterne,Nordjyllands Storkreds,kandidat,7615737125882875158,2026-03-10,Valgkampen er i fuld sving :) ,949,23,4,2,3,https://www.tiktok.com/@mohammad_rona/video/7615737125882875158
mohammad_rona,Mohammad Rona,Moderaterne,Nordjyllands Storkreds,kandidat,7615370960874671383,2026-03-09,Lad os binde Nordjylland og Christiansborg bedre sammen! ,2219,55,2,6,3,https://www.tiktok.com/@mohammad_rona/video/7615370960874671383
mohammad_rona,Mohammad Rona,Moderaterne,Nordjyllands Storkreds,kandidat,7615311312981167382,2026-03-09,Vi er en fodbold-familie 👍,1731,40,2,3,7,https://www.tiktok.com/@mohammad_rona/video/7615311312981167382
mohammad_rona,Mohammad Rona,Moderaterne,Nordjyllands Storkreds,kandidat,7614819566690094358,2026-03-08,Kvindernes kampdag! 👊,1366,38,1,3,5,https://www.tiktok.com/@mohammad_rona/video/7614819566690094358
mohammad_rona,Mohammad Rona,Moderaterne,Nordjyllands Storkreds,kandidat,7614211786409086230,2026-03-06,5 hurtige til din lokale favorit kandidat! ;) ,1053,15,0,0,1,https://www.tiktok.com/@mohammad_rona/video/7614211786409086230
mohammad_rona,Mohammad Rona,Moderaterne,Nordjyllands Storkreds,kandidat,7614166283151510806,2026-03-06,Foråret er på vej! ☺️☺️☺️,1138,30,1,0,4,https://www.tiktok.com/@mohammad_rona/video/7614166283151510806
