tiktok_handle,display_name,party_name,storkreds,account_type,video_id,upload_dato,beskrivelse,visninger,likes,kommentarer,shares,gemmer,video_url
radikaleeeforrohden,Thomas Rohden,Radikale Venstre,Københavns Storkreds,kandidat,7620132534441069846,2026-03-22,,3642,69,5,1,0,https://www.tiktok.com/@radikaleeeforrohden/video/7620132534441069846
radikaleeeforrohden,Thomas Rohden,Radikale Venstre,Københavns Storkreds,kandidat,7620132330379808022,2026-03-22,,2661,93,0,3,5,https://www.tiktok.com/@radikaleeeforrohden/video/7620132330379808022
radikaleeeforrohden,Thomas Rohden,Radikale Venstre,Københavns Storkreds,kandidat,7620096657832627478,2026-03-22,,13800,373,4,6,21,https://www.tiktok.com/@radikaleeeforrohden/video/7620096657832627478
radikaleeeforrohden,Thomas Rohden,Radikale Venstre,Københavns Storkreds,kandidat,7620095673584651542,2026-03-22,,10900,342,1,9,14,https://www.tiktok.com/@radikaleeeforrohden/video/7620095673584651542
radikaleeeforrohden,Thomas Rohden,Radikale Venstre,Københavns Storkreds,kandidat,7620082760228637974,2026-03-22,,11000,414,5,17,12,https://www.tiktok.com/@radikaleeeforrohden/video/7620082760228637974
radikaleeeforrohden,Thomas Rohden,Radikale Venstre,Københavns Storkreds,kandidat,7620063304442055958,2026-03-22,,20900,869,13,34,48,https://www.tiktok.com/@radikaleeeforrohden/video/7620063304442055958
radikaleeeforrohden,Thomas Rohden,Radikale Venstre,Københavns Storkreds,kandidat,7620040881931947286,2026-03-22,,2363,128,6,2,8,https://www.tiktok.com/@radikaleeeforrohden/video/7620040881931947286
radikaleeeforrohden,Thomas Rohden,Radikale Venstre,Københavns Storkreds,kandidat,7619998400108334358,2026-03-22,,34600,1270,5,58,45,https://www.tiktok.com/@radikaleeeforrohden/video/7619998400108334358
radikaleeeforrohden,Thomas Rohden,Radikale Venstre,Københavns Storkreds,kandidat,7619968493139578134,2026-03-22,,10200,198,0,5,11,https://www.tiktok.com/@radikaleeeforrohden/video/7619968493139578134
radikaleeeforrohden,Thomas Rohden,Radikale Venstre,Københavns Storkreds,kandidat,7619968327535938838,2026-03-22,,1838,80,1,1,1,https://www.tiktok.com/@radikaleeeforrohden/video/7619968327535938838
radikaleeeforrohden,Thomas Rohden,Radikale Venstre,Københavns Storkreds,kandidat,7619813747246271766,2026-03-21,,2061,66,1,0,1,https://www.tiktok.com/@radikaleeeforrohden/video/7619813747246271766
radikaleeeforrohden,Thomas Rohden,Radikale Venstre,Københavns Storkreds,kandidat,7619395909171858710,2026-03-20,,14800,576,5,3,9,https://www.tiktok.com/@radikaleeeforrohden/video/7619395909171858710
radikaleeeforrohden,Thomas Rohden,Radikale Venstre,Københavns Storkreds,kandidat,7619395038853811478,2026-03-20,Host host dårlig ide at stemme LA,57000,2422,12,17,50,https://www.tiktok.com/@radikaleeeforrohden/video/7619395038853811478
radikaleeeforrohden,Thomas Rohden,Radikale Venstre,Københavns Storkreds,kandidat,7619319073880460566,2026-03-20,,3253,126,3,2,5,https://www.tiktok.com/@radikaleeeforrohden/video/7619319073880460566
