tiktok_handle,display_name,party_name,storkreds,account_type,video_id,upload_dato,beskrivelse,visninger,likes,kommentarer,shares,gemmer,video_url
rikkeolssen,Rikke Olssen,Liberal Alliance,Nordjyllands Storkreds,kandidat,7620222730713025814,2026-03-23,#kommunerikke #liberalalliance #messe #valgkamp ,273,1,0,0,0,https://www.tiktok.com/@rikkeolssen/video/7620222730713025814
rikkeolssen,Rikke Olssen,Liberal Alliance,Nordjyllands Storkreds,kandidat,7619811947852090646,2026-03-21,#nordjylland #boom #kommunerikke ,863,15,0,0,0,https://www.tiktok.com/@rikkeolssen/video/7619811947852090646
rikkeolssen,Rikke Olssen,Liberal Alliance,Nordjyllands Storkreds,kandidat,7619280537651268886,2026-03-20,#VielskerAlex #liberalalliance #kommunerikke #valgkamp ,448,6,0,0,0,https://www.tiktok.com/@rikkeolssen/video/7619280537651268886
rikkeolssen,Rikke Olssen,Liberal Alliance,Nordjyllands Storkreds,kandidat,7618355497091075350,2026-03-17,#friskstart #valgkamp #kommunerikke #liberalalliance ,768,2,0,0,0,https://www.tiktok.com/@rikkeolssen/video/7618355497091075350
rikkeolssen,Rikke Olssen,Liberal Alliance,Nordjyllands Storkreds,kandidat,7618188095770348822,2026-03-17,#liberalalliance #kommunerikke #VIKANGODT #friskstart ,317,4,1,0,0,https://www.tiktok.com/@rikkeolssen/video/7618188095770348822
rikkeolssen,Rikke Olssen,Liberal Alliance,Nordjyllands Storkreds,kandidat,7617056851682675990,2026-03-14,Valg på Heden i Kaas  #friskstart #kommunerikke #VIKANGODT #liberalalliance ,870,3,0,0,0,https://www.tiktok.com/@rikkeolssen/video/7617056851682675990
rikkeolssen,Rikke Olssen,Liberal Alliance,Nordjyllands Storkreds,kandidat,7616628788767640854,2026-03-13,#sætigang #VIKANGODT #kommunerikke #vielskerAlex #friskstart ,847,4,0,5,0,https://www.tiktok.com/@rikkeolssen/video/7616628788767640854
rikkeolssen,Rikke Olssen,Liberal Alliance,Nordjyllands Storkreds,kandidat,7616480821872053526,2026-03-12,Valgkampsdag - igen igen 🌟🌟 Formanden kom forbi 💙 #vielskerAlex #kommunerikke #VIKANGODT #sætigang ,278,0,0,0,0,https://www.tiktok.com/@rikkeolssen/video/7616480821872053526
rikkeolssen,Rikke Olssen,Liberal Alliance,Nordjyllands Storkreds,kandidat,7616320627192007959,2026-03-12,"jeg har taget det rigtige outfit på, til at tage imod vores Rockstar Formanden ham selv, i Aalborg i dag 😆  #kommunerikke #vielskerAlex ",300,2,0,0,0,https://www.tiktok.com/@rikkeolssen/video/7616320627192007959
rikkeolssen,Rikke Olssen,Liberal Alliance,Nordjyllands Storkreds,kandidat,7615591063868263702,2026-03-10,kom så @Kim Gaarsdahl - #VIKANGODT  Rod på kampagneheadquarters 😅 #sætigang ,813,0,0,1,0,https://www.tiktok.com/@rikkeolssen/video/7615591063868263702
rikkeolssen,Rikke Olssen,Liberal Alliance,Nordjyllands Storkreds,kandidat,7614878951416089878,2026-03-08,Forårsmesse i Frederikshavn  #liberalalliance #vielskerAlex #friskstart #kommunerikke ,1674,83,14,2,1,https://www.tiktok.com/@rikkeolssen/video/7614878951416089878
rikkeolssen,Rikke Olssen,Liberal Alliance,Nordjyllands Storkreds,kandidat,7614567608964091158,2026-03-07,#friskstart #vielskerAlex #liberalalliance ,2251,13,4,0,0,https://www.tiktok.com/@rikkeolssen/video/7614567608964091158
rikkeolssen,Rikke Olssen,Liberal Alliance,Nordjyllands Storkreds,kandidat,7614461622286896406,2026-03-07,@Solbjørg Jakobsen #kage Fødevarer uden checks 😁👏🏼💙 #messe #liberalalliance #friskstart #frederikshavn ,344,2,1,0,0,https://www.tiktok.com/@rikkeolssen/video/7614461622286896406
rikkeolssen,Rikke Olssen,Liberal Alliance,Nordjyllands Storkreds,kandidat,7614095141837622550,2026-03-06,#vikangodt #friskstart #liberalalliance ,1285,39,0,1,2,https://www.tiktok.com/@rikkeolssen/video/7614095141837622550
rikkeolssen,Rikke Olssen,Liberal Alliance,Nordjyllands Storkreds,kandidat,7614094048038636822,2026-03-06,#dirigent #generalforsamling #liberalalliance #kommunerikke ,304,1,0,0,0,https://www.tiktok.com/@rikkeolssen/video/7614094048038636822
rikkeolssen,Rikke Olssen,Liberal Alliance,Nordjyllands Storkreds,kandidat,7613515914495020310,2026-03-04,#fv26 #kommunerikke #liberalalliance ,331,2,2,0,0,https://www.tiktok.com/@rikkeolssen/video/7613515914495020310
rikkeolssen,Rikke Olssen,Liberal Alliance,Nordjyllands Storkreds,kandidat,7613157967155727638,2026-03-03,Det bliver godt igen - når vi har fået en borgerlig regering 👏🏼🌟🫣😁 #rod #livetleves ,1383,5,0,0,0,https://www.tiktok.com/@rikkeolssen/video/7613157967155727638
rikkeolssen,Rikke Olssen,Liberal Alliance,Nordjyllands Storkreds,kandidat,7612609069186059522,2026-03-02,#kommunerikke #fv26 ,1002,8,0,0,0,https://www.tiktok.com/@rikkeolssen/video/7612609069186059522
rikkeolssen,Rikke Olssen,Liberal Alliance,Nordjyllands Storkreds,kandidat,7612480566981643542,2026-03-02,vi har travlt! men vi har det sjovt 😁 #fv26 #liberalalliance @Solbjørg Jakobsen ,794,9,0,0,0,https://www.tiktok.com/@rikkeolssen/video/7612480566981643542
rikkeolssen,Rikke Olssen,Liberal Alliance,Nordjyllands Storkreds,kandidat,7611669659577814294,2026-02-27,#politik #kommunerikke #liberalalliance #fv26,2066,5,0,0,0,https://www.tiktok.com/@rikkeolssen/video/7611669659577814294
rikkeolssen,Rikke Olssen,Liberal Alliance,Nordjyllands Storkreds,kandidat,7599075763517705494,2026-01-25,#liberalalliance #kommunerikke #politik #hvidjanuar ,407,6,0,0,0,https://www.tiktok.com/@rikkeolssen/video/7599075763517705494
rikkeolssen,Rikke Olssen,Liberal Alliance,Nordjyllands Storkreds,kandidat,7595929750040907031,2026-01-16,årets første hovedbestyrelsesmøde i #liberalalliance  #kommunerikke ,440,8,1,1,1,https://www.tiktok.com/@rikkeolssen/video/7595929750040907031
rikkeolssen,Rikke Olssen,Liberal Alliance,Nordjyllands Storkreds,kandidat,7583387896585964822,2025-12-13,Julehyggekomsammen i LA Vendsyssel 👏 #liberalalliance #kommunerikke #bestyrelse #politik ,438,0,0,0,0,https://www.tiktok.com/@rikkeolssen/video/7583387896585964822
rikkeolssen,Rikke Olssen,Liberal Alliance,Nordjyllands Storkreds,kandidat,7583018538584100118,2025-12-12,Så giver borgmester Mogens Christen Gade kæden videre 🫣 #reception #jammerbugt ,1041,3,0,2,0,https://www.tiktok.com/@rikkeolssen/video/7583018538584100118
rikkeolssen,Rikke Olssen,Liberal Alliance,Nordjyllands Storkreds,kandidat,7577089725203385623,2025-11-26,#valgplakater #kommunerikke #liberalalliance ,818,15,3,1,0,https://www.tiktok.com/@rikkeolssen/video/7577089725203385623
rikkeolssen,Rikke Olssen,Liberal Alliance,Nordjyllands Storkreds,kandidat,7575518186523626774,2025-11-22,Til Landsmøde med Skole og Forældre og afholde workshops 👏🌟 #SoF #skolepolitik #bestyrelse #frivillighed ,927,1,0,0,1,https://www.tiktok.com/@rikkeolssen/video/7575518186523626774
rikkeolssen,Rikke Olssen,Liberal Alliance,Nordjyllands Storkreds,kandidat,7574050451406982422,2025-11-18,#kv25 #rv25 #liberalalliance ,1026,10,2,0,2,https://www.tiktok.com/@rikkeolssen/video/7574050451406982422
rikkeolssen,Rikke Olssen,Liberal Alliance,Nordjyllands Storkreds,kandidat,7573799877126245654,2025-11-17,Jeg skylder at finde i dag hvem der skulle have en signeret Alex plakat (fra tidligere opslag). Har haft så travlt her sidste dag inden valget. Alarmen ringer 4:45 i morgen og så står den på valg-arbejde de næste to dage. Finder ud af hvem på fredag ,940,3,0,0,0,https://www.tiktok.com/@rikkeolssen/video/7573799877126245654
rikkeolssen,Rikke Olssen,Liberal Alliance,Nordjyllands Storkreds,kandidat,7573648209000549635,2025-11-17,#boom #liberalalliance ,898,11,3,0,0,https://www.tiktok.com/@rikkeolssen/video/7573648209000549635
rikkeolssen,Rikke Olssen,Liberal Alliance,Nordjyllands Storkreds,kandidat,7573314689975831830,2025-11-16,Stem på tirsdag...!!  Gerne LA Gerne på mig  ...men BARE STEM i det hele taget 🙏 #kommunerikke #nyretningjammerbugt #liberalalliance #kv25 ,309,3,0,0,0,https://www.tiktok.com/@rikkeolssen/video/7573314689975831830
rikkeolssen,Rikke Olssen,Liberal Alliance,Nordjyllands Storkreds,kandidat,7573214650007833878,2025-11-16,#lajammerbugt #kv25 #liberalalliance #nyretningjammerbugt #kommunerikke ,942,1,0,0,0,https://www.tiktok.com/@rikkeolssen/video/7573214650007833878
rikkeolssen,Rikke Olssen,Liberal Alliance,Nordjyllands Storkreds,kandidat,7572931840722504983,2025-11-15,ud med flyers i #moseby i dag 🚴‍♀️ #kv25 #lajammerbugt ,276,0,0,0,0,https://www.tiktok.com/@rikkeolssen/video/7572931840722504983
rikkeolssen,Rikke Olssen,Liberal Alliance,Nordjyllands Storkreds,kandidat,7572703089052978454,2025-11-14,#funny Hvornår mon dét opslag også bliver slettet!? 😆 #liberalalliance ,1121,15,0,4,1,https://www.tiktok.com/@rikkeolssen/video/7572703089052978454
rikkeolssen,Rikke Olssen,Liberal Alliance,Nordjyllands Storkreds,kandidat,7572639203390049558,2025-11-14,#nyretningjammerbugt #LAjammerbugt #kv25 #liberalalliance #jul ,834,0,0,0,0,https://www.tiktok.com/@rikkeolssen/video/7572639203390049558
rikkeolssen,Rikke Olssen,Liberal Alliance,Nordjyllands Storkreds,kandidat,7572268250210323734,2025-11-13,"Lidt bagud med at dele flyers ud. Men hvis folk stemmer som de plejer, så dur de også om 4 år, for så er der ikke sket en ski' 😆 #liberalalliance #kv25 #LAjammerbugt #nyretningjammerbugt rbugt ",1011,3,0,0,0,https://www.tiktok.com/@rikkeolssen/video/7572268250210323734
rikkeolssen,Rikke Olssen,Liberal Alliance,Nordjyllands Storkreds,kandidat,7572100528793079062,2025-11-13,..og i morgen er det sidste dag du kan brevstemme...  #kommunerikke #LAjammerbugt #kv25 #liberalalliance ,304,0,0,0,0,https://www.tiktok.com/@rikkeolssen/video/7572100528793079062
rikkeolssen,Rikke Olssen,Liberal Alliance,Nordjyllands Storkreds,kandidat,7571549958646680854,2025-11-11,Valg-speeddating på @Brønderslev Gymnasium og HF 🌟👏 #liberalalliance #kv25 #LAjammerbugt #kommunerikke ,655,9,1,0,0,https://www.tiktok.com/@rikkeolssen/video/7571549958646680854
rikkeolssen,Rikke Olssen,Liberal Alliance,Nordjyllands Storkreds,kandidat,7571337661802351895,2025-11-11,Frivillige -og foreningslivet til debat i #Jetsmark #vælgermøde #slutspurt #nyretningjammerbugt #LAjammerbugt #liberalalliance ,210,1,0,0,0,https://www.tiktok.com/@rikkeolssen/video/7571337661802351895
rikkeolssen,Rikke Olssen,Liberal Alliance,Nordjyllands Storkreds,kandidat,7569969163964255510,2025-11-07,Glæder mig til at få plads til passagerer i bilen igen 😆 #LAjammerbugt #kv25 #liberalalliance ,919,3,0,0,0,https://www.tiktok.com/@rikkeolssen/video/7569969163964255510
rikkeolssen,Rikke Olssen,Liberal Alliance,Nordjyllands Storkreds,kandidat,7569627087317863702,2025-11-06,Fjerritsleeeeeeev #liberalalliance #kv25 #LAjammerbugt ,1155,11,0,1,0,https://www.tiktok.com/@rikkeolssen/video/7569627087317863702
rikkeolssen,Rikke Olssen,Liberal Alliance,Nordjyllands Storkreds,kandidat,7569372510937042198,2025-11-05,"Til valgdebat i #Birkelse i dag, mens de andre kandidater tog turen til #Biersted og #Ørebro  #liberalalliance #kv25 ",375,2,0,0,0,https://www.tiktok.com/@rikkeolssen/video/7569372510937042198
rikkeolssen,Rikke Olssen,Liberal Alliance,Nordjyllands Storkreds,kandidat,7569007292063042838,2025-11-04,#KV25 #alexvanopslagh #kommunerikke #RV25 #liberalalliance ,8781,90,1,67,4,https://www.tiktok.com/@rikkeolssen/video/7569007292063042838
rikkeolssen,Rikke Olssen,Liberal Alliance,Nordjyllands Storkreds,kandidat,7568934008923475222,2025-11-04,#alexvanopslagh #KV25 ,989,4,1,0,0,https://www.tiktok.com/@rikkeolssen/video/7568934008923475222
rikkeolssen,Rikke Olssen,Liberal Alliance,Nordjyllands Storkreds,kandidat,7567658099977358614,2025-11-01,#halloween #kommunerikke #KV25 ,881,3,0,0,0,https://www.tiktok.com/@rikkeolssen/video/7567658099977358614
rikkeolssen,Rikke Olssen,Liberal Alliance,Nordjyllands Storkreds,kandidat,7567387656288570646,2025-10-31,#nyretningjammerbugt #kommunerikke #halloween ,341,5,0,1,1,https://www.tiktok.com/@rikkeolssen/video/7567387656288570646
rikkeolssen,Rikke Olssen,Liberal Alliance,Nordjyllands Storkreds,kandidat,7566544904348798231,2025-10-29,#RV25 #KV25 @Alex Vanopslagh er på Tour #kommunerikke ,902,7,0,1,0,https://www.tiktok.com/@rikkeolssen/video/7566544904348798231
