tiktok_handle,display_name,party_name,storkreds,account_type,video_id,upload_dato,beskrivelse,visninger,likes,kommentarer,shares,gemmer,video_url
samira.nawa,Samira Nawa,Radikale Venstre,Københavns Storkreds,kandidat,7618217019153894678,2026-03-17,Stem for dem der ikke har en stemme 💔 #dkpol #politiktok #fyp,7328,413,20,11,19,https://www.tiktok.com/@samira.nawa/video/7618217019153894678
samira.nawa,Samira Nawa,Radikale Venstre,Københavns Storkreds,kandidat,7617518331851001110,2026-03-15,Der er breeev 💌 #dkpol #politiktok #fyp ,1714,87,1,1,4,https://www.tiktok.com/@samira.nawa/video/7617518331851001110
samira.nawa,Samira Nawa,Radikale Venstre,Københavns Storkreds,kandidat,7616433763525938454,2026-03-12,Rent drikkevand. Nu🚰#dkpol #politiktok,7366,485,11,15,16,https://www.tiktok.com/@samira.nawa/video/7616433763525938454
samira.nawa,Samira Nawa,Radikale Venstre,Københavns Storkreds,kandidat,7615191627149217046,2026-03-09,Lad os alle sparke døren ind🫶🏽 #dkpol #politiktok ,25200,1150,21,31,66,https://www.tiktok.com/@samira.nawa/video/7615191627149217046
samira.nawa,Samira Nawa,Radikale Venstre,Københavns Storkreds,kandidat,7614844419258240278,2026-03-08,Der er stadig meget at kæmpe for ✊🏻✊🏼✊🏽✊🏾✊🏿 #dkpol #politiktok #iwd ,2364,122,6,3,4,https://www.tiktok.com/@samira.nawa/video/7614844419258240278
samira.nawa,Samira Nawa,Radikale Venstre,Københavns Storkreds,kandidat,7614781678598360342,2026-03-08,Skal vi gøre noget ved det? #dkpol #politiktok #ligestilling ,2353,84,5,2,0,https://www.tiktok.com/@samira.nawa/video/7614781678598360342
samira.nawa,Samira Nawa,Radikale Venstre,Københavns Storkreds,kandidat,7613523180220730646,2026-03-04,Elections are on - and I will protect my country 🇩🇰❤️‍🔥 #dkpol #politiktok #fyp,22500,575,30,8,20,https://www.tiktok.com/@samira.nawa/video/7613523180220730646
samira.nawa,Samira Nawa,Radikale Venstre,Københavns Storkreds,kandidat,7613507173670276374,2026-03-04,"Det er ikke DF, som skal bestemme, om du skal mod lufthavnen 🇩🇰✈️  #dkpol #politiktok #fyp",2860,138,7,6,7,https://www.tiktok.com/@samira.nawa/video/7613507173670276374
samira.nawa,Samira Nawa,Radikale Venstre,Københavns Storkreds,kandidat,7612175993024924950,2026-03-01,Vores Danmark er for alle danskere 🩷💚 #dkpol #politiktok #valg,4542,190,7,2,8,https://www.tiktok.com/@samira.nawa/video/7612175993024924950
samira.nawa,Samira Nawa,Radikale Venstre,Københavns Storkreds,kandidat,7611262744683220246,2026-02-26,Danmark er for ALLE danskere 🇩🇰🫶🏽 #dkpol #politiktok #politik #samiranawa,12600,578,64,15,26,https://www.tiktok.com/@samira.nawa/video/7611262744683220246
samira.nawa,Samira Nawa,Radikale Venstre,Københavns Storkreds,kandidat,7611261193042382102,2026-02-26,"Man kunne have hjulpet 10.000 børn ud af fattigdom! I stedet vil regeringen, SF, og Enhedslisten hellere klatte pengene væk og sende fødevarecheck til millionærfamilier. Om jeg begriber det! #dkpol #politiktok ",8445,302,14,10,16,https://www.tiktok.com/@samira.nawa/video/7611261193042382102
samira.nawa,Samira Nawa,Radikale Venstre,Københavns Storkreds,kandidat,7608592228746857750,2026-02-19,Beskyt vores drikkevand. #dkpol #politik #politiktok #natur ,5263,273,16,34,21,https://www.tiktok.com/@samira.nawa/video/7608592228746857750
samira.nawa,Samira Nawa,Radikale Venstre,Københavns Storkreds,kandidat,7598195106243497238,2026-01-22,Det Trump-inspirerede parti går også efter homoseksuelle og LGBT+persober 🙄 #dkpol #politiktok #lgbt #lgbtqplus ,2740,118,13,2,8,https://www.tiktok.com/@samira.nawa/video/7598195106243497238
samira.nawa,Samira Nawa,Radikale Venstre,Københavns Storkreds,kandidat,7597922507101834518,2026-01-21,Ampir Scarf 🫶🏽 #knittok #knitting #knittingforolive  Pattern by @Вязання гачком та спицями ,1739,63,3,1,12,https://www.tiktok.com/@samira.nawa/video/7597922507101834518
samira.nawa,Samira Nawa,Radikale Venstre,Københavns Storkreds,kandidat,7597544462398655766,2026-01-20,Vil du have dansk statsborgerskab? Så spørg lige DF om de kan godkende dit navn 🤯 #dkpol #politiktok ,13500,800,39,98,81,https://www.tiktok.com/@samira.nawa/video/7597544462398655766
samira.nawa,Samira Nawa,Radikale Venstre,Københavns Storkreds,kandidat,7594369806149668118,2026-01-12,Hvad laver en politiker i weekenden? #dkpol #politiktok #fyp ,1741,98,1,2,6,https://www.tiktok.com/@samira.nawa/video/7594369806149668118
samira.nawa,Samira Nawa,Radikale Venstre,Københavns Storkreds,kandidat,7585924627898076438,2025-12-20,"Nogle gange kan man glemme hvad man selv hedder - men så er det jo heldigt, at det ikke er live TV 😅#dkpol #politiktok ",3948,97,4,0,5,https://www.tiktok.com/@samira.nawa/video/7585924627898076438
samira.nawa,Samira Nawa,Radikale Venstre,Københavns Storkreds,kandidat,7584146010549816599,2025-12-15,Det er tid til at få sagt UNDSKYLD til vores medborgere med udenlandsk baggrund. #dkpol #politiktok ,9822,516,61,33,40,https://www.tiktok.com/@samira.nawa/video/7584146010549816599
samira.nawa,Samira Nawa,Radikale Venstre,Københavns Storkreds,kandidat,7582983301011459331,2025-12-12,Hvad er det egentlig for et problem som LA vil løse ved at stoppe for tildeling af nye statsborgerskaber? 🤷🏼‍♀️  #dkpol #politiktok ,20900,1552,64,112,124,https://www.tiktok.com/@samira.nawa/video/7582983301011459331
samira.nawa,Samira Nawa,Radikale Venstre,Københavns Storkreds,kandidat,7582671765969603862,2025-12-11,"Uanset herkomst: er man for syg til at arbejde, skal man have ret til førtidspension. #dkpol #politiktok #fyp ",24300,627,111,98,80,https://www.tiktok.com/@samira.nawa/video/7582671765969603862
samira.nawa,Samira Nawa,Radikale Venstre,Københavns Storkreds,kandidat,7581752968173735190,2025-12-09,Så har Venstre taget første skridt i retning mod remigration 😳 #dkpol #politiktok ,33000,1791,88,217,173,https://www.tiktok.com/@samira.nawa/video/7581752968173735190
