tiktok_handle,display_name,party_name,storkreds,account_type,video_id,upload_dato,beskrivelse,visninger,likes,kommentarer,shares,gemmer,video_url
sorenjensenla,Søren Jensen,Liberal Alliance,Østjyllands Storkreds,kandidat,7620007956100173078,2026-03-22,Venstrefløjen fortæller altid at vi kun er ude på at hjælpe de rige. Men det passer ikke. Vi hjælper bredt og straffer ikke dem der arbejder hårdest. #aarhus #dkpol #fyp@Liberal Alliances Ungdom @Liberal Alliance @liberal.alliance.02 ,2744,55,5,1,1,https://www.tiktok.com/@sorenjensenla/video/7620007956100173078
sorenjensenla,Søren Jensen,Liberal Alliance,Østjyllands Storkreds,kandidat,7619741278355606787,2026-03-21,Skal vi lade svenskerne slå os!?! Nej vel? Så lad os da for pokker få fjernet den registreringsafgift! #aarhus #dkpol #fyp @Liberal Alliances Ungdom @Liberal Alliance ,1578,44,0,2,1,https://www.tiktok.com/@sorenjensenla/video/7619741278355606787
sorenjensenla,Søren Jensen,Liberal Alliance,Østjyllands Storkreds,kandidat,7619285911695658262,2026-03-20,"Højt humør når vi snart skal have en frisk start 🤩 det bliver delt ud i vildskab og vi glæder os til tirsdag, ned og stem med jer! #aarhus #dkpol #fyp @Liberal Alliances Ungdom ",5436,102,3,6,3,https://www.tiktok.com/@sorenjensenla/video/7619285911695658262
sorenjensenla,Søren Jensen,Liberal Alliance,Østjyllands Storkreds,kandidat,7618989064439549206,2026-03-19,"DU BESTEMMER! Hvem der skal med Alex i folketinget d. 24 marts - og ligesom for få måneder siden, håber jeg I vil tiltro mig opgaven igen 💙 lad os få noget fornuft tilbage på Christiansborg! Stem personligt, det gør en kæmpe forskel! #dkpol #fyp #lib",1138,42,1,1,1,https://www.tiktok.com/@sorenjensenla/video/7618989064439549206
sorenjensenla,Søren Jensen,Liberal Alliance,Østjyllands Storkreds,kandidat,7618908594892705046,2026-03-19,"Det at betale meget i SKAT er én ting, så er det endnu værre at vide hvordan pengene rent faktisk bliver brugt. Der er brug for fornuft! #dkpol #fyp #aarhus @Liberal Alliances Ungdom @Liberal Alliance @liberal.alliance.02 ",1732,75,0,0,3,https://www.tiktok.com/@sorenjensenla/video/7618908594892705046
sorenjensenla,Søren Jensen,Liberal Alliance,Østjyllands Storkreds,kandidat,7618633162440117526,2026-03-18,Skal Danmark have mere Rolls Royce??🚙Ja selvfølgelig skal vi det! Og vi skulle have været i gang for flere år siden! Stem for grøn og stabil atomkraft d 24 marts! #dkpol #fyp #aarhus @Liberal Alliances Ungdom @Liberal Alliance @liberal.alliance.02 ,2377,98,7,3,4,https://www.tiktok.com/@sorenjensenla/video/7618633162440117526
sorenjensenla,Søren Jensen,Liberal Alliance,Østjyllands Storkreds,kandidat,7618550189481250070,2026-03-18,"Under ÉN uge til valget! Vi har været i gang længe, og man skal aldrig glemme alle de mennesker der står bag, så tak for jer! #aarhus #dkpol #fyp @Liberal Alliances Ungdom @Liberal Alliance @liberal.alliance.02 ",525,27,1,1,2,https://www.tiktok.com/@sorenjensenla/video/7618550189481250070
sorenjensenla,Søren Jensen,Liberal Alliance,Østjyllands Storkreds,kandidat,7618183702706736406,2026-03-17,"Det er sku ikke nemt at være bilkøber 🥴 vi vælter i absurd absurd høje afgifter, som er med til at gøre vores biler ældre, mere usikre og udledende. Lad os gøre noget ved det d. 24! #aarhus #dkpol #fyp @Liberal Alliances Ungdom @Liberal Alliance @lib",1704,44,3,1,2,https://www.tiktok.com/@sorenjensenla/video/7618183702706736406
sorenjensenla,Søren Jensen,Liberal Alliance,Østjyllands Storkreds,kandidat,7617801053341519127,2026-03-16,"Registreringsafgiften har for længe gjort vores biler ældre, mere udledende og usikre end alle vores nabolande. Nabolande som fornuftigt nok ikke tilføjer en op til 150% afgift oven i bilens egenlige pris 🤷🏼‍♂️ #aarhus #dkpol #fyp #cars @Liberal Alli",21900,438,34,14,21,https://www.tiktok.com/@sorenjensenla/video/7617801053341519127
sorenjensenla,Søren Jensen,Liberal Alliance,Østjyllands Storkreds,kandidat,7617162524198227222,2026-03-14,"DER MANGLER IKKE PENGE, DER MANGLER FORNUFT! Vi har nogle af verdens højeste skatter, og statskassen bugner af penge. Lad os nu lade danskerne beholde nogle flere af deres egne penge! #aarhus #dkpol #fyp @Liberal Alliances Ungdom @Liberal Alliance @l",1516,64,0,2,2,https://www.tiktok.com/@sorenjensenla/video/7617162524198227222
sorenjensenla,Søren Jensen,Liberal Alliance,Østjyllands Storkreds,kandidat,7616803548147305750,2026-03-13,Tak for skænken Mette! Hvor langt kommer du lige for 1000kr en gang? Jeg får en god bytur i hvert fald! Lad os for fand… sænke skatte i bunden i stedet! #aarhus #liberalalliance #dkpol #fyp @Liberal Alliances Ungdom @Liberal Alliance @liberal.allianc,858,31,1,0,3,https://www.tiktok.com/@sorenjensenla/video/7616803548147305750
sorenjensenla,Søren Jensen,Liberal Alliance,Østjyllands Storkreds,kandidat,7616427123456118038,2026-03-12,"Det er 2026, lad nu vores energiforsyning afspejle det! Atomkraft er fossilfri, emissionsfri og stabil - vi skulle have været i gang i går! #aarhus #liberalalliance #atomkraft #foryoupage @Liberal Alliances Ungdom @Liberal Alliance @liberal.alliance.",29400,1019,74,17,39,https://www.tiktok.com/@sorenjensenla/video/7616427123456118038
sorenjensenla,Søren Jensen,Liberal Alliance,Østjyllands Storkreds,kandidat,7616048269323537687,2026-03-11,"Logik der virkelig er svær at følge 😂 lad os nu få noget fornuft tilbage til Christiansborg, stem personligt den 24 marts! #aarhus #fyp #foryou #dkpol @Liberal Alliances Ungdom @liberal.alliance.fanpage @Liberal Alliance ",15300,485,18,25,27,https://www.tiktok.com/@sorenjensenla/video/7616048269323537687
