tiktok_handle,display_name,party_name,storkreds,account_type,video_id,upload_dato,beskrivelse,visninger,likes,kommentarer,shares,gemmer,video_url
steffen.friis,Steffen Friis,Liberal Alliance,Sjællands Storkreds,kandidat,7620124565724761366,2026-03-22,#EnFriskStart #Valg #ftvalg2026 @Liberal Alliance @Alex Vanopslagh ,375,16,1,0,1,https://www.tiktok.com/@steffen.friis/video/7620124565724761366
steffen.friis,Steffen Friis,Liberal Alliance,Sjællands Storkreds,kandidat,7618931810025639190,2026-03-19,"Systemet er bygget forkert. Du skal passe ind i det… i stedet for at det passer til dig. Det gælder børn. Ældre. Og dem, der har allermest brug for hjælp. 💔 Det giver ingen mening. Vi kan gøre det bedre og jeg vil hjælpe!  Stem blåt.💙 Stem personligt",352,8,0,0,1,https://www.tiktok.com/@steffen.friis/video/7618931810025639190
steffen.friis,Steffen Friis,Liberal Alliance,Sjællands Storkreds,kandidat,7618570571059580182,2026-03-18,De samme problemer i folkeskolen… igen 😐 Dårlig inklusion. Presset økonomi. Børn med særlige behov bliver svigtet. Reform på reform – men det går den forkerte vej. Nu kommer endnu et udspil… uden finansiering 🤦‍♂️ Og det fokuserer kun på indskolingen,843,11,0,0,0,https://www.tiktok.com/@steffen.friis/video/7618570571059580182
steffen.friis,Steffen Friis,Liberal Alliance,Sjællands Storkreds,kandidat,7618161813397572886,2026-03-17,"Jagten på en forræder - Hvem fjernede Store Bededag? Venstre, Moderaterne OG Socialdemokratiet siger nu, at det ikke var deres idé fratage os en helligdag. Hvem var det så? #Storebededag #politik #LiberalAlliance #Ansvar #folketinget #folketingskandi",1250,34,1,1,1,https://www.tiktok.com/@steffen.friis/video/7618161813397572886
steffen.friis,Steffen Friis,Liberal Alliance,Sjællands Storkreds,kandidat,7615949535818435862,2026-03-11,Nummerpladgebyret: En uretfærdig (og skjult) afgift på danskerne. Nej tak til skjulte afgifter der flår danskerne. #fv26 #folketingsvalget #liberalalliance @Liberal Alliance @Alex Vanopslagh,3276,89,10,15,9,https://www.tiktok.com/@steffen.friis/video/7615949535818435862
steffen.friis,Steffen Friis,Liberal Alliance,Sjællands Storkreds,kandidat,7615626643889229078,2026-03-10,"Det danske pas koster dig kassen, men er praktisk talt billigere at lave end at købe 1kg oksekød. Prisen består primært af et fiskalt gebyr. Nej tak skal flere afgifter - Det er allerede dyrt nok at være dansker! Det er tid til en frisk start - En st",342,23,1,0,1,https://www.tiktok.com/@steffen.friis/video/7615626643889229078
steffen.friis,Steffen Friis,Liberal Alliance,Sjællands Storkreds,kandidat,7614943729111092502,2026-03-08,#kvinderneskampdag #liberalalliance #valg2026 #dkpol ,296,2,0,0,0,https://www.tiktok.com/@steffen.friis/video/7614943729111092502
steffen.friis,Steffen Friis,Liberal Alliance,Sjællands Storkreds,kandidat,7614125276611611926,2026-03-06,"Glædelig fodboldtrøje fredag alle sammen! :) 18 dage til valget 🇩🇰🇩🇰 Kom og mød mig til vælgermøde på Mandag i Maribo i Pakhuset, Jernbanegade 5, 4930 Maribo #fodboldtrøjefredag #liberalalliance #vælgermøde #folketingsvalget #fv26 @Liberal Alliance @",262,0,0,0,0,https://www.tiktok.com/@steffen.friis/video/7614125276611611926
steffen.friis,Steffen Friis,Liberal Alliance,Sjællands Storkreds,kandidat,7613451111491505430,2026-03-04,"Nedtællingen er i fuld gang, og jeg modtager efterhånden en del henvendelser med spørgsmål.  Jeg vil besvare dem løbende. :) Der er nu 20 dage til, at vi skal stemme - Stem blåt 💙 Så vi kan få en frisk start. #folketinget #folketingskandidat #valg #f",303,0,0,0,0,https://www.tiktok.com/@steffen.friis/video/7613451111491505430
steffen.friis,Steffen Friis,Liberal Alliance,Sjællands Storkreds,kandidat,7611540038521949442,2026-02-27,Artiklerne taler for sig selv - Vi har brug for en frisk start. Ikke 4 år mere med Mette.  Stem blåt d. 24. marts 2026 💙 @alexvanopslagh @liberalalliance_#folketingsvalget #slettemette #politik #politiker,306,4,0,0,0,https://www.tiktok.com/@steffen.friis/video/7611540038521949442
steffen.friis,Steffen Friis,Liberal Alliance,Sjællands Storkreds,kandidat,7611141985381928214,2026-02-26,#dkpol #politik #ftvalg2026 #valg ,855,13,2,1,0,https://www.tiktok.com/@steffen.friis/video/7611141985381928214
steffen.friis,Steffen Friis,Liberal Alliance,Sjællands Storkreds,kandidat,7611133180313111810,2026-02-26,#politik #fødevarecheck #valg  #valg2026,368,7,2,0,1,https://www.tiktok.com/@steffen.friis/video/7611133180313111810
