tiktok_handle,display_name,party_name,storkreds,account_type,video_id,upload_dato,beskrivelse,visninger,likes,kommentarer,shares,gemmer,video_url
thomasmajgaardbyr,Thomas Majgaard Byrsing,Danmarksdemokraterne - Inger Støjberg,Sydjyllands Storkreds,kandidat,7620081205249068310,2026-03-22,Stem Thomas Majgaard Byrsing den 24. Marts nr 1 på liste Æ i Kolding nord og Sønderborg kredsen #danmarksdemokraterne #ByrsingPåBorgen ,860,10,2,0,0,https://www.tiktok.com/@thomasmajgaardbyr/video/7620081205249068310
thomasmajgaardbyr,Thomas Majgaard Byrsing,Danmarksdemokraterne - Inger Støjberg,Sydjyllands Storkreds,kandidat,7618919833022811414,2026-03-19,Et af de helt store emner i stort set alle debatter. Det var det nemlig også i går. #danmarksdemokraterne #ByrsingPåBorgen ,2105,24,2,0,1,https://www.tiktok.com/@thomasmajgaardbyr/video/7618919833022811414
thomasmajgaardbyr,Thomas Majgaard Byrsing,Danmarksdemokraterne - Inger Støjberg,Sydjyllands Storkreds,kandidat,7618598903490841878,2026-03-18,Her er et lille uddrag fra en debat jeg havde omkring formueskatten. #danmarksdemokraterne #ByrsingPåBorgen ,1277,30,1,1,1,https://www.tiktok.com/@thomasmajgaardbyr/video/7618598903490841878
thomasmajgaardbyr,Thomas Majgaard Byrsing,Danmarksdemokraterne - Inger Støjberg,Sydjyllands Storkreds,kandidat,7617934385114926358,2026-03-16,"Nær sundhed er en høj priotet ved os, og det er en ting vi er gået til valg på i DanmarksDemokraterne #danmarksdemokraterne #ByrsingPåBorgen ",432,10,2,0,1,https://www.tiktok.com/@thomasmajgaardbyr/video/7617934385114926358
thomasmajgaardbyr,Thomas Majgaard Byrsing,Danmarksdemokraterne - Inger Støjberg,Sydjyllands Storkreds,kandidat,7616707525638917378,2026-03-13,Vi skulle sørme lige forbi og have en rigtig frokost @BeardoPåBøhlandet  #danmarksdemokraterne #ByrsingPåBorgen ,4524,47,3,0,4,https://www.tiktok.com/@thomasmajgaardbyr/video/7616707525638917378
thomasmajgaardbyr,Thomas Majgaard Byrsing,Danmarksdemokraterne - Inger Støjberg,Sydjyllands Storkreds,kandidat,7616691497492040982,2026-03-13,Tak til @BeardoPåBøhlandet for et klasse arrangement #danmarksdemokraterne #ByrsingPåBorgen ,1698,32,0,0,3,https://www.tiktok.com/@thomasmajgaardbyr/video/7616691497492040982
thomasmajgaardbyr,Thomas Majgaard Byrsing,Danmarksdemokraterne - Inger Støjberg,Sydjyllands Storkreds,kandidat,7616655097052892438,2026-03-13,Jernmarker? KÆMPE NEJ TAK #danmarksdemokraterne #ByrsingPåBorgen ,1501,30,2,1,1,https://www.tiktok.com/@thomasmajgaardbyr/video/7616655097052892438
thomasmajgaardbyr,Thomas Majgaard Byrsing,Danmarksdemokraterne - Inger Støjberg,Sydjyllands Storkreds,kandidat,7616065380942957846,2026-03-11,"Hvad vil du helst, jernmarker eller normale marker #danmarksdemokraterne #ByrsingPåBorgen ",497,12,2,0,1,https://www.tiktok.com/@thomasmajgaardbyr/video/7616065380942957846
thomasmajgaardbyr,Thomas Majgaard Byrsing,Danmarksdemokraterne - Inger Støjberg,Sydjyllands Storkreds,kandidat,7615339558636391702,2026-03-09,Er det rimeligt at staten tager mere end landmanden for 1 L mælk? #danmarksdemokraterne #ByrsingPåBorgen ,2967,70,9,1,3,https://www.tiktok.com/@thomasmajgaardbyr/video/7615339558636391702
thomasmajgaardbyr,Thomas Majgaard Byrsing,Danmarksdemokraterne - Inger Støjberg,Sydjyllands Storkreds,kandidat,7614844750981532950,2026-03-08,"Man kan efterhånden ikke være i tvivl, hvor man skal sætte det kryds. Selv når Inger siger det, så må det jo være rigtig #danmarksdemokraterne #ByrsingPåBorgen ",2504,36,5,1,2,https://www.tiktok.com/@thomasmajgaardbyr/video/7614844750981532950
thomasmajgaardbyr,Thomas Majgaard Byrsing,Danmarksdemokraterne - Inger Støjberg,Sydjyllands Storkreds,kandidat,7614214112737758486,2026-03-06,Hvad ville du vurdere disse plakater? #danmarksdemokraterne #ByrsingPåBorgen ,398,14,5,0,2,https://www.tiktok.com/@thomasmajgaardbyr/video/7614214112737758486
thomasmajgaardbyr,Thomas Majgaard Byrsing,Danmarksdemokraterne - Inger Støjberg,Sydjyllands Storkreds,kandidat,7614128646969691414,2026-03-06,Synes du også at kriminelle invandrer ikke høre til i vores land. Så meld dig ind i DanmarksDemokraterne #danmarksdemokraterne #ByrsingPåBorgen ,1048,23,2,1,2,https://www.tiktok.com/@thomasmajgaardbyr/video/7614128646969691414
thomasmajgaardbyr,Thomas Majgaard Byrsing,Danmarksdemokraterne - Inger Støjberg,Sydjyllands Storkreds,kandidat,7613442295353871638,2026-03-04,"Vi er nødt til at gøre noget, der skal ske en ændring #danmarksdemokraterne #ByrsingPåBorgen ",1403,48,8,5,3,https://www.tiktok.com/@thomasmajgaardbyr/video/7613442295353871638
thomasmajgaardbyr,Thomas Majgaard Byrsing,Danmarksdemokraterne - Inger Støjberg,Sydjyllands Storkreds,kandidat,7612758013123841302,2026-03-02,"Jeg synes det er skudt helt forkert med de 14 elever i hver klasse, lav nu en ordentlig model #danmarksdemokraterne #ByrsingPåBorgen ",655,12,2,0,1,https://www.tiktok.com/@thomasmajgaardbyr/video/7612758013123841302
thomasmajgaardbyr,Thomas Majgaard Byrsing,Danmarksdemokraterne - Inger Støjberg,Sydjyllands Storkreds,kandidat,7611975390092971286,2026-02-28,"Thomas hænger nu rundt i hele Sydjylland, send da lige et billede med hans plakat, hvis du ser ham.💙 #danmarksdemokraterne #ByrsingPåBorgen ",731,23,1,0,1,https://www.tiktok.com/@thomasmajgaardbyr/video/7611975390092971286
thomasmajgaardbyr,Thomas Majgaard Byrsing,Danmarksdemokraterne - Inger Støjberg,Sydjyllands Storkreds,kandidat,7611430565551688982,2026-02-27,"Så er valgkampen igang, og jeg er klar til at kæmpe for disse mærkesager  1. Nej til CO2 afgift på landbruget 2. Skole med plads til forskellighed 3. Lavere skatter og afgifter 4. Et stærkt sundhedsvæsen tæt på #danmarksdemokraterne #ByrsingPåBorgen ",804,22,2,2,2,https://www.tiktok.com/@thomasmajgaardbyr/video/7611430565551688982
