candidate_name,party_name,storkreds,tiktok_handle,tiktok_url,account_type
Socialdemokratiet,Socialdemokratiet,Landsplan,mette_insider_official,https://www.tiktok.com/@mette_insider_official,parti_national
Venstre,Venstre,Landsplan,venstredk,https://www.tiktok.com/@venstredk,parti_national
Liberal Alliance,Liberal Alliance,Landsplan,liberalalliance_,https://www.tiktok.com/@liberalalliance_,parti_national
SF,SF - Socialistisk Folkeparti,Landsplan,sfpolitik,https://www.tiktok.com/@sfpolitik,parti_national
Enhedslisten,Enhedslisten - De Rød-Grønne,Landsplan,_enhedslisten,https://www.tiktok.com/@_enhedslisten,parti_national
Moderaterne,Moderaterne,Landsplan,moderaterne,https://www.tiktok.com/@moderaterne,parti_national
Radikale Venstre,Radikale Venstre,Landsplan,radikalevenstre,https://www.tiktok.com/@radikalevenstre,parti_national
Alternativet,Alternativet,Landsplan,alternativet,https://www.tiktok.com/@alternativet,parti_national
Dansk Folkeparti,Dansk Folkeparti,Landsplan,danskfolkeparti,https://www.tiktok.com/@danskfolkeparti,parti_national
Danmarksdemokraterne,Danmarksdemokraterne - Inger Støjberg,Landsplan,danmarksdemokraterne,https://www.tiktok.com/@danmarksdemokraterne,parti_national
Borgernes Parti,Borgernes Parti - Lars Boje Mathiesen,Landsplan,borgernesparti,https://www.tiktok.com/@borgernesparti,parti_national
Radikale Venstre (sekundær),Radikale Venstre,Landsplan,hovedkontoret.radikale,https://www.tiktok.com/@hovedkontoret.radikale,parti_national
Enhedslisten Midtjylland,Enhedslisten - De Rød-Grønne,Midtjylland,enhedslisten.midt,https://www.tiktok.com/@enhedslisten.midt,parti_lokal
Enhedslisten København,Enhedslisten - De Rød-Grønne,København,enhedslistenkbh,https://www.tiktok.com/@enhedslistenkbh,parti_lokal
Venstre Odense,Venstre,Odense,venstre_odense,https://www.tiktok.com/@venstre_odense,parti_lokal
Socialdemokratiet Hørsholm,Socialdemokratiet,Hørsholm,socialdemokrat_horsholm_,https://www.tiktok.com/@socialdemokrat_horsholm_,parti_lokal
DSU,Socialdemokratiet,Landsplan,socialdemokratiskungdom,https://www.tiktok.com/@socialdemokratiskungdom,ungdomsorganisation
Venstres Ungdom,Venstre,Landsplan,venstresungdom,https://www.tiktok.com/@venstresungdom,ungdomsorganisation
Liberal Alliances Ungdom,Liberal Alliance,Landsplan,liberalungdom,https://www.tiktok.com/@liberalungdom,ungdomsorganisation
Konservativ Ungdom,Det Konservative Folkeparti,Landsplan,konservativungdom,https://www.tiktok.com/@konservativungdom,ungdomsorganisation
Radikal Ungdom,Radikale Venstre,Landsplan,radikalungdom,https://www.tiktok.com/@radikalungdom,ungdomsorganisation
SUF,Enhedslisten - De Rød-Grønne,Landsplan,ungdomsfront,https://www.tiktok.com/@ungdomsfront,ungdomsorganisation
SF Ungdom,SF - Socialistisk Folkeparti,Landsplan,sfungdom,https://www.tiktok.com/@sfungdom,ungdomsorganisation
DFU,Dansk Folkeparti,Landsplan,dfungdom,https://www.tiktok.com/@dfungdom,ungdomsorganisation
DDU,Danmarksdemokraterne - Inger Støjberg,Landsplan,ddungdom,https://www.tiktok.com/@ddungdom,ungdomsorganisation
VU Odense,Venstre,Odense,vuodense,https://www.tiktok.com/@vuodense,ungdomsorganisation_lokal
DSU Aalborg,Socialdemokratiet,Aalborg,dsuaalborg,https://www.tiktok.com/@dsuaalborg,ungdomsorganisation_lokal
DSU Odense,Socialdemokratiet,Odense,dsu_odense,https://www.tiktok.com/@dsu_odense,ungdomsorganisation_lokal
DSU Sønderborg,Socialdemokratiet,Sønderborg,dsu_snderborg,https://www.tiktok.com/@dsu_snderborg,ungdomsorganisation_lokal
SUF Aarhus,Enhedslisten - De Rød-Grønne,Aarhus,suf_aarhus,https://www.tiktok.com/@suf_aarhus,ungdomsorganisation_lokal
RGU Aarhus,Enhedslisten - De Rød-Grønne,Aarhus,rgu.aarhus,https://www.tiktok.com/@rgu.aarhus,ungdomsorganisation_lokal
RGU København,Enhedslisten - De Rød-Grønne,København,rgu_kbh,https://www.tiktok.com/@rgu_kbh,ungdomsorganisation_lokal
Modstrømmen,Ingen partitilknytning,Landsplan,modstroemmen,https://www.tiktok.com/@modstroemmen,fanpage_kommentar
DF Danmark,Dansk Folkeparti,Landsplan,df.danmark,https://www.tiktok.com/@df.danmark,fanpage_kommentar
DFNyheder,Dansk Folkeparti,Landsplan,dfnyheder,https://www.tiktok.com/@dfnyheder,fanpage_kommentar
Atomkraft Ja Tak,Ingen partitilknytning,Landsplan,atomkraftjatak,https://www.tiktok.com/@atomkraftjatak,fanpage_kommentar
KaosTV Danmark,Ingen partitilknytning,Landsplan,kaostvdanmark,https://www.tiktok.com/@kaostvdanmark,fanpage_kommentar
TV 2 ECHO,Ingen partitilknytning,Landsplan,tv2echo,https://www.tiktok.com/@tv2echo,medie
