tiktok_handle,display_name,party_name,storkreds,account_type,video_id,upload_dato,beskrivelse,visninger,likes,kommentarer,shares,gemmer,video_url
alexanderryle,Alexander Ryle,Liberal Alliance,Københavns Storkreds,kandidat,7620034020465855766,2026-03-22,"Byg, byg, byg!👷‍♂️",532,33,1,0,0,https://www.tiktok.com/@alexanderryle/video/7620034020465855766
alexanderryle,Alexander Ryle,Liberal Alliance,Københavns Storkreds,kandidat,7620008383306910998,2026-03-22,Danmarks hurtigste debat🔥,364,30,1,1,0,https://www.tiktok.com/@alexanderryle/video/7620008383306910998
alexanderryle,Alexander Ryle,Liberal Alliance,Københavns Storkreds,kandidat,7619809466942491927,2026-03-21,Legalisering er den eneste løsning🌿,337,27,2,1,3,https://www.tiktok.com/@alexanderryle/video/7619809466942491927
alexanderryle,Alexander Ryle,Liberal Alliance,Københavns Storkreds,kandidat,7619640141837094166,2026-03-21,Mindre DR. Mere konkurrence. Ingen tvang.,6652,184,6,7,6,https://www.tiktok.com/@alexanderryle/video/7619640141837094166
alexanderryle,Alexander Ryle,Liberal Alliance,Københavns Storkreds,kandidat,7619357569592593686,2026-03-20,"Hvis du vil have mere frihed og mindre stat, så stem på Alexander Ryle den 24. Marts.",2785,239,5,4,17,https://www.tiktok.com/@alexanderryle/video/7619357569592593686
alexanderryle,Alexander Ryle,Liberal Alliance,Københavns Storkreds,kandidat,7619326583911894294,2026-03-20,👀,4045,139,8,18,2,https://www.tiktok.com/@alexanderryle/video/7619326583911894294
alexanderryle,Alexander Ryle,Liberal Alliance,Københavns Storkreds,kandidat,7618975635171511574,2026-03-19,Er du enig? #dkpol #fv26 #bolig ,1689,95,1,1,5,https://www.tiktok.com/@alexanderryle/video/7618975635171511574
alexanderryle,Alexander Ryle,Liberal Alliance,Københavns Storkreds,kandidat,7618968427285335318,2026-03-19,Spam W i chatten. #dkpol #fyp #banger ,390,8,2,1,0,https://www.tiktok.com/@alexanderryle/video/7618968427285335318
alexanderryle,Alexander Ryle,Liberal Alliance,Københavns Storkreds,kandidat,7618922711867395350,2026-03-19,Ukraine fortjener vores fulde opbakning!🇺🇦🇩🇰 #dkpol #ukraine ,3450,102,20,1,8,https://www.tiktok.com/@alexanderryle/video/7618922711867395350
alexanderryle,Alexander Ryle,Liberal Alliance,Københavns Storkreds,kandidat,7618515824445361430,2026-03-18,"Formueskatten rammer ikke bare “de rige”. Den rammer iværksætteri. Den straffer succes og går direkte efter dem, der skaber velstand og vækst i vores samfund.",1173,89,2,2,7,https://www.tiktok.com/@alexanderryle/video/7618515824445361430
alexanderryle,Alexander Ryle,Liberal Alliance,Københavns Storkreds,kandidat,7618274003542609175,2026-03-17,"Økonomisk lighed i sig selv er ikke særlig interessant. Det interessante er, om flere kommer i arbejde, får bedre muligheder og om vi samlet set bliver rigere.",994,63,4,0,1,https://www.tiktok.com/@alexanderryle/video/7618274003542609175
alexanderryle,Alexander Ryle,Liberal Alliance,Københavns Storkreds,kandidat,7618151641384013078,2026-03-17,7 dage… Lock in💙,759,56,2,0,2,https://www.tiktok.com/@alexanderryle/video/7618151641384013078
alexanderryle,Alexander Ryle,Liberal Alliance,Københavns Storkreds,kandidat,7617740424593165590,2026-03-16,"Hvad gør vi, når vinden ikke blæser, og solen ikke skinner?🤔 ",3899,191,14,3,4,https://www.tiktok.com/@alexanderryle/video/7617740424593165590
alexanderryle,Alexander Ryle,Liberal Alliance,Københavns Storkreds,kandidat,7617469995106241814,2026-03-15,Danmark og Europa skal taget et større ansvar for vores egen sikkerhed!🪖,1361,60,0,1,4,https://www.tiktok.com/@alexanderryle/video/7617469995106241814
alexanderryle,Alexander Ryle,Liberal Alliance,Københavns Storkreds,kandidat,7617173770565848342,2026-03-14,Danmarks hurtigste debat⚡️ #dkpol #atomkraft #energi #danskpolitik,6353,178,6,3,5,https://www.tiktok.com/@alexanderryle/video/7617173770565848342
alexanderryle,Alexander Ryle,Liberal Alliance,Københavns Storkreds,kandidat,7616674227738905878,2026-03-13,Vi betaler alt for meget skat i Danmark!📈,497,28,3,2,0,https://www.tiktok.com/@alexanderryle/video/7616674227738905878
alexanderryle,Alexander Ryle,Liberal Alliance,Københavns Storkreds,kandidat,7616380985822776578,2026-03-12,12 dage endnu… #countdown #alexanderryle #liberalalliance ,491,31,0,0,1,https://www.tiktok.com/@alexanderryle/video/7616380985822776578
