tiktok_handle,display_name,party_name,storkreds,account_type,video_id,upload_dato,beskrivelse,visninger,likes,kommentarer,shares,gemmer,video_url
anderspeterhansenla,Anders Peter Hansen,Liberal Alliance,Nordjyllands Storkreds,kandidat,7620087494893260054,2026-03-22,DJ BATTLE aftermove Anders Peter Hansen (LA) vs @Jacob Robsøe (RV)  Husk at stemme den 24. marts 🗳️ #fyp #dkpol ,125,2,0,1,0,https://www.tiktok.com/@anderspeterhansenla/video/7620087494893260054
anderspeterhansenla,Anders Peter Hansen,Liberal Alliance,Nordjyllands Storkreds,kandidat,7619997374240263446,2026-03-22,Lyt til Alex. Stem Anders Peter Hansen den 24. marts #fyp #dkpol ,1152,49,0,2,1,https://www.tiktok.com/@anderspeterhansenla/video/7619997374240263446
anderspeterhansenla,Anders Peter Hansen,Liberal Alliance,Nordjyllands Storkreds,kandidat,7619738257886154006,2026-03-21,Har du tjekket din årsopgørelse? #fyp #dkpol ,384,16,0,1,0,https://www.tiktok.com/@anderspeterhansenla/video/7619738257886154006
anderspeterhansenla,Anders Peter Hansen,Liberal Alliance,Nordjyllands Storkreds,kandidat,7619326753265175830,2026-03-20,"Ses vi til DJ battle i aften?🎧 Heidis Bier Bar i Jomfru Ane Gade, fredag kl. 24:00 20-03-2026 #fyp #dkpol @Jacob Robsøe (RV) ",380,17,2,1,1,https://www.tiktok.com/@anderspeterhansenla/video/7619326753265175830
anderspeterhansenla,Anders Peter Hansen,Liberal Alliance,Nordjyllands Storkreds,kandidat,7618913790892969238,2026-03-19,Atomkraft ja tak ⚛️ #fyp #dkpol ,4616,112,3,6,8,https://www.tiktok.com/@anderspeterhansenla/video/7618913790892969238
anderspeterhansenla,Anders Peter Hansen,Liberal Alliance,Nordjyllands Storkreds,kandidat,7618163237745429782,2026-03-17,Saint Patricks Day = Guinness  #fyp #dkpol ,456,20,1,1,1,https://www.tiktok.com/@anderspeterhansenla/video/7618163237745429782
anderspeterhansenla,Anders Peter Hansen,Liberal Alliance,Nordjyllands Storkreds,kandidat,7616086474861186306,2026-03-11,Replying to @Mathias #dkpol #fyp,484,12,2,1,0,https://www.tiktok.com/@anderspeterhansenla/video/7616086474861186306
anderspeterhansenla,Anders Peter Hansen,Liberal Alliance,Nordjyllands Storkreds,kandidat,7616085841068231958,2026-03-11,Replying to @Mølmøl Møller #dkpol #fyp,369,10,1,1,1,https://www.tiktok.com/@anderspeterhansenla/video/7616085841068231958
anderspeterhansenla,Anders Peter Hansen,Liberal Alliance,Nordjyllands Storkreds,kandidat,7616084450287373590,2026-03-11,Replying to @Aria John Sadigh Bedre vilkår til iværksætterne i Danmark! #fyp #dkpol,754,21,6,1,0,https://www.tiktok.com/@anderspeterhansenla/video/7616084450287373590
anderspeterhansenla,Anders Peter Hansen,Liberal Alliance,Nordjyllands Storkreds,kandidat,7615030911331093782,2026-03-09,Forårsmesse i Frederikshavn. Tak for alle de gode snakke. #fyp  #dkpol ,186,4,0,1,0,https://www.tiktok.com/@anderspeterhansenla/video/7615030911331093782
anderspeterhansenla,Anders Peter Hansen,Liberal Alliance,Nordjyllands Storkreds,kandidat,7615133649926622486,2026-03-09,Replying to @magnuskramme5 ,479,20,0,1,0,https://www.tiktok.com/@anderspeterhansenla/video/7615133649926622486
anderspeterhansenla,Anders Peter Hansen,Liberal Alliance,Nordjyllands Storkreds,kandidat,7613747210387262742,2026-03-05,Formueskat er en joke 🤡 #dkpol #fyp,906,22,3,0,1,https://www.tiktok.com/@anderspeterhansenla/video/7613747210387262742
anderspeterhansenla,Anders Peter Hansen,Liberal Alliance,Nordjyllands Storkreds,kandidat,7612640398250429718,2026-03-02,Replying to @Jacobbabs999🇩🇰 ,417,14,1,0,1,https://www.tiktok.com/@anderspeterhansenla/video/7612640398250429718
anderspeterhansenla,Anders Peter Hansen,Liberal Alliance,Nordjyllands Storkreds,kandidat,7611952797579529494,2026-02-28,Fjern registreringsafgiften 🚗 #dkpol #fyp #Foryou #fordig ,352,17,2,1,0,https://www.tiktok.com/@anderspeterhansenla/video/7611952797579529494
anderspeterhansenla,Anders Peter Hansen,Liberal Alliance,Nordjyllands Storkreds,kandidat,7611473737736523030,2026-02-27,Replying to @Sebastian B. Rask ,564,27,7,1,2,https://www.tiktok.com/@anderspeterhansenla/video/7611473737736523030
anderspeterhansenla,Anders Peter Hansen,Liberal Alliance,Nordjyllands Storkreds,kandidat,7611376248668916994,2026-02-27,Atomkraft JA TAK⚛️ #dkpol #fyp #foryou #atomkraft,554,25,7,0,0,https://www.tiktok.com/@anderspeterhansenla/video/7611376248668916994
anderspeterhansenla,Anders Peter Hansen,Liberal Alliance,Nordjyllands Storkreds,kandidat,7611139468665359638,2026-02-26,VALGET ER UDSKREVET!  #dkpol #fyp #Foryou #fordig ,742,44,7,0,1,https://www.tiktok.com/@anderspeterhansenla/video/7611139468665359638
anderspeterhansenla,Anders Peter Hansen,Liberal Alliance,Nordjyllands Storkreds,kandidat,7610165469722545430,2026-02-23,"Forleden gæstede jeg podcasten, Norden Nu. Her blev der snakket om min tid i Ungdommens Nordiske Råd, mit folketingskandidatur og lidt international politik. Hør hele podcasten via linket i kommentarfeltet.",400,23,1,0,1,https://www.tiktok.com/@anderspeterhansenla/video/7610165469722545430
anderspeterhansenla,Anders Peter Hansen,Liberal Alliance,Nordjyllands Storkreds,kandidat,7610080752604040470,2026-02-23,Replying to @Aria John Sadigh ,315,8,0,1,0,https://www.tiktok.com/@anderspeterhansenla/video/7610080752604040470
anderspeterhansenla,Anders Peter Hansen,Liberal Alliance,Nordjyllands Storkreds,kandidat,7609380611593211158,2026-02-21,Spørg for satan! #fyp #Foryou #fordig #Liberal #dkpol,410,21,8,1,1,https://www.tiktok.com/@anderspeterhansenla/video/7609380611593211158
anderspeterhansenla,Anders Peter Hansen,Liberal Alliance,Nordjyllands Storkreds,kandidat,7609246991851277590,2026-02-21,Årsopgørelse is coming 🫠,514,26,1,0,1,https://www.tiktok.com/@anderspeterhansenla/video/7609246991851277590
