tiktok_handle,display_name,party_name,storkreds,account_type,video_id,upload_dato,beskrivelse,visninger,likes,kommentarer,shares,gemmer,video_url
brill1977,John Brill Engkebølle,Danmarksdemokraterne - Inger Støjberg,Sjællands Storkreds,kandidat,7617374103103753494,2026-03-15,,470,5,0,0,0,https://www.tiktok.com/@brill1977/video/7617374103103753494
brill1977,John Brill Engkebølle,Danmarksdemokraterne - Inger Støjberg,Sjællands Storkreds,kandidat,7614890189265276182,2026-03-08,Sund fornuft er ik racisme. #antonwesterlin #sivas #fyp #boc #lamin ,995,20,0,11,1,https://www.tiktok.com/@brill1977/video/7614890189265276182
brill1977,John Brill Engkebølle,Danmarksdemokraterne - Inger Støjberg,Sjællands Storkreds,kandidat,7613675983505345814,2026-03-05,Lolland og Falster #ung #boc #fyp ,456,5,1,0,2,https://www.tiktok.com/@brill1977/video/7613675983505345814
brill1977,John Brill Engkebølle,Danmarksdemokraterne - Inger Støjberg,Sjællands Storkreds,kandidat,7573294698115304706,2025-11-16,,907,4,1,1,1,https://www.tiktok.com/@brill1977/video/7573294698115304706
brill1977,John Brill Engkebølle,Danmarksdemokraterne - Inger Støjberg,Sjællands Storkreds,kandidat,7573294620830944534,2025-11-16,,904,6,1,0,1,https://www.tiktok.com/@brill1977/video/7573294620830944534
brill1977,John Brill Engkebølle,Danmarksdemokraterne - Inger Støjberg,Sjællands Storkreds,kandidat,7571034597278993686,2025-11-10,,863,4,1,1,0,https://www.tiktok.com/@brill1977/video/7571034597278993686
brill1977,John Brill Engkebølle,Danmarksdemokraterne - Inger Støjberg,Sjællands Storkreds,kandidat,7569731609507728662,2025-11-06,#ung #boc #fyp ,547,15,1,0,1,https://www.tiktok.com/@brill1977/video/7569731609507728662
brill1977,John Brill Engkebølle,Danmarksdemokraterne - Inger Støjberg,Sjællands Storkreds,kandidat,7569731482042813718,2025-11-06,,916,7,0,0,0,https://www.tiktok.com/@brill1977/video/7569731482042813718
brill1977,John Brill Engkebølle,Danmarksdemokraterne - Inger Støjberg,Sjællands Storkreds,kandidat,7567921041897426198,2025-11-02,,377,2,0,1,1,https://www.tiktok.com/@brill1977/video/7567921041897426198
brill1977,John Brill Engkebølle,Danmarksdemokraterne - Inger Støjberg,Sjællands Storkreds,kandidat,7567793436774976790,2025-11-01,#ung #boc #fyp ,88,4,0,1,1,https://www.tiktok.com/@brill1977/video/7567793436774976790
brill1977,John Brill Engkebølle,Danmarksdemokraterne - Inger Støjberg,Sjællands Storkreds,kandidat,7560654828083383574,2025-10-13,"Ung i Guldborgsund kommune. Hvad gør det fedt at være ung her og hvad skal vi skrue op for? Flere events? Bedre steder at mødes? Noget helt tredje? Hvad virker, og hvad mangler vi i Guldborgsund? Hvis Guldborgsund var et sted for unge, hvad skulle de",486,9,4,5,1,https://www.tiktok.com/@brill1977/video/7560654828083383574
brill1977,John Brill Engkebølle,Danmarksdemokraterne - Inger Støjberg,Sjællands Storkreds,kandidat,7560620726772976918,2025-10-13,"Ung i Guldborgsund  Vordingborg har Benny Jamz og en festuge, der samler hele byen virkelig respekt for det. Men her i Guldborgsund har vi også vores lille fede festuge, og ja, den er virkelig fed og det viser, at vi kan skabe stemning, når vi vil. M",632,21,0,2,3,https://www.tiktok.com/@brill1977/video/7560620726772976918
brill1977,John Brill Engkebølle,Danmarksdemokraterne - Inger Støjberg,Sjællands Storkreds,kandidat,7554481626076515606,2025-09-26,#Danmarksdemokraterne #guldborgsund #ingerstøjberg ,966,6,1,0,1,https://www.tiktok.com/@brill1977/video/7554481626076515606
brill1977,John Brill Engkebølle,Danmarksdemokraterne - Inger Støjberg,Sjællands Storkreds,kandidat,7553781722635177238,2025-09-25,Kv 2025 Sakskøbing #guldborgsund #Danmarksdemokraterne #sakskøbing #frugtfestival ,1686,43,0,15,3,https://www.tiktok.com/@brill1977/video/7553781722635177238
