tiktok_handle,display_name,party_name,storkreds,account_type,video_id,upload_dato,beskrivelse,visninger,likes,kommentarer,shares,gemmer,video_url
caarolinacamaraa,Carolina Cámara,Enhedslisten - De Rød-Grønne,Nordsjællands Storkreds,kandidat,7611223363385560342,2026-02-26,"Valget er udskrevet! ❤️💚 Det er tid til at få en ny regering, derfor får du her mine tre mærkesager til Folketingsvalget 💪🏽 #folketingsvalg #kandidat #nordsjælland #ung #dkpolitik ",2250,242,32,20,9,https://www.tiktok.com/@caarolinacamaraa/video/7611223363385560342
caarolinacamaraa,Carolina Cámara,Enhedslisten - De Rød-Grønne,Nordsjællands Storkreds,kandidat,7619792174854540566,2026-03-21,Det er vidst tid til at Mette og resten af regeringen prioriterer klimahandling over en aldersgrænse på tiktok 🥴🌿💚 #dkpol #fyp #folketingsvalg #trend #klima ,475,47,3,2,0,https://www.tiktok.com/@caarolinacamaraa/video/7619792174854540566
caarolinacamaraa,Carolina Cámara,Enhedslisten - De Rød-Grønne,Nordsjællands Storkreds,kandidat,7619669635872443670,2026-03-21,"Jeg stiller op til Folketinget, fordi jeg synes, der mangler ægte unge stemmer, der kæmper for en bedre fremtid 💚 Jeg kommer fra Ølstykke og kender til de udfordringer, vi unge står over for i dag – fra dårlig offentlig transport til uoverkommelige b",882,72,5,2,1,https://www.tiktok.com/@caarolinacamaraa/video/7619669635872443670
caarolinacamaraa,Carolina Cámara,Enhedslisten - De Rød-Grønne,Nordsjællands Storkreds,kandidat,7619389754416680214,2026-03-20,Vælg håb. Vælg Enhedslisten ❤️ Meld dig ind i Rød-Grøn Ungdom på rgungdom.dk 🫰🏼 #dkpol #folketingsvalg #rgu #klima #fyp ,2833,311,17,6,9,https://www.tiktok.com/@caarolinacamaraa/video/7619389754416680214
caarolinacamaraa,Carolina Cámara,Enhedslisten - De Rød-Grønne,Nordsjællands Storkreds,kandidat,7618848134826904854,2026-03-19,Sådan her ser ens kamerarulle ud efter en valgkamp ❤️‍🔥 Fyldt med gode minder og nye venner! Kom og vær med i Nordsjælland ved at sende mig en dm eller find ud af hvad vi laver på @Rød-Grøn Ungdom 💚 #trend #fyp #rgu #folketingsvalg #dkpol ,436,46,4,0,1,https://www.tiktok.com/@caarolinacamaraa/video/7618848134826904854
caarolinacamaraa,Carolina Cámara,Enhedslisten - De Rød-Grønne,Nordsjællands Storkreds,kandidat,7618553412824632598,2026-03-18,Jeg stiller op til folketingsvalget fordi jeg vælger håb - jeg vælger Enhedslisten ❤️‍🔥 #folketingsvalg #fyp #trend #dkpolitik #klima ,915,77,9,0,1,https://www.tiktok.com/@caarolinacamaraa/video/7618553412824632598
caarolinacamaraa,Carolina Cámara,Enhedslisten - De Rød-Grønne,Nordsjællands Storkreds,kandidat,7618204275386092822,2026-03-17,"Som studerende på en professionsbachelor og som folketingskandidat for @Enhedslisten HQ , var det en no brainer at underskrive ProfessionsAlliancens kontrakt om at arbejde for bedre uddannelsesforhold 👏🏼 Bl.a. skal vi sikre billigere offentlig transp",550,50,2,2,1,https://www.tiktok.com/@caarolinacamaraa/video/7618204275386092822
caarolinacamaraa,Carolina Cámara,Enhedslisten - De Rød-Grønne,Nordsjællands Storkreds,kandidat,7617981127189466390,2026-03-16,"Throwback til kommunalvalgskampen - vi kæmper stadig for en rød grøn fremtid med billigere busser  ❤️💚 Denne gang kan du stemme på mig, Carolina Cámara d. 24. marts 🫶🏽 #nordsjælland #fyp #taylorswift #enhedslisten #trend ",424,45,2,0,1,https://www.tiktok.com/@caarolinacamaraa/video/7617981127189466390
caarolinacamaraa,Carolina Cámara,Enhedslisten - De Rød-Grønne,Nordsjællands Storkreds,kandidat,7615921462956002562,2026-03-11,"At ødelægge valgplakater og at være voldlig mod nogen du er uenig med, er aldrig vejen frem i et sundt demokrati 💔 Lad os nu holde den gode tone og have en respektfuld valgkamp for alle resten af valgkampen ❤️‍🩹 #folketingsvalg #valgplakater #kandida",1404,100,3,4,3,https://www.tiktok.com/@caarolinacamaraa/video/7615921462956002562
caarolinacamaraa,Carolina Cámara,Enhedslisten - De Rød-Grønne,Nordsjællands Storkreds,kandidat,7611141471097376022,2026-02-26,Valget er udskrevet! Og vi skal have en rød-grøn regering ❤️💚 Vil du være med? Skriv en kommentar eller en DM #folketingsvalg #kandidat #nordsjælland #ung #ungdomspolitik ,2181,208,19,9,4,https://www.tiktok.com/@caarolinacamaraa/video/7611141471097376022
